vo_adv_1020009_000.m4a|は～やくおにいちゃんこっないかな～♪きょうもいっぱいあっそぶんだ～♪
vo_adv_1020011_033.m4a|それでミミのお手当てが終わったら、今度はミミがうさぎさんのお手当てしてあげるからね～♪
vo_adv_1020011_034.m4a|あ、うさぎさんすりすりしてくれてる……えへへ、いい子いい子だよ～
vo_adv_1020011_035.m4a|うさぎさん、すっかりおとなしくなってくれたね。ふふふ、かわいいな～
vo_adv_1020011_036.m4a|うさぎさんのおうちはどこかな？おうち、帰りたいよね？
vo_adv_1020011_037.m4a|でも……もしうさぎさんがおうち帰れなかったら、ミミのおうちに来てもいいよ？
vo_adv_1020011_038.m4a|おいしいごはんいっぱいあげるし、毎日だっこしてなでなでしてあげるんだから！
vo_adv_1020011_040.m4a|も、もしかして、お姉さんがうさぎさんの飼い主さん……？
vo_adv_1020011_042.m4a|ミ、ミミはなにも……あの、うさぎさん……
vo_adv_1020011_046.m4a|すてきな、おねえ、さん……えへへ♪ばいば～いうさぎさん、元気でね～！
vo_adv_1020011_047.m4a|……行っちゃった。ねえ、おにいちゃん、ミミ、ちゃんとおねえさんできてたかな？
vo_adv_1020011_048.m4a|そっか……おにいちゃん、ミミたちも帰ろ♪しっかりおててつないで帰ろうね♪
vo_adv_1020011_049.m4a|るんたったるんたった～♪
vo_adv_1020011_056.m4a|ふぁあ……あ、れ……ミミ、ねちゃったの……？まだお日さま出てるのに、ふしぎだな～
vo_adv_1020011_057.m4a|そうだ、ミミね、夢の中でうさぎさんたすけたんだよ！おにいちゃんもいっしょで、すっごくいい夢だったの♪
vo_adv_1020011_058.m4a|夢の中のミミは、ちょっとだけおねえさんになれたけど、ミミもおんなじようにできるかな……
vo_adv_1020011_059.m4a|おにいちゃんがそう言ってくれるなら、ミミがんばれるよ！ぜったいにプチグリフォンさんを治してあげようね！
vo_adv_1020011_060.m4a|あ、そうだ、ミミたちプチグリフォンさんのとこ行くとちゅうだった！はやく行こう、おにいちゃん♪
vo_adv_1020012_000.m4a|それじゃあプチグリフォンさん、手をはなすよ？それ～！
vo_adv_1020012_001.m4a|プチグリフォンさん、ミミのお顔のとこくらいまでとべるようになったね♪　そのちょうしだよ、がんばって♪
vo_adv_1020012_002.m4a|あ……もう少しだったのに……おケガはもう治ってるんだけどな……
vo_adv_1020012_003.m4a|まだこわいのかな……ミミがそばにいてもダメなのかな……
vo_adv_1020012_004.m4a|……でも、それなら何でとべないんだろう。ミミじゃもう、これ以上お手伝いできないのかな……
vo_adv_1020012_005.m4a|勇気……ねえおにいちゃん、ミミ、この前の丘にもう一度行ってみたいな。
vo_adv_1020012_006.m4a|うん……でも、丘からキレイなお花畑を見たら、プチグリフォンさん勇気出してとんでみたいって思うかもしれないから……
vo_adv_1020012_007.m4a|だからお願い、ミミを丘までつれてって。
vo_adv_1020012_008.m4a|ありがとうおにいちゃん！プチグリフォンさん、ミミもいっしょに勇気出すから、もうちょっとだけがんばろうね！
vo_adv_1020012_009.m4a|はぁ、ふぅ……あと、少し……つ、ついた、よ……ここがお花畑が見える丘……どこから見えるんだろう？
vo_adv_1020012_010.m4a|わぁ……すごい、本当にお花畑が見えるよ！ミミ、こんなおっきなお花畑はじめてだよ♪
vo_adv_1020012_011.m4a|うん！　つれてきてくれてありがとう、おにいちゃん♪見て見てプチグリフォンさん！　とってもキレイだよ！
vo_adv_1020012_012.m4a|……やっぱり、高いとここわい？そうだよね、ミミもちょっとだけこわいよ。
vo_adv_1020012_013.m4a|でもね、ここよりももっとも～っと高くとべたら、す～っごくキレイな景色が見られるよ？
vo_adv_1020012_014.m4a|ミミは、プチグリフォンさんといっしょに見てみたいな。
vo_adv_1020012_015.m4a|きゃあ！　こ、このこわい声……もしかして……
vo_adv_1020012_016.m4a|こ、この前の魔物さんだ……！
vo_adv_1020012_017.m4a|プチグリフォンさん……だ、大丈夫、今度はミミがぜったいに守るよ！だ、だからあっち行ってよう！
vo_adv_1020012_018.m4a|や、やった～、魔物さんやっつけちゃった！おにいちゃんすご～い♪
vo_adv_1020012_019.m4a|これで安心してプチグリフォンさんのお手伝いできるね──
vo_adv_1020012_020.m4a|……え？
vo_adv_1020012_021.m4a|きゃああ～！
vo_adv_1020012_022.m4a|あぅ……どうしよう、お、おちちゃうよぉ……
vo_adv_1020012_023.m4a|きゃあー！？
vo_adv_1020012_024.m4a|ミミ、落ちちゃったの？　……このまましんじゃうの？やだよ……こわい、たすけておにいちゃん！
vo_adv_1020012_025.m4a|プチグリフォンさん……？こんなにこわくてふるえてるのに、とぼうとしてるの？
vo_adv_1020012_026.m4a|ミミ、プチグリフォンさんに守られてばかりだよ……ごめんね、ミミがおねえさんなのに、ごめんね……
vo_adv_1020012_027.m4a|これ、おにいちゃんのふしぎな力……？そうだ、ミミ、ぜったいに守るって約束したんだ……
vo_adv_1020012_028.m4a|プチグリフォンさん！ミミ、おねえさんなのに何もできなくてごめんね……
vo_adv_1020012_029.m4a|でも、ミミあきらめないよ？　ミミもがんばるから、プチグリフォンさんもいっしょにがんばろう！
vo_adv_1020012_030.m4a|ぴょ、ぴょんぴょこぴょ～ん！
vo_adv_1020012_031.m4a|そのちょうしだよ、ぴょんぴょこぴょ～ん！
vo_adv_1020012_032.m4a|行こう、プチグリフォンさん！ぴょんぴょこぴょ～ん！
vo_adv_1020012_033.m4a|ありがとうおにいちゃん！　ミミ、いっくよ～！ぴょんぴょこぴょんぴょこ、ぴょんぴょこ──ぴょ～ん！
vo_adv_1020012_034.m4a|プチグリフォンさ、きゃあ！
vo_adv_1020012_035.m4a|プチグリフォンさん？　……あ……ああ！
vo_adv_1020012_036.m4a|とんでる……プチグリフォンさん、とんでるよ！プチグリフォンさんがとんだ、プチグリフォンさんがとんだよ～！
vo_adv_1020012_037.m4a|あ、おにいちゃんが手ふってるよ♪お～い、おに～ちゃ～ん♪
vo_adv_1020012_038.m4a|え、もっと高く？　うん、行こう！
vo_adv_1020012_039.m4a|わ～、すっごい高いとこきちゃったね。ミミ、ちょっとこわいな……
vo_adv_1020012_040.m4a|でも、ミミは大丈夫だよ？　おにいちゃんが見ていてくれるし、プチグリフォンさんがいっしょだもん♪
vo_adv_1020012_041.m4a|プチグリフォンさんと見るこのキレイな景色、ミミずっとわすれないよ♪
vo_adv_1020012_042.m4a|プチグリフォンさんがとべるようになったから、今度はミミの番だね。
vo_adv_1020012_043.m4a|ミミはプチグリフォンさんみたいにお空をとべないけど、負けないくらい、いろんなことがんばるよ♪
vo_adv_1020012_044.m4a|ミソギちゃんやキョウカちゃんみたいに得意なこと見つけて、すぐに泣いちゃうのもがまんするね。
vo_adv_1020012_045.m4a|そしていつか、みんなにたよってもらえるおねえさんになりたいな。
vo_adv_1020012_046.m4a|ミミには羽がないけどお耳はあるから、うさぎさんみたいにぴょんぴょんがんばるよ♪
vo_adv_1020012_047.m4a|ぴょんぴょん♪
vo_adv_1020012_048.m4a|あはは、ぴょんぴょこぴょ～ん♪
vo_adv_1210003_001.m4a|るんたった、るんたった～♪おにいちゃんから逃っげろ～♪
vo_adv_1211002_078.m4a|このまえね、おえかきちょうわすれちゃったんだ～おにいちゃん、どこにあるかわかる～？
vo_adv_1211002_088.m4a|わーい、ありがとー♪いっぱいおえかきしようね、ミソギちゃん、キョウカちゃん！
