vo_adv_1159001_002.m4a|ちょっと本気出して作ってみたんや～♪
vo_adv_1159002_097.m4a|ふふっ、安心してええよ。別に怒ってへんから♪
vo_adv_1159002_099.m4a|マコトはんが寝とる間に、王子はんと話しとったんよ。マコトはんは慣れない特訓で疲れてるから休ませてあげないとあかん、そういうときは膝枕してあげるんが紳士ってものや……って。
vo_adv_1159002_101.m4a|でも、疲れとるんは事実やろ？なら、ちゃんと休まなあかん。というわけで、うちがいい言うまで休憩続行や。
vo_adv_1159002_103.m4a|ほらほら、ちゃんと休まんと。王子はんもマコトはんを離しちゃだめやで～？
vo_adv_1159002_105.m4a|あ、うちお茶でも買ってきた方がええ？それとも、アイスとか～？
vo_adv_1159002_107.m4a|もう、マコトはんってば～さっきも言うたけど全然怒ってへんよ～？
vo_adv_1159002_108.m4a|……ただちょっと、うちだけのけ者にされて、意地悪したくなっただけや♪
vo_adv_1159003_001.m4a|マコトはん、言葉遣い。
vo_adv_1159003_005.m4a|お招きいただきおおきに。まずは主催者はんにご挨拶させていただきたいんですけど、どちらにいらっしゃるかご存知でしょうか～？
vo_adv_1159003_103.m4a|ふふっ、レディにひどいことをしようとする殿方にはおしおきや～♪
vo_adv_1160001_000.m4a|王子はん、【自警団（カォン）】のお城へ、ようこそおこしやす♪
vo_adv_1160001_001.m4a|ふふっ、うちもこのドレス気に入ってるんよ。ほめてほしいとこ、ほめてくれて、王子はんのそういうとこ、ほんま惚れてまうわぁ♪
vo_adv_1160001_002.m4a|実は今日、王子はんにお願いがあって呼んだんよ。
vo_adv_1160001_003.m4a|毎年春になると、獣人の移住区で『花まつり』がひらかれてな、お天道様の下で、みんなと一緒に歌ったり、踊ったりするんやけど……
vo_adv_1160001_004.m4a|お祭りに参加するには、一緒に踊ってくれる『パートナー』が必要なんや。
vo_adv_1160001_005.m4a|ああ。誰かうちと踊ってくれる、運命のお人はおらへんやろうか。ちらちら～？
vo_adv_1160001_006.m4a|もちろん。獣人たちのお祭りかもしれへんけど、普通の人間が参加しちゃいけないなんて規則はあらしまへんし……
vo_adv_1160001_007.m4a|それにマホマホ王国のマホ姫にとって、運命の相手といえば、王子はんや♪
vo_adv_1160001_008.m4a|そうと決まれば、お祭りまでに急いで準備せなあかんなぁ。王子はん、さっそく出かけまひょか。
vo_adv_1160001_009.m4a|……え？　どこへ行くのか？ふふ、それはな……
vo_adv_1160001_010.m4a|マホマホ王国に伝わる秘密のお庭や♪
vo_adv_1160001_011.m4a|きれいな場所やろ？今の時期になると、ぎょうさん花が咲いてな、おとぎ話みたいに、きれいなとこになるんよ。
vo_adv_1160001_012.m4a|みんなには内緒にしとったんやけど、王子はんには見せとうなって。だってここはマホマホ王国で、あんさんはマホ姫の王子はんやもん♪
vo_adv_1160001_013.m4a|さぁて。花まつりに向けた準備やけど……そういえば、王子はんにちゃんと説明してなかったなぁ。
vo_adv_1160001_014.m4a|これからうちは王子はんのために、王子はんはうちのために、花冠を作るんよ。
vo_adv_1160001_015.m4a|そんでお祭りの時、お互いの花冠を交換するんや。それは想いを交換して、誓い合う意味があるらしいんやけど……なんやロマンチックやろ？
vo_adv_1160001_016.m4a|パートナーのために作る花冠やもん。王子はん、うちに似合う花、選んでな♪
vo_adv_1160001_017.m4a|ふぅ、だいぶお花も集まったなぁ。王子はんの方も……うんうん、十分や。
vo_adv_1160001_018.m4a|そのお花が、王子はんから見たうちのイメージなんやね。ああ、はやく王子はんの作った花冠を見てみたいわ♪でも、お楽しみはまだまだ先やな。
vo_adv_1160001_019.m4a|王子はんのお花は、うちが預かります。数日間もつように、魔法をかけておくさかい。編むのは明日以降や。
vo_adv_1160001_020.m4a|そういうわけで、今日はおしまい。実はうち、アフタヌーンティーのセットを持ってきたんよ♪王子はん、お茶会の準備、手伝ってくれはります？
vo_adv_1160001_021.m4a|さぁて、準備もできたし、王子はん、さっそく──
vo_adv_1160001_023.m4a|今の悲鳴は……王子はん！　行きまひょ！
vo_adv_1160001_026.m4a|よう言いはりましたな、さすがはお姫はんを守るナイトや。
vo_adv_1160001_028.m4a|王子はん。お願いします。
vo_adv_1160001_029.m4a|おおきに！　ほな、いきますえ。みらくるまほりん、くるりんぱ～……☆
vo_adv_1160001_030.m4a|二人とも無事どすか？
vo_adv_1160001_032.m4a|ええんよ。それより二人とも怪我もしてるみたいやね。ちょっとこっちへおいでやす～
vo_adv_1160001_033.m4a|みらくるまほりん、くるりんぱ～……☆
vo_adv_1160001_036.m4a|ふふっ、うちはマホマホ王国のマホ姫。それでこちらがうちの──
vo_adv_1160001_037.m4a|そうや、王子はんや。……王子はん、ノリがよろしいなぁ♪
vo_adv_1160001_040.m4a|そうや、ここはみんなが幸せに暮らす世界や。それで、二人はどうして森におったん？
vo_adv_1160001_043.m4a|ふふっ、これから王子はんとお茶会をするん。二人をマホマホ王国のお客はんとして招待しまひょか♪
vo_adv_1160001_044.m4a|下段のプレートには、サンドイッチ。中段のプレートには、スコーン。上段には、焼き菓子や。野イチゴのジャムとクリームもあるんよ。紅茶と一緒に、召し上がれ♪
vo_adv_1160001_047.m4a|気に入ってくれておおきに♪今日は王子はんにおもてなししようと思って、がんばったんよ♪
vo_adv_1160001_048.m4a|……あ、王子はんのカップが空やな。おつぎしまひょ♪それで、お味はどうでっしゃろうか？
vo_adv_1160001_049.m4a|ふふっ、よかったわぁ♪まだまだたくさんあるんよ。うちの愛情、たっぷり食べてってな♪
vo_adv_1160001_053.m4a|誰かって誰に？
vo_adv_1160001_057.m4a|想いあっているのに、周囲から反対されて、最後は運命に引き裂かれてまう恋人たち……まるで『ロミオとジュリエット』のようやなぁ。
vo_adv_1160001_058.m4a|……そうや。実はそうなのかもしれへん。二人とも前世で悲しいお別れをした、ロミオとジュリエットの生まれ変わりなんや。
vo_adv_1160001_059.m4a|あかんあかん。こればっかは、果報を寝て待っとる場合やない！寝ている間に、またいけずな女神さまが二人を引き裂いてしまうやもしれへん！
vo_adv_1160001_060.m4a|せっかく二人が紡いだ赤い糸や。運命が味方してくれへんのなら、うちらだけでも味方になってあげまひょ！
vo_adv_1160001_061.m4a|王子はん。悲劇を打ち破るのは、いつだって真実の愛や。うちらの愛で、奇跡を起こすんよ！そうと決まれば、まずは消えかけた二人の希望に、灯を分けまひょか！
vo_adv_1160001_062.m4a|……そうやなぁ。たとえばうちらの仲のいいとこ見せて、二人に『仲よくしてもええんや』って思ってもらう、なんて──
vo_adv_1160001_063.m4a|お、王子はん……ふふ♪　大胆なお人やなぁ。……え？　顔が赤い？もう、どうしてか分かっとるくせに。いけずやわぁ♪
vo_adv_1160001_064.m4a|ええと、うちも……ふふっ、照れてしまいますなぁ♪
vo_adv_1160001_071.m4a|うまくいったみたいや。うちらの真実の愛が伝わったんやね♪
vo_adv_1160001_074.m4a|それなら、ここへくればよろしおす。
vo_adv_1160001_076.m4a|ここ、魔物が近寄らへんのよ。うちらにとってはええ香りでも、あちらさんは違うみたいやねぇ。せやから、自由に使ったらよろし。
vo_adv_1160001_078.m4a|二人は森からやってきた迷子の妖精はんや。マホマホ王国は、そんな二人をお客はんとして歓迎した。せやから、ええんよ。
vo_adv_1160001_083.m4a|気を付けてなぁ！……ふふ、お姫さまと王子さまやって♪
vo_adv_1160001_084.m4a|なぁ、王子はん。悲しいけど、獣人と普通の人間……仲よく手を取り合えるようになるには、まだ時間が必要なんやね。
vo_adv_1160001_085.m4a|せやけど、あの子たちみたいに、仲よぉなりたいと思ってる子たちもおる。うち、そんな子たちがもっと増えるように、できることしたいわ。
vo_adv_1160001_086.m4a|王子はん……おおきにな。それじゃ二人で力を合わせて、みんなが仲よぉ暮らせる、そんなマホマホ王国を作っていきまひょな♪
vo_adv_1160002_000.m4a|今日もいい天気やわぁ。ギルドハウスじゃなくて、マホマホ王国のお庭へ来て正解やったわ♪
vo_adv_1160002_001.m4a|今日はつんだお花を使って、いよいよ花冠作りや。編み方は、うちが教えますさかい、心配せんといてなぁ。
vo_adv_1160002_002.m4a|それじゃここに、前回つんだお花を並べて……王子はん、うちがお手本見せます。おんなじように、編んでみとくれやす。
vo_adv_1160002_003.m4a|まずは、お花を二本とって、交差させて持つ。それから片方の茎を、もう一方に巻きつけて……
vo_adv_1160002_004.m4a|確かに、向かい合ってると分かりにくいなぁ。それなら、うちが王子はんの横に並びまひょ。
vo_adv_1160002_005.m4a|……ふふ、王子はんが近うなって、ちょっぴりドキドキしますわぁ。
vo_adv_1160002_006.m4a|でも、まだ春になったばかりやし、こうやってくっついてた方が、暖かいかもしれへん……なんてな♪
vo_adv_1160002_007.m4a|王子はん、上手やなぁ♪もう目標の半分、できてますわぁ。
vo_adv_1160002_008.m4a|ふふっ、先生だなんて大げさやねぇ。それじゃ、今度は残りの半分を……
vo_adv_1160002_009.m4a|あらぁ？　……なぁ王子はん。こっちに歩いてくるの、この間の獣人の子じゃあらしまへん？
vo_adv_1160002_011.m4a|そないに落ち込んだ様子で、どないしたん？今日は、お友達がおらへんけど、なにかあったん？
vo_adv_1160002_013.m4a|えぇっ！？　それはまた、どないして？
vo_adv_1160002_018.m4a|ああ……やっぱり『ロミオとジュリエット』やな。密かに愛を育みあった二人を、運命の神は逃がさないということや……
vo_adv_1160002_019.m4a|このままやと、お互いを想い合っているのに、すれ違ったまま永遠のお別れ。天国で再会して、ようやっと結ばれる……
vo_adv_1160002_020.m4a|あかん。それはあかんよ。うちの目の黒いうちは、そんな悲しい結末、許しまへん！
vo_adv_1160002_023.m4a|彼女の気持ちを聞いてへんうちは、分かりまへんやろ。
vo_adv_1160002_024.m4a|それに、諦めきれへんかったから、うちらのとこへ来たのと違いますか？
vo_adv_1160002_026.m4a|王子はんの言う通りや。……安心しい。マホマホ王国の姫と王子が、あんさんを守ります。行きまひょ。彼女の家へ！
vo_adv_1160002_029.m4a|諦めたらあかん。こうなったらうちが……
vo_adv_1160002_030.m4a|おとうはん、どうしてなん？この子はただ、お友達に会いに来ただけや。それとも、何か事情があるん？
vo_adv_1160002_032.m4a|そ、そないに怒らなくても……
vo_adv_1160002_033.m4a|い、いややわぁ……どなる人、苦手なんよぉ。どないしようか。うち、なんも言えなくなってもうた……
vo_adv_1160002_035.m4a|王子はん……
vo_adv_1160002_036.m4a|王子はんが、うちを守ってくれてはる。そうやな。うちだけじゃなくて、王子はんも一緒に戦ってくれてるんや。
vo_adv_1160002_037.m4a|一人でできないことも、二人でならできる。……王子はん、うち、もういっぺんがんばってみるわ。
vo_adv_1160002_038.m4a|あんさんが、どないして獣人を嫌うのか、うちには分かりまへん。
vo_adv_1160002_039.m4a|もしかしたら昔、嫌なことがあったのかもしれへんし、だとしたら、うちらが歓迎されないのも分かります。
vo_adv_1160002_041.m4a|でもこの子は獣人である前に、娘さんが選んだ友達なんや。
vo_adv_1160002_042.m4a|この子が信じられへんなら、娘さんを信じるつもりで、話を聞いてあげてください。いっぺんでええから、お願いします。
vo_adv_1160002_044.m4a|な、なんでなん！？
vo_adv_1160002_046.m4a|なに言うてはりますの。おおいに関係ありますわ。この子たちは、マホマホ王国の妖精はんや。うちらは姫と王子として、守る責務があります！
vo_adv_1160002_048.m4a|マホマホ王国はマホマホ王国。妖精はんは妖精はんや。
vo_adv_1160002_050.m4a|おとうはん、ええか。あんさんは今、未来のマホマホ王国を背負うかもしれへん、そんな二人を引き裂こうとしとるんよ。
vo_adv_1160002_051.m4a|それにもし二人がすれ違ったまま別れたら、娘さんは悲しみのあまり毎日泣いて、泡のように溶けて消えてまうかもしれへん。
vo_adv_1160002_052.m4a|そんでもってこっちの子も、そんな彼女の最期にショックを受けて、愛する心を捨てて、石になってまうかもしれへん！
vo_adv_1160002_053.m4a|そないなことになったら、あんさんも後悔して、そのまま土へ還ってまうかもしれへん！！
vo_adv_1160002_054.m4a|うち、そんな悲劇からみんなを救いたいんや！！！
vo_adv_1160002_057.m4a|そういうことや。おとうはん、マホマホ王国を守りたいうちらの想い……分かってくれはりましたか！？
vo_adv_1160002_059.m4a|それじゃ……！
vo_adv_1160002_061.m4a|なんでなん？ああいうのは、会わせてくれはるのがお約束やないの？
vo_adv_1160002_063.m4a|そんな悲しいこと言わんといて……それもこれも、うちの力が足りなかったばかりに……
vo_adv_1160002_065.m4a|諦めてまうの！？
vo_adv_1160002_075.m4a|ふふっ、よかったなぁ。王子はん。お邪魔せんよう、うちらはあっちへ行ってまひょか。
vo_adv_1160002_076.m4a|あの二人、うまくいってよかったわぁ。やっぱりうち、ハッピーエンドが好きや。せやから、がんばってよかった。
vo_adv_1160002_077.m4a|王子はん……ふふっ、うちを甘やかしてくれはりますの？それじゃ、ちょっとお言葉に甘えて、もっと頭、撫でてぇな♪
vo_adv_1160002_078.m4a|……あんな、今日はおおきに。うちを守ってくれはって、味方になってくれはって、うれしかったわぁ。
vo_adv_1160002_079.m4a|やっぱり王子はんは、うちの運命のお人や♪
vo_adv_1160003_000.m4a|これはシロツメクサ。あっちはスミレで、スイセンもあるなぁ。カタバミも咲いとるみたいや。
vo_adv_1160003_001.m4a|ふふっ、おおきに。うち、ぬいぐるみも好きやけど、お花も好きなんよ。
vo_adv_1160003_002.m4a|実家にいたころは、いろんなお稽古事をしとったから、花を活けることも、それで覚えてな。
vo_adv_1160003_003.m4a|時々、ギルドハウスに飾るお花を探しにこの先の森へ出かけとったんや。その時に偶然、この場所も見つけたんよ。
vo_adv_1160003_004.m4a|せやからうち、このあたりに咲くお花や薬草まで知らんことはなーんもあらしまへん♪
vo_adv_1160003_005.m4a|……と。王子はんのために作った花冠、完成や！王子はんの方はどう？
vo_adv_1160003_006.m4a|あとは花まつりを待つだけやなぁ。ああ、王子はんと花冠を交換したら、そのあとは二人で愛のダンス……楽しみやわぁ♪
vo_adv_1160003_007.m4a|そういえば、あの子たちはどうしてるんやろか。一緒に花まつりに出るって約束してはったから、いまごろ、一緒に花冠を作ってるかもなぁ。
vo_adv_1160003_008.m4a|お花も余ってることだし、様子を見に行きまひょか。
vo_adv_1160003_009.m4a|あらぁ？　あそこにおるんは……
vo_adv_1160003_011.m4a|お見舞いって……もしかしてあの子、まだ風邪、治ってへんの？
vo_adv_1160003_013.m4a|そないに重い病気なんか？……それは、心配どすな。
vo_adv_1160003_018.m4a|伝説の青い花なぁ……それならうち、心当たりがあるかも。
vo_adv_1160003_020.m4a|ほんまや。マホマホ王国で知らないことはあらしまへん。せやけど、とるのはけっこう大変なんよ。子どもやとなおさら危険やし……
vo_adv_1160003_022.m4a|……あんさん。分かりました。なぁ王子はん。うち、この子の力になってあげたいんやけど……
vo_adv_1160003_023.m4a|……っ！　おおきになぁ！それじゃみんなで一緒に探しまひょか！
vo_adv_1160003_026.m4a|マホマホ王国の言い伝えでは、伝説の青い花はちゃんとこの森にあります。
vo_adv_1160003_028.m4a|ふふっ、焦ったらあかしまへんよ。そうやなぁ、気がまぎれるように、そのお花についてお話でもしまひょか。
vo_adv_1160003_029.m4a|昔あるところに、それは仲のいい少年と少女がおってな、一緒に森へ出かけたんよ。
vo_adv_1160003_030.m4a|その時、それはそれはきれいな青いお花が崖に咲いてるのを見つけたんや。
vo_adv_1160003_031.m4a|少女は青いお花が大好きでな、少年は少女のために崖を登ったんよ。
vo_adv_1160003_032.m4a|でも、そこで足を滑らせてもうて、少年はそのまま川に流されてもうた。
vo_adv_1160003_033.m4a|少女の足元には、少年がつみとった青いお花だけが残されておった。
vo_adv_1160003_034.m4a|少女は生涯、大好きな少年のことを忘れず、その青いお花は『忘れな草』と名付けられたんや。
vo_adv_1160003_035.m4a|それで、うちらが探しているお花こそ……あ、あそこに咲いてますわ。みんなこっちや！
vo_adv_1160003_036.m4a|ほら、あそこ。あの崖に咲いてる、あのお花や。
vo_adv_1160003_038.m4a|悲しい悲しい、童話や。
vo_adv_1160003_040.m4a|でも。気ぃつけないと、悲しませたらアカン人まで泣かせてまう……そういう教訓かもしれへんよ。
vo_adv_1160003_041.m4a|子どもにこの崖を登らせるのは、ちょっと危ないなぁ。王子はん、うちらであのお花をとりまひょか。
vo_adv_1160003_043.m4a|せやけど……
vo_adv_1160003_045.m4a|うーん。王子はん、どないしまひょか。
vo_adv_1160003_046.m4a|……そうやね。分かりました。うちらがあんさんを守ります。だからあんさんは安心して、青いお花をとってきてくれやす。
vo_adv_1160003_049.m4a|ああっ！　そこは右の足場を使おて……！……ああ、ドキドキしますわぁ。
vo_adv_1160003_051.m4a|ようやりましたなぁ！
vo_adv_1160003_054.m4a|危ないっ！足場が崩れてもうた……片手だけじゃ耐え切れへん！もう片方の手で、岩をつかみなはれ……！
vo_adv_1160003_057.m4a|王子はん！　頼みますわ！
vo_adv_1160003_058.m4a|みらくるまほりん、くるりんぱ～……☆
vo_adv_1160003_060.m4a|落下の衝撃はうちの魔法で和らげて、それで王子はんが受け止めてくれたんや。
vo_adv_1160003_062.m4a|この子だけじゃなくて、お花もちゃんと救い出すなんて、さすがはうちの王子はん♪肝を冷やしましたけど、みんな無事でよかったわぁ。
vo_adv_1160003_065.m4a|人がぎょうさんおるなぁ。……ん？　あのおっかない表情の人は……
vo_adv_1160003_068.m4a|ふふ♪　どうでっしゃろか。確かに薬にはなるけど、万能ではないし。もしかしたら、青いお花が起こした奇跡なのかもしれへんよ♪
vo_adv_1160003_069.m4a|それに、うちらはちょっとお手伝いをしただけで、がんばったのはあの子や。
vo_adv_1160003_070.m4a|あんさんもそれが分かっとるから、娘さんをここへ連れてきて、二人を会わせてくれたんやろ？
vo_adv_1160003_076.m4a|……行ってもうた。ふふっ、あの人もほんまはノリがええ人なんやなぁ♪
vo_adv_1160003_081.m4a|二人とも……もちろんや！マホマホ王国へようこそ♪
vo_adv_1160003_082.m4a|それじゃ今日は、マホマホ王国のお祝い……舞踏会や。みんな、思いっきり楽しんでってなぁ。
vo_adv_1160003_084.m4a|二人は愛の力で困難を乗り越えて、結ばれたのでした。めでたしめでたし……でもあの子たちの物語は、これからも続いていく。
vo_adv_1160003_085.m4a|それに、マホマホ王国も……
vo_adv_1160003_086.m4a|うちだけの夢が、みんなの夢に変わったんや。そんな風になれるなんて、うち、考えたこともなかったから、ほんまにうれしい……
vo_adv_1160003_087.m4a|マホ姫と王子はんの物語も、まだまだ終わりまへんね。どんどん盛り上げて、みんなでハッピーエンドにしまひょ。でも、めでたしめでたしの前に……
vo_adv_1160003_088.m4a|王子はん。うちと花冠、交換してくれはる？それで一緒に……
vo_adv_1160003_089.m4a|ふふっ、王子はんの手、暖かいなぁ。それに、胸もドキドキしてる。
vo_adv_1160003_090.m4a|さぁ王子はん、踊りまひょか♪
vo_adv_1160003_091.m4a|昔あるところに、王国で独りぼっちのプリンセスがおったんや。でもそんな彼女のもとに、運命の人が迎えに来てくれた。
vo_adv_1160003_092.m4a|その運命の人は、マホマホ王国の王子になってくれて、それからプリンセスは、独りぼっちじゃなくなった。
vo_adv_1160003_093.m4a|王子はん、うちの手を取ってくれて……王子はんが、うちの王子はんになってくれて……おおきに。そしてこれからも──
vo_adv_1160004_000.m4a|ふふっ、ほんま夢みたいな時間やったなぁ。
vo_adv_1160004_001.m4a|王子はんに作ってもらった花冠、うちの宝物にするわ。ガラスの靴のように、消えない魔法をかけるんや♪
vo_adv_1160004_002.m4a|あら？　なんやろ。まだ魔法をかけとらんのに、花冠がキラキラ輝いてるような……
vo_adv_1160004_035.m4a|……あれぇ？　うち、眠ってしもうたん？それに、王子はんも……ふふっ、どうりでええ夢やったわけやね。
vo_adv_1160004_036.m4a|うち、また王子はんの夢を見たんよ。ああ。あんなステキな式場で、運命の人と一緒に愛を誓い合いたいわぁ。
vo_adv_1160004_037.m4a|うち、また一つ、夢ができましたわ♪
vo_adv_1160004_038.m4a|花まつりは終わってまうけど、マホマホ王国のマホ姫と王子はんの物語は続きます。
vo_adv_1160004_039.m4a|そういうわけで王子はん。最後に、もう一度……うちと踊ってくれはりますか？
vo_adv_1231001_000.m4a|王子はん、お茶が入りましたえ。どうぞおあがりやす。
vo_adv_1231001_001.m4a|でも、王子はんが遊びに来てくれて助かったわぁ。ちょうど王子はんに意見聞いてみたかったとこやってん。
vo_adv_1231001_002.m4a|こないだ、街でお洒落な格好したぬいぐるみを見かけてな？ほんまにかいらしかったんよ～♪
vo_adv_1231001_003.m4a|そんでな、うちもランスロットたちに衣装作ったろ～思うて。こんな感じで作ってみたんどす。
vo_adv_1231001_004.m4a|ああ、それはマコトはんの意見取り入れてみたやつなんよ。普段よりフリフリ多めで、かいらしいやろ♪
vo_adv_1231001_005.m4a|カスミはんからアイデアもらったやつやね。コートと帽子に手持ちルーペの３点セットが必須ゆうて楽しそうに教えてもろうたんよ。
vo_adv_1231001_006.m4a|カオリはんの好きなものを取り入れてみたんよ。おかげでカオリはんらしい雰囲気出とりますやろ♪
vo_adv_1231001_007.m4a|どれも似合てるんは似合てるんやけど……なんでやろ。ランスロットたちが求めてるんは、こういう服やない気がするんどす。
vo_adv_1231001_008.m4a|そんで、ここしばらくずーっと部屋に籠もって、色々作ってみたんやけど、どうにもしっくりこぉへんでなぁ。
vo_adv_1231001_009.m4a|そのうち針も進まへんようなってきてもうて、だんだん頭もぐるぐる～ってしてきてなぁ。どんな服がええか、分からんようになってしもうて。
vo_adv_1231001_010.m4a|王子はんに意見聞いたら、なんかうまいこと解決せぇへんかなって、ちょっと思ったりしたんやけど……
vo_adv_1231001_011.m4a|確かに、外の空気でも吸うた方がええアイデアも浮かぶかもしれへんなぁ。ここんとこ部屋に籠もりっきりやったし……
vo_adv_1231001_012.m4a|そうやね。ほな、王子はんにデートに連れてってもらいまひょ♪すぐに準備しますさかい、ちょっと待ってておくれやす。
vo_adv_1231001_013.m4a|王子はん王子はん、ここのぬいぐるみ屋さんどす。はぁ～、なんてかいらしんやろ♪
vo_adv_1231001_014.m4a|マホマホ王国に新しい住人をお迎えするんもええかもしれへんなぁ。ほら、この子なんか王子はんによう似てはる。
vo_adv_1231001_016.m4a|ひゃっ？　すんまへん、うち夢中になってもうてたみたいで……あら、なんか落としましたえ？
vo_adv_1231001_018.m4a|作品の資料……どすか？
vo_adv_1231001_021.m4a|そない気にせんといておくれやす。うちらも買い物に来たわけやありまへん。小説を書いてる先生と同じ理由どすえ。
vo_adv_1231001_023.m4a|いえ、うちはお話を書いてるわけやありまへんけど……新しいアイデアを探してるとこなんどす。
vo_adv_1231001_028.m4a|そうなんどす。うち、こないなこと初めてやさかい、どないしたらええか、分からへんようになってしもて。
vo_adv_1231001_030.m4a|スランプ……？これがそうなんどすか？
vo_adv_1231001_033.m4a|つまり、解決法は……
vo_adv_1231001_035.m4a|はぁ……なるほど。これがいわゆる「スランプ」やったんやねぇ。王子はん、うちスランプなんやって。
vo_adv_1231001_037.m4a|そうどす。王子はんはマホマホ王国の王子はんで、うちはマホマホ王国のお姫はんどす♪
vo_adv_1231001_040.m4a|あの、どうかしはりました？
vo_adv_1231001_043.m4a|…………？はい、さいなら……？
vo_adv_1231001_044.m4a|王子はん。スランプがつらい言われる理由が、うちも段々分かってきました。そない簡単に抜けられへんもんやね……って、あら？
vo_adv_1231001_045.m4a|王子はん、あの人……こないだ会うた小説家の先生ちゃいます？
vo_adv_1231001_047.m4a|うれしいこと言うてくれはりますなぁ。それで、うちらに何かご用どすか？
vo_adv_1231001_049.m4a|取材旅行……？
vo_adv_1231001_052.m4a|うちにとっては渡りに船のお話やけど……どないしまひょ、王子はん？
vo_adv_1231001_053.m4a|うちも、ギルドのお仕事を調整すれば大丈夫そうや。そんなに忙しない時期で助かったわぁ。
vo_adv_1231001_057.m4a|ランドソルからずいぶん遠くまで来ましたなぁ。動きやすい服装で、って言わはった理由が分かりました。
vo_adv_1231001_058.m4a|虫さんや鳥さんが歌ってはって、賑やかやねぇ。でも、こないなとこに人が住んではるんやろか。
vo_adv_1231001_060.m4a|え？　ほな、何を取材しに来はったんどす？
vo_adv_1231001_063.m4a|伝説の魔獣……どすか？
vo_adv_1231001_069.m4a|森の王様……素敵な響きやわぁ♪
vo_adv_1231001_070.m4a|もう先生も人が悪いわぁ、前もって言うてくれはったらちゃんとした手土産の一つも用意しましたのに。うち、お手製のお茶菓子くらいしかありまへんよ？
vo_adv_1231001_072.m4a|王子はん、よその国にお邪魔するなら、うちらも失礼のないようにせなあきまへんえ。
