vo_adv_1027009_000.m4a|…………
vo_adv_1027010_003.m4a|……といっても、ここは私が森で採集した植物を貯蔵したり、簡易研究したりするための隠れ家の一つに過ぎません。居心地がよいとは言えませんが……
vo_adv_1027010_004.m4a|{player}様。本当に、よいのですか？魔物を人けのない森へ誘い出すために、あなた様の身を囮に使うなど……
vo_adv_1027010_005.m4a|危険……？ああ、それもそうですわね。次に奴と会ったら、怒りでなにもかも壊してしまいそうです。
vo_adv_1027010_006.m4a|その優しさを無駄にしないためにも……私が必ずや、魔物の毒牙からお守りいたします。
vo_adv_1027010_007.m4a|あなた様に決して近づけぬよう、道中、すでに手は打っておりますので……クスクスクス♪
vo_adv_1027010_008.m4a|そう……徹底的に。この森に近づくことができないほど徹底的に……！！
vo_adv_1027010_017.m4a|……？　今、いかにも小悪党どもが上げそうな薄汚い悲鳴が聞こえたような……気のせいでしょうか。気のせいですね。
vo_adv_1027010_018.m4a|ところで{player}様。この森は不思議と盗賊も密猟者もいなくて、とても平和ですわね。
vo_adv_1027010_019.m4a|先日の牢屋での暮らしとは違いますが、これはこれで、二人の世界……とも言えます。
vo_adv_1027010_020.m4a|クスクスクス……♪魔物の討伐はもちろん最善を尽くしますが、それまでは……二人きりの時間を堪能いたしましょう……♪
vo_adv_1027010_021.m4a|さて……しばらく食料は現地調達です。木の実や果物、山菜を採集いたしましょう。
vo_adv_1027010_022.m4a|あら？　あなた様、その山菜ばかり採っていらっしゃいますね。よほどお好きなのですね……クスクス♪
vo_adv_1027010_023.m4a|それならば今日はその山菜だけを食べましょう！山菜鍋にしますので、好きなものを思う存分、召し上がってください。
vo_adv_1027010_024.m4a|鍋のお味はいかがでしょう。おいしいですか？おいしくないわけがありませんわよね？　クスクス……♪
vo_adv_1027010_025.m4a|まさかこんなところで、あなた様の好物を一つ知ることができるとは。
vo_adv_1027010_026.m4a|伴侶として、うれしい限りですわ。このエリコ、明日からは何も言われずとも、その山菜を採ってまいります！
vo_adv_1027010_027.m4a|いえ、無理などしていません！あなた様の伴侶として当然のことですわ！採集のしすぎであなた様のその手が傷だらけになるのも嫌ですし……
vo_adv_1027010_028.m4a|……あら？　{player}様、袖口がほつれていますわ。よく見せてください。
vo_adv_1027010_029.m4a|ああ、やはり……むやみに茂みへ手を入れるからですわよ。
vo_adv_1027010_030.m4a|仕方ありませんわね……繕って差し上げます。どうぞこちらへ……
vo_adv_1027010_031.m4a|少しだけじっとしていてください。裁縫は得意分野ですので、この程度ならすぐ終わります。
vo_adv_1027010_032.m4a|ふふ……よく見たら両手ともほつれていますね。利き手だけではなく両手をこんなに使って採集なんて……何事にも一生懸命なあなた様らしいです。
vo_adv_1027010_033.m4a|一日の採集でこんなになってしまうというのも、共に暮らしたからこその発見ですわね……クスクスクス……♪
vo_adv_1027010_034.m4a|あなた様のことは調べ尽くした気でいましたが、まだまだ知らないことがたくさんありますわ……
vo_adv_1027010_035.m4a|……はい、おしまいです。またほつれさせたら、おしおきですよ？
vo_adv_1027010_036.m4a|い、いえ……すごくなど、ありませんわ。あなた様の服を繕うからには、新品同様……いえ、購入時よりもさらに美しくするのは当然のことです。
vo_adv_1027010_037.m4a|ですが……そう、ですわね……あなた様に褒めていただけるのは……その……天にも昇るほどの光栄……ですわ……
vo_adv_1027010_038.m4a|こ、この言葉に報いるためにも……明日からさらなる修業をしなければ……！
vo_adv_1027010_039.m4a|服、持ち物、肉体に至るまで……！！縫合という縫合を極めることにいたしましょう……！！クスクスクス……♪
vo_adv_1027010_040.m4a|えっ……？　どこでしょう？　後ろのほうですか？
vo_adv_1027010_041.m4a|あぁ、本当ですね……着ながらでは縫えなそうなので、これは帰ってから繕います。
vo_adv_1027010_042.m4a|私の服などどうでもよいのです。そんなことより、あなた様はもうお休みください。私は明日の朝食の準備をしますので。
vo_adv_1027010_043.m4a|えっ！？　あなた様！？そんな、近づいて何を……！？
vo_adv_1027010_044.m4a|ま、まさか添い寝……！？いえ……脱ぐということは、まさかそれ以上……！？
vo_adv_1027010_045.m4a|あぁ、そんな、いけません……！運命で結ばれているとはいっても、私は結婚前……！そんな大胆なことは、まだ……！
vo_adv_1027010_046.m4a|……で。でっ、ですが……もしも……もしも……
vo_adv_1027010_047.m4a|もしも……あなた様が、望むならっ……！！
vo_adv_1027010_048.m4a|……え？
vo_adv_1027010_049.m4a|そこは、ほつれていたところ……ですか？針を持っているということは……
vo_adv_1027010_050.m4a|あ……
vo_adv_1027010_051.m4a|う、あ……そ、そうですわよね……！
vo_adv_1027010_052.m4a|わ、私としたことが、なんて恥ずかしい勘違いを……！！
vo_adv_1027010_053.m4a|というか私は今、何を言おうとして……？
vo_adv_1027010_054.m4a|～～っ……で、では恐れながら、お願いいたします、わ……
vo_adv_1027010_055.m4a|縫い終わったのですか……？ありがとうございます。随分時間がかかりましたわね……
vo_adv_1027010_056.m4a|でも……クスクスクス……♪{player}様が繕った縫い目……！なんという不格好な出来なのでしょう。ですが……
vo_adv_1027010_057.m4a|この裁縫レベルもまた、新たな発見ですわ……！
vo_adv_1027010_058.m4a|今日だけで、あなた様の新たな一面を、たくさん知ることができるなんて……
vo_adv_1027010_059.m4a|不謹慎ではありますが、少し魔物に……感謝してしまいそうです……♪
vo_adv_1027011_000.m4a|{player}様。今日は木の実を採りましょうか。しばらくパンを食べていませんので、木の実入りのものを作ろうかと。
vo_adv_1027011_001.m4a|私はこちらの木を。あなた様は隣の木をお願いします。
vo_adv_1027011_002.m4a|はい。よろしくお願いします。
vo_adv_1027011_003.m4a|…………
vo_adv_1027011_004.m4a|あぁ……夢にまで見た二人きりの世界……毎日が発見と幸福の連続です……
vo_adv_1027011_005.m4a|こんなに満たされた日々は、生まれて初めてですわ……！
vo_adv_1027011_006.m4a|ここで私とあのおかた、二人でずっと暮らしていくのも悪くありませんわね……
vo_adv_1027011_007.m4a|そう……運命で結ばれた者同士。春夏秋冬、四六時中、未来永劫……二人っきりで……！！
vo_adv_1027011_008.m4a|……あら？未来永劫……二人っきり？この言葉……どこかで……
vo_adv_1027011_009.m4a|あっ──
vo_adv_1027011_012.m4a|…………
vo_adv_1027011_013.m4a|私……あの魔物と同じ言葉を口に……
vo_adv_1027011_014.m4a|あのおかたを独占できる、二人きりの世界……それを望んでしまったら……
vo_adv_1027011_015.m4a|同じ……ではないですか。あの魔物と──
vo_adv_1027011_017.m4a|あぁ……幻覚毒の罠に掛かった、賊かなにかの悲鳴でしょう。大したことではないのでお気になさらず。
vo_adv_1027011_018.m4a|もともとは魔物のために仕掛けた罠だったのですが……奴が現れないせいで、すっかり賊を捕まえるための罠になってしまいました。
vo_adv_1027011_019.m4a|いつまでたっても魔物が現れなければ、この森の治安はランドソルよりよくなるかもしれませんね……
vo_adv_1027011_020.m4a|……あら？　今度はなんでしょう……この光は……？
vo_adv_1027011_021.m4a|こんな罠は仕掛けていないのですが……いったい……！？
vo_adv_1027011_125.m4a|んっ……私としたことが、こんなところでうたた寝を……？
vo_adv_1027011_126.m4a|{player}様も、ご無事ですね？申し訳ありません……！　あなた様を守ると言いながら、どこか気が抜けていたかもしれませんわね……
vo_adv_1027011_127.m4a|これからは、あなた様と二人きりの日々に浮かれぬよう、気を引き締めて、魔物討伐にあたります。
vo_adv_1027011_128.m4a|あなた様には傷一つつけさせません。必ずお守りいたしますから……
vo_adv_1027011_129.m4a|『優しい』……なぜでしょう。そう言っていただけると、とてもうれしいです。それに……
vo_adv_1027011_130.m4a|……ふふっ、不思議です。先程まで、あれほどあなた様を独占したいと思っていたのに。
vo_adv_1027011_131.m4a|そんなちっぽけな欲望よりも今、こうしてあなた様に褒めてもらえたことのほうが私の心を満たしてくれる……そう感じるのです。
vo_adv_1027011_132.m4a|クスクスクス……♪ありがとうございます、{player}様……
vo_adv_1027012_000.m4a|おはようございます、あなた様。まだ起きなくてもよろしいですよ……
vo_adv_1027012_001.m4a|私は朝食用の魚を獲ってまいります。では……もう少しお眠りになっていてくださいね……♪
vo_adv_1027012_002.m4a|…………{player}様。
vo_adv_1027012_003.m4a|{player}様。起きてください……{player}様。
vo_adv_1027012_004.m4a|はい……お手数ですが、こちらまで来ていただけませんか……？
vo_adv_1027012_005.m4a|洞窟の外で待っておりますので……
vo_adv_1027012_006.m4a|あぁ……{player}様……来てくださったのですね……
vo_adv_1027012_007.m4a|しばらくぶりです……私です……『あなた様のエリコ』ですわ……♪
vo_adv_1027012_011.m4a|黙りなさい。ケダモノ。
vo_adv_1027012_015.m4a|思い上がりもいいところですわね。自分が造ったものである以上、多少の情けはかけようとも思っていたのですが……
vo_adv_1027012_016.m4a|そのおかたの伴侶になり替わろうなど笑止千万……問答無用で壊れなさいっ！
vo_adv_1027012_019.m4a|くっ……！　愛まで語るとは！それはともかく、力は互角のようですわね……ですが……！
vo_adv_1027012_020.m4a|私は『壊し屋』……あらゆる戦いをくぐり抜けてきた知識があります。ほんの少し前に生まれたばかりのあなたとは、場数が違うのです。
vo_adv_1027012_022.m4a|隙だらけですわよ？
vo_adv_1027012_024.m4a|小賢しい？　先程も申し上げましたが、これは私の経験値です。生まれたばかりのあなたとは、格が違うのですわ。戦闘の知識も、このおかたへの愛情も……！
vo_adv_1027012_028.m4a|なっ……！？そんなに無茶な連撃を繰り出したら、このおかたにも、危害が……！
vo_adv_1027012_030.m4a|危ない……{player}様っ！
vo_adv_1027012_032.m4a|ぐううぅっ！？
vo_adv_1027012_033.m4a|うう、ぅ……{player}、様……
vo_adv_1027012_041.m4a|…………っ。
vo_adv_1027012_042.m4a|ありがとうございます……あなた様……たしかに奴は、私をそっくりコピーしていますわね……体も……心も。
vo_adv_1027012_044.m4a|エリコそのもの…………そうですわね。たしかにあなたはまぎれもなく私……エリコですわ。
vo_adv_1027012_045.m4a|その独占欲も、このおかたへの愛の大きさも、あなたは私と同じです。悔しいですが、それは認めましょう。
vo_adv_1027012_046.m4a|ですが……それだけでは、伴侶として不足です。
vo_adv_1027012_049.m4a|はぁ……見ていられませんわね。そこが不足だと言っているのですが。
vo_adv_1027012_052.m4a|あなた様……ありがとうございます。ふふっ。やはりそう言っていただけると、うれしいです……
vo_adv_1027012_053.m4a|お聞きなさい、『エリコ』。このおかたと二人きりの時間を過ごしている間、私にもあなたと同じような、身勝手極まりない独占欲が湧きました。
vo_adv_1027012_054.m4a|ずっとこのまま、このおかたを独占して暮らしたい。未来永劫、二人きりで過ごしたい……と。
vo_adv_1027012_055.m4a|ですがそれよりも、うれしいことがありました。このおかたが私の本質を見つけ、認め、褒めてくださったことです。
vo_adv_1027012_056.m4a|『優しい』と声をかけてくださった……その一言で、私の心は喜びで満たされました。
vo_adv_1027012_057.m4a|運命の名のもと、このおかたを身勝手に独占したいなどという薄汚い欲望など……喜びとも思えないほどに！
vo_adv_1027012_059.m4a|ぐっ……！？
vo_adv_1027012_060.m4a|！　この力……あなた様の、優しさを感じます……ふふ、この優しさが……私を満たしてくれるのですわ……
vo_adv_1027012_061.m4a|私は負けません……あなた様との未来のために……！
vo_adv_1027012_066.m4a|あら。私の姿をとるのをやめたということは……敗北を認めたようですわね。
vo_adv_1027012_067.m4a|安心してお眠りなさい。あなたの欲望は、間違いなく私の中にあるもの。私の中で、生き続けますから──
vo_adv_1027012_071.m4a|ふう……ようやく消えましたか。
vo_adv_1027012_072.m4a|このおかたを傷つけるなら……たとえ自分の一部であろうと、絶対に許しませんわ。
vo_adv_1027012_073.m4a|{player}様。長らく不便をおかけいたしました。ようやくあなた様を、ランドソルにお返しする日がきたようです。
vo_adv_1027012_074.m4a|少し惜しいのが本心です……ですがそれよりも、あなた様を無事にお守りできたことがなにより一番うれしいですわ……クスクスクス……♪
vo_adv_1027012_075.m4a|さあ、たくさんお食べください。まだまだ作ってありますので。
vo_adv_1027012_076.m4a|惚れ薬……？　ご安心ください、今日は何も入っておりませんわ。これは先日の魔物逃亡事件でご迷惑をおかけしたお詫びですから。それに……
vo_adv_1027012_077.m4a|今回あの魔物と対峙したことで、自分の中にある欲望の浅はかさに気づいたのです。
vo_adv_1027012_078.m4a|思えば惚れ薬など、あなた様を無理矢理我が物にしたいという欲望の押し付け……そのような薬はよろしくありません。もちろん、あのような魔物を作り出す薬も。
vo_adv_1027012_079.m4a|それよりも素晴らしいものがあると、あなた様に教えていただきましたから……♪
vo_adv_1027012_080.m4a|これは、私の嘘偽りのない真心です。召し上がっていただけますか……？
vo_adv_1027012_081.m4a|ほら……惚れ薬など入っていないでしょう？もしお嫌いなものがあれば私が食べますので、どうぞ思うさま偏食なさってくださいね……クスクスクス……♪
vo_adv_1027012_082.m4a|クスクスクスクスクスクス……♪
vo_adv_1027012_083.m4a|ふふふ……こんなにフラフラになるまで食べてくださるなんて……うれしいですわ、{player}様……
vo_adv_1027012_084.m4a|大丈夫です。ご自宅までは私が責任を持ってお送りしますので。さあ……ゆっくり歩きましょうね……
vo_adv_1027012_085.m4a|当然ですわ。私はあなた様の幸せのために生きておりますから……♪
vo_adv_1027012_087.m4a|え……？べ、ベストカップルだなんて当然なこと、言わないでください……控えめに申し上げて私たちは運命の相手同士なのですから……
vo_adv_1027012_090.m4a|まあ……！　ありがとうございます。おじさま、おばさまの祝意に応えられるよう、誠意このおかたに尽くしてまいります。
vo_adv_1027012_092.m4a|花嫁？　まだ結婚するような年齢では……ですが将来確実に訪れる一大イベント。ブーケを持つ手も思わず緊張で震えてしまいますね……
vo_adv_1027012_096.m4a|クスクスクス……♪クスクスクス……♪
vo_adv_1027012_097.m4a|おかしい？　おかしいことなど何もありませんわ……
vo_adv_1027012_098.m4a|先程の料理に……開発中の新薬を入れただけです。
vo_adv_1027012_099.m4a|そんな顔をなさらないでください。惚れ薬は入れていませんから嘘はついていません。これは一種の『フェロモン薬』です。
vo_adv_1027012_100.m4a|今私たちは、周囲から最高の恋人同士と認識される特別なフェロモンが出ているのです……クスクスクス……♪
vo_adv_1027012_101.m4a|それは……先程、魔物との戦いで自分の欲望を押し付けることの浅はかさを知った……と、お話ししましたね？
vo_adv_1027012_102.m4a|それに併せてもう一つ知ったことがあるのです。それはあなた様と二人で暮らして知ったもの。邪魔者のいない生活というのは本当に素晴らしいものだということです。
vo_adv_1027012_103.m4a|ですが先日の魔物のように、私たちの恋路を邪魔する輩は、まだたくさん存在します。それらが邪魔者なのも、紛れもない事実……
vo_adv_1027012_104.m4a|だからといってあなた様を独占しようとするのも、よろしくありません。
vo_adv_1027012_105.m4a|ですから私は考えました。世界を変えてしまえばよいのだと。
vo_adv_1027012_106.m4a|世界に生きとし生ける者全てに認められた公認の仲となれば、私たちを邪魔する者はいなくなるでしょう？
vo_adv_1027012_107.m4a|これならばあなた様に身勝手な欲望を押し付けたことにもなりません。我ながら名案です。
vo_adv_1027012_108.m4a|この薬さえ完成すれば……！私たちは、この世界で自由に愛し合い、邪魔されることなく運命を全うすることができるのですわ！
vo_adv_1027012_109.m4a|……まあ、残念ながら今回の薬の効き目はすぐに切れますが。薬の改良は進めてまいります。
vo_adv_1027012_110.m4a|待っていてください。私は世界を変えてみせますわ。
vo_adv_1027012_111.m4a|クスクスクス……♪クスクスクス……♪
vo_adv_1027012_112.m4a|クスクスクスクスクスクス……♪
vo_adv_1170001_000.m4a|クスクスクス……今日こそはあのおかたに私の調合した惚れ薬を飲んでいただきますわ…………クスクス。
vo_adv_1170001_001.m4a|とはいっても、照れ屋のあのおかたのことです。きっと素直に飲んでくださらないでしょう……そこで……今回は塗り薬に作戦を変更いたしました……
vo_adv_1170001_002.m4a|経口だろうと経皮だろうと、摂取すればこちらのもの……体内に取り入れたが最後、あのおかたの心は……永遠にエリコのものとなるのですわ。
vo_adv_1170001_003.m4a|そして真夏の空のもと、エリコはあのおかたと……クスクスクス……
vo_adv_1170001_004.m4a|そろそろ呼び出したあのおかたが来る頃……あぁ、お待ちしておりましたわ、{player}様。
vo_adv_1170001_005.m4a|この水着……似合いますか？
vo_adv_1170001_006.m4a|当然のことではありますが……いいお返事ですわ。さすが私の伴侶です。
vo_adv_1170001_007.m4a|違う返事をしたらどう教育するべきか……悩む必要もありませんでしたわね……さあ、デートしましょう……
vo_adv_1170001_008.m4a|必要なものはすべて私が用意しておきましたから……着替えてきてください、今すぐにです。
vo_adv_1170001_009.m4a|次は特製の日焼け止めを塗りますわ。夏の日光ごときにあなた様の肌を傷つけられてはたまりません……たっぷり塗りましょうね……
vo_adv_1170001_010.m4a|このくす……いえ日焼け止めの効果で私たちの伴侶としての絆を最高のものといたしましょう。これでもうあなた様は……私の……クスクスクス。
vo_adv_1170001_011.m4a|さあ、背中でもお腹でもお好きなほうから塗って差し上げます。あなた様はまな板の上の鯉のように、すべてを私にお任せくだされば……それでいいのです……
vo_adv_1170001_012.m4a|照れくさいなどという感情は、私の前では潔く捨て去って……さぁ、おとなしく塗られてください……
vo_adv_1170001_013.m4a|えっ……？　今、先に私に塗ってくださるとおっしゃったのですか？いえっ、わ、私は大丈夫です……！それにこれは、あなた様に塗ってこそ効果を発揮するもの……
vo_adv_1170001_014.m4a|でも日焼けが心配だから……と、そうおっしゃるのですね……なんて優しいおかた……ええ、お気遣いはうれしいのですけれど……これは……その……
vo_adv_1170001_015.m4a|私渾身のレシピで作った惚れ薬……困りましたわ……これでは私がこのおかたを操ることができなくなってしまう……
vo_adv_1170001_016.m4a|えっ、早く準備を？せっかく海に来たのだし遊びたい……？え、ええ、わかっていますわ……ですが……
vo_adv_1170001_017.m4a|まっ、まさかそんなこと、私に限ってあるわけが……私とあなた様は運命を共にする伴侶ですし……
vo_adv_1170001_018.m4a|順番に……ですか？私が塗った後、あなた様も、とおっしゃるのですね……それなら……
vo_adv_1170001_019.m4a|……大丈夫、大丈夫ですわ、私はこのおかたを愛する身。少しばかり惚れ薬が効いたところで、恐れることなど……
vo_adv_1170001_020.m4a|ここは譲って、すぐに瓶を返していただくほうがいい……ですわね。私から塗って差し上げるチャンスはいくらでもあるのだし……
vo_adv_1170001_021.m4a|わ、わかりました……それでは……少しだけ……
vo_adv_1170001_022.m4a|ええ……お願いしますわ……！くっ……煮るなり焼くなりあなた様の思うように……！受けて立ちます……っ！
vo_adv_1170001_023.m4a|……あのっ、{player}様！？日焼け止めというのは真珠の粒ひとつくらいを目安に少しずつ……！えっ！？　ちょ、ちょっとそんなに中身を出して……出しすぎです！
vo_adv_1170001_024.m4a|日焼け止めというのは多ければいいというものでは……！私のくす……いえ日焼け止めはとても強力ですので……！
vo_adv_1170001_025.m4a|えっ、今度はこっち？　あっ、いえ、そこは、大丈夫です！自分でできますのでっ……！結構ですから、{player}様……っ。
vo_adv_1170001_026.m4a|おとなしくしないと塗れない……？それはそうですが、あなた様の手が……私の肌に触れていると思うと……あ、あの、もう十分ですから……！
vo_adv_1170001_027.m4a|……まさか、使いきった……のですか……？私のくす……いえ日焼け止めを……！？
vo_adv_1170001_028.m4a|…………あれを……全部……なんてこと……！……ああ、なんだか頬が熱く……もう効き目が……！？脈も速くなってきている気がしますし……
vo_adv_1170001_029.m4a|この胸の高鳴り……間違いなく私の薬の効果ですわ……予想通りの強力な作用……さすが私…………などと感心している場合ではありません！
vo_adv_1170001_030.m4a|これだけ惚れ薬を使われてしまった今、何が起きるかは未知数……醜態をさらす前に、撤退したほうがよさそうですわ……
vo_adv_1170001_031.m4a|それにしても、今日のこのおかたは……見とれるほどに精悍で……神々しさすら感じます。真夏の海辺に立つ姿はまるで光り輝くよう……
vo_adv_1170001_032.m4a|見ているだけで時を忘れてしまいそうですわ……さすがは私の伴侶。あぁ、いけません動悸が……
vo_adv_1170001_033.m4a|ええ、もちろんあなた様のお誘いなら……クスクス……まずは海岸の邪魔な虫どもをすべて蹴散らしま……
vo_adv_1170001_034.m4a|え……蹴散らす……？　私ったら物騒なことを口走って……あなた様がそんなこと、望むわけありませんもの……恥ずかしいですわ……
vo_adv_1170001_035.m4a|あなた様と一緒にいると、世界中がきらめいて見えますわ……こんなにも美しいなんて……クスクス……ふふ……うふふ……
