vo_adv_1225001_000.m4a|青い空、白い雲……風は穏やかで、天気は晴朗なれども。さて、どうしたものかな……
vo_adv_1225001_046.m4a|いや、友達同士でも普通にしている事なら彼と食べさせあっても、別におかしくはない……のか？
vo_adv_1225001_047.m4a|もしも、これがユイやヒヨリ相手だったら、普通にできる……気がする。うん。だったら、彼が相手でも同じはず……だよね？
vo_adv_1225001_048.m4a|そう、これは仲間同士、円滑なコミュニケーションを図るための親愛を深める一環としての行為であって、特に深い意味はない。だから、変に気にする方がおかしい。そう、きっとそうなんだ。
vo_adv_1225001_049.m4a|う、うん……！　でも少しだけ待ってくれないか。その、私も覚悟を決めるから。
vo_adv_1225001_050.m4a|……よし、もう大丈夫。それじゃいくよ。あ、あ～……むっ。
vo_adv_1225001_051.m4a|緊張しすぎて、味がよく分からない……父と顔を合わせて食事をする時のような味気なさとは、また違うけれど……
vo_adv_1225001_052.m4a|えっと、今度はキミに食べさせてあげればいいのかな。じゃ、じゃあ……いくよ？　あーん……
vo_adv_1225001_053.m4a|こ、これは、走り込みの鍛錬をするよりもよっぽど心臓が鍛えられる気がするな……
vo_adv_1225001_054.m4a|あれから何か所か巡ってみたけれど……どのスポットも、やけにスキンシップを図らせるような……
vo_adv_1225001_055.m4a|ガイドブックには「親しい人と一緒に」って書いてあるが、友人同士で巡るには距離感が近すぎるんじゃないか？
vo_adv_1225001_056.m4a|まあリゾートの客層には家族連れも含まれるだろうし、そこは置いておくにしても……一つ、気に食わない事がある。
vo_adv_1225001_057.m4a|──彼は、あまりにもいつも通りすぎないか？
vo_adv_1225001_058.m4a|私だって、仮にも年頃の少女であることには変わりないんだ。ちょっとくらい照れたり、焦った様子を見せてもいいんじゃないか？
vo_adv_1225001_059.m4a|そうじゃないと、まるで私ばかり変に意識しているみたいで……
vo_adv_1225001_060.m4a|いや、そうじゃない。そういう意味じゃないけれど……まったく違うというのも、また違うというか……
vo_adv_1225001_061.m4a|い、いや……な、なんでもない。キミは別に気にしなくていいから、忘れて。
vo_adv_1225001_062.m4a|そ、それより、次の行き先を決めないと。ガイドブックは、と……
vo_adv_1225001_063.m4a|しかし……浜辺では手を繋いで散歩、だなんて。この恥ずかしさは少し耐えがたいな……世間の友人同士は本当にこんな事をやっているの？
vo_adv_1225001_064.m4a|だが、ガイドブックに書いてあるんだ。これがバカンスの過ごし方としては普通なのかもしれない。
vo_adv_1225001_065.m4a|ほら、このページの紹介文句に書いてある通り、親しくなるためのお出かけスポットとか……大好きな人と響かせたい、幸せの鐘……とか……？
vo_adv_1225001_066.m4a|…………大好き？
vo_adv_1225001_067.m4a|ちょっと待って。今日、私たちが巡ってきたのは友人と回るような観光スポットのはず……だよね？
vo_adv_1225001_068.m4a|だから、顔から火が出そうなほど恥ずかしくても、これが普通なんだと、そう自分に言い聞かせていたけれど……
vo_adv_1225001_069.m4a|その前提が崩れるなら……ここに書いてある「大切な人と過ごす」とか「大好きな人」っていうのは、つまり文字通りの意味で……
vo_adv_1225001_070.m4a|──やっぱり、そういうスポットなんじゃないか！
vo_adv_1225001_071.m4a|え？　……声に出てしまっていたのか。
vo_adv_1225001_072.m4a|すまない、なんでもないんだ。ただ、ちょっと目まいがするだけで……
vo_adv_1225001_073.m4a|じゃあ私は、彼と……これまでずっと、そういう関係だと思われるような場所を巡っていたわけで。
vo_adv_1225001_074.m4a|ってちょっとキミ！？な、なんでそんなに顔を近づけて……！？
vo_adv_1225001_075.m4a|顔が赤い……？　そ、それは……これだけ日差しが照り付ければ、た、体温だって上がるさ。別におかしなことは……
vo_adv_1225001_076.m4a|ひゃっ！？　いきなり触るなんて、一体何を……熱がある？　いや、これは……だ、大丈夫だから！
vo_adv_1225001_077.m4a|はぁ、はぁ……な、なんで逃げてきてしまったんだ私は。あとで彼には謝っておかないと……
vo_adv_1225001_078.m4a|だけど、これでいったん落ち着ける……彼には申し訳ないが、今は頭を冷やす時間が欲しい。
vo_adv_1225001_079.m4a|……さっき、彼の手が触れた額がやけに熱い。それに、胸が苦しくて爆発しそうだ……！
vo_adv_1225001_080.m4a|キミ！？　なんで追いかけてくるの！？体調が悪そうだから、放っておけない……？
vo_adv_1225001_081.m4a|ああもう！　どうしてこんな時は妙な察しの良さを見せるんだ！それなら一緒にいる時に、もっと私の気持ちに気づいてくれたっていいじゃないか……！
vo_adv_1225001_082.m4a|それはキミの勘違い……って訳でもないけど！わ、私の事は大丈夫だから！
vo_adv_1225001_085.m4a|はぁ、はぁ……か、彼の体力を、甘く……見ていたな……
vo_adv_1225001_086.m4a|はぁ……分かった、降参だ。もう逃げないよ。だから、そんなに焦らなくても……わっ！？
vo_adv_1225001_087.m4a|ああ、ちょっと転んだだけだから平気……
vo_adv_1225001_088.m4a|なっ！？　言ったそばから、なんでキミまで転んでいるんだ！もう、顔から海に突っ込んで……！
vo_adv_1225001_089.m4a|全力で走って、体力を使い果たした？まったく……ふふ、あはははっ。
vo_adv_1225001_090.m4a|はぁ……何をしてるんだろうね、私たちは。こんなところで、二人してずぶ濡れになって。
vo_adv_1225001_091.m4a|でも、頭を冷やすのにはちょうどいいかもしれない。そんなに離れてないで、キミもこっちにおいでよ。
vo_adv_1225001_092.m4a|ひんやりして気持ちいいね……体中の熱が取れていくみたいだ。
vo_adv_1225001_093.m4a|ううん……楽しかったよ、とても。
vo_adv_1225001_094.m4a|でも、ガイドブックはむやみに従うものじゃないな。何かに頼りっきりなのは、私の性に合わないのかもしれない。
vo_adv_1225001_095.m4a|せっかく家から離れて、自由に羽を伸ばせるのに。主導権を他に渡すなんて、私らしくないじゃないか。
vo_adv_1225001_096.m4a|……決めた。
vo_adv_1225001_097.m4a|私は、私らしい夏の過ごし方を見つけたい。このバカンスで、キミと一緒に。
vo_adv_1225001_098.m4a|私だけだと、釣りとか鍛錬しか思い浮かばないと思うし……キミなら、きっと今日みたいに私の予想もつかない所へ連れていってくれるだろう？
vo_adv_1225001_099.m4a|でも、その前に……ちょっと休憩したいかな。こんなに全力で浜辺を走るなんて思ってもみなかったから。
vo_adv_1225001_100.m4a|少し休憩したら……そうだね、冷たい物でも食べに行こうか。ブルーハワイのかき氷が好きなんだ。
vo_adv_1225001_101.m4a|ガイドブックには載ってない、けれど私の好きなもの。まずはそれをキミと共有したくて。
vo_adv_1225002_000.m4a|さて……と。今日は何をして過ごそうか。
vo_adv_1225002_001.m4a|自分らしいバカンスを過ごす、なんて言ってみたはいいけど……それが思いつかないからガイドブックに頼ったわけで。
vo_adv_1225002_002.m4a|こうやって南の島に来ているんだから、ここでしかできない事をしてみたいよね。
vo_adv_1225002_003.m4a|となると……やっぱり釣りかな。
vo_adv_1225002_004.m4a|そんなことはないよ。釣る場所が変われば、魚も好むエサも変わるんだ。南の島ならではの獲物にだって出会えるかもしれないし。
vo_adv_1225002_005.m4a|釣り以外だと、思いつくのは鍛錬とか？砂浜でのトレーニングは効率よく足腰を鍛えられるよ。
vo_adv_1225002_006.m4a|バカンスらしい事……そうか。それを探すのが、今の私の目標だった。
vo_adv_1225002_007.m4a|自分らしく……かといって、いつもと同じになり過ぎてもいけない……考えてみると意外と思いつかないな。
vo_adv_1225002_010.m4a|『水上剣闘』……？海の上で戦う、模擬戦みたいなものかな。
vo_adv_1225002_011.m4a|えっと……武器の持ち込みは不可、イベント側で用意した特殊なやわらか素材でできた模擬剣を使っての対戦……
vo_adv_1225002_013.m4a|……ねえ、キミ。私らしいバカンスの過ごし方を、一緒に探してくれるって言ってたよね。
vo_adv_1225002_014.m4a|それなら、私が言いたい事は分かると思うけど……
vo_adv_1225002_015.m4a|夏の海と剣術……ふふっ、これこそ私に向いている過ごし方だって思わない？
vo_adv_1225002_016.m4a|それじゃあ、早速エントリーしてくるよ。受付は向こうの方かな。
vo_adv_1225002_017.m4a|あれが戦う場所か。洋上にあんな本格的な舞台を浮かべるなんてずいぶん大がかりな大会みたいだ。
vo_adv_1225002_018.m4a|よっ……と。準備運動はこの程度でいいかな。そろそろ大会が始まりそうだ。行ってくるよ。
vo_adv_1225002_021.m4a|第１回戦の、それも初戦から出る事になるなんて……運がいいのか悪いのか。
vo_adv_1225002_022.m4a|足場は波に揺れて不安定。それに対戦者二人の位置取りで重心が動くから、絶えずバランスが変わり続ける……
vo_adv_1225002_023.m4a|それに、このおもちゃの剣……ふにゃふにゃと曲がるから、いつもみたいな剣の使い方はできないな。しかし、本気で叩けばそれなりに痛いだろう。
vo_adv_1225002_025.m4a|彼女が対戦相手か。相手の力量も未知数とはいえ、まずは様子見かな。
vo_adv_1225002_028.m4a|参加者といっても、冒険者やギルド活動をしている人ばかりでもないだろうし、ここはあまり痛くないように──
vo_adv_1225002_030.m4a|っ、速いっ！？　なんだ、この鋭い踏み込みはっ！！
vo_adv_1225002_031.m4a|くっ……だが、甘いっ！！
vo_adv_1225002_033.m4a|それはこちらの台詞……とでも言っておこうか。
vo_adv_1225002_034.m4a|これが海上の浮島でなければ、終わっていたかもしれない。波でステージが揺られなければ負けていた……！
vo_adv_1225002_035.m4a|……私もよく手加減など、思い上がれたものだ。まだまだ未熟、ということが嫌というほど感じられたよ。
vo_adv_1225002_036.m4a|精進が足りないな、私も。おかげで目が覚めた。
vo_adv_1225002_037.m4a|この大会、なかなか楽しめそうだ……ここからは本気でいかせてもらおう！
vo_adv_1225002_040.m4a|ふぅ……油断大敵とはまさにこの事か。いい経験をさせてもらったよ。
vo_adv_1225002_041.m4a|ありがとう。差し入れを持ってきてくれたの？ちょうどお腹が空いてたんだ。ありがたくいただくとしよう。
vo_adv_1225002_042.m4a|だけど、１回戦から思わぬ強敵が相手だった。血がたぎるっていうのかな。思ったより楽しくなってきたよ。
vo_adv_1225002_045.m4a|はぁ……はぁ……なかなか手ごわい相手だった……まさか、あんな奥の手があったなんて……
vo_adv_1225002_046.m4a|ありがとう……って、どうしてキミまで息を切らしてるの？
vo_adv_1225002_047.m4a|応援を頑張り過ぎた……？それなら、そんなに急いで来てくれなくてもよかったのに。
vo_adv_1225002_048.m4a|でも、ありがとう。私も余裕があったら、別ブロックの予選を見に行きたいところだけど……こっちの予選で手一杯で、そんな余裕はなさそうだ。
vo_adv_1225002_049.m4a|あれ？　キミ、どこに行くの。……ちょっと用事って、もうすぐ決勝戦が始まるよ？
vo_adv_1225002_051.m4a|……彼の姿が見えないな。さっきまで、私の試合には必ず応援に来てくれていたのに。
vo_adv_1225002_052.m4a|いや、気分を切り替えないと。ここまで戦ってきた相手は強者揃いだった。
vo_adv_1225002_053.m4a|決勝の相手はＢブロックを勝ち抜いてきた猛者だ。これまで戦ってきた対戦相手以下という事はないだろう。
vo_adv_1225002_054.m4a|だが、どんな相手だろうと私は勝つ！ここまで応援してくれた彼のためにも！
vo_adv_1225002_056.m4a|あっ、やっと来た……って、キミ！？観客席は向こうだよ？　なんで舞台の上に……
vo_adv_1225002_057.m4a|そうか。Ｂブロックの勝者はキミだったのか。それじゃあ、私が休憩している間にいなくなってたのは……
vo_adv_1225002_058.m4a|はははっ、ああ、本当に驚いたよ。これは予想外の展開だけど……でも、面白くなってきた。
vo_adv_1225002_059.m4a|本物の剣とはまた違うけど、私にも意地がある。キミの剣の師匠としても、ここは負けるわけにはいかないな。
vo_adv_1225002_060.m4a|私の準備はできている。いつでも試合を始めてくれて構わない。
vo_adv_1225002_062.m4a|はあああああっ！！
vo_adv_1225002_064.m4a|今ので決まるとは思っていなかったよ。キミならこれくらいは防ぐだろうって──
vo_adv_1225002_065.m4a|くっ……！　やるね！！隙をついたカウンターは良い線だ。でも、まだまだっ！！
vo_adv_1225002_067.m4a|私の攻めを的確に防ぎ、隙を見逃さず狙ってくる。いつの間に彼はここまで成長したんだ。楽しい……もっと彼の力を確かめてみたい！
vo_adv_1225002_068.m4a|戦いは相手ばかり見ていちゃいけないよ。──足元にも、注意しないと！！
vo_adv_1225002_070.m4a|確かにキミは強くなった。だけど、白兵戦なら私に分がある。悪いけどここは勝たせてもらうよ！
vo_adv_1225002_072.m4a|今こそ勝機っ！！　ここで、決め──！？
vo_adv_1225002_073.m4a|なっ……！　ステージが、割れて……っ！！
vo_adv_1225002_074.m4a|これまでの戦いで蓄積したダメージに、浮島が耐え切れなくなったのか……！？
vo_adv_1225002_075.m4a|くっ、体勢が……！　ダメだ、こらえきれない……！海に落ちる……！！
vo_adv_1225002_076.m4a|えっ！？　キミ、なんでこっちに飛び込んで……！？
vo_adv_1225002_077.m4a|私を助けようと？　今は決勝戦の最中なんだ。みすみす勝機を逃すなんて……！
vo_adv_1225002_078.m4a|いや、それよりも……！
vo_adv_1225002_079.m4a|キミは泳げないだろう！？
vo_adv_1225002_080.m4a|……ぷはぁっ！！
vo_adv_1225002_081.m4a|はぁ、はぁ……ほら、ここならもう足が着くから。
vo_adv_1225002_082.m4a|それにしても泳げないのに飛び込むなんて……何を考えてるんだ、キミは！
vo_adv_1225002_083.m4a|私を助けようとしたのは分かるけど、まず自分の安全を考えるべきだろう？
vo_adv_1225002_084.m4a|勝敗が決まってからでも、救助は十分に間に合った。それに、浮島の破片に掴まれば浮力があるから溺れる事はまずないんだ。
vo_adv_1225002_085.m4a|これまでだって参加者は散々海に落ちているし、彼が行かなくても、大会の運営が救助しに行くのは分かっていたはずだ。
vo_adv_1225002_086.m4a|とはいえ……きっと、考えるより先に体が動いてしまったんだろう。本当に人がいいというか、なんというか……
vo_adv_1225002_087.m4a|……いい？　キミが私を助けようとしたように、私にとっても、キミは大事なんだ。とても。危ない目に遭ってほしくない。そこはちゃんと分かってほしい。
vo_adv_1225002_088.m4a|いや、いいんだ。ただ、勝負よりも私を助けようとしてくれた……今はその気持ちがうれしいよ。
vo_adv_1225002_089.m4a|勝敗の結果は……両者引き分けか。肝心の舞台があの有様じゃ、もう一戦という訳にもいかないだろうし。
vo_adv_1225002_090.m4a|剣の師匠として、ここはキミに勝って威厳を保ちたかったけど……それは別の機会に譲るとしよう。
vo_adv_1225002_091.m4a|だって、バカンスはまだこれからだからね。キミと勝負する機会もあるだろうし。そうだ、明日は釣り勝負なんてどうかな？
vo_adv_1225003_000.m4a|すごい人だかりだね……
vo_adv_1225003_001.m4a|花火を見るならこのビーチがおすすめだと聞いたけれど、みんな考える事は同じか。
vo_adv_1225003_002.m4a|しかし、どちらを見ても目に入るのはカップルばかりだ。こうなると、ある程度予想はしていたけれど……
vo_adv_1225003_003.m4a|誰も彼も、手を繋いだり腕を組んだり、あそこの二人なんて、あんなに肩を寄せ合って……し、周囲の視線が気にならないのか？
vo_adv_1225003_004.m4a|……わ、私たちも、手をつなぐくらいの事はした方がいいんだろうか。でも、周りがそうだからといって雰囲気に流されるのは……
vo_adv_1225003_005.m4a|う……この空気の中にいると、なんだか妙な居心地の悪さを感じてしまう。……私には、どうもちょっと刺激が強すぎるみたいだ。
vo_adv_1225003_006.m4a|確かにもう少し静かな場所だとありがたいけど……キミ、心当たりがあるの？
vo_adv_1225003_007.m4a|ビーチのすぐそばに、こんな場所があったのか。誰もいないみたいだね。
vo_adv_1225003_008.m4a|少し離れただけで随分静かになるんだ。さっきより、息をするのが楽になった気がするよ。
vo_adv_1225003_009.m4a|ふぅ……こんなにゆっくりした時間を過ごすのは、このバカンスで初めてかもしれない。
vo_adv_1225003_010.m4a|今日までずっとキミと走りっぱなしだった気がする。本当にいくら時間があっても足りないくらいだ。
vo_adv_1225003_011.m4a|最初の方なんて、何をしたらいいのかなんて言ってたくらいだったのに。今じゃ信じられないくらいだよ。
vo_adv_1225003_012.m4a|でもこんな場所、よく見つけたね。
vo_adv_1225003_013.m4a|ふふっ……うん、そうだね、キミの言う通りだ。私たちだけのバカンスを過ごそうって決めたからね。
vo_adv_1225003_014.m4a|見て、空に星が……あんなにたくさん。こういうのを、幻想的な景色って言うのかな。
vo_adv_1225003_015.m4a|そういえば、リゾートのガイドブックでも特集記事で紹介されていたな。
vo_adv_1225003_016.m4a|星空と海の静けさの、ロマンチックな雰囲気があなたの気持ちを伝える後押しをしてくれる……とか。
vo_adv_1225003_017.m4a|………………
vo_adv_1225003_018.m4a|き、奇麗な星空だね……海も……波が、きらきら光って……その……奇麗だ。うん。
vo_adv_1225003_019.m4a|……そ、そうだ。花火が始まる前に何か食べ物でも買ってこようか。
vo_adv_1225003_020.m4a|待って、ここは私が……ああ、行ってしまった。
vo_adv_1225003_021.m4a|このバカンスで、キミはずっと良くしてくれているのに……少しくらい私に返させてくれたっていいじゃないか。
vo_adv_1225003_022.m4a|でも、正直なところ……こうやって時間ができたのは助かった。彼と何を話せばいいか、分からなくなるなんて。
vo_adv_1225003_023.m4a|いつもは会話が途切れるくらいなんて事ないのに。今日になって、どうして沈黙が耐えられないんだ？
vo_adv_1225003_024.m4a|はぁ……ダメだ。余計な雑念ばかり浮かんでくる。とても冷静になるどころじゃない。
vo_adv_1225003_025.m4a|一人になれば落ち着けると思ったのに。彼が戻ってくるまでに、なんとかしないと……
vo_adv_1225003_027.m4a|……結構です。人を待っているので。
vo_adv_1225003_029.m4a|全く興味ありませんので。お誘いいただいても迷惑です。
vo_adv_1225003_031.m4a|……なんなんだ、この男は。これだけ断っているのに、立ち去る気配もない。
vo_adv_1225003_032.m4a|こちらの話を聞くつもりもないようだし……この徒労としか思えない問答を繰り返すのにも、いい加減耐えられなくなりそうだ。
vo_adv_1225003_033.m4a|……っ。これ以上、しつこいと──
vo_adv_1225003_036.m4a|……もういい。キミ、行こう。こんな輩の相手をするなんて、時間の無駄──
vo_adv_1225003_038.m4a|……とんだ災難だった。ありがとう。迷惑をかけてしまったね。
vo_adv_1225003_039.m4a|キミが来なければ、あの男には少し痛い目に遭ってもらったかもしれない。
vo_adv_1225003_040.m4a|……私が、剣の柄に手を掛けてたからそんな気がしたって？
vo_adv_1225003_041.m4a|見られてたのか……余計な気を遣わせてしまったかな。
vo_adv_1225003_042.m4a|それで、その……さっきのあれだけど……
vo_adv_1225003_043.m4a|ごめん。あの場をやり過ごすためとはいえ、キミに嘘までつかせてしまった。大事な人だなんて──
vo_adv_1225003_044.m4a|嘘、じゃない……？　それは……
vo_adv_1225003_045.m4a|キミは……私を大事な人だと、そう、思ってくれている……の？
vo_adv_1225003_046.m4a|……い、いや。彼が言っているのは仲間としてだ。恋愛的な意図なんてないんだろう。
vo_adv_1225003_047.m4a|そんな事、観光スポットを巡った時にも散々分かっている。変に意識しているのは、私ばっかりだったじゃないか。
vo_adv_1225003_048.m4a|…………なのに。
vo_adv_1225003_049.m4a|なのに、どうして……私の鼓動は治まらないんだ。
vo_adv_1225003_050.m4a|……キミは、勘違いさせるような事ばかり言うね。
vo_adv_1225003_051.m4a|でも、そんな事ばかり言っていると……私だって、本気にしてしまいそうになる事もあるんだ。
vo_adv_1225003_052.m4a|キミが、どんな思いでこの場所を探してくれたのかそれは知らない。でも、その優しさが私を連れ出してくれた。このバカンス……ううん、もっと前からだ。
vo_adv_1225003_053.m4a|……私の、この夏はキミが始めてくれたんだ。キミがいなければ、こんなに楽しくならなかった。
vo_adv_1225003_054.m4a|でも、このバカンスが終われば……私たちはいつもと同じ日常に戻るんだろう。
vo_adv_1225003_055.m4a|この夏が、いつまでも終わらなければいいのにね。
vo_adv_1225003_056.m4a|何のしがらみもない、このバカンスがずっと続けば……キミとずっと一緒にいられれば、どれだけいいか。
vo_adv_1225003_057.m4a|……ねえ。もし、もしも。
vo_adv_1225003_058.m4a|キミがそばに居てくれるなら、このまま、ずっと一緒に──
vo_adv_1225003_059.m4a|──今、私は何を言いかけた？彼とずっといたいと……そう、言おうとして……
vo_adv_1225003_060.m4a|いや、違う……私は戻りたくないんだ。家とのしがらみも忘れていられた……彼との、このバカンスがあまりにも楽しかったから。
vo_adv_1225003_061.m4a|でも、それは……私を取り巻くしがらみから逃げ出したい、そんな迷いと逃避の混じった、澱んだ感情で。
vo_adv_1225003_062.m4a|こんな気持ちのままで彼と同じ道は歩めない。迷いも未練も断ち切れるほど、もっと強くなりたい……！
vo_adv_1225003_063.m4a|そうなったら、その時初めて……彼に伝えられる気がする。
vo_adv_1225003_064.m4a|だから、それまでは……まだこの胸の中に。
vo_adv_1225003_065.m4a|キミ……さっきの聞こえてたの？
vo_adv_1225003_066.m4a|そうか……ううん、もう大丈夫。バカンスの浮かれた空気に当てられて、少し疲れが出てしまったかもしれない。
vo_adv_1225003_067.m4a|でも、そうだね。いつか……私が自信をもって進む道を定められたら。
vo_adv_1225003_068.m4a|その時、それでもキミがそばにいてくれるなら……もう一度今の答えを聞かせてくれるとうれしい。
vo_adv_1225003_069.m4a|その日まで私は……キミに恥じない私でありたい。ううん、あらねばならないんだ。
vo_adv_1225003_070.m4a|こんな私に、迷いなく付いてきてくれると言ってくれた……そんなキミに釣り合うために。
vo_adv_1225004_000.m4a|楽しかったバカンスも、もう終わりか。まだまだ遊び足りない気分になってしまうね。
vo_adv_1225004_001.m4a|バカンスって何をしたらいいのか……なんて頭を悩ませていた頃が懐かしいよ。
vo_adv_1225004_002.m4a|それにしても、今日はいい天気だね。どこまでも突き抜けるような青い空で……眩しすぎる……くらい、だ……
vo_adv_1225004_079.m4a|私は……眠っていたのか。そうだ、確か今日の予定を決めようとしていて……
vo_adv_1225004_080.m4a|ねえ、キミはこのバカンス……私と一緒で楽しかった？
vo_adv_1225004_081.m4a|私は、とても楽しかったよ。一緒にリゾートのあちこちを巡ったのも、海で転んだのも……水上で剣を交えたことや、あの夜に見た花火だって。
vo_adv_1225004_082.m4a|目を閉じれば、どれもすぐに浮かんでくるんだ。この思い出を、きっと何度も思い返すんだろうな。私は。
vo_adv_1225004_083.m4a|ふふっ、思いもよらない事ばかりだったけどね。でも、これでよかったのかもしれない。
vo_adv_1225004_084.m4a|だって、型通りのみんなと同じ夏よりも私だけの夏の方が、思い出に残るような気がするんだ。
vo_adv_1225004_085.m4a|そうだ、思いついたことがあるんだけど。今日は予定を決めないで行動してみない？
vo_adv_1225004_086.m4a|一緒に歩いて、同じものを見て……私たちらしいバカンスの過ごし方を探しに行こうよ。
vo_adv_1803001_000.m4a|はあっ！
vo_adv_1803001_002.m4a|彼が助けてくれたあの時、結局私は、敵に勝ち切れなかった……
vo_adv_1803001_003.m4a|不覚を取った自分が、未だに情けない。私はもっと、強くなりたい…………違う！　強くならなければいけない！
vo_adv_1803001_004.m4a|そこだっ！
vo_adv_1803001_006.m4a|なにっ！？
vo_adv_1803001_007.m4a|しまった！　追いつめたはいいが、逆に限界以上の力を出させてしまった──！！
vo_adv_1803001_009.m4a|このままでは、こちらがやられる……！
vo_adv_1803001_010.m4a|させる、ものかぁっ！
vo_adv_1803001_013.m4a|はあ、はあ、はあ……酷い有様だが、勝ちは勝ちか……
vo_adv_1803001_014.m4a|……
vo_adv_1803001_015.m4a|……ありがとう。せっかくキミが見に来てくれたのに、最後は泥臭い勝ち方になってしまった。
vo_adv_1803001_016.m4a|まだまだ修行が足りないな、私は……
vo_adv_1803001_017.m4a|【レイジ・レギオン】との戦いも続いている中で、この結果か……次こそは勝たなければ。あのアゾールドという男に……
vo_adv_1803001_018.m4a|えっ？　あ、ああ。いいとも。
vo_adv_1803001_019.m4a|……ねえキミ。ちょっとというにはやや長い時間歩いている気がするけど、一体どこへ……
vo_adv_1803001_020.m4a|……ここは。いつもの修行場じゃないか。彼はどうしてこんなところへ私を……？
vo_adv_1803001_021.m4a|とりあえず、ここが目的地ということでいいのかな？その、連れてきた理由を教えてもらえるとうれしいんだけど──
