vo_adv_1162001_000.m4a|テレ女に行くつもりなんてなかった。
vo_adv_1162004_005.m4a|あれ、ちょっと待って……え、なんかこの辺ピカついてない？
vo_adv_1162004_006.m4a|何何何、なにこの光……てか覚えある気味だわ、なんだっけコレ……えーっと……
vo_adv_1162004_042.m4a|あれ……何コレ、またうち寝てンじゃん。かァー……も、いいわこのパターン。飽きたわ。
vo_adv_1162004_043.m4a|あーあ、例によって、なんかヘンな夢見たのに、なんか全然覚えてないし……ほら、{player}も起きれー
vo_adv_1162004_044.m4a|で？　なんの話だっけ？　後夜祭？ああそうだ、後夜祭ね。
vo_adv_1162004_045.m4a|うん、いいじゃんソレ。行く行く。うちら、せっかく居場所守ったんだから、もーちょっと勝利の余韻的なやつに浸りたいと思ってたんだよね。
vo_adv_1162004_046.m4a|ま、なんての？こーゆーのあんま言いたくないけどさ。強いて誰かさんたちの言葉を借りるなら──。
vo_adv_1162004_047.m4a|なかよし部は永遠に不滅！　つって？
vo_adv_5064000_001.m4a|あーそれそれ、助かる。したらテキトーに木材んトコ置いといてー
vo_adv_5064000_003.m4a|マジか、駄目じゃん。おっけ……したら、このテント組んだら見に行くわ。それまで軽くチエルの班でも手伝っとき。
vo_adv_5064000_004.m4a|ぷー……何コレ。なんでうちがテレフェスの準備仕切ってンのよ。ほぼほぼ運営じゃん。運営委員長じゃん。役職手当出んのかコレ。
vo_adv_5064000_005.m4a|……ま、いんだけどさ何でも。みんな謎に楽しそうだし。
vo_adv_5064000_006.m4a|こんな学園行事の準備とかできゃっきゃできちゃうんだから、やっぱ箱入りのお嬢サン方はピュアみガチだわ。うちらと違って邪心とか下心系のやつ１ミリもないんだろーね。
vo_adv_5064000_011.m4a|さァーて。そんじゃまァ、ピュア散らかしてるあの子らの為にも、ぼちぼち真面目に取り組んどきますかね、つって……
vo_adv_5064000_012.m4a|にょぴゃあああああ！！
vo_adv_5064000_013.m4a|てめ誰だいきなり背後から！びっくりして思わずクセ強めの電波キャラみたいな声出ちゃったじゃねえかブッ殺すぞコノヤロウ！
vo_adv_5064000_014.m4a|あ？　ああ、なんだ{player}か。なに、久しめじゃん、今日は来たんだ。世話ンなってるギルドの用事とかってやつ、もう片付いたの。
vo_adv_5064000_015.m4a|ふーん。あそ。じゃあまたしばらくテレ女にカオ出せるわけだ。そっか。そうなんだ。よかった。いや、何がよかったのか知んないけど。きも。
vo_adv_5064000_017.m4a|いや、逃げまわってるうちはまだかわいげあったすよ？今じゃ逃げもせず、後方監督ヅラで堂々サボり倒してンじゃん。
vo_adv_5064000_019.m4a|あ？べつに何も聞こえなかったけど。気のせいじゃないの。
vo_adv_5064000_022.m4a|つーかあんたら、呼んでもないのに何ぞろぞろ集まってんの。あんでしょ各自、それぞれバミられた持ち場的なやつが。
vo_adv_5064000_028.m4a|ほら、他のガッコーだと体育祭とか文化祭とかってあンじゃん。ウチの場合アタオカだからそれ全部オールミックスで一緒にやんのよ。
vo_adv_5064000_032.m4a|なにチエル。屋内展示の方、グダついてんの。手伝おうか。
vo_adv_5064000_035.m4a|あ？　何そのリアクション。うちらの真面目、なんで驚愕に値してんの。はー、キレそ。
vo_adv_5064000_041.m4a|経緯すか。あー、なんか、こないだギル活つって放課後ダベついてたら、例によって突然センセー来てさァ……
vo_adv_5064000_044.m4a|ウケる。あいつ、まだマザーに名前覚えられてないんだ。
vo_adv_5064000_048.m4a|あ？
vo_adv_5064000_055.m4a|わかりみ。正直タルい。
vo_adv_5064000_058.m4a|はあ、まあ、喉から手ぇ生やすレベルでバリバリ熱望中すけど。
vo_adv_5064000_066.m4a|知んないけど、身近にロクでもない連中とかいて悪影響受けてンじゃないの。
vo_adv_5064000_068.m4a|──っつーカンジで？まあ、うちら現状、テレフェス頑張ンぞー的なノリなわけ。
vo_adv_5064000_076.m4a|いや、あるわそりゃ。朝礼とかでよく生徒会長、つまんなめの真剣話してんじゃん。
vo_adv_5064000_083.m4a|い？
vo_adv_5064000_089.m4a|なかよし部でーす。なんかオモんないボケ振ってもらったんでツッコミに来ましたー
vo_adv_5064000_093.m4a|あ？　なに手順って。
vo_adv_5064000_096.m4a|ねーわ、そんなおつもり。この目は生まれつきだわ。
vo_adv_5064000_099.m4a|おい、やべーぞ。こいつら思った以上に会話成立しない系だ。
vo_adv_5064000_101.m4a|チエル。マンドラゴラとかなかよしＸの件なら、若干マッチポンプな一面あるから黙っとき。
vo_adv_5064000_103.m4a|だァーら、生まれつきだッつってんだろ殺すぞクソが。
vo_adv_5064000_106.m4a|ほらァー、話こじれてンじゃん……
vo_adv_5064000_112.m4a|ああそう、マリアってあいつ、なんか休み時間とかも大体あんなカンジだったわ。
vo_adv_5064000_114.m4a|去年、同クラっす。あんま……ってか、ほとんど話したトキなかったけど。
vo_adv_5064000_119.m4a|ちょーちょー会長サン、いきなし何言ってんの。うちらが言うのも何だけど、いま生徒会の皆さん、鼻息荒めの闖入者に絡まれて絶賛お取り込み中だから。
vo_adv_5064000_128.m4a|何それどゆこと。
vo_adv_5064000_130.m4a|創部申請。
vo_adv_5064000_134.m4a|ま、そりゃそっか。部活感覚つってギルドにソレっぽい名前付けたけど、実際んトコ、べつにうちら部活ではないもんねぇ？
vo_adv_5064000_135.m4a|ん……あれ？　ってことは？そもそも部活じゃないんだったら廃部もクソもなくない？
vo_adv_5064000_138.m4a|おし、問題解決。つーわけで、うちら今後もテキトーにやってくんで。お騒がせしゃーした。ハイ撤収ー、帰んぞー
vo_adv_5064000_142.m4a|…………あ？
vo_adv_5064000_146.m4a|え、なに言ってんの、あんた。ハ？　会話も禁止？　ハア？
vo_adv_5064000_151.m4a|むしろ血も涙もなし子ちゃんだろ。
vo_adv_5064000_162.m4a|経緯、めっちゃ事務的に説明したな。
vo_adv_5064000_166.m4a|マリア。
vo_adv_5064000_168.m4a|あのさあ、せめてこう、ないわけ。執行猶予っていうか保護観察っていうか。しばらく様子を見守りましょう的な、人情味あふれるお裁き。
vo_adv_5064000_173.m4a|前科ありすぎて草。
vo_adv_5064000_178.m4a|元同級生捕まえて腐ったとか言っちゃったよ。何気に傷付くんですケド。もう正義って何なんだろうな。
vo_adv_5064000_181.m4a|そっすよパイセン。屁理屈うだうだこねくり回してインネン付けんの大得意じゃないすか。
vo_adv_5064000_192.m4a|お？
vo_adv_5064000_199.m4a|チエル。黙っとき。
vo_adv_5064000_206.m4a|チエル。
vo_adv_5064000_211.m4a|マ？
vo_adv_5064000_229.m4a|え、待って。あんたらホントに話聞いてたの。なんでエピローグみたいな朗らかトーンで語り始めてんの。解体令撤回はうちらがテレフェスでいい仕事したらって話なんだけど。
vo_adv_5064000_231.m4a|出たよ、真性天才児の底抜けポジティブ。や、それができンのかっつー話なわけじゃん、コレ。
vo_adv_5064000_234.m4a|あ？　いやまあ、どーすかね。知んないけど……ま、何とかなンじゃないすか。うちらなら。
vo_adv_5064000_238.m4a|テンション高。始まってもないのに、すでに打ち上げ感覚かよ……
vo_adv_5064000_241.m4a|や、ユニ先輩だって自分で曲入れないわり、人が歌いだすと横からシャシャって謎の奇声かぶせてくる傾向あんじゃん。
vo_adv_5064001_019.m4a|あー、かったる……軽く本気出しすぎたわ。
vo_adv_5064001_023.m4a|あ、ユニ先輩（本物）戻ってきた。
vo_adv_5064001_025.m4a|あれ？　パイセン、さっきの──もう一匹のユニ先輩（偽物）はどこ行ったんすか。
vo_adv_5064001_033.m4a|多少加味で済まされる範疇ではなかったすけどね、あの発育具合は。
vo_adv_5064001_036.m4a|おい……仲間に置いといて大丈夫かこの人……
vo_adv_5064001_039.m4a|いやバレたじゃん。
vo_adv_5064001_042.m4a|主語がでかいな、この文系。
vo_adv_5064001_045.m4a|いや、顔の話とかもそうなんすけど、あいつの場合、あれマジで自慢的な意識ないんすよ。視力いいから眼鏡いらないですぐらいの感覚で言ってんすよ。
vo_adv_5064001_048.m4a|ユニ先輩も得意分野だと大体あんなカンジすけどね。
vo_adv_5064001_050.m4a|ほら。これだから持ってるやつらは。
vo_adv_5064001_052.m4a|そっすね。スポーツも天才のチエルさんにギリ先輩ヅラ保てる程度には荒稼ぎさせてもらってるっすね。
vo_adv_5064001_054.m4a|なに、あんた昨日、生徒会長が説明してたの聞いてなかったの。
vo_adv_5064001_057.m4a|あ？　何その目。文句あんの。うちらがお淑やか集団だと小首ひねる要素あんの。
vo_adv_5064001_062.m4a|実際わかりやすいしね、要は「しとやか」を勝たせれば解体令チャラんなるって条件。ふわっとしてない。毎回こういうのでいいんだよ。
vo_adv_5064001_064.m4a|でー？　うちらだいぶ点取ったはずだけど、今「しとやか」ってどんぐらい勝ってンだろ。
vo_adv_5064001_081.m4a|しとやか93、きよらか151……
vo_adv_5064001_084.m4a|あー、まー、しゃーないか……こっちのお嬢サマ方、運動方面に関しちゃあんなンだし……
vo_adv_5064001_090.m4a|え、この引きこもり先輩、自分のこと棚に上げて何言ってんの。なんなら替え玉使ってバックレた分、ちゃんと走ってるあの子らより人として下なんだけど。
vo_adv_5064001_094.m4a|我々の奮闘。
vo_adv_5064001_097.m4a|でも負けてンじゃん。えー、どーすんのコレ……さりげヤバくない？
vo_adv_5064001_101.m4a|ぷー……なんかないモンかね、ここらでこう、救いの一手みたいな展開。
vo_adv_5064001_104.m4a|な、なにィ……！　この声は……！
vo_adv_5064001_114.m4a|や、ダイジョブっす。とりあえずアキノ先輩には、「解体令を撤回しないと出資止めンぞー」とか言ってシンプルに生徒会を脅してもらえればそれで。
vo_adv_5064001_121.m4a|なん……だと……
vo_adv_5064001_124.m4a|え、じゃあ何、アレとか全部フィクションだったワケ。タマキさんのたい焼きが美味かったから店ごと買おうとした話とか。{player}のこと騎士にしたくて金積もうとした話とか。
vo_adv_5064001_126.m4a|おまえか。
vo_adv_5064001_130.m4a|値千金とかじゃなくてフツーに現金くんない。
vo_adv_5064002_003.m4a|しかもえらい辛口。パイセン、それ味方のやつじゃん。採点すんならもうちょっとお手ヤワめにしてあげてくんない。
vo_adv_5064002_008.m4a|まあ運動系はシンプルに、うちらの出した順位とか結果がまんま得点になるわけじゃん？でも文化系の方は……なんだ、お客サンによる投票制っつーの？
vo_adv_5064002_015.m4a|作文あるある。わかりみしかない。
vo_adv_5064002_017.m4a|実は問題児ばっかで固められてンじゃないの、こっち。
vo_adv_5064002_019.m4a|あッ！　ちょ待っ……
vo_adv_5064002_022.m4a|いいから。音読しなくていいから。いや{player}も、黙読ならいいって意味じゃないから。あーも、マジ勘弁……うち作文とか苦手なんだよ。
vo_adv_5064002_025.m4a|こっちは100気取りに行ったつもりなんだよコレで。
vo_adv_5064002_027.m4a|慈悲深めの否定やめてもらっていいすか。そろそろガチで居たたまれなくなってきたんで。
vo_adv_5064002_029.m4a|誰が口汚しやねん。
vo_adv_5064002_033.m4a|そーいやこのピンク、見た目に反して成績優秀だったな。
vo_adv_5064002_035.m4a|簡単の定義おかしくね？
vo_adv_5064002_038.m4a|ハ？　なんでよ。パイセンの得意分野じゃん、そこはサボり癖出すとこじゃないでしょ。
vo_adv_5064002_042.m4a|いよいよ我が軍アレな生徒の寄せ集め疑惑が真実味を帯びてきたな。
vo_adv_5064002_048.m4a|んん……？　どう、なの、コレ……？
vo_adv_5064002_050.m4a|や、うちゲージュツとかミリも知らんし、自分で絵とか描けるわけじゃないからこういうコト言うのもわりかしアレだけど……
vo_adv_5064002_051.m4a|え、ぶっちゃけ下手くね？
vo_adv_5064002_054.m4a|あのさあ……え、待って、やっぱコレおかしくない？いや、半分シャレで言ってたんだけど、なんかマジで、チーム分け作為的なんじゃねって気ィしてきた。
vo_adv_5064002_057.m4a|や、でもコレとか見てみ？　マジありえん出来じゃん。
vo_adv_5064002_059.m4a|こーっわ……これはひどい、子供泣くぞ。むしろキッズの真っ白な心に、どす黒めのトラウマを植え付けたい的な作者の悪意さえ感じるわ。
vo_adv_5064002_061.m4a|さあ……この世のあらゆる災厄を具現化した呪われし異形、とかじゃね。
vo_adv_5064002_065.m4a|うん、まあ、正直そんな気はしてた。どっかで見覚えのあるキャラデザだったし。
vo_adv_5064002_069.m4a|そうなんだ。
vo_adv_5064002_072.m4a|そもそもなんでユニ先輩は日ごろのマジメな研究ちゃーくて、こんな前衛的な悪ふざけを出展しちゃったのよ。
vo_adv_5064002_074.m4a|新進気鋭のアーティスト。
vo_adv_5064002_076.m4a|おい、やべーぞチエル。こっちの手札、マジで終わってる。カード運どーなってんだよ。
vo_adv_5064002_081.m4a|あ、もうコレ間違いないわ。うん。やってンな、あいつら。
vo_adv_5064002_087.m4a|まあ、たしかに、ユニ先輩もさっき替え玉がバレかけたとき、証拠はあるのかねの一点張りでムリクリ逃げ切ったすもんね。
vo_adv_5064002_090.m4a|あ？　何だこのおっちゃんたち、いきなり横から。
vo_adv_5064002_102.m4a|あー、アレね。一生いいモンばっか食ってきた金持ちが、生まれて初めてのジャンクフードに心躍らせる的な。
vo_adv_5064002_107.m4a|ありがとう、ゲテモノ好きのマニアックおじさんたち……！
vo_adv_5064003_000.m4a|でりゃああああ！
vo_adv_5064003_002.m4a|どおぉぉぉりゃああああぁぁあああ！
vo_adv_5064003_004.m4a|ぷぁー……走った走ったァー……短距離走に中距離走に障害物走……ま、こんだけ１位カッ攫っときゃ、とりま安泰でしょ。
vo_adv_5064003_010.m4a|そーすよ、だらしなく寝っ転がって尻掻いてただけじゃないすか。
vo_adv_5064003_012.m4a|え、テキトー言っただけなのに、リアルに掻いてたんすか。
vo_adv_5064003_013.m4a|いや、てゆか、尻掻いてたのが悪いッつってんじゃなくて、競技サボってゴロゴロしてたのが悪いって話なんだけど。
vo_adv_5064003_015.m4a|いやべつに。
vo_adv_5064003_017.m4a|どっちでもねーわ。そもそも他人の尻に特定の感情抱いたことがねーわ。
vo_adv_5064003_020.m4a|てか、尻トーク無限に続けてンの、ユニ先輩だけなんだけど。うちまで尻ハラ加害者みたいに言うのやめてくんない。
vo_adv_5064003_022.m4a|あ？　何それ、カマトトきっつ。あんた16年生きてきて尻って単語一度も使ったことないわけ。
vo_adv_5064003_025.m4a|おケツならいんだろーチエル。
vo_adv_5064003_029.m4a|桃尻（笑）ウケる。官能小説かよ。きめえ。
vo_adv_5064003_036.m4a|あれ、何どしたん。足引きずってるみたいだけど。
vo_adv_5064003_038.m4a|マジ？え、だいじょぶなん。
vo_adv_5064003_041.m4a|ああ、そうなんだ。いいよ、したら、うち代わろうか？
vo_adv_5064003_043.m4a|ん、べつに全然それは。
vo_adv_5064003_045.m4a|だァーら、いいつってンじゃん。なんでそんな念入りなの。いいよ、行くよ、コースどこ。
vo_adv_5064003_050.m4a|おい。なんだこれおい。
vo_adv_5064003_054.m4a|うるさい。顔も動きもすべてがうるさい。
vo_adv_5064003_056.m4a|いいから質問に答えれ。おい。なんだこれおい。
vo_adv_5064003_060.m4a|冥途の果てまでブチ転がしてやるから二度と帰ってくんじゃねえぞクソ共。
vo_adv_5064003_064.m4a|え、どこにデレがあんの。うちのこの目がデレてる目に見えんの。今こそ殺し屋の目ぇ全開バッキバキなんですケド。
vo_adv_5064003_069.m4a|知らんがな。
vo_adv_5064003_070.m4a|てゆか待って、そもそも話ちがくない？うち運動競技だと思って代わるッつったんだけど。
vo_adv_5064003_073.m4a|マジで。さっきの雑なカラミ、裏でそんな頓智の利いた頭脳戦が繰り広げられてたの。
vo_adv_5064003_075.m4a|すでに騙されてンだよ。その慣用句、使い方そーじゃないでしょ。「野良犬に噛まれたと思って」みたいに言うなし。
vo_adv_5064003_077.m4a|それはまあ、そーなんだろうけど……いや、てか、ぶっちゃけ働くの自体はべつにいんだけどー
vo_adv_5064003_078.m4a|いんだけど、じゃなくて、何なんこの服。フリルとかパフスリーブとか、うちのキャラじゃないじゃん。恥っず……あーも、やっぱ無理だわ、着替えてくる。
vo_adv_5064003_080.m4a|ないわ。殺し屋の目ぇした女にこんなんハマるわけないし、嘘じゃん。
vo_adv_5064003_082.m4a|あ？　そうだっけ？え、じゃ何、あんた本気で似合うとか言っちゃってんの。きも。てゆか……ふーん。そうなんだ。きも。
vo_adv_5064003_084.m4a|ユニ先輩のサイズ、多分ないでしょ。フロア回すの、経験者の方がアドいし。いいよ、うちがやるよ。
vo_adv_5064003_088.m4a|なんだこいつら。バックレたら鬼確定な流れ作っといて何を今更……
vo_adv_5064003_089.m4a|いや、しゃーないじゃん。あんた、怪我したってのはガチなんでしょ？おけ、シフトに穴空いちゃった分ぐらいは埋めとくよ。
vo_adv_5064003_093.m4a|らっしゃーせー空きめの席にどうぞ座っときー
vo_adv_5064004_000.m4a|うっま！　バチボコうっま！
vo_adv_5064004_001.m4a|マジか……ヤバじゃんコレ。あまりのクォリティに衝撃走るわ。え、こんなん学生の真似事イベントでお出しされていいレベル？店じゃん。模擬店ちゃーくて、フツーに店じゃん。
vo_adv_5064004_006.m4a|何すかソレ。
vo_adv_5064004_009.m4a|飲食系も軒並みそんなカンジっすよね。相変わらず腕のたつ生徒が都合よく揃ってンなあ、「きよらか」は。どんだけ鬼ヅモだよ。生徒会長ゴッドハンドかよ。
vo_adv_5064004_015.m4a|んん……でもさあ、どーなんだろ。
vo_adv_5064004_017.m4a|その「特殊な才に長けた生徒」ってやつ？そんなん、この学校に都合よく何人もいんのかな。いや、スポーツとかベンキョーが得意なのとはワケ違うじゃん。
vo_adv_5064004_018.m4a|いくらゴッドハンドで好きなカード引き放題つっても、そもそも引きたいカードが山ん中になきゃ引けないっていうか？
vo_adv_5064004_028.m4a|チエル。
vo_adv_5064004_036.m4a|母、午後の部オープンまで戻らんって。
vo_adv_5064004_042.m4a|ふーん。そうなんだ。あんた相変わらず女子トモ多いんだね。いいけど何でも。
vo_adv_5064004_047.m4a|魔を祓う者ね……ふーん、いいじゃん。
vo_adv_5064004_054.m4a|うるさい。何コレ、このキショい騒音発生ドクロ。
vo_adv_5064004_059.m4a|え、そうなの……さーせん、父はたき落としちゃった。パーで。
vo_adv_5064004_067.m4a|アレすか、姉貴とか妹がうちの学校に通ってるパティーン。
vo_adv_5064004_073.m4a|誰が妙齢だ。
vo_adv_5064004_075.m4a|あ、シノブ先輩ごめ、今度は蹴っちゃった。トーで。
vo_adv_5064004_079.m4a|ま、どんなンでもいるだけ有難いじゃないすか、親とかって。
vo_adv_5064004_090.m4a|仕事って？
vo_adv_5064004_096.m4a|あー、そーゆーこと？客前には一応「きよらか」の生徒が座ってるけど、ほんとは裏でシノブ先輩が占ってて結果だけこっそり伝える、的な？
vo_adv_5064004_102.m4a|いや、そっちじゃん。バリ私欲じゃん。ビジネス哲学、完全に後付けじゃん。
vo_adv_5064004_105.m4a|親父、現役かよ。いい加減にしてやんなよ。
vo_adv_5064004_109.m4a|こんな圧の強い変態初めて見た……
vo_adv_5064004_114.m4a|おつかー
vo_adv_5064004_119.m4a|プロ顔負けの模擬店つって口コミ広まって、もう「きよらか」のあの辺、完全に確変入ってンもんなァ……
vo_adv_5064004_121.m4a|ある意味すごいわ、あいつら。ゴースト集めンのにどんだけ金バラ撒いたんだって話。
vo_adv_5064004_124.m4a|だいたい家の財力使っていいってなったら、このお嬢様学校のイベントなんか、札束で殴り合いの泥仕合ンなるわ。
vo_adv_5064004_127.m4a|や、モラル的に当然すぎて明文化されてないだけじゃん。子供の喧嘩に大人の殺し屋呼ぶなとかいちいち言わんでしょ。
vo_adv_5064004_132.m4a|たしか去年は偉めな学者のおばちゃん来て、閉会式で全校生徒にダルい説教してたな。
vo_adv_5064004_136.m4a|さあ。発作じゃないすか、何らかの病気の。
vo_adv_5064004_139.m4a|屁理屈やば。
vo_adv_5064004_142.m4a|頷いていいのかビミョーだけど、たしかに。
vo_adv_5064004_146.m4a|なんか無駄に熱くなってきたな。
vo_adv_5064004_149.m4a|あー、総合リレーたしかにテレフェスの花ってゆか、いわゆるクライマックスだけど。
vo_adv_5064004_152.m4a|なんという冷静で的確な判断力なんだ。
vo_adv_5064004_158.m4a|ああソレ。タマキさんから開発レシピもらって、なんかせこせこ作ってたやつ。
vo_adv_5064004_165.m4a|おー、はっや。加速オニじゃん。
vo_adv_5064004_168.m4a|おー、跳んだ。
vo_adv_5064004_171.m4a|おー、どっか行った。
vo_adv_5064004_174.m4a|じゃどーすんのよパイセン、総合リレーアレ、全員出場がマストなんだけど。
vo_adv_5064004_182.m4a|はあ……いいすけど、でも証拠不十分だから無駄なんすよね。
vo_adv_5064004_186.m4a|言いたいっつーか、まあほぼほぼ言ってンだけどね。
vo_adv_5064004_192.m4a|さすがパイセン、顔色ひとつ変えずに！
vo_adv_5064004_208.m4a|あのさあ。
vo_adv_5064004_211.m4a|あんた、なんでそんなセコい真似してまで、うちらのこと解体したがってんの。
vo_adv_5064004_213.m4a|あァ、まァ、そうだっけ。ふーん……大変な、生徒会長ってのも。
vo_adv_5064004_215.m4a|や、いいけど、あんた荒んだなぁと思って。嫌われ者ポジにいると色々あんだろーねえ、つって。
vo_adv_5064004_216.m4a|入学したばっかの頃とか、まぁクソ真面目ではあったけど、そんな正義だ風紀だガーガー言う拗らせキャラでもなかったじゃん。
vo_adv_5064004_218.m4a|ま、そーね。うち最初ッから謎に嫌われてたから、べつに語れるほどあんたと絡んだ覚えもないけどさ。
vo_adv_5064004_220.m4a|ぜってー嘘じゃん。
vo_adv_5064004_223.m4a|りょー
vo_adv_5064004_224.m4a|ま、いいや、何でも。とりま勝負は負けんし？こっからは地獄だぞ見とけよコノヤロウ、つって。
vo_adv_5064004_225.m4a|んだけ。じゃーね。
vo_adv_5064005_044.m4a|最強の助っ人とかいうの捕まえンのに苦労してんじゃないの。知んないけど。
vo_adv_5064005_046.m4a|ま、逆に言ったら？ここさえ獲れば優勝確定っつー次第。
vo_adv_5064005_048.m4a|あ、戻ってきた、おつーそんで助っ人ってのは──
vo_adv_5064005_050.m4a|な、なにィ……！　この声は……！
vo_adv_5064005_054.m4a|で、出たーッ、伝説のドラゴンスレイヤー！その飛沫まといし必殺の鉾は、強大な竜さえ一撃で屠るというぜー！
vo_adv_5064005_056.m4a|や、べつに全然。自分そんなドラスレオタとかじゃないんで。ちょっといいじゃんって思ってるだけなんで。
vo_adv_5064005_066.m4a|いや、今そんなことより、とりまミフユねえさんに着替えてもらった方がいんじゃない。鎧のまま走ってもらうわけいかないでしょ。
vo_adv_5064005_071.m4a|さすがオレたちのミフユさん、まさに伝説のバイトリーダーだぜ。
vo_adv_5064005_082.m4a|おるァアアアーーーッ！
vo_adv_5064005_111.m4a|ちぇるちぇる喚きながら走ってッから、放送コードに引っかかったんでしょ。学院の体面的に。
vo_adv_5064005_114.m4a|ん、いよいよか。
vo_adv_5064005_120.m4a|ロゼッタ、通信魔法の受信装置にもなるんだ。
vo_adv_5064005_127.m4a|いや顔はまだいいんだけど、問題は下よ。首から下。鎧じゃん。あとミフユねえさん動くたび、微妙に頭ぱかぱか揺れてンじゃん。
vo_adv_5064005_135.m4a|さすがっす。さすがオレたちのミフユさんっす。
vo_adv_5064005_160.m4a|行けッ……！
vo_adv_5064005_167.m4a|すげえ！　ドラスレねえさん、すげえ！
vo_adv_5064006_003.m4a|ぷぁー……これが勝者の余裕ってやつかぁ……
vo_adv_5064006_004.m4a|うち今までさぁ、金持ち喧嘩せずとかいう概念、マジ意味わかんなかったけど、たぶんこういう感覚なんだろうな……なんか何でも許せる気ぃするわ。
vo_adv_5064006_006.m4a|や、そーだけど、あと得票が入ンのはセレモニーステージだけだし。あれはもう、閉会式のおまけっていうか、エキシビジョンっていうか。ぶっちゃけ祭りのあとのチルアウトタイム的なやつだから。
vo_adv_5064006_010.m4a|ほら、さっき言ったじゃん、偉めな学者のおばちゃん来て長々と説教たれたとか。まさにアレ系のやつ。
vo_adv_5064006_011.m4a|たしか今年の「しとやか」は、理事長先生88才によるスペシャルびっくり手品ショウ、つってたな。
vo_adv_5064006_014.m4a|そ。だから勝負はもう決まってンの。
vo_adv_5064006_016.m4a|あ？
vo_adv_5064006_018.m4a|どうした。ぽっくり逝ったか。
vo_adv_5064006_026.m4a|あ？　なに見てんの。
vo_adv_5064006_028.m4a|なに見てんだって。もうやんないよ。そんな期待に満ちたいやらしい目で見られても、うちピンチヒッターとか金輪際やんないって。
vo_adv_5064006_032.m4a|ギャオオオーン！　うわー助けて怪獣だー！　じゅわっち！あ、あれは姉ちゃんマン！　じゅわじゅわ！　ギャアァーーース！
vo_adv_5064007_004.m4a|そっすねーま、よかったンじゃないすか、誰も怪我とかしなくて。
vo_adv_5064007_005.m4a|巨大ユニアートは無事フル殺しにしてやったし。派手に燃え散らかした校舎も、なんか結果ピンピンしてたし。
vo_adv_5064007_011.m4a|なんでうちらの学校、ちょいちょい災禍の炎に包まれる前提なんすか。
vo_adv_5064007_017.m4a|最前列の方になんか一人うるせーオタがいんな……
vo_adv_5064007_019.m4a|さあ。現実逃避じゃないの。
vo_adv_5064007_024.m4a|あーあ。もうコレどんどこ点入ってンなあ。もう今更だし、いいけどべつに。
vo_adv_5064007_028.m4a|きも。アオハルかよ。
vo_adv_5064007_029.m4a|……ま、いいけど、べつに。最後だし、多少はね。
vo_adv_5064007_032.m4a|だァーら、きもいっての。
vo_adv_5064007_033.m4a|……つって、うちも？べつに嫌いではなかったかな。
vo_adv_5064007_034.m4a|てか、まあ……わりと好きめだったかも。
vo_adv_5064007_037.m4a|最後までうるせーなこいつら。
vo_adv_5064007_041.m4a|ちょ、言うなしソレ。今ソレなんとなくあえてチョクには言わない流れだったじゃん……
vo_adv_5064007_042.m4a|そんな実感込めて言われちゃうとさぁ……うち殺し屋みたいな目ぇして意外と涙もろいんだからやめれって……
vo_adv_5064007_045.m4a|ま、そーなんすけどね。
vo_adv_5064007_047.m4a|ヤなたとえだな。
