vo_adv_1164001_000.m4a|続・研究レポート『世界に連なる高次よりの耳目』。
vo_adv_5064000_183.m4a|だが、かよわい後輩たちに頼られては仕方ない。栄えある文系の名に懸けて、敵の牙城を切り崩してみせよう。
vo_adv_5064000_185.m4a|シスター・マリア。一つ確認しておきたいことがある。
vo_adv_5064000_186.m4a|もしや本決議は、君たち生徒会の独断先行によるもので、いまだ学院側の承認は得ていないのでないかね。
vo_adv_5064000_188.m4a|ふうむ……しかし、そうは言うがな。実を申せば、我々四名は教務主任のマザー・ヒルダから、来たる聖学祭を盛況に導くよう内密に依頼されているのだよ。
vo_adv_5064000_189.m4a|やれやれ、困ったぞう。いま我々が解体されてしまったら、マザーからの秘密のお願いはどうなってしまうのだ。
vo_adv_5064000_195.m4a|君も存知のように、我が校の伝統行事『聖学祭』には、父兄や地域住民をはじめ、理事会や教育機関各所、ほか各方面から多数の歴々が列席する。
vo_adv_5064000_196.m4a|そうした来賓に対して当学生徒の華々しい活躍をご覧に入れるよう、学院はマザーを通じて我々に要請してきたのだ。
vo_adv_5064000_197.m4a|訪れる来賓の中には、当学へ出資している有産階級も多数いる。彼ら彼女らの授けが意義あるものと印象付けることで、おそらく新たな支援、ないし継続支援を期待しているのだろう。
vo_adv_5064000_200.m4a|汲んでやりたまえよ、大人たちの思惑を。シスター、ここは天国じゃあない。神聖なる学び舎とて、地上に在る以上は先立つものが必要なのさ。
vo_adv_5064000_203.m4a|君の感情など知ったことかよ。
vo_adv_5064000_204.m4a|ともかく我々にかくも重大な責務が委ねられたのは、すなわち学院が当部を必要としている証左だ。万事よしなに、とマザーも言っていたよ。
vo_adv_5064000_207.m4a|清いだけの水に魚は棲まぬ。シスター、真に学院の未来を憂うというなら、ぼかあよくよく考え直すことをお勧めするね。
vo_adv_5064000_213.m4a|いいのかね。
vo_adv_5064000_215.m4a|「一定の成果」とは、また曖昧な指標だ。端的に言って、ふわっとしている。基準が君たちの匙加減に依るようでは困るのだが。
vo_adv_5064000_227.m4a|さて、諸君。今宵は廃部──いや部ではないのだが、解散の危機を免れた我々に乾杯しようではないか。
vo_adv_5064000_233.m4a|はて、君は自信がないのかねクロエ君。
vo_adv_5064000_235.m4a|然り、よく言った諸君。聖学祭を制覇して未来を掴むぞ。祝勝祈念の盃を掲げよ！
vo_adv_5064000_240.m4a|クロエ君、そういうところだぞ。青春発露の権利はみな平等に行使されるべきだ。
vo_adv_5064001_022.m4a|やあ諸君、待たせたね。ギルドマスターのユニだよ。
vo_adv_5064001_026.m4a|分解した。代理出走の嫌疑がかけられたのでな、証拠隠滅だ。
vo_adv_5064001_029.m4a|なかよしＸ　ＭｋⅡの技術を転用した簡易型からくり人形に、ぼくの愛玩鉱物・喋る石のロゼッタを搭乗させたものだ。端的に換言すれば、人型ロゼッタといったところか。
vo_adv_5064001_030.m4a|もっとも試験段階ゆえ、いまだ複雑な動作はできないのが玉に瑕。
vo_adv_5064001_032.m4a|幻影魔法で、ぼくの鏡像というテクスチャーを貼ったのだ。本運用は数年先になるゆえ、多少の成長見込みは加味しておいたが。
vo_adv_5064001_035.m4a|バレてない。バレそうになったが証拠不十分で無効試合にされただけだ。
vo_adv_5064001_037.m4a|たしかに聖学祭では、魔法等の使用が原則禁止とされている。しかしながら、そのレギュレーションは性善説に基づくもの。いちいち個別に魔力検査が行われることはない。
vo_adv_5064001_038.m4a|そして他方、この学院には基礎的な魔法理論を学ぶ授業が存在する。つまりだ、これらをぼくなりに総合解釈すると──バレなければやってもいいんじゃないかな。
vo_adv_5064001_041.m4a|欲しい欲しくないの話ではない。あれはぼくの緻密な計算が導きだした、客観的な成長見込みだ。ちなみに文系の計算は、だいたい最終的に「なんとなく」だよ。
vo_adv_5064001_044.m4a|クロエ君、あれが自虐風自慢というやつかね。
vo_adv_5064001_047.m4a|これが持つ者か。いっそ清々しいな。
vo_adv_5064001_049.m4a|馬鹿を言うんじゃあないよ。仕方なかろう、ぼくが君らより学を積んでいるのは単なる事実だ。その前提を無視してはいちいち話が進まん。
vo_adv_5064001_053.m4a|うむ、君らのお陰で、おそらく序盤戦はこちらが優勢のはず。まだ先は長いが、もはやこの聖学祭、我ら「しとやか」が勝ったも同然と言えよう。
vo_adv_5064001_055.m4a|聖学祭は全校生徒を「しとやか」「きよらか」に二分した紅白戦。そして我々四名は全員「しとやか」側に編成されたのだ。ようく覚えておきたまえ。
vo_adv_5064001_058.m4a|名は体を表す。淑やかなる我々の所属は「しとやか」だ。さあ同志、二度と忘れぬよう情感こめて唱えたまえ。さんはい。
vo_adv_5064001_059.m4a|結構。言わされてる感が多少気になるが、まあそのうち馴染むだろう。
vo_adv_5064001_061.m4a|随分と都合の良い運命もあったものだ。生徒会ではそれを厳正なる抽選の結果と呼ぶらしいが、まあいいだろう。その運命にこちらが異を唱える理由はない。
vo_adv_5064001_065.m4a|ふむ、そうだな。仮設ステージの脇にスコアボードが掲示されているという。確認するまでもなかろうが、一応見るだけ見ておくか。
vo_adv_5064001_083.m4a|なるほどな……これが団体戦のままならぬところか。
vo_adv_5064001_087.m4a|ううむ、ひどいな。端的に言わずともひどい。
vo_adv_5064001_089.m4a|学院と屋敷との往復さえ馬車に恃み、日々の運動を怠ってきた結果だ。参加することに意義があるなどとは言うものの、せめてこの日に備えて多少の体力作りに励んでほしかったところだ。
vo_adv_5064001_092.m4a|まあまあ、落ちつきたまえよ諸君。たしかに現状、我が軍は負けている。
vo_adv_5064001_093.m4a|だが見方を変えれば、この点差で済んでいるのはひとえに我々の奮闘あればこそだ。
vo_adv_5064001_096.m4a|たわけ。勝負への貢献を問うなら、まず何より生徒会に解体令を保留させて今日の勝負へと持ち込んだのが誰あろうぼくだ。
vo_adv_5064001_098.m4a|うむ、よく言った同志。その通りだ、まだ案ずる段階ではない。
vo_adv_5064001_099.m4a|──と言いたいところだが、予想以上に不確定要素が多そうだ。正直「うちらなら何とかなるっしょ」程度にしか考えていなかった。端的に換言すると、ちょっぴり焦る。
vo_adv_5064001_102.m4a|いやクロエ君。君の愛読する少年向け週刊絵巻じゃあるまいに、そんな都合よく救世主が現れるなど──
vo_adv_5064001_110.m4a|というわけで、我々ユニちゃんズが存亡の危機に瀕しておるのだよ。
vo_adv_5064001_116.m4a|もしくはシンプルに賄賂。それで。
vo_adv_5064001_118.m4a|地獄の沙汰もルピ次第。正義も風紀もみな金の前には等しくこうべを垂れるのだよ、くくく。
vo_adv_5064001_122.m4a|おい同志、どういうことだ。君から聞いていた話と違うぞ。クロエ君も少年向け週刊絵巻のような顔になってしまったじゃないか。アキノ君といえば、経済感覚のちぇるった天然バラまき富豪娘のはず。
vo_adv_5064001_127.m4a|君ね、金のガチョウに余計な知恵を付けるんじゃあないよ。
vo_adv_5064001_133.m4a|もういい、諦めようチエル君。ルピの切れ目が縁の切れ目。気持ちだけ頂戴して、我々は屋内展示の方へカッ飛ぶとしよう。
vo_adv_5064002_000.m4a|なになに、「貴族制度がもたらす社会的功罪」……？ふうむ、学生らしい着眼といえば聞こえは良いが、学術的観点から見れば取るに足らん子供の感想文だ。35点。
vo_adv_5064002_001.m4a|「アストライア大陸の植生分布に見る自然の変容」か……ふん、既存の学術書を丸ごと写経したような内容だな。こんな手垢まみれの題目で自由研究を謳うとは片腹痛い。８点。
vo_adv_5064002_004.m4a|ふん、そりゃあ投票権があるというなら、「しとやか」の生徒にはみだりに満点を乱発してやるがな。残念ながら、審査員はぼくではない。
vo_adv_5064002_005.m4a|周知のとおり、聖学祭の演目はざっくり二種に大別される。屋外での「運動競技」と、屋内での「学芸展示」だ。
vo_adv_5064002_007.m4a|前者については説明不要だろうが、後者に括られるものは多岐に亘る。学術系の研究発表であったり、芸術系の作品展示であったり、また社会勉強と来賓のもてなしを兼ねた模擬店形式での出展もある。
vo_adv_5064002_009.m4a|うむ。生徒たちの「作品」を鑑賞した父兄や来賓が、既定の持ち点を配分する形で点を投じる──というシステムだ。
vo_adv_5064002_010.m4a|来賓の中でも教育関係者は他より持ち点が多い、などといった細かいレギュレーションはあるが、まあ概要は大体そんなところだ。
vo_adv_5064002_012.m4a|ふむ、チエル君の年上の友人だったか。たしか彼女も「しとやか」所属だったな。
vo_adv_5064002_016.m4a|ううむ……運動競技で劣勢だった分、学芸展示には期待していたのだが……いよいよ大丈夫だろうか、我が「しとやか」組は。
vo_adv_5064002_018.m4a|そう言うクロエ君の自由研究は……ふむ、これか。「オオドクマンドラゴラの観察日記」。
vo_adv_5064002_020.m4a|「ある日、私はお腹が空いていたのでお店屋さんに入りました」。ふむ、およそ学術論文とは思えない牧歌的な書き出しだ。
vo_adv_5064002_023.m4a|だろうな。作文と論文の区別がついていない時点でおおむね察しはつく。
vo_adv_5064002_026.m4a|人にはそれぞれ適性というものがある。端的に言えば向き不向きだ。クロエ君はすでに運動競技で十二分に能力を発揮している。今日に限ればそれで良いではないか。
vo_adv_5064002_030.m4a|ほほう、これがチエル君の小論文かね。テーマは……ふむ、「通信魔法の未来とコミュニケーション概論」。
vo_adv_5064002_032.m4a|ふむふむ……演繹法に則った整然たる論調だな。主題も明確で筋が通っている。端的に言って、批判するところがない。
vo_adv_5064002_037.m4a|論文？　いや、ぼくは提出していないが？
vo_adv_5064002_040.m4a|どうだろうか。ぼくにはその選択肢があったと思えない。何故なら、世界はそうして今日も回っているんだ。
vo_adv_5064002_043.m4a|ふむ……では他の学芸展示も視察してみるとしよう。そうだな、次はどこへ──
vo_adv_5064002_045.m4a|むっ、聞いたかね諸君、これはいいぞ。血の気の多い君たちに足りないのは、アートに触れる心の余裕だ。いざ芸術のほとりへ、往くぞ若輩たち！　我に続け！
vo_adv_5064002_047.m4a|このブースが「しとやか」の生徒たちの作品群か……これは……ううむ……
vo_adv_5064002_052.m4a|芸術の本質は巧拙にあらず。肝要なるは、鑑賞者の心に届くか否かなのだが……
vo_adv_5064002_055.m4a|厳正なる抽選の結果──というのは生徒会の虚偽で、実際は成績の優劣による選考制だったということかね？
vo_adv_5064002_063.m4a|然り、解釈は鑑賞者それぞれの感性に委ねよう。芸術は受け手の心を揺さぶった瞬間にこそ完成するものだ。ぼくは送り手として、あえて語らず黙しておくさ。
vo_adv_5064003_006.m4a|しとやか352、きよらか357。
vo_adv_5064003_007.m4a|ふっふ、勝負は中盤戦──折り返し点を越えた辺りだが、すでに敵の尾は掴んだも同然、端的に言って僅差だ。
vo_adv_5064003_008.m4a|誇ろう、戦友たち。この吉報は、我々の流した汗が生んだものだ。ふぅ。
vo_adv_5064003_011.m4a|なんだね。ぼくとて淑女である前に人間だ、尻ぐらい掻くこともある。生物としてごく当たり前の生理行動を咎めるというのか。
vo_adv_5064003_014.m4a|だったら最初からそう言えばいいだろう。なぜ殊更にぼくの尻をあげつらった。貴様そんなにぼくの尻が憎いのか。
vo_adv_5064003_016.m4a|で、では、僕の尻を愛しいと思っているのか……
vo_adv_5064003_019.m4a|なんだと？　君までぼくに尻を掻くなと言うのか。
vo_adv_5064003_024.m4a|「お」を付ける……なるほど、おケツか。おケツと言えばぼくはおケツを掻いてもいいんだな？
vo_adv_5064003_027.m4a|綺麗事をぬかすんじゃあないよ。王者も聖者も大賢者も、皮膚に痒み走らば掻かぬ者はおらん。君とてどうせ家ではごわしごわしと尻を掻き散らかしているのだろう。
vo_adv_5064003_030.m4a|おいおいクロエ君、「お」を付けたまえ。ぷりぷりキュートな桃尻警察に怒られてしまうよ？
vo_adv_5064003_048.m4a|……チエル君、どうだろうか。
vo_adv_5064003_055.m4a|クロエ君……大概だぞ……
vo_adv_5064003_067.m4a|なに、それはまずいぞクロエ君。
vo_adv_5064003_076.m4a|しかしクロエ君は事実、接客業も飲食業も慣れている。我々の中でもっとも適任だと思うのだが。
vo_adv_5064004_003.m4a|ふむ、たしかに巧いな……
vo_adv_5064004_005.m4a|いや、作りが巧いと言ったのだ、この護符や巻き物の。
vo_adv_5064004_007.m4a|手作り魔法具ショップを謳う模擬店で、敵情視察と学術的検証を兼ねて買ってみた物なのだが──
vo_adv_5064004_008.m4a|──どれも実によくできている。熟練の専門家にも引けを取らぬ、精巧な技術の賜物だ。とても魔法の基礎を学び始めた一学生による物とは考えにくい。
vo_adv_5064004_011.m4a|うむ。例によって証拠はないが、例によって間違いない。それぞれの模擬店に求められる特殊な才に長けた生徒を、「厳正なる抽選」とやらで都合よく自軍に配属させているのだろう。
vo_adv_5064005_045.m4a|ううむ、間に合ってくれれば良いのだが……総合リレーは逆転が見込める最後の機会、その後にはもはや閉会式を残すのみだ。
vo_adv_5064005_053.m4a|これは心強い。ミフユ師が来てくれたのか。
