vo_adv_2107002_055.m4a|お姫さまには、指一本触れさせないッスよ！……くぅっ、決まった……！
vo_adv_7023000_007.m4a|違うッス！あんたたちがルナの塔に挑むと知って追いかけてきたッス！自分もぜひ連れてってほしいッス！
vo_adv_7023000_009.m4a|トモね～ちゃんたちから聞いた話だとルナの塔には、{player}さんの記憶を取り戻すヒントがあるッスよね？
vo_adv_7023000_010.m4a|なら、塔の攻略を助けるのはヒーローとして当然のことッス！{player}さんには世話になってるッスからね。
vo_adv_7023000_012.m4a|ありがとうッス！足手まといにはならないッスよ！
vo_adv_7023000_013.m4a|子供扱いはやめてほしいッス！毎日の特訓で、あんたと出会った時よりもバッチリ強くなってるッスよ！
vo_adv_7023000_015.m4a|ヒヨリさん、ッスよね。知らない仲じゃあないッスけど、こうしてゆっくりお話しするのは初めてッスね。
vo_adv_7023000_017.m4a|ええ？　じ、自分とッスか？
vo_adv_7023000_019.m4a|【王宮騎士団（NIGHTMARE）】の活動の時ッスかね？
vo_adv_7023000_021.m4a|え、ええと自分は獣人じゃ……
vo_adv_7023000_023.m4a|え？　見られてたッスか？全然気が付かなかったッス……
vo_adv_7023000_024.m4a|って、そういえば自分も獣人の居住区でヒヨリさんを見かけたことがあるッスよ。
vo_adv_7023000_025.m4a|たしか、お年寄りや子供と一緒だったッス。もしかして……自分と同じことしてたッスか？
vo_adv_7023000_027.m4a|ヒヨリさんも自分と同じことをしてたッスね。それは心強いッス！
vo_adv_7023000_029.m4a|こちらこそよろしく頼むッス！よーし、それじゃあさっそく突撃ッスよー！
vo_adv_7023001_000.m4a|ここがルナの塔ッスか。変わった雰囲気ッスね……
vo_adv_7023001_002.m4a|魔物ッス！出たッスね～！
vo_adv_7023001_004.m4a|わ、分かったッス！てやーッス！
vo_adv_7023001_005.m4a|やったッス！これが自分の実力ッスよー！
vo_adv_7023001_006.m4a|倒したと思ったらどんどん出てくるッス！ああっ！　一匹そっちにいっちゃったッスよ！
vo_adv_7023001_008.m4a|す、すごいッス！簡単に倒しちゃったッス……
vo_adv_7023001_010.m4a|は、はいッス！！
vo_adv_7023001_011.m4a|ふうう……魔物がたくさん出てきたときはどうなるかと思ったッスけどなんとかなったッス……
vo_adv_7023001_013.m4a|大丈夫ッス！　ヒヨリさんのおかげッス。自分の死角の敵を倒してくれたからすごく助かったッスよ。
vo_adv_7023001_014.m4a|まるでそこに来るのが分かってたみたいだったッス！すごかったッスよ！
vo_adv_7023001_017.m4a|レイさんって……そうだったッス！ヒヨリさんとレイさんは同じギルドだったッスね！自分、前にお世話になったッス！
vo_adv_7023001_018.m4a|でも、レイさんってすっごく強かったッスよ。自分なんかとは全然違うッス……
vo_adv_7023001_021.m4a|まっすぐ……ってどういうことッスかね？
vo_adv_7023001_022.m4a|自分らしい、ッスか……よく分かんないッスけど褒められてるッスかね？
vo_adv_7023001_025.m4a|お、思ってるッス……ヒヨリさん、すごいッス！　よく分かったッスね！
vo_adv_7023001_026.m4a|自分、まだまだ剣の腕が未熟ッスから、敵を引き付けてみんなを守るくらいしかできないッス……
vo_adv_7023001_029.m4a|いいコンビッスか？そう言ってもらえるとうれしいッス！……ハッ！　そうッス！
vo_adv_7023001_031.m4a|ちょうどいいッスよ！ヒヨリさんも自分と一緒にヒーローになればいいッス！コンビでヒーローになるッスよ！
vo_adv_7023001_035.m4a|大丈夫ッス！強いし優しいしカッコいい！　そしてなにより正義の心があるッス！ヒヨリさんなら立派なヒーローになれるッスよ！
vo_adv_7023001_036.m4a|さあ、自分と一緒にダブルヒーローを目指すッス！
vo_adv_7023002_000.m4a|えええ？　やっぱりダメッスか？
vo_adv_7023002_002.m4a|そんなことないッスよ。正義の心があるなら立ち上がるべきッス！
vo_adv_7023002_004.m4a|サポート役に徹する、ってことッスか？
vo_adv_7023002_006.m4a|それを言うならサイドキックッス！！
vo_adv_7023002_008.m4a|確かにヒヨリさんのサポート能力はさっきの戦いでよく分かったッスけど本当にそれでいいッスか？
vo_adv_7023002_010.m4a|まあ、ヒヨリさんがそこまでいうなら……分かったッス。
vo_adv_7023002_012.m4a|サイドキックにはヒーロー見習いって側面もあるッスからね。これからヒーローになりたいって気持ちを育てていけばいいッス！
vo_adv_7023002_014.m4a|分かったッス！む……この気配は！
vo_adv_7023002_016.m4a|任せてほしいッス！てやーッス！
vo_adv_7023002_018.m4a|調子いいッス！このまま進んでいくッスよ！
vo_adv_7023002_020.m4a|任せるッス！これが、ヒーローの一撃ッス！
vo_adv_7023002_023.m4a|了解ッス！てやー！
vo_adv_7023002_025.m4a|ヒヨリさんのサポートのおかげッス！サイドキックにしておくには惜しい才能ッスよ……
vo_adv_7023002_026.m4a|でも、調子でてきたッス！このまま登っていくッスよ！
vo_adv_7023002_028.m4a|任せてほしいッス！改めて、突撃ッスー！
vo_adv_7023003_001.m4a|任せるッス！たあああ！
vo_adv_7023003_002.m4a|成敗！　ッス！
vo_adv_7023003_004.m4a|ッス！　ヒーローには決めポーズが必要ッスからね！
vo_adv_7023003_006.m4a|どんなッスか？もちろん、トラタイガーみたいな立派なヒーローになりたいッス！さっきのポーズもトラタイガーを参考にしてるッス！
vo_adv_7023003_008.m4a|……ヒヨリさんは、自分のこと笑わないッスね。たまに、子供っぽい夢だって言われちゃうッスけど。
vo_adv_7023003_010.m4a|やっぱりヒヨリさんはいい人ッス！バッチリヒーローの心得があるッスよ！
vo_adv_7023003_012.m4a|そうだ。ヒヨリさんの夢は何ッスか？
vo_adv_7023003_014.m4a|なるほどッス。それで、いろんな人達を手伝ってたんッスね……素敵な夢ッス！
vo_adv_7023003_016.m4a|そうッス！やりたいことが人助けなんて立派ッス！
vo_adv_7023003_019.m4a|そうッス！自分は、ヒーローとして{player}さんを助けに来たッス！
vo_adv_7023003_021.m4a|……ヒヨリさんって、なんだか不思議な人ッスね。
vo_adv_7023003_023.m4a|そう言ってもらえるのはうれしいッスけど……親近感って……自分たちそんなに似てるッスかね？
vo_adv_7023003_025.m4a|じ、自分は獣人じゃ……って、{player}さんにもヒヨリさんにももうバレバレッスね……
vo_adv_7023003_027.m4a|【王宮騎士団（NIGHTMARE）】には内緒にしておいてくれればありがたいッス……
vo_adv_7023003_029.m4a|ああっ！　それは気付かなかったッス！正体を隠すって確かにヒーローっぽいッス！
vo_adv_7023003_031.m4a|はいッス！ヒーローに憧れる気持ちは、誰にも負けないッスよ！
vo_adv_7023003_034.m4a|た、確かにそうかもしれないッス……ヒーローの本質ってやつかもしれないッス。すごいッス、ヒヨリさん。勉強になるッス！
vo_adv_7023003_036.m4a|そんなこと言わずに！　今からでもヒーローになるッスよ～！
vo_adv_7023004_000.m4a|てやあああ！　ッス！
vo_adv_7023004_001.m4a|って、これじゃあ倒れないッスか？
vo_adv_7023004_003.m4a|わわっ！　また出たッス！この、このっ！
vo_adv_7023004_005.m4a|りょ、了解ッス！てーい！　この！　この！
vo_adv_7023004_007.m4a|倒せたッスけど……魔物がどんどん強くなってるッス……
vo_adv_7023004_008.m4a|今みたいな魔物がたくさん出てきたら危ないかもしれないッス……こ、このまま自分たちだけで進むべきッスかね？{player}さんは大丈夫ッスか？
vo_adv_7023004_010.m4a|わ、分かったッス。確かにちょっと弱気になっていたかも……いろんな冒険をしているヒヨリさんが言うなら大丈夫ッスね！
vo_adv_7023004_011.m4a|そ、そうッスよね……
vo_adv_7023004_013.m4a|リラックス……ッスか？わ、分かったッス……やってみるッス……！すー……はー……
vo_adv_7023004_014.m4a|また出たッスー！さっきよりも強そうな魔物ッス！じ、自分勝てるッスか……？
vo_adv_7023004_016.m4a|ハッ！　そ、そうッス……！自分はこんなところで負けるわけにはいかないッス……！でも……
vo_adv_7023004_018.m4a|わわわっ！　いつのまにか囲まれてるッス！って、ことは……自分一人でこの魔物を倒すしかないってことッスか！？
vo_adv_7023004_020.m4a|ヒヨリさん！こ、こっちは大丈夫ッスから前見て戦ってほしいッス！
vo_adv_7023004_022.m4a|ヒヨリさん……{player}さんも……！ううっ、弱気になっちゃダメッス…！
vo_adv_7023004_023.m4a|自分一人だとくじけちゃうかもしれないッスけど……でも、仲間のために！二人の期待に応えたいッス……！！
vo_adv_7023004_024.m4a|二人のことを考えたら……ち、力が沸き上がってきたッス！勇気を、ふり絞るッスよー！
vo_adv_7023004_026.m4a|これが……正義の一撃ッス！！てーやー！
vo_adv_7023004_027.m4a|や、やったッス！自分一人でも倒せたッス！
vo_adv_7023004_029.m4a|ヒヨリさんのおかげッスよ！ヒヨリさんと{player}さんの応援を受けたら、元気と勇気があふれてきたッス！
vo_adv_7023004_031.m4a|応援でみんなを元気づける！これがヒヨリさんがやりたいことなんッスね。分かってきた気がするッス！
vo_adv_7023004_033.m4a|そ、そうッスかね？でもそれもこれもヒヨリさんから元気をもらったおかげッス！！
vo_adv_7023004_034.m4a|みんなに元気と勇気を与えるのってすごいッス……それってまるで……
vo_adv_7023004_036.m4a|ちょっと考え事ッス！よーし、この調子でどんどん進むッスよ！
vo_adv_7023005_001.m4a|あ！　あそこ！　なにか光ってるッス！行ってみるッスよ！
vo_adv_7023005_003.m4a|あったッス！これが{player}さんの記憶を取り戻すヒントってやつッスかね？
vo_adv_7023005_005.m4a|えへへ、そう言ってもらえるとうれしいッス……って、あれ……？　なにか光ってるッス！これって……！
vo_adv_7023005_058.m4a|あ、あれ……ここは……そうだ。ルナの塔っスよ！
vo_adv_7023005_060.m4a|今のは夢……ッスかね？記憶になにか関係あったみたいッスけど……うーん……
vo_adv_7023005_062.m4a|さっきの夢で、自分……分かったッス……ヒヨリさんはやっぱりヒーローを目指す必要はないッスね……
vo_adv_7023005_064.m4a|そうッス！　今のままでいいッス！みんなを助けて元気づけるのも、立派なヒーローの仕事ッス。それができているヒヨリさんは自分と違ってもうすでにヒーローッスよ！
vo_adv_7023005_066.m4a|だから……ヒヨリさん、いえ……師匠！自分を弟子にしてほしいッス！
vo_adv_7023005_068.m4a|ダ、ダメッスか？
vo_adv_7023005_070.m4a|お互いさまさま、ッスか？
vo_adv_7023005_072.m4a|分かったッス！こちらこそ、ぜひお願いするッス！その時は、{player}さんも一緒ッスよ！
vo_adv_7023005_074.m4a|おー！　ッス！
vo_adv_9003505_003.m4a|良かったー、無事だったッスね！
vo_adv_9003509_004.m4a|わわっ！こいつら、まだ出てくるッス！？
vo_adv_9003509_013.m4a|あーっ！　待つッス～！
vo_adv_9003513_004.m4a|わわっ！こいつら、まだ出てくるッス！？
vo_adv_9003515_007.m4a|へへん！今更ひとり増えたくらいで、負けないッスよ～っ！
vo_adv_9003516_002.m4a|自分たちも、イノリさんやカヤさんにちょっとは成長してるところ見せるッスよ～！
vo_adv_9004009_004.m4a|なるほど、年間活動記録を集めてたんッスね。もしかして、博士に用があった感じッスか？
vo_adv_9004009_013.m4a|うーん、難しい話はよく分かんないッスけど……あんた、お腹空いてないッスか？一緒にお菓子を作るッスよ！
vo_adv_9004009_015.m4a|できたッス！へへっ、{player}さんが手伝ってくれたおかげでいつもよりおいしくできた気がするッス！
vo_adv_9004009_020.m4a|じゃあ、自分も食べてもらいたいッス！せっかくだし、誰のが一番おいしいか決めてもらうのはどうッスか？
vo_adv_9005008_012.m4a|了解ッス！ほらほら大人しくするッスよ～！
vo_adv_9005008_016.m4a|はいッス！クレジッタおばさん、お話はあとで聞いてあげるッスからね。
