vo_adv_1211001_031.m4a|誰だ、とはずいぶんご挨拶だな、キャル。
vo_adv_2104098_051.m4a|誰かが待ち伏せしている、と思ったら……オマエたちは、たしか【トゥインクルウィッシュ】だったか？陛下との戦いのとき以来だな。
vo_adv_2104098_052.m4a|もしや、ワタシ相手に腕試しでもしに来たか？丁度いい、大歓迎だ♪退屈で退屈で、死にそうなところだったんだよ。
vo_adv_2104098_054.m4a|……フン。じゃあなんだ、サインでも欲しいのか？それともアイドル志願者か。今は新人募集はしていないんだがな。
vo_adv_2104098_058.m4a|そうかそうか──断る。
vo_adv_2104098_061.m4a|普段は寛大で温厚で慈悲深いクリスティーナさんだがな。今は虫の居所がとても悪いんだ。
vo_adv_2104098_062.m4a|だいたいオマエたち、どうやってワタシの現在地を突き止めた？あてどもない放浪の旅のつもりだったんだがな。
vo_adv_2104098_064.m4a|なんだそれは。あべこべじゃないか？アイドルの追っかけではなく、プロデューサーの追っかけとは。
vo_adv_2104098_065.m4a|だが、どちらにせよ無駄足だったな。さっきも言ったとおり、今のワタシは虫の居所が──
vo_adv_2104098_068.m4a|当然だろう。ペコリーヌのことがキライなわけではないが……玉座を取り戻したからといって、このワタシがヤツに、頭を垂れる義理などありはしない。
vo_adv_2104098_069.m4a|そんなわけでだ。陛下のいなくなったこの世界に、ワタシを愉しませるものがなにかひとつでもないかと思って、旅なんぞしてみたが……
vo_adv_2104098_070.m4a|いまのところ、まるでダメだな。……あの方のように圧倒的で、傲慢で、いびつで、孤独な人間は……世界の果てまで探しても、きっと見つからないのだろうよ。
vo_adv_2104098_072.m4a|…………
vo_adv_2104098_073.m4a|……陛下は、ペコリーヌたちに敗れた。ワタシではなく。ペコリーヌと、{player}と、仲間であるオマエたちにな。
vo_adv_2104098_074.m4a|そして、敗者は勝者に従うものだ。それが世界の絶対法則だ。
vo_adv_2104098_075.m4a|ワタシは、その法則を捻じ曲げたくはないんだよ。『誓約』しているわけではないがな。
vo_adv_2104098_076.m4a|ああ、もちろん。陛下の命を、ペコリーヌが奪おうというなら……そのときは、また話が変わってくるが。あの甘っちょろい小娘に、処刑などできはしないだろうさ。
vo_adv_2104098_078.m4a|それは安直にもほどがあろうよ。よく考えてみろ。もしワタシがペコリーヌを倒してしまえば、そのときは……
vo_adv_2104098_079.m4a|このワタシが、プリンセス・クリスティーナに。ランドソルという国の、王になってしまうんだぞ？
vo_adv_2104098_081.m4a|そうだとも。陛下は力ずくでプリンセスの座を奪い、ペコリーヌは力ずくで陛下を倒し、それを取り返した。ならばワタシがペコリーヌを倒したら、今度はワタシがプリンセスだ。
vo_adv_2104098_083.m4a|強壮な兵隊や、歌って踊る少女たちの集団ならともかく……数えきれんほどの老若男女の上に立ち、導かねばならん義務を負うなど、ワタシ向きでないにもほどがある。まっぴらごめんだよ。
vo_adv_2104098_084.m4a|そんなわけで、だ。今のワタシは愉快なコトに出会える可能性に賭けてこの世界をさすらう以外、他にないわけさ。分の悪い賭けだよ、まったく。
vo_adv_2104098_085.m4a|……ああ、退屈だ……陛下と鍔迫り合い、命の獲り合い……本当に愉快だった……あの愉悦を一度味わってしまったら、並みの快楽では満足できん……
vo_adv_2104098_087.m4a|……あん？
vo_adv_2104098_089.m4a|………………なんだ。ワタシの耳がおかしくなったか？王宮の関係者でもない娘が、陛下を釈放させると聞こえたが。
vo_adv_2104098_093.m4a|ネネカ、ラビリスタ……はん。奴らの差し金か。成程成程……
vo_adv_2104098_095.m4a|──……
vo_adv_2104098_096.m4a|構えろよ、お嬢ちゃん。
vo_adv_2104098_100.m4a|慌てるんじゃあない。むしろ喜べ☆一歩前進だよ。
vo_adv_2104098_101.m4a|オマエたちには、ワタシと戦ってもらう。ずいぶんな大言壮語をぬかしたんだ。それを裏打ちするだけの力、見せてもらわなくてはな。
vo_adv_2104098_103.m4a|このワタシに、一太刀浴びせるコトができたら──交渉のテーブルに、両足を掛けてやろうとも！
vo_adv_2104098_105.m4a|はははっ♪安心しろ、殺しはしないさ！もっとも──
vo_adv_2104098_106.m4a|オマエたちが弱すぎたのなら、その限りではないがな！
vo_adv_2104098_107.m4a|おいおい、こんなものか？久々のまともな運動だったせいで、つい力が──
vo_adv_2104098_109.m4a|ほう？立ち直りが早いな。いいぞ。もっと愉しませてくれ☆
vo_adv_2104098_113.m4a|──っ！？目くらましか！
vo_adv_2104098_116.m4a|甘いぞ！目を塞ごうが、ワタシの絶対防御は──……
vo_adv_2104098_117.m4a|……うん？
vo_adv_2104098_122.m4a|……
vo_adv_2104098_123.m4a|裏だ。
vo_adv_2104098_126.m4a|……ほぅ。オマエたち、それでワタシから一本取ったつもりかね。残念だが──
vo_adv_2104098_127.m4a|そんなものではなっ！──『乱数聖域』！
vo_adv_2104098_131.m4a|……フン。
vo_adv_2104098_132.m4a|……それで？オマエたちの要求を、くわしく聞かせてもらおうか。【トゥインクルウィッシュ】。
vo_adv_2104098_134.m4a|聞くだけ聞いてやろうとも。あの少年抜きでも、このワタシに一矢報いるほど成長したオマエたちに、敬意を表して……な。
vo_adv_2104098_135.m4a|……うん？自分で言っておいてなんだが、なんだそれは。
vo_adv_2104098_136.m4a|まるで過去に、{player}率いるオマエたちと戦ったことがあるみたいじゃないか。……退屈しすぎて、ワタシも焼きが回ったか？
vo_adv_2107001_006.m4a|相変わらず騒がしい奴だな。質問する時は数を絞らないと、相手から嫌われるぞ……？
vo_adv_2107001_008.m4a|剣を抜いた理由はな。ワタシの目当てを、オマエが手にしているからだよ。ノウェム。
vo_adv_2107001_010.m4a|さぁ、どうする？「大人しく渡せ」などと、ワタシが言うと思うなよ。力尽くで奪い取るほうが好みなのは、どうせオマエも知っているだろう☆
vo_adv_2107001_012.m4a|目的。目的か──それはな？　ワタシの陛下と遊ぶためさ☆
vo_adv_2107001_013.m4a|命と命の獲り合いを！　陛下と！　再び！思う存分！たっぷりとだ！！
vo_adv_2107001_015.m4a|そうかそうか♪では──許しを請うてやるとしよう、この剣でなぁ！
vo_adv_2107001_020.m4a|気にするな♪ワタシは寛大だからな。庶民の振る舞う茶に難癖をつけるほど、無粋ではないさ。
vo_adv_2107001_022.m4a|ああん？
vo_adv_2107001_025.m4a|……フン。言われなくても、この場で卓を蹴飛ばすような真似はせんよ。
vo_adv_2107001_027.m4a|悪いがオマエたち、少々席を外してもらえるか。どうやら彼女……ノウェムは、ワタシに聞きたいことがあるようだからな。
vo_adv_2107001_032.m4a|銀髪のオカッパ頭で、キザったらしい喋り方をするヘソ出し男だ。
vo_adv_2107001_037.m4a|……どうやらその様子だと、オクトーの坊やとは一緒ではないようだな。
vo_adv_2107001_041.m4a|話すのは構わんが。それでオマエが、納得できるものかね──
vo_adv_2107001_043.m4a|……ずいぶんあっさりと納得したな。契約の対価として、陛下が保釈されることには変わりないと思うが？
vo_adv_2107001_045.m4a|……やれやれ、拍子抜けだな。【トゥインクルウィッシュ】の連中と別行動になったかわりに、オマエで愉しもうと思ったのに。
vo_adv_2107001_047.m4a|ああ、聞かれる前に答えてやるが、ワタシはオクトーの行方など知らんぞ。興味もない。
vo_adv_2107001_050.m4a|のらくらしているが、抜け目のない男だ。オマエが後を追ってくることも、織り込み済みだろうよ。見つかりたくないなら、それなりの隠蔽をするんじゃないか？
vo_adv_2107001_053.m4a|……？
vo_adv_2107001_055.m4a|記憶……？
vo_adv_2107001_058.m4a|そうだったか？まあ、そうだったかもしれんな。
vo_adv_2107001_059.m4a|あのときもそうだったが、どうにもピンとこないというか……前世の話をされているような気分だよ。大事な情報だということは認識できているんだがな。
vo_adv_2107001_062.m4a|刹那主義！　快楽主義！　大いに結構じゃないか。「この世は舞台、人はみな役者に他ならぬ」だったか？ならばせめて、思い切り踊り尽くしてやろうとも♪
vo_adv_2107001_064.m4a|……オマエに指摘をされると、なんとなく癇にさわるな。だが……
vo_adv_2107001_065.m4a|……現実、か。
vo_adv_2107001_066.m4a|恐らくは、陛下も。オマエの言う『もうひとつの世界』とやらに気づいていたんだろう。今にして思えば、の話だが。
vo_adv_2107001_068.m4a|フーム……
vo_adv_2107001_070.m4a|……あの決戦の最中。ワタシは途中から、半ば意識を失っていた。だからあまり、定かではないんだが……
vo_adv_2107001_071.m4a|陛下はあのとき、「何かと戦うために力を温存したい」というようなことを言っていたはずだ。……そうだな？
vo_adv_2107001_073.m4a|ワタシは正直なところ、あの話を眉唾ものだと思っていた。{player}らを動揺させるための駆け引きだろうと。何故ならば──
vo_adv_2107001_074.m4a|陛下が全力を振り絞るような相手が、本当にいるのなら。この世はとっくに混沌として、ワタシ好みになっているはずじゃないか？実際にはそんな怪物はどこにもいない、だから眉唾だ……とな。
vo_adv_2107001_075.m4a|しかしここに来て、腑に落ちんこともなくもない。だから参考までに聞いておく。
vo_adv_2107001_076.m4a|オマエはどう思う、ノウェム？本当に、そんな怪物がいると思うか？
vo_adv_2107001_079.m4a|ユイ？【トゥインクルウィッシュ】のユイか？あのフワフワのお嬢ちゃんが、陛下の戦おうとしていた……敵？
vo_adv_2107001_080.m4a|ハッ！オマエも冗談がうまくなったものだよ、ノウェム。
vo_adv_2107001_081.m4a|ああ……念のために言っておくが、今のは皮肉だぞ？
vo_adv_2107001_085.m4a|……そうか。……いや、だが……しかしな……
vo_adv_2107001_087.m4a|ワタシも、ユイが陛下の真の敵だったとは思えない。だが……
vo_adv_2107001_088.m4a|そのユイと仲間たちが、今ワタシに依頼を持ちかけている。これは……偶然なのか？
vo_adv_2107001_090.m4a|目的は、ソルの塔の登頂だと言っていた。それは嘘ではないだろうが……何故、ワタシを使おうとした？あるいは、何か隠された意図があったか？　一石二鳥のような……
vo_adv_2107001_092.m4a|クリスと呼ぶな。せめて「様」を付けろよ、おチビちゃん。
vo_adv_2107001_093.m4a|……が、今回はその無礼を許してやろう。オマエとのお喋りのおかげで、暇潰しのネタをひとつ思いついたからな。
vo_adv_2107001_095.m4a|応とも。【トゥインクルウィッシュ】に頼まれたソルオーブ探しのついでにな。
vo_adv_2107001_096.m4a|ああ、そうだ。さっきのソルオーブは、オマエから【トゥインクルウィッシュ】に渡してやれ。
vo_adv_2107001_097.m4a|連中、そろそろオーエドからランドソルに戻っているはずだし……もしかしたらオマエの目当てのオクトーも、ランドソルに帰っているかもしれないぞ？
vo_adv_2107001_101.m4a|おいおい。それは愚問というやつだぞ☆
vo_adv_2107099_046.m4a|……海、か。
vo_adv_2107099_047.m4a|フン。わざわざこんなところにまで出向くのなら、水着でも持ってくるんだったかな。
vo_adv_2107099_048.m4a|といっても。一人きりで海水浴など、退屈極まりないものに過ぎんが……
vo_adv_2107099_049.m4a|なぁ──そこのオマエ。さびしいさびしいクリスティーナさんと、一緒に遊んでくれないか？
vo_adv_2107099_051.m4a|他に誰もいないだろう。いたとしても、ワタシはオマエに声を掛けていたがな。
vo_adv_2107099_053.m4a|オマエにそのつもりがあるなら、オーディションくらいはしてやってもいいが。しかし──
vo_adv_2107099_054.m4a|ワタシの審査は少々過酷だぞ？【レイジ・レギオン】。
vo_adv_2107099_056.m4a|とぼけるんじゃあない。オマエが情報を流して、ワタシを誘い出したんだろうに。
vo_adv_2107099_058.m4a|なんだ。ラビリスタが目当てだったか？だが済まないな、ここはワタシで満足してもらおう。
vo_adv_2107099_059.m4a|観客がいないのは少々盛り上がりに欠けるが──波飛沫が煌めいて、舞台としては悪くない。さぁ、宴と洒落込もうじゃないか！
vo_adv_2107099_061.m4a|…………
vo_adv_2107099_062.m4a|ま……ワタシとしても。水着の相手に斬りかかるほど、無作法者ではないつもりだ。５分だけ待ってやるから、着替えて準備のひとつもしてくるといい。
vo_adv_2109012_053.m4a|──フンッ……！
vo_adv_2109012_058.m4a|……フン。つまらん。
vo_adv_2109012_060.m4a|──『乱数聖域』っ。
vo_adv_2109012_106.m4a|ワタシ一人だったとしても今のオマエたちに突破できるとは思えんが、ね。
vo_adv_2109012_114.m4a|……おい。あまり甚振るのは止せ。
vo_adv_2111010_104.m4a|──『乱数聖域』。
vo_adv_2111010_108.m4a|……聞くな。今は馴れ合う間柄ではない。
vo_adv_2111010_125.m4a|そういうオマエは、かの軍事組織ヴァイスフリューゲルの構成員だったか。オマエが情報を祖国に垂れ流すことで戦争でも始まればと野放しにしておいたが……
vo_adv_2111010_126.m4a|今ここで、代理戦争と洒落込むのも悪くない。さぁ、もっとワタシを愉しませてくれよ……！
vo_adv_2111010_274.m4a|──フン。
vo_adv_2111010_276.m4a|勘違いするんじゃない。我々を捕らえ、洗脳してくれたオマエは、まったく気に食わないが──
vo_adv_2111010_279.m4a|おい、オマエたち。「司令役」が、踊る気を無くしたようなのでな。我々は彼女を連れて引くが。
vo_adv_2111099_109.m4a|うなされていたようだが。悪い夢でも見たかね？
vo_adv_2111099_114.m4a|追うか？上手くすれば、ラビリスタの喉首に食らいつけるかもしれんぞ。
vo_adv_2111099_118.m4a|おい。やる気が無いのなら、我々を解放しろ。{player}たちよりも、エリスと遊びたいんだワタシは。
vo_adv_2111099_122.m4a|フン。では、好きにさせてもらおう。後で勝手をしたなどと、文句を言っても聞かないぞ。
vo_adv_2112002_010.m4a|……おい。あまり甚振るのは止せ。
vo_adv_2112005_046.m4a|{player}を追い回せば、いずれキサマに辿り着くだろうと思っていたぞ。
vo_adv_2112005_048.m4a|オマエとは、陛下に嵌められかけた時以来だったか。こうして操り人形にされた醜態を晒すのは、慚愧に堪えん所だが……
vo_adv_2112005_053.m4a|フン。余人ならともかく、あんなものは足止めにもならん。それとも小手調べのつもりだったか？
vo_adv_2112005_054.m4a|だがな。小手調べとは、こうやるのさ……！
vo_adv_2112005_056.m4a|フフッ……。命中は避けられないとしても。衣服の組成を、鋼以上の硬度に『変更』していなしたか。面白い……♪
vo_adv_2112005_058.m4a|すまないな。このような形の対決は、ワタシとしても不本意だが……
vo_adv_2112005_059.m4a|だが、それとはまた別に。オマエとは一度、本気でやりあってみたかったんだ……♪
vo_adv_2112005_067.m4a|おいおい。またとない宴だぞ。そんな無粋な幕引きは御免被る。
vo_adv_2112005_068.m4a|……ま。洗脳魔法の縛りが無ければ二対一などという無粋な幕開けもなかったんだがな。
vo_adv_2112005_071.m4a|同意だな。そろそろ、ご馳走にかぶりつく時間だ……♪
vo_adv_2112006_021.m4a|そらっ！そらそらそらっ！
vo_adv_2112006_023.m4a|はははっ！楽しいっ！愉しいなぁ、迷宮女王！
vo_adv_2112006_024.m4a|おい変貌大妃！　あまり横槍を入れてくれるなよ！オマエは迷宮女王の退路を塞いでくれれば充分だ。ああ、もっとも？　ワタシごと撃つなら構わんが♪
vo_adv_2112006_027.m4a|手を抜く？──とんでもない！
vo_adv_2112006_028.m4a|致命打を防ぎつつ、一杯食わせてやろうというその眼差し！いいぞ──オマエとの鍔迫り合い、実に高揚する！　神経が雀躍する！ああ、こんなに愉快なのは陛下と遊んだ時以来だ！
vo_adv_2112006_031.m4a|んん？　そんなことはないぞ。その証拠に、オマエがクリスと呼んでも怒ったりしていないだろう。どうやら、いつもより寛大になっているようだなあ……！
vo_adv_2112006_045.m4a|やれやれ。オマエのダンスパートナーは、このワタシだぞ？
vo_adv_2112006_046.m4a|目移りされてしまうのは、ワタシに魅力が足りないということか？この面を外せず、顔で魅せられないなら……あとはクジャクのように、雅に着飾る他ないか？
vo_adv_2112006_048.m4a|──『演算剣卓』。
vo_adv_2112006_049.m4a|さあ。踊れよ迷宮女王……！
vo_adv_2112006_052.m4a|……手応え、有り。だが……
vo_adv_2112006_057.m4a|フン。何かを出したり引っ込めたりするのが、オマエやネネカだけの専売特許と思ったか？
vo_adv_2112006_058.m4a|ワタシとて、クリエイターのはしくれだ。仲間はずれにしてくれるなよ……♪
vo_adv_2112006_061.m4a|……やれやれまったく。あらゆる意味で、煩わしい事だよ。ワタシたちが営々と築いた遊戯が、このような魂の牢獄などに成り果てているとは。
vo_adv_2112006_062.m4a|しかも今のこの身は、まるで獄の中の獄卒の如き有様だ。それともギロチンの列に並ぶ処刑者か？
vo_adv_2112006_066.m4a|おい。同窓会のような空気にするんじゃない。今ここは、命と命をぶつけあう鉄火場だろうが。
vo_adv_2112006_069.m4a|遠慮するな♪タップリ見せてやろうとも！硬化も癒着も間に合わんほど、オマエの身体の深くに叩きこんでな！
vo_adv_2112006_073.m4a|いいや、構うに決まっているだろうが。今さら出し惜しみなどするんじゃない。オマエが戦っている相手は、他でもないこのワタシだぞ──！
vo_adv_2112006_092.m4a|……おいおい。何をしている変貌大妃。迷宮女王のやつ、自分の足元を消して地中に逃れてしまったぞ。殴り込んできたあの二人のせいで、狙いを誤ったか？
vo_adv_2112006_110.m4a|フン、好きにしろ。迷宮女王を、このまま逃がすわけにもいかん。
vo_adv_2112006_113.m4a|迷宮女王どころか、プリンセスナイトの強化さえも抜いたオマエたちなど。時間稼ぎすら、さしてできると思うなよ。
vo_adv_2112008_016.m4a|おいおい、店仕舞いとはつれないな。運動の後はステーキでも喰らってやろうかと思ったんだが。
vo_adv_2112008_018.m4a|勿論。ワタシの前に立った以上、オマエたち全員の首を狙っているとも……☆
vo_adv_2112008_020.m4a|フン。腹ペコ王女か。ようやくワタシの陛下から玉座を奪い返したというのに、こんなところで油を売っていて良いのかね？
vo_adv_2112008_030.m4a|甘く見られたものだ。峰打ちで我々を抑えようなどと。
vo_adv_2112008_035.m4a|よそ見をするんじゃない！
vo_adv_2112008_042.m4a|やれやれ。つまらん話だ。飛び入り連中のもてなしが、ぞんざいになってしまいそうだな。
vo_adv_2112008_051.m4a|フン。今度はコインの一枚奪う間も与えんぞ。
vo_adv_2112008_052.m4a|それどころか。ワタシがオマエたちから、あの坊やを奪ってやってもいいな……♪
vo_adv_2112008_053.m4a|っ──！？
vo_adv_2112008_067.m4a|ぬっ……！
vo_adv_2112008_068.m4a|これは──面白い！一級の天稟に、一流の身体性能！そして何より、怒りの炎で一際輝く愛の刃か！
vo_adv_2112008_069.m4a|迷宮女王の手駒だけのことはある！なかなかの逸材だぞ、オマエ……！
vo_adv_2112008_098.m4a|……ク。
vo_adv_2112008_102.m4a|……どうやら、『エリス』もお目覚めのようだ。ラビリスタに苛ついているな……
vo_adv_2112008_104.m4a|……やれやれ。ここからは宴ではなく……ただの、掃除になりそうだ。
vo_adv_2112008_110.m4a|それは、ワタシの台詞だよ。だが……
vo_adv_2112008_111.m4a|……オマエの言うとおり、致し方ない。一度限りの、合わせ技だ──
vo_adv_2112008_113.m4a|『乱数聖域』。
vo_adv_2112008_117.m4a|回避も不可能だ。
vo_adv_2112008_121.m4a|ま……こんなところか。
vo_adv_2112008_123.m4a|ああ。もっともっと、愉しみたいところだったが──
vo_adv_2112008_125.m4a|……トドメだ。ペコリーヌ──いや、ユースティアナ・フォン・アストライアよ。
vo_adv_2112008_128.m4a|……！？絶対攻撃を、躱した──いや、『消えた』！？
vo_adv_2112008_130.m4a|──ぬぐっ！？
vo_adv_2112008_143.m4a|……ほう。これはまた、なんともうれしい第３ラウンドだ……！
vo_adv_2112008_154.m4a|──『乱数聖域』！
vo_adv_2112009_052.m4a|──理想郷など。簡単に口にしてくれるなよ、人工知能が。
vo_adv_2112009_059.m4a|仕方あるまい？無様にも、洗脳されていたのだから。ま──オマエとの殺し合いが愉快だったことは、否定せんがね……☆
vo_adv_2112010_044.m4a|……やれやれ。七冠が揃いも揃って、自由の身には程遠いか。我がことながら情けないものだよ、まったく。
vo_adv_2112010_051.m4a|──フン。
vo_adv_2112010_052.m4a|おい、ヒヨリ。
vo_adv_2112010_054.m4a|クリスと呼ぶな。聞き分けの悪い子には、飴をやらないぞ──ほら。
vo_adv_2112010_058.m4a|何を驚くことがある。ワタシにソルオーブ集めを依頼していたのはオマエたちだろう、【トゥインクルウィッシュ】？
vo_adv_2112010_060.m4a|エリスのやつに捕まる前に、ひとつ確保しておいたモノだ。洗脳されたまま隠し通すために、道化芝居を打たねばならなかったがな。
vo_adv_5072000_015.m4a|ワタシだ。
vo_adv_5072000_018.m4a|坊やを連れてきたのはワタシだよ。頼みたいことがあってな。あとそこのピンク。怪訝な顔をしている理由をあとで聞かせてもらおう。
vo_adv_5072000_020.m4a|それよりオマエたち、撮影の仕事が終わったからといって気を抜いてもらっては困る。
vo_adv_5072000_021.m4a|この先に大きな仕事が控えていること、よもや忘れているわけではあるまいな？
vo_adv_5072000_026.m4a|ふっ、いい目じゃないか。ギラついた目は嫌いじゃあない。
vo_adv_5072000_029.m4a|……なんだ、聞いていないのか？ここをツアーの始まりにしたいと言ってきたのは、そこにいるノゾミだぞ。
vo_adv_5072000_033.m4a|そんなことよりオマエたち。今回のサマーライブは正真正銘、カルミナの集大成となる。
vo_adv_5072000_034.m4a|このワタシがプロデュースを手掛ける以上、下手な妥協は許さんぞ。
vo_adv_5072000_042.m4a|行ったか。向こうは任せておいても問題あるまい。
vo_adv_5072000_043.m4a|……さて。それじゃあ坊や、本題に移ろうか。
vo_adv_5072000_044.m4a|ワタシがなぜ、オマエをここに呼んだか分かるか？
vo_adv_5072000_045.m4a|ははっ！　坊やの頭の中はおめでたいな。ワタシと一緒に海で遊びたいのか？
vo_adv_5072000_046.m4a|ふむ……どんな遊びをするのか個人的に興味は尽きないが、ここに呼んだのは別の理由だよ。
vo_adv_5072000_047.m4a|なかなか鋭いじゃないか。話が早くて助かるよ。
vo_adv_5072000_048.m4a|坊やを海まで連れてきたのはほかでもない。オマエにしかできないことをやってもらおうと思ってな。なぁに、難しいことじゃあない。
vo_adv_5072000_049.m4a|今度のライブに合わせる形で、本を作ろうと思っていてな。カルミナのこれまでの活動記録、いわば歴史をまとめたものになる。……そこで、だ。
vo_adv_5072000_050.m4a|ノゾミ、チカ、ツムギ。あの３人に密着インタビューをしてきてほしいのさ。
vo_adv_5072000_051.m4a|ははは、不安か？確かに坊やはプロの取材屋ではないからな。だが、それでいい。
vo_adv_5072000_052.m4a|『アイドルとして作った状態』の言葉などいらんのだよ。読者が求めるのはカルミナの赤裸々な姿だ。
vo_adv_5072000_053.m4a|坊や。オマエがそれを引き出してこい。
vo_adv_5072000_054.m4a|できるだろう？できないとは言わせんよ。あの３人も、坊やにならなんでもさらけ出すだろうさ。
vo_adv_5072000_055.m4a|とはいえ、聞いてくる内容くらいはこちらで用意してある。坊やに任せると『好きな食べ物は？』とかになってしまいそうだからな。
vo_adv_5072000_056.m4a|よし。自分の役目が分かったなら、行ってこい。
vo_adv_5072000_057.m4a|頼んだぞ、坊や。
vo_adv_5072006_031.m4a|──愉しんでいるかい、坊や？
vo_adv_5072006_032.m4a|当然だ。ワタシがプロデュース……いいや。カルミナは常に己の最高を超えていくよう、努力していたからな。
vo_adv_5072006_033.m4a|ライブはこれまでにない盛り上がりだ。今まさに、あの３人はトップアイドルの頂に手が届こうとしている。
vo_adv_5072006_034.m4a|だが……少々、想定を超えて盛り上がりすぎているな。もちろん、歓迎すべきことだが……盛り上がれば盛り上がるほど、水を差したくなる輩も増える。
vo_adv_5072006_035.m4a|カルミナが試されるのは、ここからかもしれんな──
vo_adv_5072007_009.m4a|──やぁ坊や。こんなところでブラブラと何をしている？
vo_adv_5072007_010.m4a|……やれやれ。坊やは本当にのんびりしているな。
vo_adv_5072007_011.m4a|あの本はほとんど予約完売、店頭販売も行列だらけだ。今さら探し回ったところで、買える場所を見つけるのは至難の業だぞ？
vo_adv_5072007_012.m4a|おやおや。そんなぁ、といった顔をしているな？だがそう落ち込むことはない。
vo_adv_5072007_013.m4a|そんなことだろうと思って、このワタシが一冊、プレゼントしてやろうじゃないか。
vo_adv_5072007_014.m4a|しかもなんと、サイン入りだぞ！このワタシのな！大いに喜ぶがいいよ！
vo_adv_5072007_015.m4a|……なんだその微妙な顔は。ふん。ノゾミたちのサインが欲しかったか？
vo_adv_5072007_016.m4a|だったら、今から貰いに行けばいいさ。
vo_adv_5072007_017.m4a|向こうでオマエを待っているとさ。少し遅くなったが、ライブが無事終わった宴をやりたいのだそうだ。今は人前に出れば騒ぎになるから、ワタシが呼びに来たというわけだ。
vo_adv_5072007_018.m4a|このワタシをメッセンジャーに使うとは、偉くなったものだよ。まぁ、坊やには直接言っておきたいこともあったし、わざわざこうして足を運んでやったというわけだ。
vo_adv_5072007_019.m4a|……今回はよくやってくれた。本に載せたインタビューも好評だったよ。あの３人の素の姿が見える、とな。
vo_adv_5072007_020.m4a|ワタシが指示していない質問も聞いてくれていたな。どれも実によかったぞ。素直に賞賛してあげるよ。
vo_adv_5072007_021.m4a|どうだ坊や？カルミナ専属で働いてみないか？
vo_adv_5072007_022.m4a|ああ。坊やならそう言うと思ったよ。
vo_adv_5072007_023.m4a|よし、契約成立だな？ではこれからはワタシの手足となって馬車馬のようにこき使って…………なに？　それは違う？　なんだ、ワガママなやつだな。
vo_adv_5072007_024.m4a|そういえば、最後のインタビュー削るのも勿体なかったから、そのまま載せておいたぞ。
vo_adv_5072007_025.m4a|ライブ直後のインタビューなんて、なかなか見られないからな──
vo_adv_5084004_008.m4a|まったく、ふざけた坊やだ。多忙を極めるこのワタシが、なぜ小娘の探しものなんぞに付き合わねばならんのだ。
vo_adv_5084004_009.m4a|そのランドソル、という響きになにか引っかかりを感じたのは事実ではあるがな。
vo_adv_5084004_010.m4a|まぁいい。どうせ明日も探すつもりなのだろう？ワタシには関係ない話だが、スケジュールが空いていたら付き合ってあげようじゃないか。それじゃあな。
vo_adv_5084004_011.m4a|ん？　坊やじゃないか。多忙を極めるこのクリスティーナ・モーガンに何か用かな？うん？　誰だその金髪は？　おい、どこへ行く？　なぜ黙って去る！？
vo_adv_5084663_000.m4a|坊やのいない日々が、これほどまで退屈とはな……ワタシに応えず眠り続けるこの状況……許せるものか……！
