vo_adv_1029010_002.m4a|よければ私たちが相談に乗りますけど。
vo_adv_1042009_034.m4a|どんな場所で、どんなお客さんの前だろうと、常に全力で応える、それがアイドルですからね。
vo_adv_1042009_035.m4a|しっかりと仕上げて万全で臨みましょう！
vo_adv_1042009_038.m4a|何でしょう、なにやら騒がしいですね。え、様子を見に？　私もご一緒します。
vo_adv_1042009_039.m4a|あの、何かあったんですか？
vo_adv_1042009_042.m4a|村長さん、話してくれませんか？何か問題があったのではコンサートどころではありませんから。
vo_adv_1042009_044.m4a|え、そんな……！
vo_adv_1042009_046.m4a|はい、すぐにでも行きましょう！
vo_adv_1042009_048.m4a|大丈夫です。私は唱喚士、危険なことは意外と慣れっこなんです。
vo_adv_1042009_050.m4a|それに、ここで子どもたちを見捨てるようなことになれば、唱喚士の、そしてカルミナの名がすたります！
vo_adv_1042009_053.m4a|約束します。さあ、行きましょう。子どもたちが助けを待っています！
vo_adv_1042009_056.m4a|おーい！　みんなー！　どこですかー！いたら返事してくださーい！
vo_adv_1042009_059.m4a|みんなー！　どこですかー！
vo_adv_1042009_061.m4a|あっ！　今声がしませんでしたか？
vo_adv_1042009_064.m4a|今行きまーす！　動かないで待っててくださーい！
vo_adv_1042009_065.m4a|いました！　子どもたちです！二人とも、大丈夫ですか？
vo_adv_1042009_068.m4a|うん、ありがとうね、すごくうれしいよ。さあ、ここは危ないから早く帰ろう？
vo_adv_1042009_071.m4a|いえ、おそらく恐怖と疲労で動けないんだと思います。かわいそうに、こんなに震えて……
vo_adv_1042009_076.m4a|どう？　元気出た？
vo_adv_1042009_078.m4a|よかった。それじゃあ一緒に帰ろうね。あとで私のステージ、見に来てね。
vo_adv_1042009_079.m4a|ふぅ、無事戻ってこれましたね。子どもたちも見つかってよかったです。これで心置きなくステージに立てますね。
vo_adv_1042009_080.m4a|あ、そういえば……ふふ、緊張していたことなんて、すっかり忘れてました。
vo_adv_1042009_082.m4a|お気になさらずに。当然のことをしたまでですから。
vo_adv_1042009_087.m4a|え、あの、女神だなんて、そんな……
vo_adv_1042009_093.m4a|あ、あぁ……こんなことになるなんて……ど、どうしよう……！
vo_adv_1042010_000.m4a|{player}さん、ど、どうも……今日は依頼を受けていただきありがとうございます。
vo_adv_1042010_001.m4a|えっ、あ、あー仕事、そうですね……それはまたのちほどお話しさせてください。
vo_adv_1042010_002.m4a|そ、それより少し歩きませんか……？でで、では、行きましょう。
vo_adv_1042010_003.m4a|……ちょっと不自然だったかな？でも、どうにか二人で出かけることには成功したし、頑張らないと……！
vo_adv_1042010_004.m4a|次のカルミナの新曲のテーマは、恋する女の子が好きな男の子に積極的なアプローチを仕掛ける、というもの。
vo_adv_1042010_005.m4a|だから仮想のデートで男の子の反応を見てみたかったのだけど……こ、こういう場合って、どういうことをしたらいいんだろう？
vo_adv_1042010_006.m4a|二人だけで何度も会ってるけど、いわゆる定番のデートって呼べるようなことはしたことないし……
vo_adv_1042010_007.m4a|恋愛したことないからよく分からないな。もういっそのこと曲作りのことを打ち明けてしまえば……
vo_adv_1042010_008.m4a|ううん、男性の自然な反応が知りたいんだから、それじゃあ意味がないよね。
vo_adv_1042010_009.m4a|ここは覚悟を決めて、デ、デデデートをしなきゃ！そ、それではまずは……
vo_adv_1042010_010.m4a|あの、{player}さん。て、てて手を、つ、繋いでも、いい、ですかっ！
vo_adv_1042010_011.m4a|あぁ！　すごくきょとんとしてる！当然だよね、何の脈絡もなく手を繋いでくれだなんて。
vo_adv_1042010_012.m4a|どうしよう、変な子って思われてしまったかも……
vo_adv_1042010_013.m4a|ええ！　そんなあっさりと……！あっ……手、繋いじゃった……
vo_adv_1042010_014.m4a|わぁ、大きくて、温かい手……じゃなくて！ちゃんと反応を見ないと！
vo_adv_1042010_015.m4a|…………
vo_adv_1042010_016.m4a|うーん……いつもの穏やかな雰囲気のままだから、変化を読み取るのが難しいな……
vo_adv_1042010_017.m4a|普段から大きな感情表現をしない人だけど、もう少し分かりやすい反応が欲しいかも。
vo_adv_1042010_018.m4a|それより、わ、私の方が恥ずかしくなってきちゃった！すれ違う人がみんなこちらを見てる気がする……
vo_adv_1042010_019.m4a|うぅ、私がドキドキしても仕方ないのに……！
vo_adv_1042010_020.m4a|な、なんか今日は暑いですね？やっぱり手、離しましょうか……
vo_adv_1042010_021.m4a|うぅ、情けない……最初からこれでは先が思いやられるな。次はちゃんと頑張らないと。
vo_adv_1042010_022.m4a|そうだ、よければカフェで冷たいものでも飲みませんか？
vo_adv_1042010_023.m4a|何も聞かず付き合ってくれるこの優しさ……本当にありがたいな。
vo_adv_1042010_024.m4a|う！　ま、まだ、大丈夫、です……はい。
vo_adv_1042010_025.m4a|仕事に誠実な人だからね……{player}さん。でも、これが私の仕事だから！
vo_adv_1042010_026.m4a|それじゃあ、この辺りにいいお店があるので、行きましょう。
vo_adv_1042010_027.m4a|このお店、前に雑誌で紹介されてたんです。イチオシのスペシャルドリンクがおいしそうだったので、飲んでみたかったんですよ。
vo_adv_1042010_028.m4a|なんとか自然な形でお店に誘えたけど、本番はこれから……！
vo_adv_1042010_030.m4a|ええと、あの……これをひとつ、ください。
vo_adv_1042010_032.m4a|うぅ、恥ずかしいからあまり注文を連呼しないでほしいなぁ……
vo_adv_1042010_034.m4a|き、来ちゃった。ひとつのドリンクをハート形のストローを使って二人で飲む、カップル限定のスペシャルドリンク！
vo_adv_1042010_035.m4a|これを二人で飲めば、いくらあなたでもさすがにドキドキした反応が見れると思うけど……
vo_adv_1042010_036.m4a|そ、それでは{player}さん、いただきましょうか？
vo_adv_1042010_037.m4a|ええと、このストローを使って二人一緒に飲むんですよ。
vo_adv_1042010_041.m4a|あ、あちらのカップル、何のためらいもなく飲んでる！わっ、こっちのカップルも……よく見たら周りのお客さん、みんなあのドリンクを飲んでる！
vo_adv_1042010_042.m4a|あ、あぁ、あんなに顔を近づけて……うそ、あんな大胆に……え、ええぇ！
vo_adv_1042010_043.m4a|ダ、ダメです！んんんんー！！
vo_adv_1042010_044.m4a|はぁ、はぁ……す、すみません。すごくのどが渇いてて、全部飲んじゃいました……
vo_adv_1042010_045.m4a|無理……恋愛初心者の私には、あんなこと絶対に無理だよー！
vo_adv_1042010_046.m4a|はぁー……
vo_adv_1042010_047.m4a|色々カップルらしいことをしようとしたけど、何ひとつ上手くいかなかった……
vo_adv_1042010_048.m4a|世の恋人たちは、みんなああいうことをこなせてるんだ。今の私には到底無理そう……
vo_adv_1042010_049.m4a|それにしても{player}さん、これだけアプローチしても全く反応がないなんて……一人で空回りして恥ずかしいな……
vo_adv_1042010_050.m4a|やっぱり、私に魅力がないからなのかな……それとも他の女の子となら、もっとドキドキするの？
vo_adv_1042010_051.m4a|……色んな意味で、このままでは終われないよ。最後にとっておきの場所で……！
vo_adv_1042010_052.m4a|わぁ、キレイな夕陽……！評判の絶景スポットというだけあって、いい眺めですね。
vo_adv_1042010_053.m4a|もちろんただの絶景スポットじゃない。ここは相愛の丘。この場所で夕陽を見ながら告白すれば、100％成功するという噂がある定番のスポット。
vo_adv_1042010_054.m4a|さっそく告白して反応を見て──え？　告白？　誰が……わ、私だった！？
vo_adv_1042010_055.m4a|むむむむむ無理、絶対無理！意地と勢いで来ちゃったけど、こ、告白なんてそんな！
vo_adv_1042010_056.m4a|でも……もし本当に噂通りなら、ここで勇気を出せば{player}さんと……で、でも心の準備が……
vo_adv_1042010_057.m4a|って、ひゃぁあ！　{player}さん？あ、あの……顔、近いです……
vo_adv_1042010_058.m4a|わ、私、そんな顔真っ赤にしてるの？　恥ずかしい……でも、あなたの顔がこんなに近くに……このままくちびるを近づけたら……
vo_adv_1042010_059.m4a|あの、{player}さん。私……
vo_adv_1042010_061.m4a|えっ？
vo_adv_1042010_064.m4a|ファ、ファンの人たち……？見てたって、じゃあ、あんなこともこんなことも、全部……？
vo_adv_1042010_065.m4a|い、やああああああ！
vo_adv_1042010_067.m4a|はぁ……はぁ……ご、ごめんなさい。急に走り出したりして。あの、今日一日、ありがとうございました……
vo_adv_1042010_068.m4a|え、仕事？　そうですね、うん、う～～～ん……
vo_adv_1042010_069.m4a|……大丈夫です。なんだかいけそうな気がします。今日一日ありがとうございました。
vo_adv_1042010_070.m4a|仮想とはいえデート、楽しかったな。……いつか、ちゃんと本物のデートができるように頑張らないと。
vo_adv_1042011_000.m4a|はぁ……どうしたらいいんだろう。きゃっ、ご、ごめんなさいっ……って、あ……こんにちは{player}さん。
vo_adv_1042011_001.m4a|あ……独り言、聞こえてましたか……あの、少しお話を聞いてもらってもいいでしょうか？
vo_adv_1042011_002.m4a|最近カルミナの人気が上昇し、音響盤の売り上げやライブの動員数も着実に上がってきました。
vo_adv_1042011_003.m4a|でもその影響で従来の歌とライブ活動以外にも、演技やグラビアなどの仕事のオファーも多く来るようになりました。
vo_adv_1042011_004.m4a|カルミナはアイドルですから、そういったお仕事も、あって当然だとは思います。
vo_adv_1042011_005.m4a|それがカルミナのためになるのなら、やるべきだとは思います。ファンも喜んでくれるはずですし……
vo_adv_1042011_006.m4a|あ、陽が差してきましたね。あれ、やけにまぶしい……あれ？　お日さまじゃない……！？きゃあー！
vo_adv_1042011_052.m4a|ん、あれ……私、寝てました？街中で寝てしまうなんて、そんなに思い詰めていたんでしょうか。
vo_adv_1042011_053.m4a|……夢を見てました。すごくいい夢。自分の意志でお店のステージに立って歌ってました。
vo_adv_1042011_054.m4a|自分で言うのは恥ずかしいですが、夢の私……ちょっとカッコよかったです。
vo_adv_1042011_055.m4a|あの夢のおかげで改めて気付かされました。私は歌うことが好きなんだって。
vo_adv_1042011_056.m4a|私思うんです。カルミナが一番輝くのは、やっぱりみんなの前で歌っている時だって。
vo_adv_1042011_057.m4a|それが疎かになるようなお仕事は、やはり控えたい。そうはっきりと伝えようと思います。
vo_adv_1042011_058.m4a|例え希望が通らなくても、自分を偽らず意志を示すことはきっとこれからの自分にとってプラスになるはずだから。
vo_adv_1042011_059.m4a|だから見守っていてください。これからのカルミナを……
vo_adv_1042011_060.m4a|……そしていつか夢の中みたいに、ご褒美をもらえたらいいな。
vo_adv_1042012_000.m4a|今回も同行していただいて、ありがとうございます。前回の公演が好評だったので、また出演依頼をもらったんです。
vo_adv_1042012_001.m4a|そうですね。いきなり熱烈な歓迎を受けたり、子どもたちを捜したり……
vo_adv_1042012_002.m4a|確かに大変でしたけど、すごく大切な思い出です。なのでまたこうして呼んでもらえたのは、本当にうれしいです。
vo_adv_1042012_003.m4a|今回は新曲もありますし、衣装を替えたりもする予定なんです。みなさんに喜んでもらえるといいですね……って、あれ？
vo_adv_1042012_004.m4a|向こうから何か来ますね。大勢の人と馬車……商団でしょうか？ずいぶん大がかりですが。
vo_adv_1042012_005.m4a|あっ！　あれは村の人たちです！ど、どうしたんですかみなさん！
vo_adv_1042012_007.m4a|えっ？　魔物が……！？
vo_adv_1042012_009.m4a|み、みなさんの避難は間に合うのですか？
vo_adv_1042012_011.m4a|そんな……
vo_adv_1042012_016.m4a|……
vo_adv_1042012_019.m4a|……{player}さん。私、あの村が大好きです。
vo_adv_1042012_020.m4a|みなさんとても優しくて、緊張している私に温かい声援を送ってくれました。
vo_adv_1042012_021.m4a|村もキレイでとても落ち着く素敵な場所です。そんな場所が魔物に壊されてしまうなんて、受け入れられません。
vo_adv_1042012_022.m4a|でも、覚悟はできてるのに……怖くて、動けないんです。子どもたちに大丈夫だよ、って笑いかけてあげたかったのに……
vo_adv_1042012_023.m4a|……お気遣いありがとうございます。でも、私はアイドルであると同時に、唱喚士なんです。
vo_adv_1042012_024.m4a|人々を守るために歌うのが私の使命なのに、怖くて戦えないなんて唱喚士失格です。
vo_adv_1042012_025.m4a|……そうですね。私が不安な時、悩んでいる時、いつもあなたがそばにいてくれましたね。
vo_adv_1042012_026.m4a|あと一歩が踏み出せなかった私の背中を押してくれた。私を信じてくれたあなたを、私は信じます。
vo_adv_1042012_027.m4a|正直、不安も恐怖もありますけど、ちゃんと前に進んでみせます。私が、魔物を食い止め、村を守ります！
vo_adv_1042012_028.m4a|……ダメと言っても、あなたは来るんですよね。その迷いのなさが今はすごく心強いです。
vo_adv_1042012_029.m4a|お願いします、村を守るためにどうか私に力を貸してください！
vo_adv_1042012_030.m4a|よかった。魔物が村に到達するにはまだ時間がかかりそうですね。ここで村人の避難を助けながら魔物の対処をしましょう。
vo_adv_1042012_031.m4a|……でも、魔物たちの気配を感じとったのか、精霊が落ち着かない様子です。
vo_adv_1042012_032.m4a|厳しい戦いになりそうです。どうか援護をよろしくお願いします。
vo_adv_1042012_033.m4a|……はい、頼りにしてます。
vo_adv_1042012_034.m4a|強化の力もですが、あなたが後ろにいてくれるだけでとても心強いんです。
vo_adv_1042012_035.m4a|村のみなさん、そしてあなたも必ず私が守り抜いてみせます！
vo_adv_1042012_036.m4a|っと、魔物の気配が近づいてきました。さあ始めましょう、ぶっつけ本番の野外公演です！
vo_adv_1173001_000.m4a|はぁ……せっかくのオフで宿に閉じこもっているのももったいなくて、思い切って海に来てはみたけど……
vo_adv_1173001_001.m4a|海って、一体何をすればいいんだろう……？あまり夏の遊びってしたことないからよく分からないな……
vo_adv_1173001_002.m4a|ビーチにいる人々はほとんどが家族連れやカップル……一人でいるのなんて私くらい……
vo_adv_1173001_003.m4a|こんな時、ノゾミやツムギがいてくれればよかったけど、二人とも用事で出かけてるし。おとなしく宿に戻ろうかな──
vo_adv_1173001_004.m4a|ひゃあ！　ビ、ビックリしました……{player}さんでしたか……
vo_adv_1173001_005.m4a|も、もしかして今の独り言、聞いてました？……はい、見てのとおり、することもなく途方に暮れていました。
vo_adv_1173001_006.m4a|え、あなたと？もしかして海によく来られるんですか？
vo_adv_1173001_007.m4a|ま、毎年ですか！　それは頼もしいですね。それじゃあ私とも……はっ。
vo_adv_1173001_008.m4a|冷静に考えたら、男性と二人で、海で、しかも水着で遊ぶのって、すごく恥ずかしいんじゃ……！？
vo_adv_1173001_009.m4a|これまで二人で何度も出かけたりはしたけど、海や水着はハードルが高すぎるような……
vo_adv_1173001_010.m4a|あ、あ、あの……やっぱり無理です！
vo_adv_1173001_011.m4a|はぁ、大きなライブを成功させて自信がついたかと思っていたけど、こんなことで心が乱れてしまうなんて、まだまだだな。
vo_adv_1173001_012.m4a|やっぱり、私には夏の海を満喫するなんて不釣り合いだよね……
vo_adv_1173001_013.m4a|す、すみません、なんだか急に恥ずかしくなってしまって……私のことはいいので、どうか海を楽しんできてください。
vo_adv_1173001_014.m4a|え？　……そういえば、あなたと出会った時の私は、緊張して人前で歌えませんでしたね。
vo_adv_1173001_015.m4a|……でも、あなたと一緒にいることで徐々に人前で歌えるようになって、ソロライブだってできた。
vo_adv_1173001_016.m4a|一人ではできなくても、あなたと一緒ならきっと……
vo_adv_1173001_017.m4a|すみません、情けないところを見せてしまって。……あの、改めてお願いします。
vo_adv_1173001_018.m4a|私に、夏の海の楽しみ方を教えてください。
vo_adv_1173001_019.m4a|改めてビーチにやって来たけど……人の多さや賑やかさはランドソルとさほど変わらないはずなのに、開放的で空気がまるで違う。すごく熱い……
vo_adv_1173001_020.m4a|これが夏の海の熱気……ライブとはまた違う熱さ……これを感じたくて、みんな集まってるのかな……？
vo_adv_1173001_024.m4a|……なんか、いいなぁ……ああいうの。
vo_adv_1173001_025.m4a|って、なな、何考えてるんだろう、私ったら！でも……まわりのカップルたちみたいに手を繋げたら、きっと……
vo_adv_1173001_026.m4a|すごく、楽しくて……夏らしい……かも……
vo_adv_1173001_027.m4a|うん。まずは手始めに、一緒にビーチを散策して……それができたら……私の方から手を繋ごうって誘ってみよう、かな。かなりハードルは高いけど……
vo_adv_1173001_028.m4a|きゃっ！？　え、ええ！　大丈夫ですよ！？
vo_adv_1173001_029.m4a|とは言ったものの、内心すごくドキドキしてる……私、変じゃないかな？なんだかみんなに見られてるような気もしてくるし……
vo_adv_1173001_030.m4a|水着の衣装でのライブだって見られてるのに、なんだか落ち着かない。最初からこんな調子じゃ先が思いやられるよ……
vo_adv_1173001_031.m4a|え？ええ、そう、ですね……
vo_adv_1173001_032.m4a|言われてみると、本当にみんな楽しそう……語らいながら歩くカップル、水遊びを楽しむ子どもと見守る父親、ビーチスポーツで汗を流すグループ。
vo_adv_1173001_033.m4a|こんなに人がいるのに、誰も私たちに注目していない。みんな各々自由に楽しんでいる。
vo_adv_1173001_034.m4a|自由、か。これまで唱喚士としての使命を胸に、規律を重んじて生きてきた私には、ちょっと縁遠い言葉かも。
vo_adv_1173001_035.m4a|でも、ここはそんな規律に縛られない自由な空間……以前の私なら、きっと居心地が悪かったはず。
vo_adv_1173001_036.m4a|けれどあなたとなら……一緒に自由を楽しんでみたい。そう思えるようになったんだ……
vo_adv_1173001_037.m4a|行きましょう{player}さん。私、水辺を歩いてみたいです。
vo_adv_1173001_038.m4a|最初の目標はクリアできたけど……手なんて前にも繋いでるのに、シチュエーションが違うだけでこんなにも難しく感じるなんて……でも……
vo_adv_1173001_039.m4a|あ、ああ……あの、て、ててて……天気、いいですね？
vo_adv_1173001_040.m4a|違う、そうじゃない！　もう一度……
vo_adv_1173001_041.m4a|あ、あの、その、の……のど……乾きませんか？
vo_adv_1173001_042.m4a|うぅ、どうして『手を繋いでもいいですか？』の一言が伝えられないの……？
vo_adv_1173001_044.m4a|え？　あ、あの、私……
vo_adv_1173001_046.m4a|何を、言ってるんですか……
vo_adv_1173001_048.m4a|……そんなの、決まってますよ。
vo_adv_1173001_049.m4a|結構です！　それと彼は冴えないヤツなんかじゃありません！
vo_adv_1173001_051.m4a|行きましょう、{player}さん！
vo_adv_1173001_053.m4a|まったく、本当に失礼な人ですね。自由なのはいいですが、ああいう人が増えるのは問題ですね。
vo_adv_1173001_054.m4a|それに、あなたのことを悪く言われて、許せませんでした。あなたは冴えなくなんかないですから──
vo_adv_1173001_055.m4a|え？あ……！？　私、{player}さんの手を……！こ、これはその、なんと言いますか……！
vo_adv_1173001_056.m4a|勢いとはいえ、なんてことを……すぐに離さなくちゃ……
vo_adv_1173001_057.m4a|……ううん、ダメ。ここで手を離したら、以前の私となにも変わらないよね……今の私がするべきことは……
vo_adv_1173001_058.m4a|えっと、あの……{player}さん。
vo_adv_1173001_059.m4a|こ、このまま手を繋いでいても……いいですか？
vo_adv_1173002_000.m4a|んー、おいしいです！　海で食べるご飯って、普段よりもおいしく感じますね。
vo_adv_1173002_001.m4a|水着で食べ歩きしているというちょっとした非日常感が、絶妙なスパイスになっているのでしょうか。
vo_adv_1173002_002.m4a|それとも開放的なロケーションのおかげ？なんにせよ不思議で楽しいですね。
vo_adv_1173002_003.m4a|あぁ、海ってこんなに楽しいものだったんだ……こういう普通のことを楽しめる感覚が、ちゃんと自分の中にあったことにも、ちょっと感動しちゃうかも。
vo_adv_1173002_004.m4a|ライブを頑張れたことも、さっき手を繋げたことも……なんだか今の私、いつもと違うかも……自由な感じって、こういうものなのかな？
vo_adv_1173002_005.m4a|なら、勇気を出してもう一歩踏み込めたら……？
vo_adv_1173002_006.m4a|……あの、さっき散策していて見つけたんですけど、近海を回る観光船ツアーっていうのがあるみたいなんです。
vo_adv_1173002_007.m4a|それで、ですね……よ、よかったら一緒に参加しませんか？
vo_adv_1173002_008.m4a|よかった。でもこれカップル向けのツアーだけど、一応男女のペアだし、い、いいよね？
vo_adv_1173002_010.m4a|今のは悲鳴？　ビーチの方からみたいですけど、様子を見に行ってみましょう。
vo_adv_1173002_011.m4a|見てください、あそこに人が集まっています。一体何が……
vo_adv_1173002_015.m4a|えっ……
vo_adv_1173002_024.m4a|……あの、誰か舟を貸していただけませんか？
vo_adv_1173002_026.m4a|大丈夫、私は唱喚士です。魔物との戦闘は慣れています。
vo_adv_1173002_028.m4a|このままではみなさんの生活も、幸せな時間も失われてしまいます。それを見過ごすことはできません。
vo_adv_1173002_030.m4a|すみません。{player}さん。そういうわけですので、今日はこれで。自分から誘っておいて、申し訳ありません……
vo_adv_1173002_031.m4a|手伝ってくれるんですか？でも、あなたを危険な目に遭わせるわけには……
vo_adv_1173002_032.m4a|と、言ってもあなたは絶対に付いてきてくれますよね。そういう人ですから……ありがとうございます、よろしくお願いします。魔物を倒して楽しい時間を取り戻しましょう！
vo_adv_1173002_033.m4a|は、はい、頑張りましょう……！
vo_adv_1173002_034.m4a|そうだ、唱喚士としての使命はもちろんだけど、私……この戦いは、絶対に負けたくない……！
vo_adv_1173002_035.m4a|だいぶ沖に出ましたね。まだ魔物の姿は見えませんが、警戒は怠らないようにしましょ……
vo_adv_1173002_036.m4a|……今、何か聞こえませんでしたか？
vo_adv_1173002_037.m4a|どうやら魔物のテリトリーに入ったみたいです。戦闘の準備を──
vo_adv_1173002_038.m4a|キレイな歌声なのにどこか不気味な雰囲気の歌……あっ！　すごい早さで霧が立ち込めていきます。
vo_adv_1173002_039.m4a|早く手を打たないと……風の精霊、きゃあっ！
vo_adv_1173002_040.m4a|くっ、一体どこから攻撃を……風の精霊よ！
vo_adv_1173002_041.m4a|外した！？ならもう一度……！
vo_adv_1173002_042.m4a|ダメ、この視界じゃ敵の位置がつかめない。それに前後左右も曖昧で方向感覚が狂っていく。この魔物、想像以上に手ごわい……！
vo_adv_1173002_043.m4a|きゃあ！？これじゃあ攻撃をかわすこともできない……！
vo_adv_1173002_044.m4a|どうにかしないと……でも、反撃の手だてが浮かばない。悔しい、私の歌はこの程度だったの……？
vo_adv_1173002_045.m4a|{player}さん……そう、ですよね。私の歌を信じてくれる人がいるのに、私が自分の歌を否定するなんて、あり得ませんよね。
vo_adv_1173002_046.m4a|歌は人を笑顔にするものです。誰かを傷つけるような歌なんかに、私は負けたくありません！
vo_adv_1173002_047.m4a|教えてあげます、本当の歌の力というものを！
vo_adv_1173002_048.m4a|魔物の歌が強まってきた。でも、絶対に負けない！
vo_adv_1173002_049.m4a|これまで唱喚士として歌ってきた経験。カルミナとして歌い、人々に笑顔を与えてきた自信。
vo_adv_1173002_050.m4a|そして、あの人が信じてくれたという喜び。これこそが想いの結晶……私だけの揺るぎない歌だから！
vo_adv_1173002_051.m4a|水の、精霊……？　唱喚したのは風の精霊だったのに、なぜ？……私の歌に応えてくれているの？
vo_adv_1173002_052.m4a|言葉にしなくても精霊の思いが伝わってくる。分かった、私は全力で歌う、だからあなたたちもどうか応えて！
vo_adv_1173002_053.m4a|霧が晴れて魔物の姿が見えました！今なら……！
vo_adv_1173002_054.m4a|これで、終わりです！　精霊たちよ！
vo_adv_1173002_055.m4a|……やった、勝てた……ありがとう、みんな。またいつか会いましょうね。
vo_adv_1173002_056.m4a|ありがとうございます。でも、あなたが信じてくれたから、私は力強く歌えたんです。
vo_adv_1173002_057.m4a|さあ、早くビーチに戻りましょう。魔物も倒したので観光船も出せるはず──
vo_adv_1173002_058.m4a|……え？
vo_adv_1173002_059.m4a|あぁ！？　いつの間にか遠くに流されてしまってます！し、しかも舟もだいぶ傷んで……ど、どうしましょう！？
vo_adv_1173003_000.m4a|はぁ、危なかった……間一髪といったところですね。
vo_adv_1173003_001.m4a|もうこの舟は限界です。これ以上海を渡るのは無理ですね。
vo_adv_1173003_002.m4a|どうやらここは満ち潮で陸地から切り離された、陸の孤島のようですが……
vo_adv_1173003_003.m4a|潮が引けば向こうの陸地に移動できそうですけど、土地勘もない場所を動き回るのは危険です。
