vo_adv_1067007_009.m4a|はいはーい！　入りたい人でーす！失礼しまーす！
vo_adv_1212002_054.m4a|誰も実際に脱げって言ってないよね〜？とにかく、それくらい頑張ってもらいたいって話。分かった？
vo_adv_1212002_056.m4a|こういう時はまずデータ集めから始めないとね。クレープ屋はまたしばらく休業だな……
vo_adv_1212002_057.m4a|今はそれよりも、何よりも大事なことがある。少年の目覚めを待つ人たちのために、あらゆる可能性を検証していこう！
vo_adv_1212002_058.m4a|少年。天才は天才らしい戦い方で、キミを救ってみせるよ！
vo_adv_1212003_000.m4a|そろそろ終わるはずだけど、間に合ってくれたかな……？
vo_adv_1212003_001.m4a|……おお！　解析終わってる！どれどれ〜……？
vo_adv_1212003_002.m4a|ああ〜！　そっかそっか！　やっぱりそうなってたんだ！魂に紐づけていたはずのプリンセスナイトの力の影響が、こんな形で出るとはね……
vo_adv_1212003_003.m4a|少年の場合は特に魂と精神の連結が強固だったからここまでの反応に至ったっぽいな……
vo_adv_1212003_004.m4a|自分で作っておいてなんだけど、よくもまあこんな訳の分からない力になったもんだ。
vo_adv_1212003_005.m4a|とにかくだ。これで『道』の作り方はなんとなく分かった。強引なやり方にはなるけど、試しにここでやってみようっと……
vo_adv_1212003_006.m4a|っ！　っつぅ〜！　熱いんじゃなくて痛い！肉体に起こる現象の再現じゃないからか、データ改竄に近い痛みだねこりゃ……
vo_adv_1212003_007.m4a|アタシが一人で干渉してみたところで、精神の場所の特定どころか、大した変化は起こせない……となると、まだ手が足りないな……
vo_adv_1212003_010.m4a|ああこれ？　大丈夫だから気にしないで。本当に燃えてるわけじゃないし。
vo_adv_1212003_013.m4a|いい感じに信用がないな〜アタシって！でも本当に大丈夫だよ。心配しないで。
vo_adv_1212003_014.m4a|それよりも、二人に今すぐやってほしいことがあるんだ。アタシが指定したいくつかの場所に行って、そこにいる人たちを一ヶ所に集めておいてほしい。
vo_adv_1212003_017.m4a|目的はズバリ……
vo_adv_1212003_019.m4a|少年のため！　今度は嘘じゃないよ。黙っててごめん。実は今、少年が……
vo_adv_1212003_023.m4a|……詳しく聞かないの？
vo_adv_1212003_026.m4a|二人とも……ありがとう。全部片付いたらちゃんと説明するよ。といっても、アタシもまだ全貌が掴めてないけどね。
vo_adv_1212003_028.m4a|ははっ、頼もしい姉と妹だねキミたちは。それじゃあまずは道を作ってっと！
vo_adv_1212003_029.m4a|そして地図地図……あった。こことここ、次はここで、あとはここもか……
vo_adv_1212003_030.m4a|はいこれ。二人の目的をそれぞれ書き込んでおいたから、今作った道を使ってみんなを集めに行ってね。よろしく！
vo_adv_1212003_032.m4a|これで一つ目の手は用意できた。次はキャルちゃんの方をサポートしに行かないと。ああ忙しい忙しい……
vo_adv_1212003_033.m4a|ネーネカ。やっほー♪
vo_adv_1212004_000.m4a|おや、少年。いらっしゃい。
vo_adv_1212004_001.m4a|せっかくきてくれたのに申し訳ない。今日はクレープ屋はお休みで〜す。
vo_adv_1212004_002.m4a|あはは、どこから声がするのかって思ってる？こっちだよ。こっち。
vo_adv_1212004_003.m4a|もう少し前だね。そうそう、いいね。あとちょっと！
vo_adv_1212004_004.m4a|はーい、いらっしゃーい。秘密結社【ラビリンス】のアジトへようこそ〜♪
vo_adv_1212004_005.m4a|そんなに驚いたの？地下に移動するのは滑り降りるのが楽だから、少年にも体験してもらいたくてさ。
vo_adv_1212004_006.m4a|でもそうだな、次からは階段を用意しておくよ。
vo_adv_1212004_007.m4a|……これでよし。荷造り完了っと。
vo_adv_1212004_008.m4a|また旅に出るんだ。元々二日くらいしかいる予定じゃなかったんだけど、少年を診察して残らなきゃってなって。
vo_adv_1212004_009.m4a|でもそれも今日で終わり。少年には対策を施しておいたし、しばらくは問題ないはずだよ。
vo_adv_1212004_010.m4a|いつの間にって思ってるでしょ？それを気づかせないのが天才のやり方なのさ。
vo_adv_1212004_011.m4a|ともかくだ。旅立つ前に少年と会えてよかった。少し話がしたかったんだ。
vo_adv_1212004_012.m4a|ただここじゃちょっと場所がよくないから、違うところで……
vo_adv_1212004_013.m4a|……よしできた。少年、ついてきて。
vo_adv_1212004_014.m4a|ここなら安心でしょ？　聞き耳を立てられるのは、アタシが知る限りごくごく限られた存在だけだし。
vo_adv_1212004_015.m4a|それにしても、キミが無事で本当によかった。こうして話せているのが、心の底からうれしいと感じるよ。
vo_adv_1212004_016.m4a|これからまた旅に出るにあたって、アタシからキミに一つ置き土産をしておきたかったから、今日はここに来てもらった。
vo_adv_1212004_017.m4a|それが何かというと……
vo_adv_1212004_018.m4a|……あれ？　この光、たしか前にも……
vo_adv_1212004_019.m4a|ああ、そっか……こうやって……記憶を……
vo_adv_1212004_087.m4a|んん……
vo_adv_1212004_088.m4a|あれ、ここは……？ああ、そっか。フィオの光で……
vo_adv_1212004_089.m4a|あの子、アタシたちを眠らせただけで、何も言わずにいなくなってるし……
vo_adv_1212004_090.m4a|なるほど。今回はアタシに譲ってくれるってわけか。だったら最初から自分でしたかったんですけど……気が利いてるんだか利いてないんだか……
vo_adv_1212004_091.m4a|さっきまで見てたのは、アタシの記憶……みたいなものだよ。
vo_adv_1212004_092.m4a|アタシがどんなに天才と持て囃されても、できないことはある。みんなと同じ人間だからね。
vo_adv_1212004_093.m4a|でもそれは、決して悲観も悲嘆もすべきものじゃない。だったら、助けを求めればいい。簡単な話だよね。
vo_adv_1212004_094.m4a|簡単な話だからこそ、アタシたち天才はそれに気づかず、つい一人でどうにかしようとしがちなんだよね。アタシは少年のおかげで、大事なことに気づけたのさ。
vo_adv_1212004_095.m4a|少年。キミにできないことがあるときは、遠慮せずにアタシを頼ってほしい。
vo_adv_1212004_096.m4a|あっちでキミがアタシにしてくれたように、アタシもキミに、そうしてあげたいんだ。
vo_adv_1212004_097.m4a|キミと助け合うことで、世界がより良くなる可能性があるって、アタシは誰よりも信じてるから。キミを。キミの可能性を……
vo_adv_1230003_020.m4a|……そうだね。フィオの言う通りだ。少年。キミは本当によくやったよ。
vo_adv_1230003_044.m4a|ああ、そのこと？　実はまだあっちでやることがあるから、アストルムに戻るのはもう少し先になりそうなんだ。
vo_adv_1230003_046.m4a|ははっ、そうだね。二人にも迷惑かけっぱなしだ。それに……ごめんね、フィオ。
vo_adv_1230003_048.m4a|今のキミの身体に起きてしまう、世界からの修正を回避する方法があると思うんだけど、忙しくてそっちにまで手が回らなくてさ……
vo_adv_1230003_050.m4a|アタシの考えが正しければね。まああっちではその辺りのこともいろいろと進めたいところではあるんだけど……本当にごめんよ。
vo_adv_1230003_055.m4a|そりゃそっか。……少年なら、きっと実現できるよ。今は見届けるとしよう。少年の決断の行く末を。
vo_adv_2107007_004.m4a|いやー、手伝ってくれてありがとね少年！【王宮騎士団（NIGHTMARE）】から急にたーっくさん注文が入っちゃってさ。助かったー♪
vo_adv_2107007_005.m4a|あーうん。二人はちょっと、極秘の任務を……っといやいや、世界各地にクレープを売り歩いていてね？
vo_adv_2107007_006.m4a|アタシもこっちの用事が終わったら、二人のところに行かなくっちゃ。キミたちのギルドハウスや、王宮のトラップのバージョンアップが終わったらね。
vo_adv_2107007_007.m4a|どういたしまして♪
vo_adv_2107007_008.m4a|キミたちのギルドハウスとその周辺。見かけはいつもと変わらないけれど、ちょっとした要塞並みの防御力になってるよ。【レイジ・レギオン】だって、簡単には手出しできないくらいにね。
vo_adv_2107007_010.m4a|……おっと。少年、そろそろギルドハウスに戻ったほうがいいんじゃない？コッコロちゃんたちも待ってるだろうし。
vo_adv_2107007_011.m4a|後はアタシ一人でも十分だからさ。あとでまた、そっちに遊びに行くよ。
vo_adv_2107007_013.m4a|……それじゃあ、場所を変えようか。
vo_adv_2107007_015.m4a|にしても……わざわざアタシを訪ねてくるなんて、珍しいじゃん？今日は何の用事なのかな、ネネカ。
vo_adv_2107007_018.m4a|近況報告に、情報の共有！秘密主義者のネネカから、そんな提案をされるとは思わなかったな～
vo_adv_2107007_020.m4a|あはは、確かにね。それで？　そっちの近況はどんな感じ？
vo_adv_2107007_022.m4a|ヒュウ、さっすがぁ。
vo_adv_2107007_024.m4a|そうだねえ。どうも連中、アタシを釣り出すために少年を捕まえようとしたりしてるみたいだし。まったく、困ったやつらだよ。
vo_adv_2107007_026.m4a|うーん。根城かぁ。……アタシもクレープの屋台巡業するフリをして、世界のあちこちを見てまわってるけど……
vo_adv_2107007_027.m4a|彼らのアジトもその手がかりも、なかなか見つけられない。空間跳躍が使えるわけだし、変なところに居を構えてるのかも。
vo_adv_2107007_030.m4a|……それはネネカも同じでしょ？
vo_adv_2107007_032.m4a|……そうだね。『懲役』を終えるためには、あの子の力が必要だ。いったい、どこに行っちゃったのかな～
vo_adv_2107007_034.m4a|創造主であるアタシたちの追跡を躱して、行方をくらますなんて。すっごい成長ぶりだよねーホント。親として、なんだかうれしくなっちゃうな♪
vo_adv_2107007_036.m4a|そんなんじゃないよ。前のときだってかなり命がけだったしね。今度はきっと失敗して、電子の藻屑になっちゃうよ。
vo_adv_2107007_038.m4a|うん。次に戻るなら、この世界にいるプレイヤーも、みんな一緒にだ。
vo_adv_2107007_039.m4a|まったく、なんでこんなことになっちゃったんだか。そもそもログアウトができなくなるなんて事態、設計上は万が一でもありえないように作ったんだけどなぁ～
vo_adv_2107007_042.m4a|生命維持装置はあくまで、「花火のときにバケツに水をくんでおく」程度の保険だったんだけどね。アタシとしてはさ。そんなもの、使われないに越したことはないから。
vo_adv_2107007_044.m4a|そうだね。アタシたち、向こうじゃ立派な大罪人扱いだよ。……起きちゃった事態を考えれば、仕方のないことだけど。
vo_adv_2107007_046.m4a|ま、現実のおエライさんたちがアタシたちに責任を負わせたいなら、それはそれでいいさ。でもその前に、まずはこの懲役を終わらせなくっちゃ。
vo_adv_2107007_048.m4a|いやー戻れたっていっても、本当に短い時間だったからね。
vo_adv_2107007_049.m4a|あっちとこっちの時間速度は、前の設定より全然変わっちゃってるから。あんまりあっちに長居しちゃうと、浦島太郎みたいになっちゃってたよ。
vo_adv_2107007_050.m4a|向こうの騒ぎを鎮静化するための工作にも、時間を喰われちゃったし。だから、できることっていってもほとんどなかった。
vo_adv_2107007_051.m4a|長老のほうも、もちろん調査はしてくれてたんだけど。現実の側からじゃ、どうもこっちの観測ができないみたいなんだよね～まるで嵐に覆われてるみたいにさ。
vo_adv_2107007_053.m4a|そうは言わないけどね。でも、向こうでできることが無いわりにこっちでなんとかしなきゃいけないことが多すぎてさ。
vo_adv_2107007_054.m4a|たとえば……世界からの修正を乗り越えて。プレイヤーのみんなに、『現実』のことを認識してもらうこととかね。
vo_adv_2107007_057.m4a|確かに、混乱は起きると思う。でも、この懲役を終わらせるためには、アタシたちだけでもアタシたちのプリンセスナイトたちだけでもなくて……
vo_adv_2107007_058.m4a|このアストルムの中の、みんなの力が必要になる──アタシは、そう信じてるんだ。
vo_adv_2107007_059.m4a|なにせ、これだけとんでもない事態だからね。
vo_adv_2107007_062.m4a|…………
vo_adv_2107007_064.m4a|そうだね、良かったよ。方法論はさておくとしても、みんなを現実へ帰すって目的は一致してるみたいで。
vo_adv_2107007_067.m4a|オッケーなにせ……連中の後ろには、とんでもない黒幕がいそうだからね。ネネカもなんとなーくは察してるだろうけど。
vo_adv_2107007_069.m4a|あとは……これは頼みっていうか、お願いなんだけど。
vo_adv_2107007_071.m4a|少年たちに、もう少しだけ……自由な時間を過ごしてほしいんだ。そのために、それとなく協力してあげてほしくてさ。
vo_adv_2107007_073.m4a|やだなぁ。そんな、戦いを有利にするためとかなんかじゃないよ。ただ……
vo_adv_2107007_074.m4a|これから先。遠くないうちに、本当の嵐が来る。この世界すべてを呑み込むほどの大きな嵐が。
vo_adv_2107007_075.m4a|そうなったら、アタシたちにも……ううん。きっと誰にも止められない。何もかもが吹き飛ばされて、全てが無になるか──うまく風を掴んで、『あっち』までたどり着けるか──
vo_adv_2107007_076.m4a|どっちにせよ、その嵐が止んだときにはすべてが終わってると思う。……だから、その前に……
vo_adv_2107007_077.m4a|少年たちに──この世界をもう少しだけ、楽しんでほしくてね。
vo_adv_2107009_004.m4a|ふぅっ。今日はもう、店仕舞いでいいかな。そろそろ旅の支度をしなくっちゃ……
vo_adv_2107009_006.m4a|ノウェム！？どうしたのいきなり！
vo_adv_2107009_008.m4a|あー、ごめんノウェム。話の前に……ここでは「ラビリスタ」でいいかな？
vo_adv_2107009_010.m4a|オクトーかぁ……ごめんね、アタシも知らないなぁ。
vo_adv_2107009_013.m4a|ふむ……あのさ、ノウェム。
vo_adv_2107009_015.m4a|アタシはこれから、ちょっとランドソルの外に出かけるけど。ノウェムがアタシのお願いを聞いてくれるなら、オクトーの情報集めに協力してもいいよ。どうかな？
vo_adv_2107009_017.m4a|それはね──
vo_adv_2107009_018.m4a|アタシのプリンセスナイト。少年や、仲間の子たちがピンチになったときに助けてあげてほしいんだ。
vo_adv_2107009_021.m4a|順番に答えるね。まず『敵』は、【レイジ・レギオン】っていうギルドだ。彼らの狙いはアタシで、少年たちはそのとばっちりで狙われてるわけ。
vo_adv_2107009_022.m4a|だから、アタシが直接助けてあげるのは本末転倒なんだ。……この前は、真那が取られちゃうところだったから仕方なく手を出しちゃったけど……
vo_adv_2107009_023.m4a|それにアタシは、これからちょっと大事な用事をこなさなきゃいけない。他にも何人か、声を掛けてみるつもりだけど……ノウェムが手伝ってくれるなら、こんなにありがたいことはないよ。
vo_adv_2107009_025.m4a|他にも探さなきゃいけないものがあるから。オクトーのことはついでになっちゃうけど、それでもいい？
vo_adv_2107009_027.m4a|…………
vo_adv_2107009_028.m4a|……あのさ、ノウェム。こんなこと言われると、うれしくないかもしれないけど……
vo_adv_2107009_029.m4a|オクトーと再会したいんだったら、ノウェムの取っている方法は遠回りかもって……アタシは思うんだ。
vo_adv_2107009_031.m4a|だってさ。ノウェムは『あっち』のこと、ちゃーんと覚えてるんでしょ？
vo_adv_2107009_033.m4a|だったら……キミは、『あっち』に帰れる方法を探すべきじゃないかな？うまくいったら、オクトーと『あっち』で再会できるわけだし。
vo_adv_2107009_038.m4a|……それについてはアタシも今は、『答えを探してる』最中だから。絶対にコレってことは、まだ言えない。でも……
vo_adv_2107009_039.m4a|ノウェムはさ。むしろアタシよりも、『答え』に近い場所にいるって……そう思ってるんだよね～♪
vo_adv_2107009_041.m4a|うん♪
vo_adv_2107009_044.m4a|なるほどね〜っていやいやいや。今の天楼覇断剣はアタシが作ったレプリカでしょ！忘れちゃったの？
vo_adv_2107009_048.m4a|……かもね。あのときはみんな入り混じっての大乱闘って有様で、それどころじゃなかったからねー
vo_adv_2107009_050.m4a|……でも、ミネルヴァはこの世界のどこかに、確かに存在している。『再構築』が起きた今でも、ミネルヴァがこの世界を運営する存在だってことは変わらないから。
vo_adv_2107009_051.m4a|ノウェムがアタシより『答え』に近いって思うのは、そこだよ。だってキミは『前の世界』で、ミネルヴァの契約者だったんだから。
vo_adv_2107009_052.m4a|もしノウェムがミネルヴァとコンタクトを取れれば、話はすっごく楽になるんだけどな～
vo_adv_2107009_058.m4a|でもオクトーは今いないわけだから。ノウェムがなんとか、方法を考えてみるしかないね。
vo_adv_2107009_060.m4a|……はい。考え事するならコレ、食べなよ。あまりもので悪いけど。
vo_adv_2107009_062.m4a|うん♪甘いものは脳に利くんだよ～
vo_adv_2107009_063.m4a|……だからさノウェム、ちょっとゆっくり考えてみてよ。
vo_adv_2107009_065.m4a|うん。それに……
vo_adv_2107009_066.m4a|みんなで一緒に、現実に帰る方法を──だよ。
vo_adv_2107010_084.m4a|……いやぁ〜、青春だねぇ〜♪
vo_adv_2107010_085.m4a|や、こんばんは。ちょっと挨拶に来たんだけど、いい雰囲気だったからつい声を掛けそびれちゃった。
vo_adv_2107010_086.m4a|うん？なになに？
