vo_adv_1067001_000.m4a|……？
vo_adv_1067001_071.m4a|巻き込まれた人はこの通り生きてるし、今から嘆願書を書いて、【王宮騎士団（NIGHTMARE）】へ届けに行っちゃおうか♪
vo_adv_1067001_072.m4a|その後は騎士団から厳しい厳しい取り締まりを受けて、縄張りどころか組織自体が壊滅しちゃう……なんてことになるかも？
vo_adv_1067001_074.m4a|さ～て、どうしようかな～？ここにいるみんな、事は穏便に済ませたいはずなんだけど……あなたはどう？　もし違ってたらごめんね～♪
vo_adv_1067001_076.m4a|ありがと～♪それじゃあ『今回』は許してあげる……次があるとは思わないでね？
vo_adv_1067001_077.m4a|みんなお疲れさま～♪無事に生きて帰ってこられたし、縄張りまでもらえちゃった☆
vo_adv_1067001_080.m4a|うんうん、これからも二人には頑張ってもらうから、よろしくね☆この子と少し話がしたいから、先に戻ってていいよ。
vo_adv_1067001_081.m4a|さてと……ごめんね～、ギャングのいざこざに巻き込んじゃって。怖かったよね？　でもおかげで私は助かっちゃった♪今度ちゃんとお詫びとお礼、させてほしいな☆
vo_adv_1067001_082.m4a|もちろんだよ～！　それじゃあ、またね。帰り道には気をつけてね～！
vo_adv_1067001_083.m4a|{player}くん……ふふっ、プリンセスナイトか～……面白い子に会えちゃったな～♪
vo_adv_1067002_000.m4a|こんにちは～♪{player}くん、いないのかな～？
vo_adv_1067002_001.m4a|あっ！　いたいた～☆元気にしてるみたいでよかった～
vo_adv_1067002_002.m4a|うん！　久しぶり～♪今日はこの間のお礼をしようと思って来たんだ。とりあえず、私についてきてくれるかな？
vo_adv_1067002_003.m4a|大丈夫。今から行くのは、この間みたいな怖い所じゃないから♪
vo_adv_1067002_004.m4a|特に支度もいらないし、行けるならすぐに出発するよ～☆
vo_adv_1067002_005.m4a|じゃ～ん☆　ここが私たちのアジトでーす♪
vo_adv_1067002_006.m4a|え～？　そんなことないよ～！大抵の攻撃魔法じゃビクともしない造りなんだから！なんてね♪　そういう意味じゃなくても、危なくはないよ？
vo_adv_1067002_008.m4a|今日はこの子に私の仕事、手伝ってもらうんだ～♪
vo_adv_1067002_010.m4a|は～い。よろしくね～☆
vo_adv_1067002_011.m4a|はいど～ぞ、入って入って♪ここが私の部屋だよ～☆
vo_adv_1067002_012.m4a|資料が多くてちょっと窮屈かもしれないけど……仕事する分には大丈夫だよね。
vo_adv_1067002_013.m4a|それでは～、ようやく発表しま～す♪
vo_adv_1067002_014.m4a|今から君には～…………漫画の原稿のお手伝いをしてもらいま～す☆
vo_adv_1067002_015.m4a|そうだよ～☆ギャングの仕事かと思った？　安心して。君にそんな危ない真似はさせないから♪
vo_adv_1067002_016.m4a|実はギャングのボスは裏の顔っていうか、副業みたいなもので、本業はこっちなんだ。
vo_adv_1067002_017.m4a|ランドソルで発行されてる新聞に載るイラストを描いたり、漫画を描いたりしてるの。どう、驚いた？
vo_adv_1067002_018.m4a|普段はこの辺りに住んでる子どもたちの中から、手先の器用な子に手伝ってもらってるんだけどね。
vo_adv_1067002_019.m4a|今回は君へのお礼として、手伝ってもらうことにしちゃいました～☆
vo_adv_1067002_020.m4a|それじゃあさっそくそこに座って♪私がペン入れした絵にベタ入れとかトーンを貼ってもらうから、よろしくね～☆
vo_adv_1067002_021.m4a|やり方はちゃんと一つずつ説明しながら教えていくから、じっくり覚えていって♪
vo_adv_1067002_022.m4a|まずはベタ入れからだね～これが私の描いた絵なんだけど、×印がつけてあるでしょ～？
vo_adv_1067002_023.m4a|この印があるところを、筆で黒く塗りつぶしてみて？……そうそう！　上手上手～♪
vo_adv_1067002_024.m4a|全部塗れたね。そうすると～……？すご～い！　塗った部分が影になってる～！
vo_adv_1067002_025.m4a|影があると、紙に描いた白黒の絵なのに、奥行があるように見えるよね？
vo_adv_1067002_026.m4a|ふふっ、いい反応ありがと～☆その調子で、もっと影を塗っていっちゃえ～！全部塗り終わったら私に教えてね～♪
vo_adv_1067002_027.m4a|どれどれ～？　うん、バッチリ塗り終わってるね！よくできました～！　この絵は完成～☆
vo_adv_1067002_028.m4a|塗りも丁寧だし、君ってば結構筋がいいんだ～♪よ～し、次はトーンの貼り方を教えるね～☆
vo_adv_1067002_029.m4a|おお～☆　トーン貼りはもう合格だね～！お見事～！　ご褒美に頭なでなでしちゃお～っと♪
vo_adv_1067002_031.m4a|どうしたのラーゴ？ああ～、褒めてほしいんだ？大人しくしてて偉いね～☆
vo_adv_1067002_033.m4a|ふぅ～……ギリギリ終わったね～……これにて今回の原稿は無事脱稿～☆
vo_adv_1067002_034.m4a|今日のお仕事はこれにて終了～！お疲れさま～！　明日もよろしく♪
vo_adv_1067002_035.m4a|そう、明日も☆　実はこっちのお仕事がたまっちゃってて、しばらく手伝ってもらいたいんだけど～……いいかな？
vo_adv_1067002_036.m4a|はいこれ、今日の報酬。配達のお仕事でいうと、３日分くらいにはなってるよね？
vo_adv_1067002_037.m4a|ふふっ、いい驚きっぷりだ～♪どうしてベタとトーンだけでこんなにって思ってる？
vo_adv_1067002_038.m4a|漫画は誰か一人のために書かれる手紙とは違って、印刷されて、たくさんの人の目に触れる。
vo_adv_1067002_039.m4a|私たちが今日作ったのは印刷するための原稿っていって、最近は私の漫画を目当てに新聞を読む人が増えたから、原稿を作るためのお金を高くしてもらったんだ。
vo_adv_1067002_040.m4a|ところがね、漫画が人気になったら他にも絵の仕事の話がきちゃって、一人でこなすのが大変になっちゃった～……
vo_adv_1067002_041.m4a|ただ、元々子どもたちには他の仕事を頼んでるから、いきなりお願いしちゃうわけにもいかなくて……
vo_adv_1067002_042.m4a|そこで君を頼っちゃおうかな～、というわけ♪どうかな～？　明日からしばらくの間、手伝ってくれる～？
vo_adv_1067002_043.m4a|ありがと～☆　じゃあ明日も、今日と同じくらいの時間に来てね。作業はちゃんと用意しておくから。
vo_adv_1067002_044.m4a|お疲れさま～！　また明日ね～♪
vo_adv_1067002_046.m4a|今日もお疲れさま～♪アシスタントが優秀だと仕事がすぐ片付いちゃうな～☆
vo_adv_1067002_047.m4a|ありがとね。昨日も一日中付き合ってもらったのに、今日もずっと作業してくれて。
vo_adv_1067002_048.m4a|おかげでイラストの仕事を増やせたから大助かりだよ～このままずーっと住み込みでアシスタントする気はない？
vo_adv_1067002_049.m4a|万が一君の仕事っぷりが他の漫画家に伝わったら、きっと争奪戦になっちゃうから……今のうちに専属契約しちゃいたいな～♪
vo_adv_1067002_050.m4a|衣食住は完備。それ以外の欲求も、ぜ～んぶ私が満たしてあげる……☆
vo_adv_1067002_051.m4a|……それ以外は、それ以外だよ♪人間における生理的な欲求の中には、衣食住で満たせるものもあるけど、そうじゃないものがあってね……
vo_adv_1067002_053.m4a|もう、いいところだったのに～……どうぞ～☆
vo_adv_1067002_055.m4a|ご苦労さま～♪　後はいつも通りにやっちゃっていいから。跡を辿られないようにだけ、気をつけてね☆
vo_adv_1067002_057.m4a|……さっきの話はまた今度させてもらうね～♪
vo_adv_1067002_058.m4a|君と一緒にずっと絵を描いてた？そうだね～♪　その通り。ずーっと一緒だったよ。
vo_adv_1067002_059.m4a|そんなにびっくりしないでよ～！　もう～、かわいいな～♪……君って他者に対してものすごく鋭敏な感覚を持ってるんだね。
vo_adv_1067002_060.m4a|ほら、ギャングのボスってあんまり表立って動き過ぎたら、危ないヤツだって王国から目を付けられちゃうでしょ？
vo_adv_1067002_061.m4a|会合への出席みたいな重要な仕事には顔を出すけど、それ以外の仕事とかメンバーへの指示出しは、なるべく口頭や対面でしないようにしてるんだ。
vo_adv_1067002_062.m4a|どうやってメンバーを動かしてるのか気になる？それはね～、君が今作業を手伝っているものを使ってるよ。
vo_adv_1067002_063.m4a|その通り～♪漫画やイラスト、他にも手紙に暗号を仕込んであるの。
vo_adv_1067002_064.m4a|メンバーたちには解読できるよう暗号の読み方を仕込んでおかないといけないから、最初は大変だけど、覚えさせれば後は楽なんだ～☆
vo_adv_1067002_065.m4a|……心配しないで。君が手伝ってくれたところに暗号は仕込んでないから。せっかくのお礼なのに、危なくて汚いギャングの仕事はさせられないよ～♪
vo_adv_1067002_066.m4a|私からの感謝の気持ちは、純粋なものとして受け取ってほしいな～☆
vo_adv_1067002_067.m4a|……堕ちてもらうタイミングは、ちゃ～んと用意してあげたいし♪
vo_adv_1067002_068.m4a|あははっ、冗談だよ冗談☆さあ、止まってる手を動かして～♪今日は終わったら美味しいご飯、食べに行こっか～！
vo_adv_1067003_000.m4a|今日は来てくれてありがと～♪実はまたお願いしたいことがあるんだけど……
vo_adv_1067003_001.m4a|ドラゴン族の研究を手伝ってほしいんだ～☆どうかな？
vo_adv_1067003_002.m4a|ドラゴン族っていうのはね～？……あれ～？　もしかしてドラゴン族のこと知らないの～？
vo_adv_1067003_003.m4a|でもそっか、よく考えたら私って君に、ドラゴン族のこと話してなかったね。
vo_adv_1067003_004.m4a|ちょうどいい機会だし、簡単に説明しちゃうね。私はドラゴン族で、ドラゴン族っていうのは、今はごくごく少数しかいない希少な種族なんだ～
vo_adv_1067003_005.m4a|そんなドラゴン族の同胞や痕跡を見つけるのが活動目的の、とあるギルドがあるの。
vo_adv_1067003_006.m4a|それこそが、私がギルドマスターを務めるギルド、【ドラゴンズネスト】だよ。
vo_adv_1067003_007.m4a|そうだよ～☆……おかしいな～？　これも言ってなかった～？
vo_adv_1067003_008.m4a|ああ、そっか～。そういえば二人にはまだ会ってないし、ここもアジトって言っちゃってたね。
vo_adv_1067003_009.m4a|ここはそもそもがちゃんとしたギルド用のギルドハウスで、それをギャングのアジトとして使っちゃってるんだ～
vo_adv_1067003_010.m4a|本当はいけないことだから、内緒にしておいてね♪
vo_adv_1067003_011.m4a|そういうわけで、絵の仕事とギャングの仕事がない時は、あちこちに出向いて同胞がいないか探してるの。
vo_adv_1067003_012.m4a|今日は君にそのお手伝いをしてほしくて呼んだんだ～どうかな？　一緒にやってくれる？
vo_adv_1067003_013.m4a|ありがと～☆支度は済んでるから、すぐに出発しちゃおっか。今日こそ見つかるといいな～♪
vo_adv_1067003_014.m4a|馬車で行けるのはここまでかな。君は大人しく待っててね～魔物が来ないように結界を張って……これでよし♪
vo_adv_1067003_015.m4a|調べたらずっと昔、この火山に人が住んでたみたいで、それがドラゴン族かもしれないんだって。
vo_adv_1067003_016.m4a|洞窟の入口は～……あそこだね。こういう場所は魔物の巣穴になってることが多いから、いきなり中に入らないで、気をつけながら近づこう。
vo_adv_1067003_017.m4a|入口からだと奥が全然見えないね～……魔物はいなそうだし、とりあえず入ってみよっか♪あ、松明は使わないで。引火するかもしれないし。
vo_adv_1067003_018.m4a|こんな時は魔力で光を配置すれば問題なしっと……♪
vo_adv_1067003_019.m4a|うん、これで大丈夫☆
vo_adv_1067003_020.m4a|私が先に進むから、君はラーゴと一緒についてきて。いざ、洞窟探検にしゅっぱ～つ♪
vo_adv_1067003_021.m4a|……う～ん、ここもハズレっぽいね～根気強く探すしかないんだけど、がっかりしちゃうな～
vo_adv_1067003_022.m4a|ドラゴン族なんて、本当は存在しないのかも……な～んてね☆　私がいるのに他にいないはずがないよね～
vo_adv_1067003_023.m4a|せっかく来たんだし、行ける所まで行ってみようか。ラーゴ、何かあったらお願いね？
vo_adv_1067003_025.m4a|まかせとけ、だって♪ラーゴは君のことを、弟みたいに思ってるのかも。
vo_adv_1067003_027.m4a|……行き止まりだ。結構奥まで来たけど、何のための場所だったのかな？よく分からないな～……この場所も、この世界も。
vo_adv_1067003_028.m4a|そうだ！　君はこの世界について、どれくらい知ってるの？
vo_adv_1067003_029.m4a|かつてこの世界には七冠っていう神に近い存在がいて、彼らのそばにはプリンセスナイトって呼ばれる、特別な力を持った側仕えの騎士がいたのは知ってる？
vo_adv_1067003_030.m4a|古いおとぎ話として語り継がれてきた歴史上の存在、七冠……そんな彼らが、実は今もなお生きてるとしたら、どう思う？
vo_adv_1067003_031.m4a|何故か七冠としての記憶を失っているみたいだけど……名前すら残っていないのに、存在していたことだけが語り継がれている人もいるけど、ちゃんと生きてる人もいてね……
vo_adv_1067003_032.m4a|ひょっとして、自分に近づきすぎたからって怒った神様が、痕跡すら残さずに消しちゃったのかな？だから存在していた事実だけが残ってる……あり得ると思わない？
vo_adv_1067003_033.m4a|……君の記憶みたいに♪
vo_adv_1067003_034.m4a|ふふっ、面白い反応～☆　君ってそんなに驚くんだ～？
vo_adv_1067003_035.m4a|初めて会った時に軽～く見ただけだよ……この目でね♪
vo_adv_1067003_036.m4a|私の目はね、普通の人よりちょっと見え過ぎちゃうみたいで、君がどんな状態なのか、君自身より詳しく見えちゃうの。
vo_adv_1067003_037.m4a|だから君が記憶喪失で、プリンセスナイトなのも知ってる……
vo_adv_1067003_038.m4a|でも安心して。君に危害を加えたり、君の力を利用するつもりはないから☆
vo_adv_1067003_039.m4a|私はね、君だってこの世界のおかしさに巻き込まれちゃった人なんじゃないかって気がするの。
vo_adv_1067003_040.m4a|この世界には、おかしなところがたくさんある。片手で数えられるだけしかいないドラゴン族の私たちにはね、親がいないんだよ？　どうやって生まれてきたのかな～？
vo_adv_1067003_041.m4a|それにプリンセスナイトの君が記憶を失った状態で、この世界にいきなり現れた……ああ、これは色んな情報を集めた末の推察ね？
vo_adv_1067003_042.m4a|とにかく、この世界では不思議なことがたくさん起きてる。自分の種族のこと以外にも、そんな事象がたくさんで興味が尽きないんだ～♪
vo_adv_1067003_043.m4a|よしっ、収穫もないし帰ろっか？……本当はここで生きたまま君の頭の中を、色々と調べてみるのも面白そうだったけど、今回はやめておくね～☆
vo_adv_1067003_044.m4a|……？あははっ☆　本気にしちゃった？　今のは冗談だってば～♪
vo_adv_1067003_045.m4a|今はまだこの世界で遊ぶのもありかな～って思って、こうしてあちこち出かけては調べてるんだ～……
vo_adv_1067003_046.m4a|一体誰が、どんなふうに世界を書き換えたのかをね♪
vo_adv_1067003_047.m4a|そうだ！　もしよかったら、これからも今日みたいに、一緒にあちこち歩き回ってみない？
vo_adv_1067003_048.m4a|そうすればいつか、君の記憶について何か分かるかも。どうかな？
vo_adv_1067003_049.m4a|もう～、心配性だな～♪こう見えても私、結構強いんだけどな～☆
vo_adv_1067003_050.m4a|は～い、到着～♪洞窟探検、お疲れさまでした～！
vo_adv_1067003_051.m4a|ねえ、この後は空いてる？荷物持ちとして、付き合ってくれないかな？お仕事として、報酬は探検の分に上乗せするし♪
vo_adv_1067003_052.m4a|洞窟が空振りだったから、気晴らしに買い物がしたいんだ～♪
vo_adv_1067003_053.m4a|拒否しないってことは、付き合ってくれるんだ☆ありがと～♪　じゃあ今日はたくさん買っちゃおうかな～？
vo_adv_1067003_054.m4a|すみませ～ん！　この服くださ～い！
vo_adv_1067003_055.m4a|そういえば実験の材料がちょうど切れてたし……あの～、ここからここまで、全部買いま～す☆
vo_adv_1067003_056.m4a|あとそこの本と、それも……これと、これもお願いしま～す♪
vo_adv_1067003_057.m4a|ふふふっ♪いい買い物しちゃった～☆
vo_adv_1067003_058.m4a|うん！　荷物を持ってくれる人がいる時に買い物なんて、なかなかできないから、いつもより楽しくなっちゃってるみたい♪
vo_adv_1067003_059.m4a|あっ！　ちょっと待ってて。すみませ～ん、バニラアイス一つくださ～い♪
vo_adv_1067003_060.m4a|お待たせ～♪体力使ってるから甘い物が欲しいかなって思って、買ってきちゃった☆　はい、あ～んして～……
vo_adv_1067003_061.m4a|……早く～！　溶けちゃうよ～？
vo_adv_1067003_062.m4a|そうそう♪　あ～ん……どう？　美味しい？
vo_adv_1067003_063.m4a|あははっ、かわいい～♪君ってなんだか、餌付けしたくなっちゃうな～☆は～い、もっと食べて～？　まだまだついてきてもらうからね～？
vo_adv_1067003_065.m4a|今日は本当にありがと～☆遠慮せずに、食べたいもの頼んじゃっていいよ～
vo_adv_1067003_066.m4a|私は何にしようかな～……アクアパッツァに～、エビのフリットもいいね～……♪
vo_adv_1067003_067.m4a|うん、決まりっ♪店員さん呼んじゃうね？　すみませ～ん！
vo_adv_1067003_069.m4a|は～い、ありがとうございま～す♪
vo_adv_1067003_070.m4a|……あのね？　私、歩き疲れてお箸が持てなくなっちゃった～……それ、食べさせてほしいな～♪
vo_adv_1067003_071.m4a|アイスのお返し、してほしいな～♪
vo_adv_1067003_072.m4a|あむっ♪　もぐもぐ……ん～☆　君ってご飯を食べさせる天才かも～！
vo_adv_1067003_073.m4a|次はどれに──
vo_adv_1067003_075.m4a|ん～？
vo_adv_1067003_080.m4a|せっかく楽しい時間を過ごしてたのに、気が利かないな～……☆
vo_adv_1067003_081.m4a|えいっ☆
vo_adv_1067003_086.m4a|精密？　今のが？甘いな～……縫い針に糸を通すほうがまだ難しいよ～☆
vo_adv_1067003_088.m4a|あ～あ、せっかくの食事が台無しだ～……
vo_adv_1067003_090.m4a|迷惑かけちゃってごめんなさい。代金はここに置いていくね？　君、行こっか☆
vo_adv_1067003_092.m4a|さっきの刺客、ひどかったな～……みんなが幸せになる場所を自分の目的に利用するなんて。もっとやり方ってものがあると思わない？
vo_adv_1067003_093.m4a|……ギャングのボスみたいな強い力を持つとね、それに対する反発が必ずどこかで生まれちゃう。
vo_adv_1067003_094.m4a|この力でやりたいことがあるから反発があるのは覚悟してるけど、時と場合ってものがあるよね～☆
vo_adv_1067003_095.m4a|君の力だってそうでしょ？　プリンセスナイトくん♪
vo_adv_1067003_096.m4a|……
vo_adv_1067003_097.m4a|……そっか～♪君って本当に面白いね～☆
vo_adv_1067004_000.m4a|いらっしゃ～い。早速だけど、肩を揉んでほしいな～♪
vo_adv_1067004_001.m4a|それだけで呼んじゃダメだった？君と私の仲だし～、いいかなって♪
vo_adv_1067004_002.m4a|あ～あ、あっさり折れちゃったね～☆……でもそういう君の優しいところ、私は大好きだよ♪
vo_adv_1067004_003.m4a|いきなり呼び出しちゃって悪い気もするし～ちょっとくらいならマッサージにかこつけて、いやらしいことしちゃってもいいからね～？
vo_adv_1067004_004.m4a|それとも、こっちからしちゃおっかな～……なんてね☆あれ、もう始めちゃうの？
vo_adv_1067004_005.m4a|……おお～☆　いい感じ♪君ってこういう才能もあるんだ～……
vo_adv_1067004_006.m4a|ん？　まぶしい……？あれ……マッサージが上手だからかな……眠く、なって……きちゃった……
vo_adv_1067004_074.m4a|……♪
vo_adv_1067004_075.m4a|ふ～ん……こんなふうになってるんだ～？私と接続してたところから辿ってみたけど、こんなところがあったなんてビックリだよ～☆
vo_adv_1067004_077.m4a|この子がアメスちゃん……そしてここが……
vo_adv_1067004_078.m4a|なるほど～☆　こんなところまで再生できちゃうなんて、やっぱりすごい力だね～
vo_adv_1067004_079.m4a|おかげでこれまでのループの記憶も、ぜ～んぶ読み取れちゃうみたいだし♪
vo_adv_1067004_080.m4a|持つべきものは、頼れるビジネスパートナーだよね～☆
vo_adv_1067004_081.m4a|さてさて～、どこから再生していこうかな～？
vo_adv_1067004_082.m4a|とりあえず～……『今見てる周回』は最後どうなっちゃうんだろ？
vo_adv_1067004_083.m4a|うわぁ～……清々しい負けっぷりだ～……☆ドンマイ{player}くん♪
vo_adv_1067004_084.m4a|っていうか今までのループって、覇瞳皇帝にやられちゃうか、無茶しすぎで倒れちゃってるとかばっかりだし……私的にはあんまり面白くないかも。
vo_adv_1067004_085.m4a|……でもまあ、どこにヒントがあるか分からないし、根気強く見ていくしかないか～……
vo_adv_1067004_086.m4a|思ったより楽じゃなさそう～お菓子と飲み物があればな～……
vo_adv_1067005_000.m4a|あっ、来た来た～♪　やっと会えた～☆初めましてだけど久しぶり、{player}くん。元気にしてる～？
vo_adv_1067005_001.m4a|……？
vo_adv_1067005_002.m4a|な～んて声をかけたいけど、今は我慢しないと……今回はあえて距離置く作戦、発動しま～す☆
vo_adv_1067005_003.m4a|こんにちは〜。何か探し物？この辺りはギャングの縄張りで、結構物騒なところだから、あんまり一人で来ない方がいいよ。
vo_adv_1067005_004.m4a|よ～し、一言一句同じこと言えてる♪偉いぞ私、その調子～☆
vo_adv_1067005_005.m4a|それとも、誰かを探してるのかな〜？
vo_adv_1067005_006.m4a|そんなの私しかいないんだけどね♪一応聞かないとおかしなことになっちゃうから、一応聞かないとね。一応。
vo_adv_1067005_007.m4a|次は自然と驚いてみせま～す☆
vo_adv_1067005_008.m4a|わぁ〜♪　すっごい偶然！ホマレって人は、ここにいま〜す☆
vo_adv_1067005_009.m4a|うんうん、我ながらなんて白々しいセリフだ～♪
vo_adv_1067005_010.m4a|せいか〜い☆お手紙届けに来てくれてありがとう、配達人さん♪
vo_adv_1067005_011.m4a|危ない危ない、まだ知らないはずなのに名前で呼んじゃうとこだったよ～☆
vo_adv_1067005_012.m4a|じゃあ受け取りのサインを……ねえ、君って配達が専門のお仕事なの？他の仕事も頼んだらやってくれる？
vo_adv_1067005_013.m4a|そうなんだ～……これでよし。……お仕事ご苦労さま。気をつけて帰ってね～☆
vo_adv_1067005_014.m4a|はぁ～……これでしばらくお別れかぁ～……思ってたより後ろ髪引かれちゃってるな～……
vo_adv_1067005_015.m4a|自分で決めたとはいえ、ざんね～ん……覇瞳皇帝と戦う手助けはできないけど、頑張ってね……
vo_adv_1067005_016.m4a|……ばいばい、{player}くん。今はまだ顔見知りよりも薄い縁で……後で必ず、また会おうね♪
vo_adv_1067005_017.m4a|さ～て、また会うまでにやるべきことをしないと♪
vo_adv_1067005_018.m4a|この手紙はたしか～……あのやり方が最短か～☆
vo_adv_1067005_019.m4a|時間ももったいないし、早速行動開始～♪
vo_adv_1067005_020.m4a|こんにちは～♪ちょっといいかな～？
vo_adv_1067005_023.m4a|生きてるのかって？生きてる理由が必要なんて、おかしいよね～？
vo_adv_1067005_024.m4a|それってつまり、私が死んだと思いたい人、死んでほしい人の考え方だよね～☆
vo_adv_1067005_026.m4a|ひど～い！　どうしてそんなこと言うの～？もしかして、この手紙のせい？
vo_adv_1067005_028.m4a|意外と察しがいいんだ～？今からここで、この手紙を開けちゃいま～す♪
vo_adv_1067005_030.m4a|あははっ、焦ってる焦ってる♪え～いっ☆
vo_adv_1067005_031.m4a|殺傷目的としてはもう少し爆発力を強くしたいんだろうけど、頼んだ術者の腕が良くないみたい。まだまだ改良の余地ありじゃないかな～♪
vo_adv_1067005_033.m4a|どこに行くの～？　まさかとは思うけど、自分たちのアジトから逃げるつもりじゃないよね～？
vo_adv_1067005_036.m4a|部下を見捨てて自分だけが助かろうとするボスは、助ける価値もないんだって☆
vo_adv_1067005_038.m4a|ダメージを受けてないのかって？防ぎ方が分かってるからね。そんなことも分からないんだ？
vo_adv_1067005_039.m4a|もう生かしててもしょうがないし、消しちゃおうっと♪
vo_adv_1067005_042.m4a|は～い、注目～♪あなたたちのボスはたった今、この世界からいなくなりました～☆
vo_adv_1067005_043.m4a|引き続き生きていたい人は、私たちファミリーの傘下に入ってもらいます。そうじゃない人は、ボスと同じ目に遭ってもらうね～☆
vo_adv_1067005_045.m4a|他の人たちも同じ気持ち？……な～んだ。面白くないなぁ、プレイヤーのくせに～
