vo_adv_1171001_000.m4a|やっぱり住むなら、海辺のおうちだよねっ。
vo_adv_1171002_028.m4a|お店があるのは分かってる……分かってる、けど……！
vo_adv_1171002_029.m4a|黙って見てるなんてお姉ちゃんじゃないよねっ！
vo_adv_1171002_030.m4a|弟くんっ！お姉ちゃんも手伝うよーーーっ！
vo_adv_1171002_032.m4a|ありがとうございました～♪はぁ……すぐに見つかってよかったね、弟くん。
vo_adv_1171002_033.m4a|{player}くんのおかげでクレープも売れたし、ここからはお姉ちゃんと一緒に……
vo_adv_1171002_034.m4a|え？　また呼び込みに行ってくる？……う、うん。お願いするね……
vo_adv_1171002_039.m4a|あ～……
vo_adv_1171002_040.m4a|誰に対しても物怖じしないのはいいことだけど、その人はお客さんにならないと思うよ、弟くん……
vo_adv_1171002_041.m4a|でも、弟くんのピンチ……！お店なんて後回しだよっ！
vo_adv_1171002_042.m4a|こらーっ！弟くんを離しなさーいっ！
vo_adv_1171002_043.m4a|お姉ちゃんっ！チョーーーーーーーーープッ！
vo_adv_1171002_047.m4a|たくさん買ってくれてありがとうございます♪
vo_adv_1171002_049.m4a|うんうん。弟くんのおかげでまたクレープが売れたね！
vo_adv_1171002_050.m4a|でもほら、もうそろそろ呼び込みはいいんじゃないかな？お姉ちゃんの近くにいてくれた方が安心するというか……
vo_adv_1171002_051.m4a|え？　もっと頑張れる？う、うん……頑張ってね！
vo_adv_1171002_052.m4a|うぅ……あんな格好いい顔で頑張るって言われちゃったら、お姉ちゃん止められないよ～……！
vo_adv_1171002_058.m4a|…………
vo_adv_1171002_059.m4a|………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………
vo_adv_1171002_061.m4a|よくないよ？
vo_adv_1171002_063.m4a|よ・く・な・い・よ？
vo_adv_1171002_065.m4a|私は弟くんのお姉ちゃんだよ♪だから、弟くんを守らなきゃいけないの♪
vo_adv_1171002_067.m4a|……っ！
vo_adv_1171002_069.m4a|弟くん……！私との時間、そんなに大事にしてくれてたんだね……！
vo_adv_1171002_070.m4a|私と弟くんはただのきょうだいじゃないよっ！つよ～い絆で結ばれた、運命の二人なんだから！
vo_adv_1171002_071.m4a|私たちの間には、誰も割って入れないんだよっ！
vo_adv_1171002_073.m4a|ふふっ、弟く～ん……♪
vo_adv_1171002_075.m4a|ふふっ……{player}くんよりいい男なんて、いるわけないよ。
vo_adv_1171002_076.m4a|お姉ちゃんを選んでくれてありがとうね、弟くん。でも、弟くん格好いいから、きっとこの先も色んな女の子から声をかけられちゃうよね……
vo_adv_1171002_077.m4a|閃いた！じゃあしばらく、お姉ちゃんが一緒に歩いてあげる！
vo_adv_1171002_078.m4a|こうやって仲良しな姿を周りに見せておけば、ナンパなんてしようとする人もいなくなるよねっ♪
vo_adv_1171002_079.m4a|えへへ……ほら弟くん、もっとくっついて♪きょうだいのつよ～い絆を見せつけちゃお♪
vo_adv_1171003_000.m4a|聞いて聞いて{player}くんっ！やったよっ！
vo_adv_1171003_001.m4a|お金が目標額に達したんだよっ♪
vo_adv_1171003_002.m4a|{player}くんが一生懸命頑張ってくれたから……うぅ～お姉ちゃん感激だよ～っ！
vo_adv_1171003_003.m4a|ふふっ、お姉ちゃんと弟くん、二人で稼いだお金でおうちを借りるって、なんだか……
vo_adv_1171003_004.m4a|えへへ、なんでもないっ！急ごっ、あの格安物件、借りられちゃってたら大変だもん！
vo_adv_1171003_005.m4a|すみませーん！
vo_adv_1171003_007.m4a|この広告の物件、まだ誰も借りてませんよねっ？契約したいんですけど……
vo_adv_1171003_010.m4a|まだ借りられますよねっ？
vo_adv_1171003_013.m4a|問題？もしかして、オバケが出てくる、みたいな？
vo_adv_1171003_015.m4a|なるほど、だから値段がこんなに安いんだね……でも平気だよっ！　むしろ好都合！
vo_adv_1171003_016.m4a|【ラビリンス】が使うには、この上ない環境だし……なにより誰も近寄らない場所なら、私と弟くんだけの時間をじっくり楽しめるもんね！
vo_adv_1171003_018.m4a|分かりました！いこっ、弟くん！　私たちの海辺のおうちへ……♪
vo_adv_1171003_019.m4a|ここだね……！海も近いし、雰囲気があっていい感じだねっ！
vo_adv_1171003_020.m4a|建物は古いけどお部屋はいっぱいあるし、将来的に家族が増えても、これならまったく問題ないね、弟くんっ♪
vo_adv_1171003_021.m4a|{player}くんはどの部屋がいい？一番に選んでいいんだよっ♪お姉ちゃんはその隣の部屋にするから♪
vo_adv_1171003_022.m4a|眠れないときはお姉ちゃんの部屋に来ていいんだよっ？頭をナデナデして、子守唄を歌ってあげるね……♪
vo_adv_1171003_023.m4a|えへへ、家族としてできなかったこと……一つ一つ叶えていこうねっ♪
vo_adv_1171003_024.m4a|……っ？
vo_adv_1171003_025.m4a|今、何かに見られてたような……
vo_adv_1171003_026.m4a|もしかして、物件屋さんが言ってた……？
vo_adv_1171003_027.m4a|でも、そんなものにお姉ちゃんの夢は邪魔させないよっ！
vo_adv_1171003_028.m4a|っ！今の音……！
vo_adv_1171003_029.m4a|あっ、怖い？　もしかして弟くん、オバケ怖かったりする？じゃあはい！　お姉ちゃんに抱きついていいんだよっ！怖くなくなるまで、ギュ～ってしてあげる♪
vo_adv_1171003_030.m4a|もうっ、弟くんってば～！　ちゃんと腰に下げてないとだめだよ？はい、お姉ちゃんが着けてあげるね。両手を上げて～……じゃなくて、別の音だよっ！？
vo_adv_1171003_031.m4a|視線に足音……でも、これはオバケとかじゃないねっ！
vo_adv_1171003_032.m4a|姿を見せなさいっ！
vo_adv_1171003_033.m4a|やっぱり、魔物……！
vo_adv_1171003_034.m4a|なるほど、この物件の異変は、魔物のせいだったんだね……！？
vo_adv_1171003_035.m4a|お姉ちゃんと弟くんの幸せライフを邪魔しようとするなんて、きつ～いお仕置きが必要だねっ！
vo_adv_1171003_036.m4a|えぇいっ！
vo_adv_1171003_037.m4a|んっ、逃げた！？追いかけるよっ！
vo_adv_1171003_038.m4a|それっ！
vo_adv_1171003_039.m4a|なかなかすばしっこいね……！
vo_adv_1171003_040.m4a|それに、全然反撃してこない。なんだか調子が狂っちゃうな……
vo_adv_1171003_041.m4a|でも！私と弟くんのおうちは、絶対に諦めないからね！
vo_adv_1171003_042.m4a|よぉっし、追い詰めたよ！もう逃がさないからね……！たぁぁぁっ！
vo_adv_1171003_043.m4a|え……っ？どうして止めるの、弟くん？
vo_adv_1171003_044.m4a|あ……もう一匹……？
vo_adv_1171003_045.m4a|この魔物、一回り小さなこの子を守ろうとしてる……？
vo_adv_1171003_046.m4a|家族、なのかな……
vo_adv_1171003_047.m4a|……考えてみればこの魔物、物件屋さんも知らなかったってことは、今まで誰にも見つからずに、視線とか物音しか立てなかったんだよね。
vo_adv_1171003_048.m4a|人を襲おうとしてたんじゃなくて……この子と安全な場所で過ごすために、来た人を驚かしてただけなのかな。
vo_adv_1171003_049.m4a|大切な家族を、守るために……
vo_adv_1171003_050.m4a|…………
vo_adv_1171003_051.m4a|……はぁ。
vo_adv_1171003_052.m4a|{player}くん、帰ろっか。
vo_adv_1171003_053.m4a|……うん。ここに住むのは諦めるよ。
vo_adv_1171003_054.m4a|だって、家族を引き離すなんて……
vo_adv_1171003_055.m4a|お姉ちゃんにはできないから。
vo_adv_1171003_057.m4a|はい。これ、契約金です。
vo_adv_1171003_059.m4a|私が住むんじゃないけど……他の人が借りちゃったら大変だからね。
vo_adv_1171003_060.m4a|あの子が大きくなって、出ていけるようになるまで私が責任を持って、管理してあげよう。
vo_adv_1171003_061.m4a|お姉ちゃんだからね。えへへ、惚れ直しちゃった？
vo_adv_1171003_062.m4a|でもごめんね、{player}くん。いっぱい頑張ってくれたのに。二人で稼いだお金、全部使っちゃった。
vo_adv_1171003_063.m4a|このお返しは……えっ？いらないの？
vo_adv_1171003_064.m4a|……！
vo_adv_1171003_065.m4a|あ、ぅ……もうっ！ダメだよ？　急にお姉ちゃんをドキッとさせちゃ……！
vo_adv_1171003_066.m4a|でも、そんな格好いい弟くんにはやっぱりご褒美をあげなきゃねっ！
vo_adv_1171003_067.m4a|お姉ちゃんに何でも言ってみて？どんなお願いでも聞いてあげる♪
vo_adv_1171003_068.m4a|えっ？　特に思いつかない？　そんなことないでしょっ？ねぇねぇ、今ならお姉ちゃん、なんでも聞いてあげちゃうよっ？な、ん、で、も、だよ？
vo_adv_1171003_069.m4a|あっでも、夏だからってあんまり開放的なのはダメだぞ？……ほどほどに、ね？
vo_adv_1171003_070.m4a|さぁさぁ、お姉ちゃんに何でもおまかせ♪え、どうして逃げるのっ？　待ってよ～～～♪
vo_adv_1171003_071.m4a|弟く～～～～～んっ♪
vo_adv_1171004_000.m4a|……はぁ。結局、海辺のおうちに住むのは無理そうだね。
vo_adv_1171004_001.m4a|夢とか憧れとか、なかなか思うようにはいかないなぁ。
vo_adv_1171004_002.m4a|{player}くんと海辺のおうちに住んで、毎日一緒に楽しく過ごしたかったんだけどな……
vo_adv_1171004_003.m4a|……{player}くん……！
vo_adv_1171004_004.m4a|えへへ。そっか……
vo_adv_1171004_005.m4a|そうだね。私はただ、弟くんと一緒にいるだけで楽しくて、うれしくて、幸せで。
vo_adv_1171004_006.m4a|それ以上を望むのは、贅沢だね。
vo_adv_1171004_007.m4a|ふふっ、日が沈んで暗くなる前に帰ろっか。って、あれ？どうして明るくなって──？
vo_adv_1171004_081.m4a|んしょ、んしょ……
vo_adv_1171004_082.m4a|あ、起きた？えへへ、二人して砂浜で寝てたみたい。
vo_adv_1171004_083.m4a|弟くんはぐっすり寝てたから、起こすのも悪いし、このままおうちまで運んであげようかなって。
vo_adv_1171004_084.m4a|ふふっ、いいんだよ。私は{player}くんのお姉ちゃんなんだから。
vo_adv_1171004_085.m4a|……っ！
vo_adv_1171004_086.m4a|あ、あんまりお姉ちゃんを見つめないでね。なんか今、変な感じで……
vo_adv_1171004_087.m4a|さっき見てた夢のせいかな……？なんにも覚えてないけど……弟くんの顔が近くにあったら、胸の辺りがなんか……
vo_adv_1171004_088.m4a|えっ、熱でもあるのかって？そんなことないよっ？顔が赤いのは、夕暮れだからで……
vo_adv_1171004_089.m4a|だから、顔を近づけちゃダメだったら！もうっ、お姉ちゃんの言うことは絶対なんだよっ？
vo_adv_1171004_090.m4a|はぁ、もう……おかしな気分。海辺のおうちは借りられなかったし、稼いだお金は全部なくなっちゃったし。
vo_adv_1171004_091.m4a|弟くんと一緒に暮らす夢も、まだまだ先になりそうなのに……
vo_adv_1171004_092.m4a|なんかこうしてるだけで……すっごく幸せ。
vo_adv_1171004_093.m4a|ねぇ、{player}くん。キミは──
vo_adv_1171004_094.m4a|あれ？　寝息？……また、眠っちゃったんだね。
vo_adv_1171004_095.m4a|お姉ちゃんの背中が気持ちよかったのかな？
vo_adv_1171004_096.m4a|……ふふっ、甘えん坊さん♪
vo_adv_1212001_008.m4a|マスター！　おかえりなさい！
vo_adv_1212001_012.m4a|私にも？　何かな……？
vo_adv_1212001_014.m4a|新しいレシピ……？　美味しそう。よかった。やっとマスターも美味しいクレープが作れるんだね……
vo_adv_1212001_017.m4a|弟くん！？　どこから出てきたの！？お姉ちゃんレーダーにだって反応してなかったよ！？
vo_adv_1212001_021.m4a|それを言うなら『一日千秋』と、『待てば海路の日和あり』だね、リノちゃん。
vo_adv_1212001_023.m4a|やったぁー！……ひょっとしてマスターがクレープ作るの？
vo_adv_1212001_028.m4a|実は、マスターが作ってた時よりも、二人で切り盛りしてた時のほうが、売り上げがよくて……
vo_adv_1212001_032.m4a|は〜い。……ねえ弟くん。本当に大丈夫かな？　お姉ちゃん、やっぱり心配だよ……
vo_adv_1212001_044.m4a|美味しいクレープはいかがですかー？
vo_adv_1212001_050.m4a|マスターの手さばき、久しぶりに見るとやっぱりすごいね。ちょっと懐かしくなっちゃった。
vo_adv_1212001_052.m4a|あれでどうして味が……
vo_adv_1212001_059.m4a|やっぱり今回も……
vo_adv_1212001_065.m4a|マスター、やっぱり代わろっか？
vo_adv_1212001_068.m4a|それを言うなら──
vo_adv_1212001_074.m4a|お疲れさま、マスター。前と比べたら売れるようになったね！
vo_adv_1212001_078.m4a|お店に立つのは私たちにまかせて、経営に専念してくれるとうれしいよね、リノちゃん！
vo_adv_1212001_083.m4a|バイバイマスター！　行こ、弟くん！
vo_adv_1212001_088.m4a|弟くん……お姉ちゃん、日付が変わった瞬間に会いに行くね！だから今はしばしの別れを、涙を呑んで耐えるから……！
vo_adv_1212001_094.m4a|えっ？　マスター？……はっ！　まさか弟くんに会いに行ったんじゃないよね〜！？
vo_adv_1212002_007.m4a|私たちは大丈夫だけど……
vo_adv_1212002_011.m4a|お大事にね、マスター！
vo_adv_1212002_044.m4a|それを言うなら『昼行灯』だね、リノちゃん。でもリノちゃんの言う通りだよマスター。私もまさか閉店まで帰ってこないとは思わなかったな。
vo_adv_1212002_047.m4a|ん？　何かな？
vo_adv_1212002_050.m4a|そうだね。さっきまで誰かさんのいないクレープ屋で頑張って働いてたもんね、私たち。
vo_adv_1212002_052.m4a|弟くんのため！？　やだなあ、早く言ってよマスター！弟くんのためならお姉ちゃん、一肌脱ぐだけじゃ済まないよ！生まれたままの姿でだって任務をやり遂げてみせるもん！
vo_adv_1212003_009.m4a|お水？　どうしたの……ってマスターが燃えてる！？待っててね、すぐにお水持ってくるから！
vo_adv_1212003_012.m4a|マスターって大丈夫じゃないのに大丈夫って言う人だから、一応対策は用意しておこうかな。
vo_adv_1212003_015.m4a|了解だよマスター！　ところでこれって、何が目的でやってるんだっけ？
vo_adv_1212003_020.m4a|な〜んだ。弟くんのためかー！マスター、早くその場所を教えて！
vo_adv_1212003_022.m4a|あーっ！　ずるいぞリノちゃん！
vo_adv_1212003_024.m4a|だってマスター、私たちの任務の目的が弟くんのためだった時は、全部本当のことしか言わないから。今回も本当なんだって思ったよ。ね、リノちゃん？
vo_adv_1212003_027.m4a|マスターに分からないなら、今は私たちがあれこれ聞いてもしょうがないし、早く弟くんのために動きたいな！
vo_adv_2112001_059.m4a|おとおおとくぅぅっぅぅうぅううんっ！！！
vo_adv_2112001_061.m4a|お姉ちゃんだよ！お姉ちゃんだよ！！お姉ちゃんだよぉぉぉ～～っ！！！
vo_adv_2112001_062.m4a|怖かったね大変だったね辛くてしんどくて心細かったね！！弟くんがピンチなときに助けてあげられなかったダメダメなお姉ちゃんでごめんねごめんねごめんねぇ～～っっ！！！
vo_adv_2112002_017.m4a|でもでもでも～！マスターったら私たちにもなかなか教えてくれないんだもん、ヒドいよ～！
vo_adv_2112002_022.m4a|大事な任務、って……
vo_adv_2112002_024.m4a|ノルマ多くて、大変だったよね～
vo_adv_2112002_038.m4a|そもそも、私たちのギルド……秘密結社【ラビリンス】は、この世界の謎を解き明かすために活動してたの。
vo_adv_2112002_039.m4a|前に、ノウェムちゃんを保護しようとしてたのもその活動の一環なんだよ。
vo_adv_2112002_043.m4a|でもまさかマスターの正体が、この世界を創った一人だなんて思わなかったよね……
vo_adv_2112002_052.m4a|でも……エリスって人の気持ち、ちょっとわかるなぁ。私だって、弟くんと二人っきりの世界に行きたいって思うもん。それが快適な場所だったら、もっと良いよね。
vo_adv_2112002_061.m4a|リノちゃん～？それを言うなら、『同じ屋根の下』だよ～？
vo_adv_2112002_073.m4a|それが、一つめの課題として……もう一つは何？
vo_adv_2112002_078.m4a|予防接種……つまり、何かあったときの備えをあらかじめ身体に作っておくってことだよね。
vo_adv_2112003_012.m4a|ね、ねぇマスターひょっとして……ううん、ひょっとしなくても。私たちがあちこち旅しながら売ってたクレープも……？
vo_adv_2112003_020.m4a|うーん。マスターのクレープ……味付けが前よりも美味しくなってたり、赤字覚悟みたいな割引したのも、そういう理由だったんだね……
vo_adv_2112003_022.m4a|ほんと、つらい毎日だったよねリノちゃん……
vo_adv_2112003_023.m4a|でもでもっ！安心してね弟くん！　これからはお姉ちゃんが毎日一緒だよ！朝から晩まで、夢の中から現実まで──
vo_adv_2112003_032.m4a|お手伝い……？……ああっ！
vo_adv_2112003_033.m4a|そうだよ！弟くんもお姉ちゃんと一緒に、クレープを売りに行こう？ねっねっ、そうしよっ～！？
vo_adv_2112003_035.m4a|それを言うなら『商売繁盛』でしょー？間違えちゃうリノちゃんは、おしおきだぞ～？
vo_adv_2112003_062.m4a|もうっー私たちも大変だったんだからねマスター！
vo_adv_2112003_085.m4a|温泉っ？それじゃあお姉ちゃんが、弟くんの背中を洗ってあげる♪
vo_adv_2112003_086.m4a|って、そうじゃなくって！『勝敗は戦う前に決まっている』でしょリノちゃんっ。
