vo_adv_1211001_007.m4a|こんにちは。あの、{player}くんはいるかしら？
vo_adv_1222001_021.m4a|──ふふふ、ついにこの日が来たわね！待ちに待った週末のデイキャンプ！
vo_adv_1222001_022.m4a|青々とした空、みずみずしい大自然、そして澄み渡った空気！んん～、息をするだけで体の中を洗われてるような心地がする！
vo_adv_1222001_023.m4a|はぁっ、やっぱりいいわね～……都会の喧騒から離れて、大自然に身をゆだねるこの解放感……
vo_adv_1222001_024.m4a|仕事を全部終わらせてきたかいがあったわ。肩の荷も下りて、今までにないくらいすがすがしい気分だもの♪
vo_adv_1222001_025.m4a|キミも毎日バイトづめでしょ？今週も、この大自然に目いっぱい癒されちゃいましょ！いろいろ準備もしてきたから！
vo_adv_1222001_026.m4a|よくぞ聞いてくれました！この大自然を余すことなく満喫するために、今日のデイキャンプは趣向を変えてみようと思ってたの。
vo_adv_1222001_027.m4a|ほら……ここって森に囲まれているでしょ？だから、新鮮な果実もたくさんなってると思うの。それを使って、フレッシュジュースを手作りしてみたいの！
vo_adv_1222001_028.m4a|そのための道具もすべて買いそろえておいたわ。あとは、なってる材料の果実を採ってくるだけ！
vo_adv_1222001_029.m4a|ふふ、期待していいわよ。ジュースのレシピをたくさん覚えてきたから。
vo_adv_1222001_030.m4a|それに……果汁を気持ちよくなる水の原液と混ぜれば、麦しゅわみたいに楽しむこともできるし……まさに一石二鳥でしょ？
vo_adv_1222001_031.m4a|もちろん、キミの分は気持ちよくなる水は抜きだから安心して。大人の味ってやつだから♪
vo_adv_1222001_032.m4a|それに、ちゃんと自重はするわよ？気持ちよくなる水の量を加減すれば、いつもみたくべろべろになんてならないはずだから。
vo_adv_1222001_033.m4a|も～、その目は信じてないわね～？まあ……無理もないけど……
vo_adv_1222001_034.m4a|でも大丈夫！　気持ちよくなるジュースにするのは、あくまでおまけ！新鮮なフレッシュジュースを楽しむことが、今回のプランなんだから！
vo_adv_1222001_035.m4a|レシピだけじゃなく、果実の種類も勉強してきたわ。ほら……また食べちゃいけない物を採らないようにね……？
vo_adv_1222001_036.m4a|そういうわけだから、私に任せて！さっそく採りに行きましょう！
vo_adv_1222001_037.m4a|おいしいジュースをごちそうしてあげる♪
vo_adv_1222001_038.m4a|──あっ、このあたりにベリーがたくさんなってるわ！こんなに早く見つかるなんて幸先がいいわね！
vo_adv_1222001_039.m4a|ふふ、安心して。下調べはバッチリなんだから。一目見ただけでどんな種類か見分けられるわよ。
vo_adv_1222001_040.m4a|まずは黒くてつるつるしたのと、赤くてつぶつぶしたのを探して？カシスとクランベリーといって、ジュースの定番なの。
vo_adv_1222001_041.m4a|あっ、でも見つけたら一度は私に見せてね？色や形が似ていても、食べるのに向かないものもあるから。
vo_adv_1222001_042.m4a|うん？　ああ、それはベリーじゃなくて柑橘系の実ね。定番と言えば定番だけど……これは酸味が強い種類みたい。
vo_adv_1222001_043.m4a|う～～ん……でも、それも少しだけ集めておきましょうか。スライスしてジュースに浮かべれば、強すぎる酸味もきっといいアクセントになるわ♪
vo_adv_1222001_044.m4a|でしょでしょ！？そういうちょっとした一手間を加えるのが、いわゆるツウってやつなの♪
vo_adv_1222001_045.m4a|さ、この調子で集めていきましょ～！気持ちよくなるジュー……じゃなくてフレッシュジュースを作るわよ～！
vo_adv_1222001_046.m4a|うん！　だいぶ集まったわね！とりあえず二人分のジュースを作るのには十分かしら？
vo_adv_1222001_047.m4a|……というか、このまま食べてもおいしそうね。このクランベリーなんか、麦しゅわのツマミによさそ……
vo_adv_1222001_048.m4a|……っていうのは、まあ別の機会にするとして？ひとまずこれぐらいでいいんじゃないかしら。あんまり採りすぎてもよくないし。うん。
vo_adv_1222001_049.m4a|でも……採れたのはベリーや柑橘系の果実ばかりか……まあ同じところで採ってるんだから、似ちゃうのは当然よね……
vo_adv_1222001_050.m4a|う～ん……いえ、採取を続けましょう。場所を変えて、別の種類の果実を探してみたいの。どうせなら、いろんな味を飲み比べてみたいじゃない？
vo_adv_1222001_051.m4a|これだけじゃ大自然の味を満喫したとは言えないから。もっといろんな果実を集めて、キミにも楽しんでもらわないと！
vo_adv_1222001_052.m4a|次は、もう少し標高の高いところへ行ってみましょう！少し足を延ばせば、リンゴやモモの木もあるらしいの。
vo_adv_1222001_053.m4a|自然の恵みを余すことなく集めきって、色とりどりのフレッシュジュースを一緒に味わいましょ♪
vo_adv_1222001_054.m4a|──はぁっ、よし！　これだけそろえば完璧ね♪今すぐにだって果物屋が開けそうなぐらい集まったわ！
vo_adv_1222001_055.m4a|ふふ、そうね。これが新鮮な証なのよ。匂いを嗅いでるだけでも、なんだか気持ちよくなってくる気が……
vo_adv_1222001_056.m4a|と、というか……改めて見ると、甘味も風味も強くて、気持ちよくなる水の原液と相性のいい種類ばかり……
vo_adv_1222001_057.m4a|別に意識して集めたわけじゃないんだけど……麦しゅわ飲みの本能が無意識で……？
vo_adv_1222001_058.m4a|それに、せっかく採ったんだもん。おいしさを余すことなく、楽しまなくちゃね。気持ちよくなる水の量を控えれば、悪酔いは……うん、きっと大丈夫！
vo_adv_1222001_059.m4a|さ、さて！　始めましょうか！新鮮な果実を使った気持ちよくなれるジュース……もとい、フレッシュジュースをごちそうするわ！
vo_adv_1222001_060.m4a|ふっ、ふっ、ふっ…………うん、こんなところね……
vo_adv_1222001_061.m4a|あとは少し時間を置いて……果汁の層ができるのを待ってから、グラスに注げば──
vo_adv_1222001_062.m4a|じゃじゃーんっ！ツートンカラーのフレッシュジュースよ♪
vo_adv_1222001_063.m4a|最後にスライスしたレモンをグラスのふちに添えて……と。うーん、なんて美しいのかしら！
vo_adv_1222001_064.m4a|ステンドグラスみたいにキラキラして……もはや芸術品と言ってもいい出来だわ！　ね、キミもそう思わない？
vo_adv_1222001_065.m4a|か、かっこよかった……？もしかして、私のシェイカーさばきのこと？　そんなに様になってた？
vo_adv_1222001_066.m4a|あはは、もうっ、褒めてもなにも出ないわよ？いやまあ、おいしいジュースは出てくるけどね？
vo_adv_1222001_067.m4a|え、えへへ……かっこいいって言ってもらえた……！
vo_adv_1222001_068.m4a|実は、普段から家でシェイカー振ってるのよね。まさか披露することになるとは思わなかったけど、飲むことだけじゃなく、作ることもたしなんでてよかったわ♪
vo_adv_1222001_069.m4a|これだけいいところを見せられれば、いつもキャンプ飲みで迷惑かけてる分のお礼には十分……
vo_adv_1222001_070.m4a|ふふっ！　すぐにキミの分も作ってあげる！お姉さんに任せなさいっ！
vo_adv_1222001_071.m4a|～～♪まずは果汁を注いで～～～～……っと♪
vo_adv_1222001_072.m4a|……えっ？　やだ、いっけない！モモの果汁だと思って、うっかり大人の味に……
vo_adv_1222001_073.m4a|あはは……これは私が飲むことにするわね。ちょっと待ってて、キミの分は作り直すから……！
vo_adv_1222001_074.m4a|ううん？　今、どれぐらい原液を注いじゃったかしら……？ま、まあ多少濃くても、一杯くらいなら大丈夫よね……
vo_adv_1222001_075.m4a|──はい、お待ちどうさま♪モモとオレンジのミックスジュースよ。
vo_adv_1222001_076.m4a|さあ、飲み物もそろったことだし……そろそろ待ちに待った乾杯といきましょ！
vo_adv_1222001_077.m4a|あっ、その前に……キミ、今日はありがとうね。
vo_adv_1222001_078.m4a|あんなにたくさんの果実、私一人じゃ運ぶだけで日が暮れちゃうもの。助かっちゃった。
vo_adv_1222001_079.m4a|ううん……今日だけじゃなくて、毎週ありがとう。キミとのデイキャンプのおかげで、仕事にメリハリがついてるの。
vo_adv_1222001_080.m4a|だから、このフレッシュジュースは日ごろの感謝のお礼よ♪
vo_adv_1222001_081.m4a|ふふ、ほろ酔いになる前に言っておこうと思って。大事なことは、シラフの時に言っておかないとだから。
vo_adv_1222001_082.m4a|それじゃっ！お仕事を頑張ったキミと私に、かんぱーいっ！
vo_adv_1222001_083.m4a|えへっ、えへへへ……♪
vo_adv_1222001_084.m4a|あは～、やっぱりしょしょぎすぎちゃったみらい～♪気持ちよくなる水ぅ～、おいしぃ～♪
vo_adv_1222001_085.m4a|でもいーんれす！　気持ちよくなっていーんれす！問題ないんれーすぅ！　あっひゃはは～♪
vo_adv_1222001_086.m4a|らってほらぁ、大自然からもらった飲み物なんらもの！飲まないほうが失礼ってもんれしょ～？
vo_adv_1222001_087.m4a|んくっ、んふっ、おいし～♪
vo_adv_1222001_088.m4a|果物はまだまだたくさんあるわぁ～♪自然の恵みが、こぉ～んらにいっぱぁ～い♪あと100杯分はあるわよぉ～♪
vo_adv_1222001_089.m4a|大自然に感謝ー！キミにも感謝ー！　財団のみんなにも感謝ー！あは、あはははーーっ！！
vo_adv_1222002_000.m4a|えっ……このお店……オリーブオイルがこんなに高いの……？さすが、クオリティの高い商品しか置いてないみたいね……
vo_adv_1222002_001.m4a|ううん……でも、ここでおじけづいてはいられないわ。今週末こそは、彼に見直してもらうんだから……！
vo_adv_1222002_002.m4a|ひゃっ！？　……あ、ありがとう。……これで香辛料はそろったかな。
vo_adv_1222002_003.m4a|あのね、次のデイキャンプの食材は、豪華にしたいの。……その、この間のお詫びも兼ねてね。
vo_adv_1222002_004.m4a|ほら……自重するって言ったくせに、結局べろべろになっちゃったでしょ……？
vo_adv_1222002_005.m4a|そのお詫びと、いつも週末に付き合ってくれるお礼を、改めてしたいの。今週こそね！
vo_adv_1222002_006.m4a|だから、最高のキャンプ飯をごちそうしてあげる！料理ならキミも楽しめるし、麦しゅわや気持ちよくなるジュースも抜きのつもりよ！
vo_adv_1222002_007.m4a|ね？　それぐらいの埋め合わせはさせて？これは大人の沽券に関わることだから！
vo_adv_1222002_008.m4a|というわけで、あとは具材ね。いくらかは山で採るとして、魚介はここで買っとかないと……
vo_adv_1222002_009.m4a|エビ……イカ……旨味たっぷりの貝も買っておきましょうか。
vo_adv_1222002_010.m4a|……ふふ、気になる？残念、まだ内緒よ。できあがってのお楽しみ！
vo_adv_1222002_011.m4a|さてと……ひとまず食材はこれぐらいでいいかしら。あんまりたくさん持ち込んでも余らせちゃうし。
vo_adv_1222002_012.m4a|いつもの？　ああ、乾き物のこと？……そ、そんなに言うほどいつも食べてるかしら……？まあうん、食べてるわよね……
vo_adv_1222002_013.m4a|み、魅力的な提案だわ……正直に言えば、ツマミもついでに買い置きしておきたい、けど……
vo_adv_1222002_014.m4a|今回は彼に最高のキャンプ飯をごちそうするって決めたんだもの。ここは我慢よ！　ごめんね、乾き物のみんな……
vo_adv_1222002_015.m4a|そ、そうね……乾き物も悪くはないけど、あくまで今回は、キミに贈る感謝のキャンプ飯がテーマなの！
vo_adv_1222002_016.m4a|だから、期待してて♪
vo_adv_1222002_017.m4a|……よし、食材の下ごしらえはこれで万全ね。我ながら包丁さばきもこなれてきたわ。
vo_adv_1222002_018.m4a|そろそろ鉄板も温まってきたころかな？ん～、ちょっと火力が弱いかも……？
vo_adv_1222002_019.m4a|魚介を扱うわけだし、もう少し強いほうがいいわよね……えぇと、火力の調整は薪じゃなくてわらでする、っと……うん、いい感じ♪
vo_adv_1222002_020.m4a|あら、おかえり。ありがとう！
vo_adv_1222002_021.m4a|それじゃあ食材も全てそろったことだし、ここからが本番よ！ここでしか味わえない食べ応えのあるキャンプ飯！腕によりをかけて作っちゃうわよ～！
vo_adv_1222002_022.m4a|あっ、ダメダメ。これは埋め合わせも兼ねてるんだから。キミは、適当にくつろいで待ってて。
vo_adv_1222002_023.m4a|えっ？　作るところを見てたいの？そ、それくらいなら別にいいけど……
vo_adv_1222002_024.m4a|うぅ……間近で見られたら、毎日仕事終わりに必死に練習してたのが、バレちゃわないかしら……？
vo_adv_1222002_025.m4a|……でもきっと大丈夫なはず……今日はシラフだもん！
vo_adv_1222002_026.m4a|せっかく汚名返上を果たす機会が、また巡ってきたんだもの。……今日こそは彼に見直してもらうんだから！
vo_adv_1222002_027.m4a|──こうやってほんのり焦げ目がつくまで炒めたら、一旦火を弱めて……食材に味を染みこませるの。
vo_adv_1222002_028.m4a|そして最後に香草を散らして……フライパンごとテーブルにドン！
vo_adv_1222002_029.m4a|魚介と山菜のパエリア、これで完成ー！どう？　簡単でしょ？
vo_adv_1222002_030.m4a|ふふっ、大切なのはちょっとした一手間なのよ。素材の味を最大限生かして、余計なことはしない……それがおいしい料理を作るコツね。
vo_adv_1222002_031.m4a|よ、よかったぁ～！　まずは一品……！自分でもびっくりするぐらい上手にできたわ！お店で出されても遜色がない出来じゃない！？
vo_adv_1222002_032.m4a|それにこのかぐわしい香り……これでおいしくないなんてこと、絶対あるはずないわ！
vo_adv_1222002_033.m4a|だって、だってこんなにも……麦しゅわが飲みたくてたまらないんだものっ！！
vo_adv_1222002_034.m4a|へっ？　……わあぁっ！いけない、火にかけっぱなしだったわ！
vo_adv_1222002_035.m4a|さ、ボサッとしてないで続き続きっ！料理は効率が肝心！　ミフユさんのモットーを見習いましょう！
vo_adv_1222002_036.m4a|──ここでスパイスを一摘み、と。はい、これが最後の一品よ。全部完成ーっ！
vo_adv_1222002_037.m4a|ほら、見て！　この完璧な出来栄え！ものすごくおいしそうでしょう！？
vo_adv_1222002_038.m4a|ええ！　たくさん練習したかいが……ううん、なんでもないわよ？
vo_adv_1222002_039.m4a|とにかく！　これにて最高のキャンプ飯、完成よ♪
vo_adv_1222002_040.m4a|うふふ……テーブルの上が輝いて見える……なんて素敵なの……過去最高に食欲がそそられる光景だわ……
vo_adv_1222002_041.m4a|ああもう、待ちきれないっ！冷めないうちにいただいちゃいましょう！
vo_adv_1222002_042.m4a|それと麦しゅわも用意して……ああ、じゃなかった！　今日はなし……禁しゅわキャンプよ……！
vo_adv_1222002_043.m4a|えっ！？　キミ、いつの間に……！でも……どうして……？
vo_adv_1222002_044.m4a|キ、キミって子は、ほんとうに……！
vo_adv_1222002_045.m4a|……ありがとう。一口一口、大事にいただくわね。キミの気遣い、ちゃんと味わわせてもらうから……！
vo_adv_1222002_046.m4a|そうね！　それじゃ早速……今日もかんぱーいっ！　それと、いただきます！
vo_adv_1222002_047.m4a|んくっ、んくっ、んくっ……ぷしゅ～！　染みる、染みるわ～！幸せが喉から全身に染みわたっていくような心地がするぅ……
vo_adv_1222002_048.m4a|うふふ、キャンプ飯も麦しゅわも最高ね～……♪互いが互いの味を高め合って……あむっ。んん～、いつもよりずっとおいひぃ♪
vo_adv_1222002_049.m4a|それに、料理にこれだけ食べ応えがあると……麦しゅわを飲むペースも自然とほどよくなるわね～
vo_adv_1222002_050.m4a|やっぱり食事にこだわってみて正解だったわ♪……キミはどう？　お味のほうは？　気に入ってくれた？
vo_adv_1222002_051.m4a|ふふ、それはエビのアヒージョよ。ニンニクとオリーブオイルで煮込んだやつ。
vo_adv_1222002_052.m4a|それでこっちは、最初に作った魚介と山菜のパエリア。これは鉄板についたおこげがまた絶品なの、あとで試してみて！
vo_adv_1222002_053.m4a|そして極めつけは、このチーズフォンデュ……いろんな食材に絡めてみて。それぞれで違った味が楽しめるから♪
vo_adv_1222002_054.m4a|ふふ、喜んでもらえてなによりよ。食材選びから頑張ったかいがあったわ。
vo_adv_1222002_055.m4a|それと……この料理や麦しゅわがこんなにもおいしいのって、キミのおかげだと思うの。
vo_adv_1222002_056.m4a|ほら……この前のフレッシュジュースの時は、キミのために～とか言いながら……
vo_adv_1222002_057.m4a|実は自分が思うキャンプの楽しさを、一方的に押しつけてた気がしてて……
vo_adv_1222002_058.m4a|でもキミが、この麦しゅわを……ううん、この最高の一杯を手渡してくれた時に気が付いたの。
vo_adv_1222002_059.m4a|お互いの楽しいことを持ち寄って、共有してこそ、キャンプは特別になるんだなぁって。
vo_adv_1222002_060.m4a|んくっ……♪ほら、ちょうどこの麦しゅわとキャンプ飯みたいにね♪
vo_adv_1222002_061.m4a|さ、もっと食べて食べて！今日は特別に腕によりをかけたんだから！
vo_adv_1222002_062.m4a|……へっ！？　ま、毎日！？毎日っていうのはその……かか、通い妻的な意味で……？
vo_adv_1222002_063.m4a|ななな、なーんてね！　そんなわけないわよね！？なんでもない、なんでもないわ！　忘れて！それくらいおいしいっていう比喩よね？　わ、分かってるわよ……っ！
vo_adv_1222002_064.m4a|と、というか、毎日だなんて……いくらなんでも褒めすぎ！毎日こんな量食べてたら太っちゃうわよ？全くもうっ……あは、あははは……
vo_adv_1222002_065.m4a|……うぅ、急に意味深なこと言われたから、ビックリして酔いがさめちゃったじゃない……
vo_adv_1222002_066.m4a|ちょっとだけ飲みなおそうかしら……キミのせいよ……？
vo_adv_1222002_067.m4a|キミ……「最高の一杯」、おかわりしてもいいかしら？このジョッキいっぱいに幸せを注いでね？
vo_adv_1222003_000.m4a|──って感じで、最近は週末にもっぱらデイキャンプね。つらい仕事も、キャンプ飲みを楽しみになんとか乗り切ってるわ。
vo_adv_1222003_002.m4a|ええ、特に大自然の中で飲む一杯の麦しゅわは格別……いえ、もはや革命と言ってもいいぐらいよ！
vo_adv_1222003_004.m4a|ええ、ぜひ試してみて。デイキャンプ飲みでの最高の一杯は、もう本っ当にたまらないんだから！
vo_adv_1222003_006.m4a|あ、あなたは！　どうも久しぶりね！その節は相談に乗ってくれて、ありがとうございました。
vo_adv_1222003_008.m4a|ええ！おかげで、麦しゅわのマンネリもきれいさっぱり解消したわ。
vo_adv_1222003_011.m4a|な、なんですって……！？今でさえキャンプ飲みで麦しゅわライフが充実してるのに……最高の一杯には、まだ上があるっていうの！？
vo_adv_1222003_013.m4a|私はスルメでお願い！……そ、それで、「本当の最高の一杯」って？
vo_adv_1222003_015.m4a|ふむふむ……！
vo_adv_1222003_016.m4a|ふぅ～！　今日のキャンプも楽しかったわね～！やっぱ何度来ても飽きないわ……この解放感……
vo_adv_1222003_017.m4a|ああ、うん。今日はちょっと、ね？たまにはシラフで過ごすのもいいかな～って。
vo_adv_1222003_018.m4a|正直言うとちょっと物足りないんだけど……でも……！　本当の最高の一杯のためよ……！
vo_adv_1222003_019.m4a|あ～、えーっと……
vo_adv_1222003_020.m4a|じ、実は今日……一泊しようかな、って……
vo_adv_1222003_021.m4a|そ、それで……その～……一緒にいてくれるかしら？
vo_adv_1222003_022.m4a|本当？　よかった～！
vo_adv_1222003_023.m4a|それでね！どうして泊まりたいかっていうと……
vo_adv_1222003_024.m4a|キミと本当の最高の一杯を味わいたいの。
vo_adv_1222003_025.m4a|うん、今一瞬不安そうな目になったわね。大丈夫、安心して。大人しか飲めない気持ちよくなる水系の話じゃないから。
vo_adv_1222003_026.m4a|あ、でも、う～ん……見方によっては大人の味と言えなくもない、かも？
vo_adv_1222003_027.m4a|この前、私にキャンプ飲みを勧めてくれた人から、本当の最高の一杯の話を聞いたの。
vo_adv_1222003_028.m4a|そしたら、どうしてもキミと一緒に飲みたくなっちゃって……
vo_adv_1222003_029.m4a|ほら。アオイちゃんたちとしたグループキャンプ以来、ずっと私のデイキャンプに付き合ってくれてるでしょ？
vo_adv_1222003_030.m4a|だから、その集大成に挑戦してみたいの。それが……本当の最高の一杯ってわけ。
vo_adv_1222003_031.m4a|ふふっ、慌てないの。まだ秘密。その時になってのお楽しみ♪
vo_adv_1222003_032.m4a|さて。晩ご飯の準備をしましょうか。夜は冷えるから薪も多めに用意しておかなきゃ。
vo_adv_1222003_033.m4a|ふ～、ごちそうさまでした！
vo_adv_1222003_034.m4a|晩ご飯もたくさん食べてくれてありがとう。食べっぷりがいいから、毎回作るの楽しいし、キャンプ飯のレパートリーも増えて、本当に一石二鳥だわ。
vo_adv_1222003_035.m4a|ま、まあね？だって、本当の最高の一杯が……待ってるはずだから……
vo_adv_1222003_036.m4a|さて、と。食器を片付けたら、それぞれのテントに入りましょう。
vo_adv_1222003_037.m4a|アオイちゃんたちとした以来の宿泊だもん。夜はひさしぶりに静かに過ごすのもアリかな、って。
vo_adv_1222003_038.m4a|それじゃあ……ちょっと早いけど、おやすみなさい♪
vo_adv_1222003_039.m4a|──と、とは言ったものの……夜のキャンプ場ってこんなに真っ暗だったかしら！？
vo_adv_1222003_040.m4a|アオイちゃんたちとした時は……ああ、そうだったわ……
vo_adv_1222003_041.m4a|夜は麦しゅわではしゃいでたから、よく覚えてなかったわ……
vo_adv_1222003_042.m4a|それに……虫だか鳥だか犬なんだか、よく分からない動物の鳴き声が、あちこちから聞こえるし……
vo_adv_1222003_043.m4a|この真っ暗闇じゃ、昼間は心地よく感じた森のさざめきまで、不気味に思えるわ……
vo_adv_1222003_044.m4a|これじゃ……一人で朝まで耐え抜ける気がしないわ……
vo_adv_1222003_045.m4a|この不安を払拭するには……そうそう、このエターナルジョッキで麦しゅわ……って、ダメ！
vo_adv_1222003_046.m4a|私には……いえ、私たちには本当の最高の一杯が待ってるの！{player}くんのためにも、ここは我慢よ！
vo_adv_1222003_047.m4a|う、うう……む、麦……しゅ……
vo_adv_1222003_048.m4a|………………ま、負けないわ！本当の最高の一杯をごちそうするって、彼に大見得切ったんだもん！麦しゅわに誓って今日は禁しゅわよ！
vo_adv_1222003_049.m4a|か、かくなる上は……ええい、恥はかき捨てよ！
vo_adv_1222003_050.m4a|あのぅ……こんばんは～テントの向こうから失礼します……キミ、起きてるかしら……？
vo_adv_1222003_051.m4a|えっと、その～……キミが不安で寝付けないんじゃないかと思ってね？
vo_adv_1222003_052.m4a|テントの外は真っ暗だし？変な動物の鳴き声とか、風の音とかもするし……
vo_adv_1222003_053.m4a|け、決して私が怖いわけじゃないのよ？キミのためを思って、朝までそばにいてあげようかなって……！
vo_adv_1222003_054.m4a|……ど、どういたしまして！し、失礼しま～す……！
vo_adv_1222003_055.m4a|…………
vo_adv_1222003_056.m4a|うそっ！？　もう寝てる！？キミ、寝付き良すぎじゃない？
vo_adv_1222003_057.m4a|はぁ……意識しちゃってたのは私だけってこと……？それはそれでなんか釈然としない……
vo_adv_1222003_058.m4a|けど……
vo_adv_1222003_059.m4a|不安とか恐怖は、ずいぶん和らいできたような……外から聞こえる音も、不思議と心地よくなってきたわ……
vo_adv_1222003_060.m4a|キミの寝息が聞こえるからかしら……なんだか……とっても安心してきちゃった……
vo_adv_1222003_061.m4a|この感じ……大人になってから忘れちゃってたな……そばに自分以外の体温がある……懐かしくて、優しい感覚……
vo_adv_1222003_062.m4a|……おかげでよく眠れそう…………このお礼は……夜明けまで取っておくわ……おやすみ……
vo_adv_1222003_063.m4a|──ねえ、キミ。起きて？
vo_adv_1222003_064.m4a|ほら、朝よ。テントから出てきてちょうだい？
vo_adv_1222003_065.m4a|おはよう。……ふふっ、間に合ってよかったわ。
vo_adv_1222003_066.m4a|きれいな朝日でしょ？空気が澄んでるから、いつにも増してまぶしく見えるわ。
vo_adv_1222003_067.m4a|そしてこれが……はい、本当の最高の一杯。淹れたてのコーヒーよ。冷めないうちにどうぞ。
vo_adv_1222003_068.m4a|麦しゅわじゃないのが意外って顔ね？まずは一口飲んでみましょうよ。きっと理由が分かるはずだから。
vo_adv_1222003_069.m4a|……うんっ！　すごいわっ！これが、本当の最高の一杯なのねっ！
vo_adv_1222003_070.m4a|実はね……今飲むまで半信半疑だったの。だって、朝のコーヒーが本当の最高の一杯だって話、麦しゅわ仲間の口から出てきたんだもん。
vo_adv_1222003_071.m4a|アオイちゃんから譲ってもらった物よ。確かにおいしい豆だけど、この前みんなで飲んだ時とは全然違うでしょ？
vo_adv_1222003_072.m4a|本当の最高の一杯って、豆の良し悪しは関係ないみたいなの。
vo_adv_1222003_073.m4a|ちょっと肌寒い早朝のキャンプ場で……昇ってきたまぶしい朝日を浴びながら……静かに大切な人と新しい一日の始まりを感じながら飲むコーヒー……
vo_adv_1222003_074.m4a|それが、本当の最高の一杯なんですって。
vo_adv_1222003_075.m4a|だから、私一人で飲んでもダメだし、キミだけでもこの感動は味わえないわ。
vo_adv_1222003_076.m4a|これを教えてくれた人は、家族とキャンプに行った時に見つけたんだって。
vo_adv_1222003_077.m4a|偶然麦しゅわを飲まずに早寝したら、次の日早く起きちゃったらしくて。それで奥さんとコーヒーを楽しむことができたみたい。
vo_adv_1222003_078.m4a|だから、私も昨日は麦しゅわをぐっと堪えて、早寝早起きをしたってわけなの。
vo_adv_1222003_079.m4a|ずっと秘密にしててごめんね？でも、キミに素直に感動してもらいたかったから。
vo_adv_1222003_080.m4a|ふふっ、よかった。勇気を出して誘ってみたかいがあったわ。
vo_adv_1222003_081.m4a|これもキャンプの醍醐味の一つなのよね。また新しい楽しみを見つけちゃった。
vo_adv_1222003_082.m4a|ありがとう、{player}くん。
vo_adv_1222003_083.m4a|え、えっと、それは、その……一緒にいてくれて、というか、なんというか、その……
