vo_adv_1050009_000.m4a|…………
vo_adv_1050009_023.m4a|それじゃ参考までに……この服とあの服なら、どっちがアンタの好みなわけ？アタシが試着して、アンタだけにお披露目してあげるわよ♪
vo_adv_1050009_024.m4a|あ～あ、楽しかった♪
vo_adv_1050009_025.m4a|……その。連れ出してくれて、うれしかったわ。ありがと。
vo_adv_1050009_026.m4a|おかげで、今日の嫌なこと……ぜーんぶ、吹き飛んじゃったわ。
vo_adv_1050009_027.m4a|だから、話すんだけどね……アンタとあそこで会う前──
vo_adv_1050009_028.m4a|……ってなわけで、今はこういうコスメと服が芸能界でも社交界でも流行ってるってわけよ！
vo_adv_1050009_031.m4a|べ、別に勉強してるつもりはないわ。大人のレディならこれぐらい、常識だもの。
vo_adv_1050009_033.m4a|……え？
vo_adv_1050009_035.m4a|ええと……大人のレディってこう……大人っぽくて、オシャレで、モテモテで、みんなからソンケーされちゃう感じだと思ってるけど……
vo_adv_1050009_036.m4a|う、ううーん。そうね……ざ、雑誌を読めばなんとなく分かるっていうか……
vo_adv_1050009_038.m4a|だ、誰よ！？
vo_adv_1050009_040.m4a|……け、けっこうかわいい子じゃない。でも初対面の相手に、ケンカを売るなんて……レディとしてどうかと思うけど！
vo_adv_1050009_042.m4a|そ、そうよ！　だって大人のレディはオシャレじゃないと！メイクとか髪型とか服装とか、流行遅れはナンセンスじゃない。
vo_adv_1050009_044.m4a|な、なによ……なにが言いたいわけ……？
vo_adv_1050009_046.m4a|なっ！？　なにそれ！！アタシは大人のレディじゃないって言いたいの！？
vo_adv_1050009_049.m4a|あっ！　二人とも！
vo_adv_1050009_051.m4a|……そんなわけで、アタシが大人のレディに見えないって言われて……ちょっと落ち込んでたの。
vo_adv_1050009_052.m4a|アタシは自分のこと、大人のレディだって思ってるけど、みんなはそう思ってないのかしら……？ねぇ、アンタから見てアタシは大人のレディに見える？
vo_adv_1050009_053.m4a|……別にいいわ。無理に考えなくて。アンタ男だし。あーあ。大人のレディに相談すれば、分かるのかしら？
vo_adv_1050009_054.m4a|……その紙って、この間イオちゃんが配ってた『職場体験学習』の案内じゃない。これがなによ？
vo_adv_1050009_055.m4a|……ふーん。つまり、大人のレディがいる職場でアタシが働いてみるってこと？
vo_adv_1050009_056.m4a|それよ！　採用だわ！みんなが憧れる職場へ行って、大活躍してやるの！そうすればアタシが大人のレディだって、証明できるわ！
vo_adv_1050009_057.m4a|やっぱり行くなら、雑誌作ってるところがいいな♪ヘアメイクとか衣装に関われたら最高だけど……
vo_adv_1050009_058.m4a|モデル！？　バカじゃないの！？たしかにアタシぐらいスタイルが良くてキレイだと、スカウトされちゃうかもしれないけど……
vo_adv_1050009_059.m4a|モデルってすっごく目立つじゃない。たしかに大人のレディっぽい職業だけど……スズナじゃないし絶対無理よ……
vo_adv_1050009_060.m4a|……ええと。モデルにはあんまり興味がないし、遠慮しておくわ。
vo_adv_1050009_061.m4a|そうと決まったら明日イオちゃんに話してみよっと♪……ええと、まぁアンタも相談に乗ってくれてありがと。
vo_adv_1050009_062.m4a|なによ、その笑顔は！……はぁ！？　素直なのが珍しいですって！？
vo_adv_1050009_063.m4a|勘違いしないでよね！お礼を言うのは大人のレディとして当然のことで、アンタに気があるからってわけじゃないの！
vo_adv_1050009_064.m4a|な、なによその手は……家まで送る？えぇえ！？　もう帰るの！？夜景のキレイな場所でディナーは！？
vo_adv_1050009_065.m4a|……なんて、分かってるわよ。門限破ったらお母さんに怒られちゃうし、いいわ、エスコートしてちょうだい！
vo_adv_1050009_066.m4a|うぅ……勢いでコイツと手ぇ、繋いじゃってるけど、どこにも知り合い、いないわよね……？恥ずかしくて顔から火が出そう……
vo_adv_1050009_067.m4a|なのに、コイツは全然平気な顔して……女の子に慣れ過ぎじゃない！？それともアタシが子ども扱いされてるだけ！？
vo_adv_1050009_068.m4a|……ムカつく。もっと背が伸びたら、アンタと腕組みしてやるんだから。それで今度はアンタがアタフタすればいいわ！
vo_adv_1050010_000.m4a|なんで……
vo_adv_1050010_002.m4a|なんでこんなことになったのよー！？
vo_adv_1050010_003.m4a|遅い！
vo_adv_1050010_004.m4a|だって、今日から職場体験なのよ？大人って、予定の時間より早く行動しないとダメなんでしょ？
vo_adv_1050010_005.m4a|それに分かってるわけ？今回お世話になるのは、スズナが紹介してくれた職場でしょ！
vo_adv_1050010_006.m4a|初日から遅刻なんてしたら、その時点で大人のレディ失格じゃない！
vo_adv_1050010_007.m4a|ところで、ほんとにアンタも行くの？女性しかいない職場だって言ってたけど…………アタシは別にいいけどね。一人だと少し、心細かったし……
vo_adv_1050010_008.m4a|……なによ。その笑顔、ムカつくからやめて！ほら、ぼさっとしてないで、とっとと行くわよ！
vo_adv_1050010_009.m4a|わぁ……キレイなお屋敷ね。大人のレディに相応しい上品さだわ。誰もいないみたいだけど……
vo_adv_1050010_010.m4a|あっ！　撮影用のセットがある！まるで舞台の上みたい……すっごくオシャレ！
vo_adv_1050010_011.m4a|これって新作の靴！？　アクセサリーもあるわ！かわいい～！　ねぇ、アタシに似合うかしら！？
vo_adv_1050010_013.m4a|あ、あの……ええと……！
vo_adv_1050010_014.m4a|キレイな人……スタイルもすごくいいし……しかもメイクさんだなんて。まさにアタシが憧れる大人のレディだわ。
vo_adv_1050010_016.m4a|こっちの人も、タイプは違うけど……雰囲気ある感じね。別に化粧とか服装とか……特別ってわけじゃないのに、どうしてそう感じるのかしら？
vo_adv_1050010_017.m4a|理由は分からないけど……でも、大人のレディが集まる職場ってことに間違いはなさそうね！
vo_adv_1050010_018.m4a|あ、あの……！ミサキです……！今日から、お世話になります……！
vo_adv_1050010_020.m4a|は、はい！　それであの。今日はここで、どんな撮影をするんですか！？
vo_adv_1050010_024.m4a|ア、アタシも一人のレディとして、すっごく興味あります……！えへへ、関われるなんてうれしい♪
vo_adv_1050010_026.m4a|はいっ！　メイクでもコーディネートでも、なんでもお手伝いします！よろしくお願い…………
vo_adv_1050010_027.m4a|…………え？　アタシの撮影？
vo_adv_1050010_031.m4a|スズナの職場で働きたいってお願いはしたけど、どうしてアタシがモデルをやるって話になったわけ！？
vo_adv_1050010_032.m4a|スズナが、このことを秘密にしてた？ううん、知ってたら絶対アタシに言ってた！ってことは……スズナも知らないところで決まってたの？
vo_adv_1050010_033.m4a|ムリムリムリ！！アタシはスズナじゃないんだから！！
vo_adv_1050010_035.m4a|あ、あの……！
vo_adv_1050010_038.m4a|うぅ、その……アタシ、スズナみたいなこと、できないっていうか……
vo_adv_1050010_041.m4a|アタシを、撮りたい……？
vo_adv_1050010_042.m4a|正直、自信ないけど……でも。こんなキレイな人から、期待してもらえてるなら……
vo_adv_1050010_043.m4a|それにここで認めてもらえたらアタシ、本物の大人のレディになれる気がする！
vo_adv_1050010_044.m4a|{player}……さっきはありがとう。アタシ、決めたわ。
vo_adv_1050010_045.m4a|あの、やります……！やらせてください……！
vo_adv_1050010_048.m4a|わぁ……アタシがするメイクと全然違うわ！それにこの靴……本当にステキ！今のアタシなら、誰がどう見ても大人のレディね♪
vo_adv_1050010_050.m4a|……こ、こう……かしら？う、うふん……？
vo_adv_1050010_052.m4a|えっ！？　これ以外ってどんなポーズがあるかしら！？こ、こんなことならスズナにモデルのテクニックを、教えてもらうんだったわ……！
vo_adv_1050010_053.m4a|うぅ……あいつが心配そうに見てるし。こんな無様な姿、あいつに見せたくない！とにかく、スズナを思い出しながら……
vo_adv_1050010_056.m4a|……え？
vo_adv_1050010_058.m4a|そんなこと言われても……分からない。ただ、なんとなくっていうか……それが当たり前だったっていうか……
vo_adv_1050010_059.m4a|でも、そんなこと正直に答えられない。だってアタシが、すっごく中途半端に見えそうじゃない……それに……
vo_adv_1050010_061.m4a|みんなにも、{player}にも……アタシが『見せかけ』だって思われたくない……！
vo_adv_1050010_062.m4a|…………
vo_adv_1050010_067.m4a|うぅ……痛い……
vo_adv_1050010_068.m4a|って、アンタ！？レ、レディの部屋にノックもなしで入らないでよね！あと、どうもしてないわ！　ソファでゆっくり休憩してるだけで……
vo_adv_1050010_069.m4a|ちょ、ちょっと！人の足に勝手に触らないでよね！……いたっ！？
vo_adv_1050010_070.m4a|靴擦れなんて、大したことないわよ！オシャレしてると、こんなことしょっちゅうだし！
vo_adv_1050010_071.m4a|わ、分かったから、もっと優しく触って！触られると痛いの！
vo_adv_1050010_072.m4a|……だって。言えるわけないじゃない。アタシのせいで、撮影が終わらなかったのに。それに……
vo_adv_1050010_073.m4a|いかにも大人のレディに似合いそうな、キレイな靴でしょ。無理してでも履きこなしたかったの。
vo_adv_1050010_074.m4a|でも、撮影だってうまくいかなかったし……アタシ、大人のレディとして相応しくないってことなのかな……！
vo_adv_1050010_075.m4a|うぅ……泣くなんて、最悪！こっち見ないで、あっち行ってて！
vo_adv_1050010_076.m4a|え？　ちょ、ちょっと……！
vo_adv_1050010_077.m4a|本当に行っちゃうなんて信じられない……！だって、メイクが崩れた顔なんて、見られたくないもの……！追い出すしかないじゃない……！
vo_adv_1050010_078.m4a|えぐっ……ふぇええん……
vo_adv_1050010_079.m4a|……っ！　な、なに！帰ったんじゃなかったの！
vo_adv_1050010_080.m4a|ていうか、なによその花束は！……え？　アタシにくれるの？ありがと……
vo_adv_1050010_081.m4a|それに、ホットココア？……あ！　クリームでハートマークが描いてある！かわいい！！
vo_adv_1050010_082.m4a|え！？　これアンタがやったの！？ふ、ふーん。いろんなバイトやってるとこんなこともできるようになるのね……
vo_adv_1050010_083.m4a|な、なによ。さっきは勝手に触ってきたくせに。……手当てなら、別にいいけど。
vo_adv_1050010_084.m4a|きゅ、急になに！？どうしちゃったのよ、コイツ！？ちょ、ちょっとドキドキしちゃったじゃない……！
vo_adv_1050010_085.m4a|だけど年上に尽くされるのって、なんかいい気分かも……？お姫様になった感じがするわ♪
vo_adv_1050010_086.m4a|コ、ココア美味しかったわ。おかわり、もらえるかしら……？
vo_adv_1050010_087.m4a|えへへ♪あいつ、見かけによらず気配り上手なのよね！それともアタシに……ちょっと気があるとか……？
vo_adv_1050010_088.m4a|ま、まぁ……けっこう優しいし、付き合ったら色々大事にしてくれそうよね。紳士的であることは、間違いないわ。
vo_adv_1050010_089.m4a|あいつがどうしてもって言うなら……アタシだって少しは……
vo_adv_1050010_090.m4a|あれ？　窓の外に誰かいる……
vo_adv_1050010_092.m4a|モデルさんかしら……！！あんなにキレイなんだもの、絶対そうだわ……！！
vo_adv_1050010_093.m4a|し、しかも誰かと抱き合ってるけど……って、{player}！？
vo_adv_1050010_095.m4a|わわっ！？　こっち見た！？
vo_adv_1050010_096.m4a|お、思わず隠れちゃったけど……あいつ、アタシを放っておいて、なにしてるわけ！？
vo_adv_1050010_097.m4a|……ふん！　やっと帰ってきたわね！ずいぶん遅かったじゃない！！
vo_adv_1050010_098.m4a|別に、怒ってないわ！呆れてるだけだし！
vo_adv_1050010_099.m4a|……ね、ねぇ。アンタってその……恋人っているの？
vo_adv_1050010_100.m4a|……いない？そ、そうよね！
vo_adv_1050010_101.m4a|ならさっきのキレイな人との関係はなんなのよ！？
vo_adv_1050010_102.m4a|なっ！？
vo_adv_1050010_103.m4a|人の頭を撫でて、ご機嫌取りのつもり？さっきのキレイな人とは、扱いが全然違うじゃない！
vo_adv_1050010_104.m4a|……決めたわ。
vo_adv_1050010_106.m4a|今に見てなさい！！絶対アタシに夢中にさせてやるんだからっ！！
vo_adv_1050010_108.m4a|…………うぅ。
vo_adv_1050010_109.m4a|うわぁあん！！バカバカ！　恥かかせないでよぉお～～～！！
vo_adv_1050011_000.m4a|うぅ……もうっ、最悪……あんなこと言うなんて……絶対に勘違いされたわ……明日からどんな顔してあいつと会えばいいのよ……
vo_adv_1050011_001.m4a|──ひいっ！？　ななな、なんで追いかけてきたの！？無理無理無理、今あいつと話せないわよ！
vo_adv_1050011_002.m4a|逃げたいところだけど、靴ずれでうまく走れないし……ここは聞こえないフリして、とっとと家に……
vo_adv_1050011_003.m4a|…………ああもうっ！しつこいわねっ！　ついてこないでよ！！
vo_adv_1050011_004.m4a|ってアンタ後ろ！？なんなのよその光は～～～っ！？
vo_adv_1050011_063.m4a|うぅ……ここは……
vo_adv_1050011_064.m4a|ひぃ！？　ア、アンタ……なに人を抱きかかえてるのよ！！……え？　アタシが転んだから？わ、分かったから離れてよ！
vo_adv_1050011_065.m4a|というか、いつまでアタシを追いかけるわけ？
vo_adv_1050011_066.m4a|……え？　アタシの足が心配で？まぁ、たしかに、まだ痛いけど……
vo_adv_1050011_067.m4a|アタシ、今日はひどい態度ばっか取っちゃったのに、それでもついてきてくれたのよね……
vo_adv_1050011_068.m4a|ほんと、そういうところズルイ。だからあんなキレイな人に気に入られるんだろうけど……でも……
vo_adv_1050011_069.m4a|アタシだって、負けないんだから……！
vo_adv_1050011_070.m4a|じゃあ、アタシを家までエスコートしてもらえるかしら？お、お姫様抱っこがいいけど……今日はおんぶにして。どうしてって……内緒よ！
vo_adv_1050011_071.m4a|ふふっ！　それじゃこのまま出発よっ！！
vo_adv_1050011_072.m4a|アタシ、決めたわ！撮影がうまくいったら……今度こそコイツをデートに誘うの！
vo_adv_1050011_073.m4a|……あれ？　今度こそ？フリで誘ったことはあるけど、どうしてそんなこと思ったのかしら……まぁ、今はそんなのどうでもいいわ！
vo_adv_1050011_074.m4a|今はこの時間を独占してやらないとね♪
vo_adv_1050012_000.m4a|今日も、よろしくおねがいします！
vo_adv_1050012_002.m4a|ええと、アタシに朝食買ってくるって、どっか行っちゃったんです。……食べない主義だって、言ったんですけど！
vo_adv_1050012_004.m4a|えっ！？　そ、そんな愛されてるなんて別に……！……子ども扱いされてるだけっていうか。
vo_adv_1050012_005.m4a|昨日だってあいつ。屋敷の前で、モデルさんみたいにキレイな人とくっついてたし……
vo_adv_1050012_007.m4a|そう、その人！！アタシを放っておいて……イチャイチャしてて……
vo_adv_1050012_008.m4a|……アタシ。正直まだ自信はないけど……大人のレディだって、あいつを見返してやりたい……
vo_adv_1050012_009.m4a|だから、あいつが思わず見惚れちゃうぐらい、アタシの一番キレイなところを見せつけてやるんです！
vo_adv_1050012_010.m4a|今日は大人のレディになったアタシを撮ってください！
vo_adv_1050012_012.m4a|あ、あの……？
vo_adv_1050012_014.m4a|うひゃぁ！？
vo_adv_1050012_018.m4a|うぅ……目の下が腫れてる……昨日泣いたからだわ……こんなんじゃカメラの前に立てないわよ……
vo_adv_1050012_021.m4a|わぁ……！泣いた痕も分からなくなってる！　それに大人っぽいし！昨日も感動しちゃったけど……今日のアタシもいかしてるって感じ♪
vo_adv_1050012_024.m4a|…………
vo_adv_1050012_026.m4a|あっ！　いえ、なんでもないんです……！
vo_adv_1050012_028.m4a|えへへ♪……あ、あの。今度はばっちり決めますから……！
vo_adv_1050012_031.m4a|メ、メロメロ！？……ア、アタシうまくできるかしら……
vo_adv_1050012_034.m4a|…………
vo_adv_1050012_035.m4a|そっか……なんかちょっとだけ分かった気がするわ……
vo_adv_1050012_036.m4a|大人のレディって……流行の服とかメイクをしている、オシャレなお姉さんのことだって思ってたけど……そうやって作るものじゃないのかも。
vo_adv_1050012_037.m4a|メイクのお姉さんも。カメラマンのお姉さんも。アタシにはみんな大人のレディに見えた。たぶんそれって……
vo_adv_1050012_038.m4a|好きって気持ちがあふれて、それがキラキラして……だからステキに見えるんだわ。
vo_adv_1050012_040.m4a|あ、あいつをメロメロにする気持ち……お姉さんだってアタシならできるって言ってたし、やってやるわ……！
vo_adv_1050012_041.m4a|ほらほら！　アタシがこんなにセクシーなポーズをとってあげてるのよ！　ありがたく見惚れなさい！
vo_adv_1050012_043.m4a|良かった……！うぅ……でもやっぱり、恥ずかしい……！
vo_adv_1050012_045.m4a|{player}、やっと来たのね！……って！？
vo_adv_1050012_047.m4a|あいつの隣にいるのって、昨日のキレイな人じゃない！？ねぇちょっと！？　なんで一緒にいるのよ！？
vo_adv_1050012_048.m4a|違う！　にらんだのは手を振ってほしいからじゃないわよバカ！でも、アタシのセクシーなポーズに、あいつもちょっと目が離せない感じじゃない。
vo_adv_1050012_049.m4a|そうよ。アンタはアタシのマネージャーでしょ！そのまま、アタシを見ていればいいわ！
vo_adv_1050012_051.m4a|ちょっと！　なんでその人の方を見るのよ！　このスケベ！！こっち見なさいってば！
vo_adv_1050012_052.m4a|うぅぅ……もう、もう、バカッ！！
vo_adv_1050012_053.m4a|こっち見てよ！　よそ見しないで！アタシが今、世界で一番の大人のレディなんだからね！
vo_adv_1050012_055.m4a|そうよ、そのままこっちを見てなさい！アタシがこんなにオシャレしてるのは、アンタのためなんだから！そのまま、アタシだけ見てればいいの！
vo_adv_1050012_057.m4a|ありがとうございました♪……{player}、タオルちょうだい。それと、甘いココアも。
vo_adv_1050012_058.m4a|ふん。あんなにうれしそうな顔しちゃって。怒るタイミング、逃しちゃったじゃない。感想も、聞きそびれちゃったし……
vo_adv_1050012_060.m4a|うひゃぁああ！？
vo_adv_1050012_063.m4a|え、ええと……あの……？
vo_adv_1050012_065.m4a|えっ！？　しゃ、社長さん！？ええとその、初めまして……ミサキです……！
vo_adv_1050012_071.m4a|あ、あいつが……アタシのことをそんなふうに？
vo_adv_1050012_074.m4a|だからアタシに…………えっ！？　孫娘！？
vo_adv_1050012_079.m4a|？
vo_adv_1050012_081.m4a|えっ！？ええと、その……は、はい……
vo_adv_1050012_085.m4a|ふふん。でも大人のレディになるには、雑誌とか、アタシの真似をしようって思わなくてもいいのよ。
vo_adv_1050012_086.m4a|大事なのは、自分の好きって気持ちを大切にすること。そうすれば自然と大人のレディになれるわ。
vo_adv_1050012_090.m4a|え？　おばあちゃんに？
vo_adv_1050012_093.m4a|つまりアンタ……モデルだったの！？どーりで化粧とか、センスいいと思った！！ねぇねぇ！　そのリップ、どこの使ってるの！？
vo_adv_1050012_095.m4a|はぁ！？　大人のレディはね、小さいことなんて水に流すものよ。それより、アタシと情報交換しない？　週一でどう？
vo_adv_1050012_098.m4a|それじゃ、女子会ってことで約束忘れないでよ？……あ。もうこんな時間、アタシ行かなくちゃ！
vo_adv_1050012_100.m4a|ふふん……すっごく大事な用事があって。それじゃ、またね♪
vo_adv_1050012_101.m4a|あっ！　{player}がもう来てるじゃない！まずは深呼吸して……落ち着いて……
vo_adv_1050012_102.m4a|ま、待ったかしら……？
vo_adv_1050012_103.m4a|ふーん。まぁ、いいけど……その、今日呼んだのはちょっとしたお礼っていうか……
vo_adv_1050012_104.m4a|この写真。カメラマンのお姉さんに、もらったの。雑誌のヤツとおんなじものだけど……あげる。
vo_adv_1050012_105.m4a|ほ、ほんと？えへへ、宝物にしてもいいのよ♪
vo_adv_1050012_106.m4a|手ごたえはばっちり……いい感じよ。あとはほら、鏡の前で何回も練習したでしょ！大人のレディらしく、スマートにやるのよ！
vo_adv_1050012_107.m4a|それで……今度アタシとお茶でもどうかしら？つまりその……デートのお誘いっていうか……
vo_adv_1050012_108.m4a|……そ？それならお互い忙しいし、詳しいことは今度連絡するわ。じゃあね。
vo_adv_1050012_109.m4a|………………
vo_adv_1050012_110.m4a|～～～～っ！　やったわっ！！
vo_adv_1050012_111.m4a|オッケーもらっちゃった♪どうせならあいつと選んだイヤリングをつけて、キレイなドレス着て……えへへ♪　デート楽しみ♪
vo_adv_1214001_000.m4a|よいしょ……っと。準備はこれでよさそうね。
vo_adv_1214001_001.m4a|今日はアタシとアンタの二人だけで乗り切らなくちゃいけないのよ。クルミもアヤネも牧場の手伝いに行ってるんだから。
vo_adv_1214001_002.m4a|でもアタシがいれば安心よね！アンタも、ちゃんとエスコートしなさい？大人のレディのアシスタントよ。頑張らなくちゃダメなんだから。
vo_adv_1214001_003.m4a|さ、お客さんが来るわよ！気合入れて、エレガントにゴージャスにいきましょ！
vo_adv_1214001_004.m4a|いらっしゃいませ～！　新鮮なお野菜に搾りたての牛乳！牧場から仕入れている特産のチーズはいかがですか～♪
vo_adv_1214001_006.m4a|はいっ！　とーっても味が濃くて、おすすめですよ！お母さ……じゃなくて、母へのお土産にしたら、とっても喜んでくれました！
vo_adv_1214001_008.m4a|えっとえっと……そう、カレーを作ってくれました！チーズが隠し味って！このチーズ、ちょっと入れると味がゴージャスになるんです♪
vo_adv_1214001_011.m4a|救護院のみんなで焼いた手作りクッキーです！とってもおいしくできたので、ぜひ食べてください♪これ、試食です。どうぞ！
vo_adv_1214001_013.m4a|それはもう♪　大人のレディのお茶会にはぴったりのオシャレなスイーツですよ！
vo_adv_1214001_014.m4a|うんうん、順調ね！この調子でいくわよ！
vo_adv_1214001_017.m4a|ええっと……135ルピ、250ルピ、500ルピに最後のが200ルピ……1085ルピ、です！
vo_adv_1214001_018.m4a|こちらはクッキーが二つで1000ルピ、お野菜250ルピ、牛乳にチーズにパンに……えーっと、えーっと……！
vo_adv_1214001_021.m4a|え！？う……ううっ……あの、その……！
vo_adv_1214001_022.m4a|ああもう！　今まとめて返事しようとしたところだったのに！話しかけないでよ！
vo_adv_1214001_024.m4a|は、はいっ！　お、お、お会計は……12000ルピです！えっ？　12000ルピ？
vo_adv_1214001_026.m4a|えっ、そんなに高……ああーっ！　ご、ごめんなさいっ！今のは間違いでっ……え、えぇっと……！
vo_adv_1214001_027.m4a|そ、そうね……！え？　ここの繰り上がりが気になる……？あ、桁を一つ間違えて足しちゃってるわ……そうしたら、えっと……
vo_adv_1214001_028.m4a|お、お会計は……せ、1200ルピです。
vo_adv_1214001_030.m4a|ありがとう、ございます……
vo_adv_1214001_031.m4a|ああ、もう！　最悪！　最悪よ！
vo_adv_1214001_032.m4a|あんなに簡単な計算だったのに……なんで間違えちゃったのよ。しかも、アイツにあんなフォローまでされて……
vo_adv_1214001_033.m4a|大人のレディ失格だわ……もう……
vo_adv_1214001_034.m4a|だけど……アイツ、助けてくれたのよね。あのメモがなかったら、もっとかっこ悪いことになってたかも。
vo_adv_1214001_035.m4a|はぁ……どうしよう。謝るのは恥ずかしいし……あー、もう、全然エレガントじゃないわ。
vo_adv_1214001_036.m4a|ひゃあぁぁっ！？ちょっと、急に後ろから声かけないでよ！　びっくりするでしょ！
vo_adv_1214001_037.m4a|っていうか、アンタまだ残ってたの？……ずいぶん遅くまで頑張ってるじゃない。物産展の片付け？　そ、それはお疲れさま……ね。
vo_adv_1214001_038.m4a|アタシ？　アタシのことはなんだっていいでしょ……あっ、見ないでってば！
vo_adv_1214001_039.m4a|そ、そうよ。アタシだって算数くらい……やるわよ。ほんとは好きじゃないし、っていうか苦手だし。面倒だし、計算問題なんかより、オシャレなこと考えてたいわ。
vo_adv_1214001_040.m4a|でも、大人のレディになるためには……計算がきちんとできないとみんなに迷惑かけちゃうことも理解できないほどお子様じゃないの。
vo_adv_1214001_041.m4a|今日みたいなミス、もう二度とごめんだわ。恥ずかしいしかっこ悪いし……
vo_adv_1214001_042.m4a|ま、そんなわけでアタシは大人のレディとして、ちゃんと勉強してるってわけ。わかったら邪魔にならないようにさっさと……
vo_adv_1214001_043.m4a|ちょっと。どうしてとなりに座るのよ？まさかアンタがアタシに勉強を教えるつもり？そういうエスコートはいらないわよ。
vo_adv_1214001_044.m4a|まあ、どうしてもっていうなら……アンタが勉強を教える練習に付き合ってあげてもいいけど。
vo_adv_1214001_045.m4a|……え？　最後の計算の答えが違う？あっ。これは、アンタがいきなりのぞき込んだりするから足し算と引き算を間違えただけ──
vo_adv_1214001_046.m4a|って、アンタ、もしかして計算得意になったの……？
vo_adv_1214001_047.m4a|そういえば、前にスズナが言ってたのよね。街の買い物でアンタに助けてもらったって。
vo_adv_1214001_048.m4a|前は計算どころかなんにもわかってなかったのに、アタシに隠れて、秘密の特訓でもしてたの？え？　そうじゃない？
vo_adv_1214001_049.m4a|いろんなバイトをしてるうちにいろんなことを覚えて……それで、今日もメモを取っておいてくれたの？そうしたらたくさん注文が来ても大丈夫だから……
vo_adv_1214001_050.m4a|べっ、別に助けてもらわなくたってどうにかなったわよ！でも、あの時は……その……助けてくれて、ありがと……いきなり暗算するより、ミスが少ないのは確かだもの。
vo_adv_1214001_051.m4a|で、でも、調子に乗らないでよね！メモ書きするのは確かに便利だけど、やっぱりエレガントさに欠けるわ。だから、アタシはちゃーんと暗算をマスターしてみせるんだから。
vo_adv_1214001_052.m4a|もう！　にこやかにうなずいてるんじゃないわよー！
vo_adv_1214001_053.m4a|でもアンタって……夏休みの宿題もちゃんとやるし、イオちゃんの授業もしっかり聞いてるのよね。
vo_adv_1214001_054.m4a|悔しいけど、そこはすごいと思うわ。えっ、自分で勉強してたアタシもすごい？当たり前よ！　さあ、どんどん問題解くわよ！
vo_adv_1214001_055.m4a|つ、疲れたぁ……意地になってやってたら問題集、一冊終わっちゃったわ……
vo_adv_1214001_056.m4a|アンタもね……計算勝負、３問差で負けたけど……今度は絶対勝ってやるんだから……！いいわね、覚悟しておきなさい！
vo_adv_1214001_057.m4a|そうしたら、アンタが腰をぬかすくらいの大人のレディの特別授業、してあ・げ・る♪覚悟しておきなさい？
vo_adv_1214001_058.m4a|もー！！　もーーー！！！このアタシが誘ってるんだから、アンタもちょっとはドキッ！？　とかしなさいよ！！
vo_adv_1214001_059.m4a|何よ、平然としちゃって！！いつか、絶対にコイツをアタシに夢中にさせてやるわ！
vo_adv_1214001_060.m4a|出張物産展をやろう？救護院の外でもやってほしいって、リクエストがあったってわけね。もちろんいいに決まってるわよ。
