vo_adv_1021004_000.m4a|お兄ちゃ～ん……♪
vo_adv_1021008_103.m4a|さぁ、どうせ目的地は同じですし……夜道は危ないですから、お兄ちゃんも一緒に帰りましょう。
vo_adv_1021008_104.m4a|お手々を繋いで、肩を並べて帰りましょう。
vo_adv_1021009_000.m4a|『まずは小さな勇気……小さな一歩から。そうやってこの旅が始まって、ようやくここまでたどり着いたの……わたしはまた一歩踏み出すわ。あの魔法のベルに、手が届くように！』
vo_adv_1021009_001.m4a|ひゃぅ！？　お兄ちゃん急に声かけちゃ駄目ぇ……！こ、今度こそ口から心臓が飛び出るかと思ったよぅ……！
vo_adv_1021009_002.m4a|……え？　どうして庭の隅っこで練習してるのか……？そ、それは……
vo_adv_1021009_003.m4a|『自信なんてこれっぽっちもない……でも、あなたが信じてくれるわたしを信じて、ここに足跡を刻むの！』
vo_adv_1021009_005.m4a|あぅぅ……すごいこっちを見てる子がいる……！駄目、集中できないよぅ……！
vo_adv_1021009_006.m4a|『だ、だから見ていて……わ、わたしの旅路を……』
vo_adv_1021009_008.m4a|はうっ！？
vo_adv_1021009_009.m4a|見られてるって分かっちゃうと、やっぱりまだ緊張しちゃって……今度は失敗しないように、練習してたんですぅ……
vo_adv_1021009_010.m4a|え、えへへ……お兄ちゃんにそう言ってもらえるの、うれしいです♪
vo_adv_1021009_011.m4a|実は今度【サレンディア救護院】のギルド活動として、プロの劇団でお芝居をやることになって……
vo_adv_1021009_012.m4a|ランドソルで一番有名な舞台『魔法少女ベルルちゃん』の主人公……ベルルちゃん役を私がやるんです……！
vo_adv_1021009_013.m4a|勇気のない女の子が、魔法使いから魔法のベルをもらって、魔法少女に変身！最後は仲間たちと一緒に魔王を倒して、王国を救う話なんですけど……
vo_adv_1021009_014.m4a|私もすぐウジウジしちゃうから、ベルルちゃんの気持ちが分かるし、頑張れば、ベルルちゃんみたいになれるのかなって……
vo_adv_1021009_015.m4a|だから……『まずは小さな勇気……小さな一歩から』劇を成功させるために、頑張りたいんです……！
vo_adv_1021009_016.m4a|お、お兄ちゃん、急に手をパチパチさせないでください……！またビックリしちゃいますよぅ……！
vo_adv_1021009_017.m4a|……え？同じ劇団で裏方のバイトをすることになった？ほ、本当ですか……！？
vo_adv_1021009_018.m4a|お兄ちゃんと一緒に舞台のお仕事……えへへ、うれしいです♪それなら私のお稽古に付き合ってください……！あとあと、お稽古場まで毎日一緒に行きましょうね……！
vo_adv_1021009_020.m4a|『魔王に伝えなさい！！　この希望の鐘の音を！！そしてこの王国は、みんなの笑顔は、魔法少女ベルルが取り戻すと！』
vo_adv_1021009_022.m4a|えへへ……昨日お兄ちゃんと練習してたんですぅ……ですよね、お兄ちゃん♪
vo_adv_1021009_024.m4a|あうっ……！？
vo_adv_1021009_030.m4a|そ、そんなぁ……！団長さん、どうしてなんですかぁ……？
vo_adv_1021009_033.m4a|その……私ももちろんショックですけど、みなさんの方がもっと……
vo_adv_1021009_036.m4a|あ、あの！　わ、私もお手伝いしますぅ……！
vo_adv_1021009_038.m4a|ま、魔法少女ベルルちゃんのお芝居やりますぅ……！チラシ、もらってください……！！
vo_adv_1021009_039.m4a|…………はぁ。チラシ、もらってくれませんねぇ……どうやったら興味を持ってもらえるのかなぁ……？
vo_adv_1021009_040.m4a|……え？　みんなが見たくなるようにしよう？すごぉい……！　そんなことできるんですかぁ……！
vo_adv_1021009_041.m4a|お、お兄ちゃん？どうして私を見つめてるんですかぁ……！？い、嫌じゃないですけどぉ……！
vo_adv_1021009_042.m4a|即興劇をしよう？　だ、駄目ですよぅ……！舞台の上じゃないのに、そんなことできません……！それにもしまたお芝居がうまくできなかったら……！
vo_adv_1021009_043.m4a|それって……魔法使いのセリフですよね……？ベルルちゃんは魔法使いにそう言われて、魔法のベルを託されて……それから、頑張ろうって決めたんです……
vo_adv_1021009_044.m4a|そうですよね……今こそベルルちゃんが言ってた『小さな一歩』なんですよね……！うまくできるか分からないけど、私、やってみますぅ……！
vo_adv_1021009_045.m4a|『みんなお待たせっ、わたしは魔法少女ベルルちゃん……☆』
vo_adv_1021009_046.m4a|『みんな聞いて……この王国に、魔王の手が忍び寄っているの！わたしが魔王を倒すには、みんなの希望の力が必要よ！』
vo_adv_1021009_050.m4a|『魔王との最終決戦は明日！　劇場で待ってるからね☆』
vo_adv_1021009_053.m4a|……はぅ。き、緊張しましたぁ……今更足も震えてきたし……うう、なんだか涙も出てきますぅ……！
vo_adv_1021009_054.m4a|ひゃっ……！？　急に頭撫でちゃ嫌ぁ……！ほめられるのはうれしいけど……心臓が飛び出ちゃいますよぅ……！
vo_adv_1021009_055.m4a|それで、チラシはどうですか……？……え？　全部なくなったんですかぁ！？
vo_adv_1021009_056.m4a|よかったぁ……明日、お客さんたくさん来てくれるといいなぁ……
vo_adv_1021009_059.m4a|えへ、えへへ……♪私は大したことなんて何も……
vo_adv_1021009_062.m4a|あ、あなたもしかして……この間の……
vo_adv_1021009_064.m4a|お願い……？　なにか伝えたいことでもあるのかなぁ？でもまた『びみょう』だなんて言われたら……やっぱり、怖いよぅ……！
vo_adv_1021009_065.m4a|ひゃぅっ！？　また急に触ってひどいですぅ……！でも、分かってますよぉ……！　ち、小さな一歩ですよねっ！！
vo_adv_1021009_067.m4a|そ、そうなんですねぇ………………へっ！？　私のファン！？
vo_adv_1021009_071.m4a|…………は、はぁああ……
vo_adv_1021009_072.m4a|はいっ、お兄ちゃんが私に勇気をくれたから……だから私、これからもベルルちゃんみたいに、一歩ずつ頑張ってみますぅ……！
vo_adv_1021009_073.m4a|でも私は臆病だから、今みたいに怖気づいちゃうかもしれない……その時は、また……
vo_adv_1021009_074.m4a|ひゃわっ！？だからお兄ちゃん……！　急に頭を撫でるのは駄目って何度も……
vo_adv_1021009_075.m4a|……で、でも最近慣れてきたというか……少しだけ……安心するような気が……？
vo_adv_1021010_001.m4a|えっ……！本当ですか……それじゃ、解散の話も……
vo_adv_1021010_005.m4a|孤児院……私みたいな子がたくさん見に来るんだ……それなら、みんなが笑顔になってくれるように頑張りたいな……！
vo_adv_1021010_006.m4a|う、うん……♪私、またお稽古がんばりますぅ……！お兄ちゃん、お芝居の練習に付き合ってくださいね……！
vo_adv_1021010_008.m4a|ふえっ……！？わ、私たち……こんな大きなところでお芝居やるんですか……！
vo_adv_1021010_011.m4a|は、はいっ……！
vo_adv_1021010_012.m4a|こ、こんな大きな舞台で主役なんて……私、できるのかな……？
vo_adv_1021010_013.m4a|ううん！　昨日だってお兄ちゃんと練習したし、脚本も何度も読み返して、みなさんのセリフも覚えて……準備はできてるもん。あとは小さな一歩だよね……！
vo_adv_1021010_021.m4a|…………え？
vo_adv_1021010_026.m4a|あの、みなさん……ありがとうございます。でも私の代役になる子は、これまでたくさん舞台に上がってきたプロだって言ってましたよね……？
vo_adv_1021010_028.m4a|それなら私、主役を降ります……
vo_adv_1021010_030.m4a|だって……断ったら、援助がなくなっちゃうかもしれない。そうしたら、劇団が解散になっちゃう……
vo_adv_1021010_031.m4a|また一緒にお芝居ができるねって喜んでたのに、そんなことになってほしくないよぅ……
vo_adv_1021010_032.m4a|私が、一歩引けば……全部、うまくいく……だから……
vo_adv_1021010_033.m4a|私、みなさんとお芝居できれば、それだけでいいんです……だから、他の役をもらえたらうれしいなぁって……
vo_adv_1021010_037.m4a|はい、ありがとうございます……！
vo_adv_1021010_038.m4a|……え、ええと、お兄ちゃん……そんな心配そうな顔しないで……？私は、大丈夫だから……
vo_adv_1021010_044.m4a|……
vo_adv_1021010_046.m4a|へっ……！？ク、クルミです……その、ベルルちゃんの友人役として出ます……！よ、よろしくおねがいします……！
vo_adv_1021010_048.m4a|わ、分かりました……じゃなくて、分かった、よぅ……？
vo_adv_1021010_051.m4a|…………
vo_adv_1021010_052.m4a|お兄ちゃん……！　う、うん……！あの子、お芝居上手だから、目が離せなくなっちゃった……！
vo_adv_1021010_053.m4a|私、こんな大きな舞台で本番をやったら、やっぱり緊張して、ガタガタ震えちゃうと思うの……だから、主役を譲って良かったのかも、なんて……
vo_adv_1021010_054.m4a|それじゃ私、次出番だから……お兄ちゃんも裏方のお仕事頑張ってね……！
vo_adv_1021010_056.m4a|はい……っ！　今日の掃除当番は私なので……それに、お兄ちゃんも用事がすんだら迎えにきてくれるし……その、色々ありがとうございます……
vo_adv_1021010_058.m4a|はぅ……気を遣わせちゃってるよぅ……でも、みんな分かってるんだよね……私が『気にしてないフリ』をしてるって……
vo_adv_1021010_059.m4a|団長さんがくれた『ベルルちゃんの友人役』も好き。でもこの舞台の真ん中で、私が本当にやりたかった役は……！
vo_adv_1021010_060.m4a|『小さな勇気……小さな一歩から。そうやってたどり着いた先は闇の中。魔法少女の力を奪われた今、これからどうすればいいの？わたしには無理だって、諦めて道を引き返すしかないの？』
vo_adv_1021010_061.m4a|『……ううん。そんなこと、今までさんざんやってきた。諦めたくせに、もしあの時進んでいればって、後悔してきた』
vo_adv_1021010_062.m4a|『魔法のベルはもう鳴らない……でも、胸に手を当てれば聞こえるの。わたしの希望の音色が……だからわたしは諦めない！魔法少女じゃなくても……わたしは前へ進むわ！』
vo_adv_1021010_063.m4a|……そう、私が本当にやりたかったのは……！
vo_adv_1021010_064.m4a|ひゃうっ！？拍手してくれたの、お兄ちゃんだったんですねぇ……！び、びっくりしちゃいましたぁ……！
vo_adv_1021010_065.m4a|も、戻ってきたのなら、声かけてくれれば良かったのに……ええと……今のはお芝居の練習とかじゃなくて、掃除中のおふざけというか……
vo_adv_1021010_066.m4a|だから、あのね……主役に未練があるとか、そういうわけじゃないんですよぅ……前言った通り、私はみなさんとお芝居できればそれだけで……
vo_adv_1021010_067.m4a|…………っ！
vo_adv_1021010_068.m4a|うう……っ！お兄ちゃん……っ！
vo_adv_1021010_069.m4a|みなさんとお芝居できれば、それだけでいいなんて……そんなの嘘です……！私、本当は主役をやりたかったよぅ……！
vo_adv_1021010_070.m4a|毎朝発声練習して……苦手な運動も頑張って……遅くまで練習に付き合ってもらって……それは全部、ここに立つため……！　そのために、頑張ったんですよぅ……！
vo_adv_1021010_071.m4a|でも、もう駄目なんですぅ……！勇気がなかったから……一歩踏み出せなかったから、私はベルルちゃんになれないんです……！！
vo_adv_1021010_074.m4a|お兄ちゃんに『お昼までおうちで休んでて』って言われたけど、本番までもうすぐだもん……目のはれも落ち着いたし……ベルルちゃんの友人役、ちょっとでも練習しておかないと……！
vo_adv_1021010_076.m4a|もう大丈夫です……！心配かけちゃって、本当にごめんなさい……！
vo_adv_1021010_078.m4a|えっ……？　わ、わかりました……！
vo_adv_1021010_079.m4a|舞台裏へ来たけど、もしかして言い合いをしてるの……？ふぇ……怖いよぅ……！　でもこの声って、もしかして……
vo_adv_1021010_091.m4a|うっひゃあ……！？……き、気づいてたんですか……！？それに準備って、一体……！
vo_adv_1021010_093.m4a|で、でも……！
vo_adv_1021010_094.m4a|そうでした……昨日の夜も同じこと聞かれて、後悔して泣いちゃって……だから私、今度こそ後悔しないように、頑張ってみますぅ……！
vo_adv_1021010_095.m4a|うぅ……安心したとたん、腰を抜かしちゃうなんて……お兄ちゃんも疲れてるのに、おんぶさせちゃってごめんなさい……
vo_adv_1021010_096.m4a|でも、なんだか信じられない気持ちです……私が本当にベルルちゃんを演じられるなんて……それも全部……みなさんが助けてくれたおかげなんですよね……
vo_adv_1021010_097.m4a|あの子から聞きました。お兄ちゃんがいろんなところへ頭を下げにいってくれたんだって……『いいお兄さんだね。うらやましい！』って言われちゃいました……！
vo_adv_1021010_098.m4a|だから私も、自慢しちゃいました♪そしたら『相思相愛だね！』ってからかわれちゃって……
vo_adv_1021010_099.m4a|……っ！？
vo_adv_1021010_100.m4a|お兄ちゃんに大好きって言われちゃったぁ……！家族みたいな大好きだって分かってるけど……でも、胸がドキドキするし、顔も熱いし──
vo_adv_1021010_101.m4a|うっひゃあ……！？　お兄ちゃん、今は振り向かないでぇ……！無言になっちゃったのは、別になんでもないんですぅ……！
vo_adv_1021010_102.m4a|暴れないでって言われても、お兄ちゃんが見ようとするからぁ……！あっ、そこは触っちゃ駄目ぇ……！！
vo_adv_1021011_000.m4a|『温かな光……あなたは、伝説の魔法使い！？そのキレイなベルはなに？　……もしかして、わたしにくれるの？』
vo_adv_1021011_001.m4a|……ひゃわ！？　ご、ごめんなさい……！お兄ちゃんの手に、触っちゃって……いったんストップですぅ……！
vo_adv_1021011_002.m4a|あぅぅ……お兄ちゃんに『大好き』って言われてから練習に集中できなくなっちゃったよぅ……！それもこれも……私が未熟なせいなんだよね……！
vo_adv_1021011_003.m4a|クルミ、いい？チャリティー公演には、両親をなくした子たちが来るの。そんなみんなに、素敵な夢を見せるんでしょ……？
vo_adv_1021011_004.m4a|それならもっとお芝居に集中して……役に入り込んで……！よし、がんばりますよぅ……！　えいえい、おー……！
vo_adv_1021011_005.m4a|お、お兄ちゃん！　もう一回お願いします！！……え？　もう少し休憩した方がいい？　や、優しいですぅ♪じゃなくて……今は甘やかしちゃ駄目ぇ……！
vo_adv_1021011_006.m4a|ふぅ……お兄ちゃん。明日は朝早くからお稽古があるし、もう終わりに……
vo_adv_1021011_007.m4a|……あれ？　大の字になったまま寝ちゃった……？お、お兄ちゃん。こんなところで寝たら風邪ひいちゃうよぅ……？
vo_adv_1021011_008.m4a|ひゃぁ！？急に抱きつかないでぇ……ビックリしちゃうからぁ……！……あれっ、もしかして寝ぼけてますか……？
vo_adv_1021011_009.m4a|お兄ちゃん、忙しかったですもんねぇ。バイトに、ギルド活動に、私の練習相手……ずっと笑ってたから、疲れてるって気づけなかったですぅ……
vo_adv_1021011_010.m4a|お兄ちゃんが起きたら、ありがとうって伝えないと……それまでは……よしよし、いい子いい子♪……な、なんか楽しいかも♪
vo_adv_1021011_011.m4a|あれ？　お兄ちゃんが光ってる……！？これって前にも……うう……なんだか、急に眠気が……
vo_adv_1021011_044.m4a|はっ……くしっ……！！
vo_adv_1021011_045.m4a|……い、今のは夢……？えへへ、いい夢だったなぁ……♪
vo_adv_1021011_046.m4a|ひゃっ……！ごめんなさいお兄ちゃん、起きちゃいましたか……？
vo_adv_1021011_047.m4a|ええと、どうしてそんな不思議そうな顔をしてるんです……？……あっ、えへへ♪　膝枕してあげてるのは、その……
vo_adv_1021011_048.m4a|お兄ちゃん、ずっと私のお芝居に付き合ってくれたでしょう……？お兄ちゃんが少しでも休めたらいいなぁって……
vo_adv_1021011_049.m4a|それに……私にできるお返しなんて、これぐらいしか思いつかなかったから……
vo_adv_1021011_050.m4a|そ、それって……お芝居のこと……？
vo_adv_1021011_051.m4a|……ま、まだ自信はないですけど……でも、頑張ってみます……！なにより、私自身が頑張りたいって思ってるから……！
vo_adv_1021011_052.m4a|お兄ちゃん、ありがとう……♪
vo_adv_1021011_053.m4a|ええとそれじゃ、そろそろおうちへ入りましょうか……
vo_adv_1021011_054.m4a|はうっ……！？あ、足がしびれて……立てないですぅ……！！
vo_adv_1021011_055.m4a|って、お兄ちゃん……！　急に抱っこしちゃ嫌ぁ……！せめて最初に声かけてぇ……！
vo_adv_1021011_056.m4a|膝枕はできたのにって……わ、私からお兄ちゃんに触るのは大丈夫なんですぅ……！！
vo_adv_1021011_057.m4a|お姫様抱っこはどうか？……えへへ♪　なんだかお姫様みたいで素敵ですぅ……でも、でも……
vo_adv_1021011_058.m4a|やっぱり今は、触っちゃ駄目ぇ～～！！
vo_adv_1021012_005.m4a|あっ、招待された子供たちもいました……私、あの子たちの前でお芝居するんですね……そう考えたら、なんだか緊張して震えが……！
vo_adv_1021012_006.m4a|ありがとう、お兄ちゃ……ひゃっ！？お兄ちゃんの手がまた……！
vo_adv_1021012_008.m4a|も、もう！からかっちゃ嫌ぁ～！！
vo_adv_1021012_011.m4a|う、うん……！　私、頑張ります……！あ……あのね……
vo_adv_1021012_013.m4a|色々助けてくれて、ありがとう……あなたが私に託してよかったって思えるような、そんなベルルちゃんを演じてみせるから……！
vo_adv_1021012_018.m4a|は、はじまった……！たくさんの拍手が、体中にビリビリ伝わってくるよぅ……！それに、一人一人の顔がこんなにハッキリ見えるなんて……！
vo_adv_1021012_019.m4a|最前列の子供たちも、私を見てる……！いい演技をしなくちゃ……最高のベルルちゃんを演じなきゃ……！最初のセリフは──
vo_adv_1021012_020.m4a|最初のセリフ……あれ、あれ……っ！？頭が真っ白で……セリフが、出てこない……！
vo_adv_1021012_023.m4a|何かアドリブしてごまかして……でも、それからどうやって次へ繋げばいいの……？
vo_adv_1021012_024.m4a|このままじゃ……私のせいで、舞台が台無しになっちゃうよぅ……！
vo_adv_1021012_025.m4a|へっ！？お、お兄ちゃん！？
vo_adv_1021012_026.m4a|裏方のお兄ちゃんがどうして舞台の上に……！？お兄ちゃんが出演するなんて聞いてないよぅ……！？
vo_adv_1021012_027.m4a|も、もしかして私を助けるために、即興で出てくれたの……！？そ、それなら……！
vo_adv_1021012_028.m4a|『も、もうお兄ちゃん！　いつも遅刻ばっかりして！すっごくすーっごく待ったんだから！！』
vo_adv_1021012_029.m4a|『今日はこの王国が誕生してから100年目の祝祭♪変わらない毎日、変わらないわたし、でも今日は、何か特別なことが起こるかもしれないわ！』
vo_adv_1021012_030.m4a|良かったぁ、安心したらセリフがちゃんと出てきてくれた……！お兄ちゃん、あとは大丈夫だよ……！
vo_adv_1021012_031.m4a|ありがとうの気持ちは……私の最高のお芝居で伝えるから……！！
vo_adv_1021012_032.m4a|『みんなのおかげで、魔王はこの世から消え去った！希望の力が、絶望を追い払ったの！』
vo_adv_1021012_033.m4a|『だけど絶望は、いつかまたここへやってくる……それは一年後かもしれないし、明日かもしれない！』
vo_adv_1021012_034.m4a|『でも、それを恐れないで！絶望を失くすことはできないけど、乗り越えることはできるから！だから……』
vo_adv_1021012_035.m4a|……私もね、たくさんのものを失くしちゃったんだ。でもいろんな人に助けてもらって……それから大切なものがたくさん見つかったの。
vo_adv_1021012_037.m4a|あなたのそばにも、あなたを支えてくれる人たちがいる……だからあなたにも見つかるよ……！　かけがえのない宝物が……！私も、みんなのことを応援してるから……！
vo_adv_1021012_038.m4a|『……わたしは魔法少女ベルルちゃん☆世界中の愛ある人々のために……これからも祝福の音を鳴らしましょう！』
vo_adv_1021012_039.m4a|はぁ……はぁ……っ！
vo_adv_1021012_041.m4a|え、えへへ……！
vo_adv_1021012_044.m4a|うん！　……あれっ！？お兄ちゃんは、一緒に行かないんですか……！？
vo_adv_1021012_045.m4a|そ、そんなことありません……！あの時『ベルルちゃんのお兄ちゃん』がいたからベルルちゃんは最後まで頑張れたんです……！！
vo_adv_1021012_046.m4a|だからお兄ちゃんも、一緒に来てください……！私の手……握ってほしいですぅ……！
vo_adv_1021012_047.m4a|……お兄ちゃんが、手を握ってくれた……！恥ずかしくて、いつも『駄目』って言っちゃうけど……でもね、本当は違うんだよ……
vo_adv_1021012_048.m4a|本当は私……お兄ちゃんのこと……家族みたいな大好きじゃなくて……もっと、もっと大きくて、特別な……っ！
vo_adv_1021012_050.m4a|うん！　お兄ちゃんもっ！！
vo_adv_1021012_052.m4a|ふぇ……っ！
vo_adv_1021012_056.m4a|はい……っ！　ありがとうございます……！全部出しきったはずなのに、悔しい気持ちとか、楽しい気持ちとか……色々混ざって、涙が出ちゃいました……！
vo_adv_1021012_057.m4a|私、もっとお芝居うまくなりたい……！それでもう一回、ベルルちゃんを演じたいです……！ここにいるみなさんと一緒にっ！！
