vo_adv_1029010_001.m4a|さっきから何うんうん頭抱えてるんですか、ノゾミさん？
vo_adv_1174002_011.m4a|そうそう！　そ、それで３人で何をしてるんですか？
vo_adv_1174002_014.m4a|朝から！？というか騎士さん、泳げなかったんですか！？
vo_adv_1174002_017.m4a|えっ？　私ですか！？教えるのは別にいいんですけど……
vo_adv_1174002_020.m4a|かかか、彼氏ぃ！？いやいやいや！　そんな予定は一生ないですから！！
vo_adv_1174002_022.m4a|行っちゃいました……
vo_adv_1174002_023.m4a|というか、あんなことを言われた後で二人きりなんて……かなり気まずいんですけど……！
vo_adv_1174002_024.m4a|や、やっぱり一人で練習した方がいいと思います！私はサーフィンしてきますので、どうぞ頑張ってください！
vo_adv_1174002_025.m4a|は～……サーフボードで寝そべるだけって……宿でゴロゴロしてるのと変わらないんじゃ。
vo_adv_1174002_026.m4a|……騎士さん、泳ぐの苦手なんですよね。今日は少し波が高いけど、大丈夫かな？
vo_adv_1174002_027.m4a|あ、いたいた。一人で練習してますね……
vo_adv_1174002_028.m4a|……ちょ、ちょっと喉乾いてきたし、海の家へ行くついでに声でも──
vo_adv_1174002_031.m4a|なんでこんなところに魔物なんか！海に残ってる人たちは！？
vo_adv_1174002_032.m4a|……まだたくさんいる！アイツの注意を逸らして、時間を稼がないと……！
vo_adv_1174002_033.m4a|ほらほら！　こっちですよー！！どっちが速いか、勝負です！！
vo_adv_1174002_034.m4a|うわわわ……！　デカイくせにかなり速いっ！追いつかれるのも時間の問題かも！？
vo_adv_1174002_035.m4a|騎士さん！？　どうして崖の上にいるんですか！？
vo_adv_1174002_036.m4a|この光……力が湧いてくる……これなら私一人でもアイツをぶっ飛ばせます……！
vo_adv_1174002_037.m4a|騎士さんめ。ほんとタイミングよく現れますね。……不覚にも、ちょっと心強いなんて思っちゃったじゃないですか。
vo_adv_1174002_038.m4a|騎士さん。そこでしっかり、私の活躍を見ててくださいよ！
vo_adv_1174002_039.m4a|とりゃぁああっ！！
vo_adv_1174002_040.m4a|え？　もしかしてこっちに倒れてきます！？
vo_adv_1174002_041.m4a|きゃああああ！？
vo_adv_1174002_042.m4a|何も見えない……私……どうなったんだろう……？
vo_adv_1174002_043.m4a|騎士さんの声が聞こえる……そんなに叫ばなくても、聞こえてますよ……
vo_adv_1174002_044.m4a|だから──
vo_adv_1174002_045.m4a|聞こえてます……騎士さん……
vo_adv_1174002_046.m4a|あれ？　私、どうして浜辺に……？それに、騎士さん……？
vo_adv_1174002_047.m4a|ええと……ちょっと状況が飲み込めてないんですけど……
vo_adv_1174002_049.m4a|えっ……泳ぐの苦手なのにどうやって……？
vo_adv_1174002_053.m4a|騎士さん……だから顔が真っ青なんだ。それにちょっと目が赤いし……
vo_adv_1174002_054.m4a|私のせいで……
vo_adv_1174002_055.m4a|騎士さん、ごめんなさい……
vo_adv_1174002_056.m4a|え？　それは……
vo_adv_1174002_057.m4a|……そうでしたね。謝るのは、違いますね。
vo_adv_1174002_058.m4a|助けてくれてありがとうございました、ですね！
vo_adv_1174003_000.m4a|騎士さん、お話があります！その……
vo_adv_1174003_001.m4a|…………明日と明後日、暇ですか？
vo_adv_1174003_002.m4a|予定があるなら別にいいんです。ついでに声かけただけなんで！
vo_adv_1174003_003.m4a|……え？　予定はない？ほんとですか！？
vo_adv_1174003_004.m4a|実は近くにリゾート地として有名な孤島があるんですけど、宿泊できる優待券をもらったんです。
vo_adv_1174003_005.m4a|一枚余ってるんで、騎士さんさえ良ければ一緒にどうですか？
vo_adv_1174003_006.m4a|いいから誘ってるんじゃないですか。おかしな人ですね。
vo_adv_1174003_007.m4a|どういう意味ですか！？私が騎士さんを誘うのは、そんなにおかしいですか！？
vo_adv_1174003_008.m4a|先に言っておきますけど、これは騎士さんへの借りを返すためです。……この夏、色々とお世話になりましたからね。
vo_adv_1174003_009.m4a|来るつもりがあれば明日船着き場へ来てください。それじゃ私はこれで！
vo_adv_1174003_010.m4a|騎士さん、来てくれるかな？……いえ、誘ったら断らない人ですし、大丈夫です。
vo_adv_1174003_011.m4a|優待券を手に入れるのも大変だったのに、騎士さんのためにサプライズディナーの予約まで入れて……むしろ来てくれなかったら怒りますからね！
vo_adv_1174003_012.m4a|……というか、最初からそう言えば良かったんじゃ。私ってほんと騎士さんの前だと素直じゃありませんね。
vo_adv_1174003_014.m4a|ん～！　やっとついたぁ～！それでどうですか？　この島の風景は？
vo_adv_1174003_015.m4a|ふふん。私に感謝してくださいよ。騎士さんじゃ絶対に来れない場所なんですから。
vo_adv_1174003_017.m4a|ありがとうございます！
vo_adv_1174003_021.m4a|ちょっ！？　からかわないでください！縛り上げますよ！？
vo_adv_1174003_023.m4a|ぜ、絶対勘違いされた……！
vo_adv_1174003_024.m4a|な、なんですか！
vo_adv_1174003_025.m4a|……え、白い砂？よく見れば、若干星の形に似てますね……もしかしてこれが『星の欠片』？
vo_adv_1174003_027.m4a|私の願い……そもそも願いは自分で叶えるものです。でも、願掛けとして集めるぐらいならいいですよね。
vo_adv_1174003_028.m4a|騎士さん。夜になるまで自由行動しましょう。私はしばらくこの浜辺にいるので！
vo_adv_1174003_029.m4a|……え？　欠片を集めるなら一緒に探す？別にいいですよ。騎士さんもたまには遊んでください。
vo_adv_1174003_030.m4a|またそういうこと言って……本当に生意気ですね。それなら100個集めるまで付き合ってもらいますから、覚悟してくださいね！
vo_adv_1174003_031.m4a|ここにはもうありませんね。騎士さんの方はどうですか？……ん～、そっちもないなら、もう少し先へ行ってみましょうか。
vo_adv_1174003_032.m4a|はぁ。騎士さんにくつろいでもらうつもりが、結局こき使っちゃってます……
vo_adv_1174003_033.m4a|騎士さん、楽しんでますかね？ほんとは気を使ってるだけなんてことは……
vo_adv_1174003_034.m4a|あれ？　急に雨ですか！？騎士さん、あっちの森へ避難しましょう！！
vo_adv_1174003_035.m4a|……雨、やみませんね。
vo_adv_1174003_036.m4a|どうしよう、コテージからだいぶ離れちゃってるし、このままじゃディナーに間に合わないかも……
vo_adv_1174003_037.m4a|騎士さん。木陰にいても結局濡れちゃってますし、このままコテージへ戻りましょう。
vo_adv_1174003_038.m4a|……って、なんですかその大きな葉っぱは！？もしかして、傘代わりですか？
vo_adv_1174003_039.m4a|それじゃ、お言葉に甘えますけど……
vo_adv_1174003_040.m4a|えっ！？　距離が近すぎる！？さすがにこの状態は……！
vo_adv_1174003_041.m4a|や、やっぱり歩きにくいので私──
vo_adv_1174003_042.m4a|うひゃあっ！？
vo_adv_1174003_043.m4a|……あ、あぶなかった。地面、雨のせいで滑りやすくなってるみたいですね。
vo_adv_1174003_044.m4a|その……泥だらけにならずにすみました。というか手っ！　い、いつまで掴んでるんですか！？
vo_adv_1174003_045.m4a|それじゃ騎士さんが濡れちゃうじゃないですか！？
vo_adv_1174003_046.m4a|わ、分かりました。ちょっと狭いですけど、二人で風邪をひくよりかはマシです。一緒に入りましょう。
vo_adv_1174003_047.m4a|うう……やっぱり近すぎる。早く雨あがってください～……
vo_adv_1174003_048.m4a|……雨はあがりましたけど、もう夜じゃないですか！？もしかして私たち迷子になったんじゃ……
vo_adv_1174003_049.m4a|私はいやですよ！こんなところで騎士さんと一夜を明かすなんて！！
vo_adv_1174003_050.m4a|だってそれじゃ……計画が台無しじゃないですか！！
vo_adv_1174003_051.m4a|えっ！？　そもそも、騎士さんのせいじゃないですし……
vo_adv_1174003_052.m4a|と、とにかく！立ち止まっていてもしょうがないですし、前へ進みましょう！
vo_adv_1174003_053.m4a|うう……八つ当たりするなんてなさけない。
vo_adv_1174003_054.m4a|本当は今頃、一緒にご飯を食べながら、楽しくおしゃべりしてたはずなのに……
vo_adv_1174003_055.m4a|後悔させないどころか、騎士さんにとって嫌な思い出になったらどうしよう……
vo_adv_1174003_056.m4a|……
vo_adv_1174003_057.m4a|え、でも……いえ、分かりました。
vo_adv_1174003_058.m4a|はぁ……気まずくて、騎士さんに話しかけられない。
vo_adv_1174003_059.m4a|え！？　突然なんなんですか！？
vo_adv_1174003_060.m4a|『ツアーは楽しかったか？』って……も、もちろんですよ！
vo_adv_1174003_061.m4a|今回はリベンジということで、衣装も振り付けも、普段以上に気合いを入れましたし。
vo_adv_1174003_062.m4a|トラブルもありましたが、それを乗り越えたカルミナは最高に輝いていたと思います。完璧に近い、一番のライブでした！
vo_adv_1174003_063.m4a|それに──
vo_adv_1174003_064.m4a|騎士さんのインタビューを通して、自分を振り返ることができたのも、良かったかもしれません。
vo_adv_1174003_065.m4a|両立、ですかね。仕立て屋としてもアイドルとしても、プロとして高みを目指したいです。
vo_adv_1174003_066.m4a|一つに集中するべきだって思う人もいるかもしれませんが、誰かを輝かせることも、自分を輝かせることも、私には必要ですから。
vo_adv_1174003_067.m4a|ノゾミさんじゃありませんが、お客さんの笑顔が私にとって頑張りの源です。だから私、両方とも諦めません！
vo_adv_1174003_068.m4a|……って、何熱く語らせてるんですか！笑わないでくださいよ！　もう、ほんっとに騎士さん生意気です！
vo_adv_1174003_069.m4a|でも騎士さんのおかげで、また普通に話せてる。こういうところ、本当にズルイですよね。
vo_adv_1174003_070.m4a|……んん？　騎士さん、空を見てください。ほら、煙が見えます。もしかしてコテージからじゃないですか？
vo_adv_1174003_071.m4a|ということは、あの煙を辿れば戻れるんじゃ……騎士さん、まだ間に合います。行きますよ！
vo_adv_1174003_072.m4a|え？　何が間に合うのかって……
vo_adv_1174003_073.m4a|決まってるじゃないですか！騎士さんのために用意した、サプライズディナーですよ！！
vo_adv_1174003_074.m4a|…………
vo_adv_1174003_075.m4a|ああぁーっ！？
vo_adv_1174004_000.m4a|誰かと思えば騎士さんじゃないですか。朝の散歩ですか？
vo_adv_1174004_001.m4a|私は、まぁ昨日の続きです。『星の欠片』、集め終わってなかったので。
vo_adv_1174004_002.m4a|でもあと少しが、なかなか見つからないんですよねぇ……
vo_adv_1174004_003.m4a|朝日もだいぶ昇ってきましたね。ん～光が眩しい。でもちょっと眩しすぎるような──
vo_adv_1174004_052.m4a|い、今のは一体！？　騎士さんも見ました！？私たちが一緒に──
vo_adv_1174004_053.m4a|……あれ？　一緒に何してたんでしたっけ？い、いえ。やっぱりなんでもありません……
vo_adv_1174004_054.m4a|私ったら何言おうとしたんだろう。立ったまま夢を見たなんて、そんなこと起こるわけないんです。
vo_adv_1174004_055.m4a|そういえば『星の欠片』は！？
vo_adv_1174004_056.m4a|……良かった。落とさずちゃんと持ってました。数は揃ってないですけど、もう船の出港時間が迫ってます。残念ですが、ここで切り上げましょうか。
vo_adv_1174004_057.m4a|……えっ！？　これって『星の欠片』！？たしかにこれだけあれば100個達成ですけど……でも、どうして！？
vo_adv_1174004_058.m4a|……騎士さんも早起きして探してた？そ、そこまでしてくれなくても良かったのに。
vo_adv_1174004_059.m4a|でも……ありがとうございます。おかげですっきりした気持ちで帰れそうです！
vo_adv_1174004_060.m4a|これで夏のバカンスも終わりですね……それで騎士さんは……楽しかったですか？
vo_adv_1174004_061.m4a|ふふっ、そうですか。それなら騎士さんを招待した甲斐がありました。
vo_adv_1174004_062.m4a|……私、決めました。レイ様と一緒に、またここへ来ます。
vo_adv_1174004_063.m4a|それで一緒に魚釣りをしたり、『星の欠片』を集めたり……思いっきりバカンスを楽しむんです！
vo_adv_1174004_064.m4a|あとはまぁ……ついでに騎士さんもいていいですよ。
vo_adv_1174004_065.m4a|それでどっちがレイ様に相応しいか、勝負するんです。これを『星の欠片』への願いにしましょう。
vo_adv_1174004_066.m4a|……まぁ願いというか、誓いですかね。そういうわけですから、騎士さん。
vo_adv_1174004_067.m4a|来年の夏の予定、空けておいてくださいね！
vo_adv_2109001_005.m4a|そもそも、今日はランドソルに戻ってくるって言ってたんですけどねー私たちの凱旋ライブ、見に来てくれる約束だったのに……
vo_adv_2109001_008.m4a|巻き込まれた、ですか……どっちかっていうと、プロデューサーのほうがトラブルの元って感じがしますけど。
vo_adv_2109001_011.m4a|テロリスト……【レイジ・レギオン】っていうギルドですか？街のあっちこっちに手配書が貼ってありますね。
vo_adv_2109001_030.m4a|はいっ。それにあのひとのことだから、いなくなったフリをして私たちを驚かせようとしてるのかもですね！
vo_adv_2109001_031.m4a|ライブが終わったところで、ひょこっと出てくるかもしれませんよ？プレゼントでも持って♪
vo_adv_2109002_021.m4a|あははっ、みなさん元気いっぱいですね！ツムギたちと会えなくて、さびしかったですかー？
vo_adv_2109002_038.m4a|ステージの奥のほうに、兵隊さんたちが来てますけど……
vo_adv_2109002_041.m4a|ライブの中断とか勘弁ですよっ。【王宮騎士団（NIGHTMARE）】さんたちが、イイ感じに解決してくれるのを願うのみですね！
vo_adv_2109002_051.m4a|……！【レイジ・レギオン】って……噂のテロリストのひとたち！？
vo_adv_2109002_068.m4a|っ！今のって、チカさんと同じ唱喚術ですか！？
vo_adv_2109002_084.m4a|ランファってひと、全然ひるんでないみたいですよ～っ！？
vo_adv_2109002_090.m4a|と、とにかく！みなさんの避難をっ……！
vo_adv_2109005_045.m4a|っていうか……あなた、なんで半裸なんですか！？もしかして変質者ですか！？お願いですからちゃんとした装備を着てください！
vo_adv_2109005_047.m4a|はぁ？またとか今度こそとか何言ってるんですか！？あなたみたいなセンスないひとと話すのなんか初めてですよ！
vo_adv_2109005_049.m4a|……って、そんなこと言ってる場合じゃないです！あなた、クリスティーナさんの知り合いなんですよね！？
vo_adv_2109005_056.m4a|あっ！あのひと、逃げようとしてませんっ！？
vo_adv_2109005_065.m4a|あの半裸のひとが結界を出して、ランファさんの逃げ道を塞いだみたいでしたけど……
vo_adv_2109005_068.m4a|そっ、そんな都合の良いものですかぁ？
vo_adv_2109005_080.m4a|歌って踊って戦うギルドの、意地の見せどころです～っ！
vo_adv_2109008_054.m4a|ですね、レイ様！プロデューサーの行方も聞かないと！
vo_adv_2109009_100.m4a|なんですかあれっ！！？
vo_adv_2109010_086.m4a|ずいぶん熱烈なハグでしたけど……
vo_adv_2109010_106.m4a|でも、どうしてプロデューサー……じゃなくって、クリスティーナさんを誘拐なんてしちゃったんですか、あなたたち！
vo_adv_2109010_120.m4a|なんだか、話の規模がどんどんとんでもないことになってっちゃうんですけど～っ！？
vo_adv_2109011_022.m4a|ただでさえ、もう魔力も体力も限界なんですよ～っ……！
vo_adv_2109011_051.m4a|すごい……！あのひと、一気にひっくり返しちゃいましたよレイ様っ！
vo_adv_2109011_148.m4a|うぅっ……も、もう、これ以上は……耐えられないですっ……！
vo_adv_2109012_029.m4a|新手ですかっ！？ただでさえ、いっぱいいっぱいなのに～っ！
vo_adv_2109012_050.m4a|ど、どうしちゃったんですか！？そんな、センスないお面してっ……！
vo_adv_2109012_057.m4a|い、いつも、「アイドルなら身体は大事にしろ」って、うるさく言ってくるのに……
vo_adv_2109012_103.m4a|う、ぅぅっ……！
vo_adv_2110004_022.m4a|それはきっと、レイ様たちの手助けにもなるって。そう思うんです！
vo_adv_2112006_004.m4a|それで、あのですねっ！ちょっとみなさんに、お願いしたいことがあるんですけど……
vo_adv_2112006_007.m4a|でもでも。『探しもの』のほうは、なかなか見つかりそうにないですね。あんなにたくさんの人に聞いたのに……
vo_adv_2112006_011.m4a|敵の親玉……エリスさんの本拠地に『装置』が置いてあっても、ぜんぜんおかしくないですよね。むしろそっちのほうが安全ですし。
vo_adv_2112006_014.m4a|そうですねー。『七冠』でしたっけ。プロデューサーが、そんなすごい人だなんてこともびっくりでしたけど……
vo_adv_2112006_020.m4a|ええっ、本気ですか～っ！？あんなセンスない人をアテにしなくちゃいけないなんて～！
vo_adv_2112008_140.m4a|ランドソルで、胸の大きさと服のセンスが反比例してるお姉さんから聞いてきたんですよ！
vo_adv_2112009_076.m4a|そんな場合じゃないですよーチカさん！もっとハイな曲で、騎士さんに目を覚ましてもらわなきゃ！
vo_adv_2112010_029.m4a|半裸のセンスない人に肝心なところを任せるなんて、カンベンって感じだったんですけどねー
vo_adv_5072000_002.m4a|……というか、なんで当たり前のようにいるんです？私、騎士さんがいるなんて聞いてなかったんですけど。
vo_adv_5072000_005.m4a|ノゾミさんとチカさんも知らないんですか！？なのにあんな堂々と一緒に仕事を！？
vo_adv_5072000_006.m4a|いやまあ、私も普通に頼み事しちゃってましたけど。……なんなんですかこの騎士さんの溶け込み力。
vo_adv_5072000_008.m4a|はっ、はぁ！？　はぁ～！？　なに言ってるんですかノゾミさん！私はただ、このライブ衣装が自信作だから気合を入れてただけで……っ！なんで私が騎士さんなんかに見てもらわなきゃいけないんですか！
vo_adv_5072000_010.m4a|～～～っ！？チ、チカさんだって！撮影中、ずっと騎士さんの反応をうかがってましたよね！
vo_adv_5072000_017.m4a|女の子……？
vo_adv_5072000_019.m4a|ひょえっ！？
vo_adv_5072000_022.m4a|そんなわけないじゃないですか、プロデューサー
vo_adv_5072000_028.m4a|たしかに。ここって普通の海水浴場だし、プロデューサーだったらもっと、派手に人を集められる場所を選ぶと思ったんですけど……
vo_adv_5072000_032.m4a|……？　珍しいですね、ノゾミさんが場所を指定するなんて……
vo_adv_5072000_037.m4a|ええっ！？　ノゾミさん……今日は撮影のあとはオフにするんじゃなかったんですか？
vo_adv_5072000_041.m4a|まったく、ノゾミさんは相変わらずなんですから……
vo_adv_5072002_037.m4a|チカさん。諦めた方がいいですよ？ノゾミさん、こうと決めたら絶対譲らないタイプです。
vo_adv_5072002_039.m4a|まぁ私は、超きれいなお二人の衣装を好き勝手にできるので、万々歳ですけどね！
vo_adv_5072002_047.m4a|というかノゾミさん、なんで私までレッスンに参加させられてたんです？衣装作りにダンスって必要でしたっけ？
vo_adv_5072002_056.m4a|チカさん、色々と背負ってそうですからね～
vo_adv_5072002_082.m4a|チカさん！今のうちに歌ってください！
vo_adv_5072002_091.m4a|任せてくださいっ！グルグル巻きになっちゃってください！
vo_adv_5072002_093.m4a|よし、仕留めましたね！チカさんの唱喚術、やっぱすごいですねー！
vo_adv_5072002_110.m4a|カルミナ……それって、私も入ってるってことでいいんですかね？私、裏方なんですけど～
vo_adv_5072003_000.m4a|えっと、今回のステージは海も近いし、やってみたい演出がいくつか……
vo_adv_5072003_001.m4a|あと、この水着タイプのステージ衣装。海でのライブだからってつい水着にしちゃいましたけど、やっぱりちょっと思い切り過ぎましたかね……
vo_adv_5072003_002.m4a|いやいや、ノゾミさんもチカさんもスタイルいいし、やっぱりこうですよね。でももう少しブラッシュアップできるかも……
vo_adv_5072003_003.m4a|……？ああ騎士さん。何ですか？ご覧の通り、私は今超～絶に忙しいんですけど。
vo_adv_5072003_004.m4a|……は？
vo_adv_5072003_005.m4a|いきなりなんですか？暑さでやられちゃいましたか？
vo_adv_5072003_006.m4a|だったらちょうど近くに海がありますし、糸で縛り上げてスイカみたいに冷やしてあげますけど……
vo_adv_5072003_007.m4a|……インタビュー？　騎士さんがですか？よりにもよって？
