vo_adv_1025009_000.m4a|あ、あのっ！{player}さん！
vo_adv_1025009_027.m4a|……いいえ。汚名は返上するものです！今度はお部屋のお掃除をさせていただきますね！
vo_adv_1025009_028.m4a|メイドとして役に立つところ、{player}さんに見てもらいたいですから。
vo_adv_1025009_029.m4a|えへへ。いつもと違う場所をお掃除するなんて、不思議な気分ですね……♪
vo_adv_1025009_030.m4a|見たところ片付いていますけど、ところどころ、お掃除が行き届いてない部分がありますね？これはメイドとして、腕の見せどころ……♪
vo_adv_1025009_031.m4a|あ！　なんですかその心配そうな目は！心外ですよ～！
vo_adv_1025009_032.m4a|もう。私だって成長してるんですよ？ドジってばっかりじゃないんです。
vo_adv_1025009_033.m4a|え？　分かってる？ずっと見てきたから？
vo_adv_1025009_034.m4a|ダ、ダメですよ～急に褒めたりしちゃ……！いいところを見せたくなっちゃうじゃないですか～♪
vo_adv_1025009_035.m4a|じゃあ、見ていてくださいねっ。前は失敗してたお掃除魔法も、今はこのとおり！
vo_adv_1025009_036.m4a|えぇいっ、きれいになぁれ……☆
vo_adv_1025009_037.m4a|…………
vo_adv_1025009_038.m4a|……本当にすみません。
vo_adv_1025009_039.m4a|ごめんなさい～……結局{player}さんにも手伝ってもらっちゃって……
vo_adv_1025009_040.m4a|お掃除は得意だって自分では思ってるんですけど、どうしてだかいつも爆発しちゃうんですよね……
vo_adv_1025009_041.m4a|はぁ～……ダメですね、私。どこに行っても失敗ばかり。どうしてこうなんでしょう……
vo_adv_1025009_042.m4a|お嬢さまもきっと、愛想を尽かしちゃってますよね……
vo_adv_1025009_043.m4a|{player}さん……ありがとうございます。
vo_adv_1025009_044.m4a|でも……ううん、ごめんなさい。なんでもありません。
vo_adv_1025009_045.m4a|私、もうちょっとお掃除しますね。大丈夫です、今度はドジらないよう慎重にしますので。
vo_adv_1025009_046.m4a|迷惑ばかりかけて、{player}さんにまで愛想尽かされちゃったら……嫌ですから。
vo_adv_1025009_047.m4a|私、頑張ります……！
vo_adv_1025009_072.m4a|わぁぁんっ、待って～！走り回らないで～～～！
vo_adv_1025009_073.m4a|あっ！か、帰ってきちゃいましたか！？
vo_adv_1025009_074.m4a|お、お帰りなさいませ～……！えっと、その～……
vo_adv_1025009_075.m4a|これは、ですね～……
vo_adv_1025009_076.m4a|すみません！夕食の準備をしておこうと思って、お料理をしていたのですが……
vo_adv_1025009_077.m4a|なんというか、見たことのない食材ばかりで……とりあえず火にかけて煮込んでみたんですけど、なぜだか量がどんどん増えちゃって～
vo_adv_1025009_078.m4a|あっという間に鍋は吹きこぼれるし、変な色の煙は出るし、換気しようとしたら窓の外からいろんな動物が入り込んでくるし、いえっ、これ全部本当なんですよっ！？
vo_adv_1025009_079.m4a|つまりは……ごめんなさい……またやってしまいました～……
vo_adv_1025009_080.m4a|うぅ～……ありがとうございます～……！
vo_adv_1025010_000.m4a|ひゃわぁぁん～～っ！？
vo_adv_1025010_001.m4a|いたた……また転んじゃいました～……えっ！？棚に置いてあったお皿が落ちちゃう！？
vo_adv_1025010_002.m4a|よっと……！　ギ、ギリギリ間に合いました～！よかった、割らずに済んで……！
vo_adv_1025010_003.m4a|えへへ、お嬢さま！見ていてくださいましたかっ？スズメは今、ドジをしたのに何も割らずに……
vo_adv_1025010_004.m4a|って、見ているわけがありませんでしたね。ここにはお嬢さまはいないんですから。
vo_adv_1025010_005.m4a|ダメですね、私ってば。自分で勝手に飛び出したのに……
vo_adv_1025010_006.m4a|……お嬢さま……
vo_adv_1025010_007.m4a|へっ？みっ、見てたんですか！？もう、声をかけてくださいよ～
vo_adv_1025010_008.m4a|えっと～、いえ、気になるなんて、そんなことは…………あります、けど。
vo_adv_1025010_009.m4a|あはは……気にしてドジっちゃうくらいなら、早く戻って謝ればいい、って思いますよね。……いつものドジで、物を壊しちゃっただけなんだから。
vo_adv_1025010_010.m4a|でも今回ばかりは……その、自分にあきれ果ててしまいまして。
vo_adv_1025010_011.m4a|ドジばかりで、成長のない自分に。
vo_adv_1025010_012.m4a|お嬢さまにずっとお仕えしたい、そう思っているのは本当です。でも……それは私の一方的な気持ちです。
vo_adv_1025010_013.m4a|このままずっとドジばかりしていたら、お嬢さまの方はどう思うでしょうか。
vo_adv_1025010_014.m4a|いつか私に、愛想を尽かしてしまうのでは？いつか私を……『いらない子』って、思うのでは？
vo_adv_1025010_015.m4a|お嬢さまにいただいた、あの大切な置物を壊してしまった時、そう思ってしまったんです。
vo_adv_1025010_016.m4a|どれだけ大切にしていたものでも、いつか、あっさりと壊れてしまうんじゃないかって。
vo_adv_1025010_017.m4a|……はい。もちろん分かっています、誰よりも。
vo_adv_1025010_018.m4a|お嬢さまは優しくて、気高くて、いつだって私の失敗を笑って許してくださった。
vo_adv_1025010_019.m4a|でも、それも永遠には続かない。きっといつか私は、お嬢さまにとって『いらない子』になってしまう。そう考えてしまうんです。
vo_adv_1025010_020.m4a|たまらなく……怖いんです。いつか、あの優しいサレンお嬢さまに見放されたら。
vo_adv_1025010_021.m4a|お嬢さまから頂いてきたたくさんの信頼や真心が、あの置物のように粉々になってしまったら。もう元通りには……戻せないんですから。
vo_adv_1025010_022.m4a|え……？
vo_adv_1025010_023.m4a|この破片は……私が割ってしまった……どうして、{player}さんが……？
vo_adv_1025010_024.m4a|預かってきた……って、お嬢さまに会ってきたんですか！？
vo_adv_1025010_025.m4a|そう、ですか……あの、お嬢さまは私のこと、何か……い、いえっ、なんでもありません。
vo_adv_1025010_026.m4a|でも……これを元通りにするといっても、こんなに粉々になってしまっていては……
vo_adv_1025010_027.m4a|はい……とても……私も、できれば直してあげたいですけど……
vo_adv_1025010_028.m4a|いいんですか？その、私の個人的なことなのに……
vo_adv_1025010_029.m4a|……分かりました。そうですよね。元通りに直せるかはともかく、壊れたままなんて、悲しすぎますもんね……
vo_adv_1025010_030.m4a|私、頑張ってみます！
vo_adv_1025010_031.m4a|そうと決まれば、まずは修理するための材料とかを買いに行かなくちゃいけませんね。
vo_adv_1025010_032.m4a|ちょうど街の方に買い物に行くつもりでしたし、一緒に行きましょう！
vo_adv_1025010_033.m4a|ふんふふ～ん♪えっと、足りなかった食材は～
vo_adv_1025010_036.m4a|あっ……今日は違うんです。私いま、救護院で働いてなくて……
vo_adv_1025010_038.m4a|えっと～{player}さんのところで、働かせてもらってるんです。
vo_adv_1025010_040.m4a|ご、ご主人さま！？
vo_adv_1025010_041.m4a|ひょえぇっ！？　な、何を言っちゃってるんですか！た、確かに今はあなたに雇われている感じではありますけど！……そ、そう呼んでほしいんですか……？
vo_adv_1025010_042.m4a|ほえぇっ！？そ、その呼び方は……いえ、確かにそう呼ぶこともありますけど。あなたをそう呼ぶのは、なんか、ちょっと違う感じが～～～！
vo_adv_1025010_043.m4a|もうっ、ダメじゃないですか。誰彼構わず、メイドをひけらかすような真似をしちゃ。あれから回ったお店全部で言ってましたよね？
vo_adv_1025010_044.m4a|そんなに……呼んでほしいんですか？ならその、人前じゃなくて、二人きりの時なら。……って、それはそれで恥ずかしいですよ～っ！
vo_adv_1025010_045.m4a|……ご主人さま。ご主人さま。ご主人さま。……旦那さま。旦那さま。旦那さま。
vo_adv_1025010_046.m4a|れ、練習は大事ですからね、うん。
vo_adv_1025010_047.m4a|で、では気を取り直して。食材や日用品はそろいましたし、今度は置物の修理に必要なものを買いに行くとしましょう。
vo_adv_1025010_048.m4a|必要なものは接着剤と、それを塗るためのヘラに、固定するためのものも必要ですね。あと他にも～……
vo_adv_1025010_049.m4a|詳しいね、ですか？えへへ。よく欠けたお皿とか直してましたから。
vo_adv_1025010_050.m4a|壊れたものの修理は慣れているんですよ。ふふっ、見直しましたか？
vo_adv_1025010_051.m4a|……壊しているのも自分、なのが目下の問題ですけどね。
vo_adv_1025010_052.m4a|これで道具はそろいましたね。では、修理を始めましょうか。
vo_adv_1025010_053.m4a|見るからに大変そうですけど、ものすごく根気のいるパズルって考えれば、きっと何とかなりますよね！
vo_adv_1025010_054.m4a|お嬢さま……お嬢さまからいただいた、思い出。かならず元に戻してみせます……！
vo_adv_1025010_055.m4a|それでは、まずは一つ一つ、噛み合う破片を探していきましょう。
vo_adv_1025010_056.m4a|えっと、まずは大きめの破片から……これとか合いそう……うん、やっぱり。
vo_adv_1025010_057.m4a|見てください、ぴったり合いました！よ～っし、この調子この調子♪
vo_adv_1025010_058.m4a|じゃあ次はこの辺りを一気に～ひゃわっ！？あ～……ヒビが入っていたんでしょうか……さらに細かく割れちゃいました……
vo_adv_1025010_059.m4a|やっぱり、私には……
vo_adv_1025010_060.m4a|今までのドジを……？この程度の失敗、大したことない。そういうことですか……！？
vo_adv_1025010_061.m4a|そう、そうです……！今まで私が繰り広げていたドジを思い出せば、こんな些細なこと、どうでもよくなりますよね！
vo_adv_1025010_062.m4a|ありがとうございます！私、めげません！
vo_adv_1025010_063.m4a|前向きにいきますよ～っ！
vo_adv_1025010_064.m4a|あ、そろそろお腹が減りませんか？ずっと集中しているとお腹がキュウキュウ鳴っちゃいますよね～
vo_adv_1025010_065.m4a|実はお昼ごはん、作ってあるんですよ。安心してください、今日は爆発しませんでしたから♪今ご用意しますね。
vo_adv_1025010_066.m4a|じゃ～んっ♪作業しながらでも食べられる、サンドウィッチです。
vo_adv_1025010_067.m4a|あれ？　今手が離せないんですか？じゃあ……私が食べさせて差し上げますね。
vo_adv_1025010_068.m4a|はい、あーん、です。
vo_adv_1025010_069.m4a|えへへっ、メイドのお手製サンドウィッチのお味はいかがですか……♪
vo_adv_1025010_070.m4a|よかった。お嬢さまもよくお仕事で手が離せなかったりするので、こうした軽食はたまにお作りするんですよ。
vo_adv_1025010_071.m4a|あ～んは……初めてですけど。
vo_adv_1025010_072.m4a|な、なんででしょう。このかたが相手だと、妙に大胆になってしまうというか、お世話をしすぎてしまうというか……！
vo_adv_1025010_073.m4a|お世話のし甲斐があって……なんか……楽しい、かも。
vo_adv_1025010_074.m4a|って何を考えてるんですか私！さぁ、作業に戻りましょう！
vo_adv_1025010_075.m4a|時間はかかっちゃいましたけど、だいぶ元の形になってきましたね……！
vo_adv_1025010_076.m4a|これをちゃんと修理できたら……サレンディア救護院のみんなに、……お嬢さまに、ちゃんと謝ろう。
vo_adv_1025010_077.m4a|……勝手に出ていったりしてごめんなさいって。
vo_adv_1025010_078.m4a|よし、スズメ、あとひと踏ん張りします！って、ひょわぁぁっ！？
vo_adv_1025010_079.m4a|危ない危ない。破片をぶちまけちゃうところでした。え、えへへ……油断大敵、ですね。
vo_adv_1025010_080.m4a|あっ、この破片……あなたの持ってるものと合いそうですね。ふふっ、くっつけちゃいましょう♪
vo_adv_1025010_081.m4a|よし、またはまりました！あともう一息です！
vo_adv_1025010_082.m4a|やってみればできるものですね。私一人じゃ絶対に無理だったと思いますけど。
vo_adv_1025010_083.m4a|私がやらかしそうなとき、すぐにフォローしてくれて……思い返してみると私、本当にいつも、あなたに迷惑をかけちゃってますね。
vo_adv_1025010_084.m4a|このご恩はいつか、ちゃんとお返ししますから。期待しててくださいね……♪
vo_adv_1025010_085.m4a|……やった、ちゃんとはまりました！これで、あとはこの欠けた部分だけです！
vo_adv_1025010_086.m4a|……あれ？
vo_adv_1025010_087.m4a|割れた破片って、もうありませんでしたか？
vo_adv_1025010_088.m4a|これで……全部。そう、ですか……
vo_adv_1025010_089.m4a|破片……足りませんね……
vo_adv_1025010_090.m4a|私が割っちゃったとき、どこかに飛んでいっちゃったんですかね……救護院にまだあるでしょうか……
vo_adv_1025010_091.m4a|え、えへへ。すみません。ここまで手伝ってもらったのに。
vo_adv_1025010_092.m4a|……元通りにはできないみたいです。
vo_adv_1025010_093.m4a|やっぱり、一度壊れてしまったものは、完全に元には戻せないんですよね。
vo_adv_1025010_094.m4a|だから、大切にするんですよね。壊さないように、壊れないように。壊してしまったら……悲しいから。
vo_adv_1025010_095.m4a|……はい、平気ですっ。もともと自分の責任でしたし、ここまで元には戻せたわけですから。
vo_adv_1025010_096.m4a|本当にありがとうございます。こんなに頑張れたのは、あなたのおかげです。
vo_adv_1025010_097.m4a|あ、私ちょっと、外の空気を吸ってきますね。いっぱい集中して、疲れちゃいました。
vo_adv_1025010_098.m4a|…………
vo_adv_1025011_000.m4a|お嬢さま……
vo_adv_1025011_009.m4a|…………
vo_adv_1025011_010.m4a|ひゃ……！？ビックリしました……わ、私がここにいるってよく分かりましたね？
vo_adv_1025011_011.m4a|まぁ……分かっちゃいますよね。
vo_adv_1025011_012.m4a|……やっぱり、戻れません。いいんです、クルミちゃんやアヤネちゃん、救護院の子どもたちも、立派になりましたし。
vo_adv_1025011_013.m4a|私なんかもう、いらな……ってええぇっ！？ま、眩しいっ！？なんですかっ、光る系のドジ踏んじゃいましたか～～～！？
vo_adv_1025011_086.m4a|お嬢、さま……
vo_adv_1025011_087.m4a|あ……あれ……っ？どうして私、寝て……？ここは……【美食殿】のギルドハウス？
vo_adv_1025011_088.m4a|もしかして私、またなにかで転んで、気を失っちゃったとか！？
vo_adv_1025011_089.m4a|{player}さんがここまで運んでくれたんですかね……
vo_adv_1025011_090.m4a|あのー！{player}さーん？
vo_adv_1025011_091.m4a|……いない？どこかに、行っちゃったんでしょうか……
vo_adv_1025012_000.m4a|ふんふふ～ん♪お掃除お掃除、ぴっかぴか～♪
vo_adv_1025012_001.m4a|ようやくこのギルドハウスの構造にも慣れてきました。ドジしちゃうのも一日５回くらいに減ってきましたし、この調子で頑張りましょう～♪
vo_adv_1025012_002.m4a|……そうですよ。頑張って働かなきゃ、生きてはいけません！
vo_adv_1025012_003.m4a|このまま【美食殿】のみなさんに甘えているわけにはいきませんからね。仕事も見つけないと……！
vo_adv_1025012_004.m4a|サレンディア救護院には、もう戻れませんからね……
vo_adv_1025012_005.m4a|ひゃわぁっ！？何ですかいきなりっ！？窓を割っちゃうところだったじゃないですかぁっ！
vo_adv_1025012_006.m4a|え？　なんですか、この紙きれ……これ……求人票ですか？
vo_adv_1025012_007.m4a|えっと、使用人募集……あっ、もしかして私のために見つけてきてくれたんですか！？
vo_adv_1025012_008.m4a|仕事を見つけなきゃって思ったのはついさっきなのに、伝わっちゃうものなんですね～♪
vo_adv_1025012_009.m4a|それで、これはどこの……うん？
vo_adv_1025012_010.m4a|……サレンディア、救護院……？
vo_adv_1025012_011.m4a|メイドの募集……掃除に洗濯、食事の用意……部屋に空きがあるので、住み込みも可……
vo_adv_1025012_012.m4a|……これって。
vo_adv_1025012_013.m4a|つまり、私の代わり……ですよね。
vo_adv_1025012_014.m4a|そ、そうですよね。私が勝手に飛び出しちゃって、大変なはずですし……人手が足りなくなっちゃったんですよね。
vo_adv_1025012_015.m4a|……そっかお嬢さま……新しいメイドを……
vo_adv_1025012_016.m4a|も、もちろんですよ～！サレンディア救護院はいいところですし、応募が殺到するに違いありません！
vo_adv_1025012_017.m4a|お嬢さまにお仕えするのだって、もっと優秀でふさわしい人がいるはずですからね！こんなドジばかりのダメメイドじゃなくて。
vo_adv_1025012_018.m4a|もちろんですよ～……本心に、決まってるじゃないですか……
vo_adv_1025012_019.m4a|正直にって言われても……私、本当にダメな子ですから……
vo_adv_1025012_020.m4a|…………
vo_adv_1025012_021.m4a|……うぅ……
vo_adv_1025012_022.m4a|……嫌です……
vo_adv_1025012_023.m4a|私……やっぱり嫌です！
vo_adv_1025012_024.m4a|サレンディア救護院は、私の居場所です！
vo_adv_1025012_025.m4a|お嬢さまにお仕えするのは、私じゃないと……嫌です！
vo_adv_1025012_026.m4a|で、でも……どうしよう。勝手に飛び出して、今更のこのこと顔を出すなんて……
vo_adv_1025012_027.m4a|……この、募集を……？
vo_adv_1025012_028.m4a|確かに、そうですね……採用にあたり、軽くテストをするって書いてありますし。
vo_adv_1025012_029.m4a|そこでちゃんとしてる私を見せて、今までのこと、心からちゃんと謝るんです……！
vo_adv_1025012_030.m4a|行きましょう！他の人に決まってしまう前に……！
vo_adv_1025012_031.m4a|……つ、着きました、着いちゃいましたね。
vo_adv_1025012_032.m4a|ど、どうしましょう……感情のままに来ちゃいましたけど、テスト、するんですよね？　私、ドジらずにできるんですか？また無様なところを見せて、今度こそ呆れられてしまうのでは？
vo_adv_1025012_033.m4a|や、やっぱり、私～……
vo_adv_1025012_034.m4a|ええっ！？
vo_adv_1025012_035.m4a|あわわ、入っていっちゃいました……！？私も行くしか……っ！
vo_adv_1025012_037.m4a|あ……お嬢、さま……
vo_adv_1025012_039.m4a|はっ、はい……！
vo_adv_1025012_040.m4a|お嬢さま……やっぱり、怒ってらっしゃいますよね……
vo_adv_1025012_042.m4a|わっ、分かりました……！しっかりと見ていてください……！
vo_adv_1025012_043.m4a|はいっ！
vo_adv_1025012_044.m4a|このかたも応援してくれてるんだから、絶対に失敗しちゃダメです！　ちゃんとした姿を見せて、『いらない子』なんかじゃないって、証明しなくちゃ……！
vo_adv_1025012_046.m4a|承知いたしました……！
vo_adv_1025012_047.m4a|大丈夫。慎重にやれば、いつもみたいに割ったり……
vo_adv_1025012_048.m4a|っ！あっ、危ない……お皿が飛び上がっちゃいましたけど、なんとか、掴めました……！
vo_adv_1025012_050.m4a|はい……！
vo_adv_1025012_051.m4a|いつもだったらモップを使ってるときに窓を割っちゃったり、雑巾がけの最中に勢いあまって壁に突っ込んじゃったりしますけど……
vo_adv_1025012_052.m4a|ごし、ごし……♪丁寧に、丁寧に、きれいになってくださいね～♪
vo_adv_1025012_054.m4a|は、はい……っ！
vo_adv_1025012_055.m4a|やったぁ、今日は全然失敗しませんでした！これなら……♪
vo_adv_1025012_056.m4a|お待たせしました～スズメ特製のアイスティーで──
vo_adv_1025012_057.m4a|あっ！
vo_adv_1025012_059.m4a|あ……あ……も、申し訳ありません、お嬢さま……！スズメは、スズメは……！
vo_adv_1025012_061.m4a|…………
vo_adv_1025012_063.m4a|あ、うぅ……本当に、何と言っていいか……申し訳ありません……すぐに、出ていきますので……
vo_adv_1025012_065.m4a|へ？いや、でも……
vo_adv_1025012_068.m4a|でも、私なんかじゃ……他にもっといいメイドさんが来るかもしれませんよ？
vo_adv_1025012_070.m4a|……はい？
vo_adv_1025012_072.m4a|え……？……だって、これはこのかたが……
vo_adv_1025012_073.m4a|黙ってて……えぇぇっ！？知ってたんですか！？
vo_adv_1025012_075.m4a|そ……そう、だったんですか……てっきり私、お嬢さまに見放されてしまったのかと……
vo_adv_1025012_077.m4a|……それは……
vo_adv_1025012_081.m4a|お、お嬢さま……私……私……っ！お嬢さまぁ～～～～～～～～～～ひゃあっ！？
vo_adv_1025012_083.m4a|うぅ、お嬢さま、お嬢さま～……！
vo_adv_1025012_084.m4a|申し訳ありません……これ……お嬢さまから頂いた置物、元通りにできませんでした……
vo_adv_1025012_087.m4a|……え？足りなかった破片……お嬢さまが持っていらしたんですか……！？
vo_adv_1025012_088.m4a|で、でもどうして……！
vo_adv_1025012_090.m4a|！
vo_adv_1025012_094.m4a|お嬢さま……
vo_adv_1025012_096.m4a|あ、あはは……お嬢さまには、敵いませんね。
vo_adv_1025012_098.m4a|はい！スズメ、ただいま戻りました──お嬢さま。
vo_adv_1025012_100.m4a|はい？なんでしょうお嬢さま、そんな改まって……
vo_adv_1025012_102.m4a|はい。
vo_adv_1025012_104.m4a|ふぇっ！？い、いいええっ！　そそっ、そんなことありませんよぅっ！？
vo_adv_1025012_106.m4a|お嬢さまぁ～～～っ！？
vo_adv_1025012_108.m4a|ひぃっ、お嬢さま……もしかして、思った以上に怒っていらっしゃいますか……？
vo_adv_1025012_112.m4a|すみませんでした！本当にっ、申し訳ありませんでした～！だからおやめください、あまりいじめないでください～！
vo_adv_1025012_113.m4a|というか、お嬢さまがなぜそれを！？
vo_adv_1025012_115.m4a|もしかしてお嬢さま、私を心配して見に来てくださっていたんですか！？ランドソルまで結構遠いのに……！
vo_adv_1025012_117.m4a|はいっ、お嬢さま♪
vo_adv_1025012_118.m4a|あの、お世話になりました……！
vo_adv_1025012_119.m4a|このご恩は必ずお返ししますので！頂いたご恩には奉公で返すのがメイドの流儀……ですけど。
vo_adv_1025012_120.m4a|メイドとしてじゃなくても。たくさん、あなたにはいろんなものをいただいていますから。
vo_adv_1025012_121.m4a|一人の女の子、スズメとして……いつか、お礼をさせてくださいね♪
vo_adv_1025012_122.m4a|わひゃあんっ！？
vo_adv_1025012_124.m4a|申し訳ありませんお嬢さま～～～っ！
vo_adv_1025012_126.m4a|えっ！？そ、そんなことは！……あります……
vo_adv_1025012_128.m4a|なんというか、頑張ろうって思うと、気が付いたら転んでるというか……
vo_adv_1025012_130.m4a|わぁんっ、見捨てないでくださいませ、サレンお嬢さま～っ！
vo_adv_1025012_132.m4a|私、頑張りますから！今までのドジを思い出せば、こんなの大したことありません！
vo_adv_1025012_134.m4a|よ～っし！お嬢さま、見ていてくださいね！スズメ、張り切っていっきま～っす♪
vo_adv_1211001_110.m4a|お見舞いに来ました！このお花、花瓶に……って、あわわっ！？ごめんなさい、花瓶、割っちゃいました～！？
vo_adv_2109003_028.m4a|はい！遅くなってすみません、みなさん！
vo_adv_2109003_031.m4a|そ、そうです！迎撃トラップの操作は……えっとえっと！こうでしたっけ！？
vo_adv_2109003_035.m4a|わわわっ！すみません～～っ！！？
vo_adv_2109003_045.m4a|サレンお嬢さまっ♪
vo_adv_2109003_054.m4a|そ、それに……魔物さんたちのキズが、塞がって……！
vo_adv_2109003_058.m4a|サレンお嬢さま！逃げてくださいーっ！！
vo_adv_2109005_002.m4a|プリンセスナイトって、確か……
vo_adv_2109008_039.m4a|きっと大丈夫ですよ。{player}さんがついてるんですから！
vo_adv_2109011_006.m4a|そ、そうですよ！{player}さんたちも、きっと……！
vo_adv_2109011_008.m4a|でもっ……王宮のほうから、すごい魔力の波動がっ……これって……ユイさん……？……ううん。似てるけど、違う……？
vo_adv_5068003_095.m4a|きゃ～！サレンお嬢さま、助けてくださ～い！
vo_adv_5068003_098.m4a|今すぐ掃除したいんです～！　させてください～！
vo_adv_5068004_066.m4a|サレンお嬢さま～～！！助けてくださ～い！！
vo_adv_5068004_070.m4a|だから助けてくださいってば〜！
vo_adv_5084624_000.m4a|はぁ……あのかたがお目覚めにならないなんて、いったい何が起きてるんでしょう……
vo_adv_5084624_001.m4a|なんだか変な感じです。あのかたがいないだけで、こんなに寂しく感じるなんて。ずっと眠ってるだけ、ただ、それだけなのに……
vo_adv_5084624_002.m4a|……前にもこんなことがありましたよね。マルジェン海岸で私が失神していた隣で、あなたもぐっすり眠ってて。結局、……き、キスも人工呼吸もできないままでしたけど……
vo_adv_5084624_003.m4a|あの時みたいに、早く目を覚ましてくださいね。眠りっぱなしは体に毒ですよ。
vo_adv_5088000_002.m4a|なんでぷうきちが返事するんですか～任されたのは私ですよ～
vo_adv_5088000_005.m4a|本当ですか？私だけじゃ頼りないって言いたかったんじゃないですよね？
vo_adv_5088000_007.m4a|ぷうきち？　ぷうきち、聞こえてますか？
vo_adv_5088000_012.m4a|そんなぁ～
vo_adv_5088000_015.m4a|誰でしょう？　来客の予定はないはずですけど……は～い！　今行きま～す！
vo_adv_5088000_016.m4a|あら？　あなたは……
vo_adv_5088000_018.m4a|えっ？
vo_adv_5088000_030.m4a|そんなことありませんよ。ミサキちゃんはサレンお嬢さまを訪ねてきてくれた大切なお客様ですからね。
vo_adv_5088000_032.m4a|お客様の前でそんなこと言わないでくださいよ～
vo_adv_5088000_042.m4a|はい、お任せください。
vo_adv_5088000_045.m4a|ふふっ、みんなすっかりなかよしですね。私もお嬢さまのお話をしたいけど、ご飯の準備をしないと……きゃあ！？
vo_adv_5088000_047.m4a|え、えぇ。ちょっと転んじゃっただけなので、大丈夫ですよ。
vo_adv_5088000_054.m4a|もう遅いから今日は泊まっていってください。みんなで晩御飯を食べましょう。
vo_adv_5088000_055.m4a|あ、でも親御さんに連絡は取らないといけませんね。通信魔法で連絡を取っておきますね。
vo_adv_5088000_060.m4a|こんな時間に誰でしょう？……はっ！　まさかお嬢さまが忘れ物を！？待っていてくださいお嬢さま！
vo_adv_5088000_061.m4a|今開けますからもう少しだけお待ちください！って、あれ？　よく考えたらお嬢さまは鍵を持ってるから……じゃあ、誰が……
vo_adv_5088000_062.m4a|誰？　誰かいるんですか！？
vo_adv_5088000_063.m4a|……誰もいない？
vo_adv_5088000_072.m4a|さ、外は冷えますし、中に戻りましょう。
vo_adv_5088000_074.m4a|…………
vo_adv_5088000_076.m4a|な、なんでもありません。戻りましょっか。夕飯の支度も、まだ途中ですしね。ミサキちゃんが泊まるお部屋の支度もしませんと。
vo_adv_5088000_077.m4a|おかしいなぁ。確かに誰か居た気がするんですけど……
vo_adv_5088001_000.m4a|おかしいです……おかしいです！今日はミサキちゃんも来てくれたし気合を入れてスープを作ろうと思ったのに～！　お鍋が行方不明って、どういうことなんでしょう～！？
vo_adv_5088001_001.m4a|あわわ、他にもおたまにフライパンに、いつも使ってるはずのものがいくつも行方不明に……！まさか、私がうっかりどこかに落としちゃった……とか！？
vo_adv_5088001_002.m4a|仕方ありません！　使える道具をどうにか持ってきて……あれ？なんだか食料も、ずいぶんと減っているような……？
vo_adv_5088001_003.m4a|特にチーズや牛乳、牧場から分けてもらった、うちの子たちが大好きなものばかり……はっ……まさか誰かがつまみ食いを……？でもうちの子たちに限ってそんなこと……ないですよね。
