vo_adv_1163001_000.m4a|おまえ結局なにがしたいの？　と問われたら──
vo_adv_1163002_023.m4a|あー、夜はまずいんですよねー、保護者ＮＧ出てるんで。チエルが怒られるだけなら全然知ったこっちゃないんですけど、せんせーとかお嬢さま方に迷惑かかっちゃうのはちょっと……
vo_adv_1163002_024.m4a|そこで出たのがこの商品！ハイこちらどーん！後夜祭（夜じゃないバージョン）です！
vo_adv_1163002_026.m4a|語感！
vo_adv_1163002_027.m4a|ま、そーゆーわけなんで、チエルが言ってるのは、昔の後夜祭みたいなちゃんとした学校行事じゃなくて、ノリと勢いだけのシンプルなやつです。通称、復刻ライト版。
vo_adv_1163002_028.m4a|どうせいらない廃材燃やすんだったら、みんなで集まってソレ眺めながら適当に食べたり飲んだりきゃっきゃしちゃおーってノリです。
vo_adv_1163002_029.m4a|オリジナル版にはせんせーたちのありがたいスピーチとかあったらしいけど、尺の都合でその辺はカットです。くぅ～残念残念。
vo_adv_1163002_030.m4a|ま、そんなカンジでサクッと小一時間ぐらいの規模なら、父兄の方々ことうっせー外野にもご理解いただけるというか、まあぶっちゃけバレないじゃないですか。
vo_adv_1163002_032.m4a|でしょうね。なんで、その辺の人たちにはとりあえず内緒で。通称ゲリラ後夜祭。
vo_adv_1163002_035.m4a|めんどくさー……中間管理職って大変なんですね。
vo_adv_1163002_036.m4a|そっかぁ……分かりました。したらやっぱり、今の話聞かなかったことにしてください。ナシナシ、リセットぽちー
vo_adv_1163002_038.m4a|や、だって、いーんちょ協力してくんないんでしょ？
vo_adv_1163002_039.m4a|じゃあ仕方ないです。チエル一人で勝手に進めるんで、運営委員会は何も知らなかったって体でお願いします。
vo_adv_1163002_041.m4a|え、しちゃうんですか？
vo_adv_1163002_043.m4a|やだ困る。困りみ。
vo_adv_1163002_045.m4a|うーん……でもなー、たぶん楽しいですよ？てゆか、ぜったい楽しいですよ？
vo_adv_1163002_047.m4a|でしょお！？いーんちょも絶対参加してくださいね！
vo_adv_1163002_049.m4a|ええー？　そうですかあ？もうこんだけ話してんだから友達じゃないですか。
vo_adv_1163002_051.m4a|はい。秘密の共有は何よりも関係を深めるって言います。共犯者と書いて「ともだち」と読むんです。
vo_adv_1163002_054.m4a|え？　なんて？
vo_adv_1163002_056.m4a|よく言われがち！
vo_adv_1163002_060.m4a|いーんちょ、ありがとう！　感謝メガ盛りです！
vo_adv_1163002_062.m4a|充分です！あとのことはチエルにお任せ！　ちぇる～ん☆
vo_adv_1163002_063.m4a|あでも、バレちゃったときは友達として擁護してくださいね。
vo_adv_1163002_065.m4a|またまたぁ～！あ、それじゃチエル急いで準備進めるんで、また後夜祭で～！
vo_adv_1163002_067.m4a|よぉーし！　これで会場、大確保！
vo_adv_1163002_068.m4a|次はえーっと……ケータリングですかね。通称、お菓子と飲み物。
vo_adv_1163002_069.m4a|あ、丁度いいとこに使いっぱ、じゃなくてミィコさんたち大発見！
vo_adv_1163002_073.m4a|ユニ子先輩とクロ子先輩は、いま戦後処理に追われ系のやつです。てゆかなかよし部、地味に四人目いるんですけどご存知か？
vo_adv_1163002_076.m4a|{player}先輩、どういうことですか。女子校で唯一の男子が背景に溶け込むって相当ですよ。
vo_adv_1163002_081.m4a|恋多き女で知られるミィコさんは、過去に一瞬だけラブい想いを寄せた行きずりの男の顔など、とうに忘れておられるのです。通称、女の恋は上書き保存。
vo_adv_1163002_084.m4a|ですよね！さすがねえさん方、話がマッハ！そうじゃないかと思ってました！
vo_adv_1163002_085.m4a|いや、実はですね──
vo_adv_1163002_087.m4a|さあ、どうなんですかねえ。でも、とりあえず思いついちゃったんで、やれるだけやってみようかなあって。
vo_adv_1163002_090.m4a|ハイ！　ノリと勢いだけで突っ走れるのが若さの特権です！考える前にとりあえず動く！失敗したらしたで、それもまた青春！　どう転んでも結果青春！
vo_adv_1163002_094.m4a|ほんとですかパカリ子さん！やったあ、やっぱり持つべきは使い勝手のいい先輩方ですね！
vo_adv_1163002_096.m4a|さて、これで会場と物資はひとまずＯＫ！あとは──
vo_adv_1163002_097.m4a|──うん、いちばん大事な「参加者」ですね。いざ後夜祭が無事スタートってなっても、みんなもう帰っちゃいましたじゃお祭りにならないですもんね。
vo_adv_1163002_098.m4a|というわけで、次は全校生徒に声をかけて回ります。
vo_adv_1163002_099.m4a|放送部の拡声魔道具とか借りれば手っ取り早いんですけど、せんせーとか生徒会にバレるとアレなんで、ここは足を使って地道に一人一人当たっていきましょう。
vo_adv_1163002_100.m4a|とはいえ、撤収作業が終わったらみんな帰っちゃいます。あんまりゆっくりはしてられませんね。
vo_adv_1163002_101.m4a|おお、先輩が頼もしい！
vo_adv_1163002_102.m4a|え、でも待って、乙女の園をルー学男子先輩が単独徘徊？しかもうら若き女生徒を後夜祭に誘って回る？ソレって軽く事案じゃないですかね？　大丈夫ですか？
vo_adv_1163002_103.m4a|なるほど、全校生徒にあまねくその信頼を轟かすなかよし部の絶対的センターちえるんの名前があれば──
vo_adv_1163002_104.m4a|──え、そうですかね？チエル、校内でそこそこ知名度高い自覚はありますけど、良い意味でも悪い意味でも的なところ若干あると思いますよ？
vo_adv_1163002_105.m4a|えっ……
vo_adv_1163002_106.m4a|……そう、ですか？そうかな……ほんとに？　そう思います？クセ強めでわりと好みの分かれるキャラでやらせてもらってますけども。
vo_adv_1163002_107.m4a|…………！
vo_adv_1163002_108.m4a|…………告白？
vo_adv_1163002_109.m4a|や、いいんですいいんです。告白の意味が分からなければそれでいいんです。僕もケーキ大好き～ぐらいの感覚で言ったんですよねハイ。
vo_adv_1163002_110.m4a|えっと、そしたらとにかく、今は先輩の信じるチエルを信じます！チエルの名前を出してもらって、後夜祭の参加者をじゃんじゃん集めてきてください！
vo_adv_1163002_111.m4a|チエルはこのまま校舎の中を回るんで、{player}先輩は校庭の方をお願いしますね！
vo_adv_1163002_112.m4a|それじゃっ！
vo_adv_1163002_113.m4a|はァーびっくりした……突然なーに言いだすんだろ、あの人……ホントああいうトコだよね。天然ってこわぁ。
vo_adv_1163002_114.m4a|ふーん、そうなんだ……好かれてるんだ、私……
vo_adv_1163002_115.m4a|……ふふ、きもっ。
vo_adv_1163003_000.m4a|ほんと？　来てくれる？やったあ、いぇーい！じゃあソレ片付いたらグラウンドに集合ね〜！
vo_adv_1163003_001.m4a|よしよし、今んとこ出席率100パーやっぱ普段はしゃなりしゃなりしてる子たちも、まだまだ今日を続けたがってたんだね。わかりみですよ。
vo_adv_1163003_002.m4a|それじゃあ次は……よし、あの子に声かけよっと。
vo_adv_1163003_003.m4a|ちぇる〜ん☆撤収作業おつかれ子ちゃんです！ねぇねぇ、今ちょっといーい？
vo_adv_1163003_005.m4a|あ、ステージでＭＣやってた進行ちゃん。
vo_adv_1163003_007.m4a|ライブは生ものだからねー予期せぬハプニングこそ醍醐味っていうか？まあ進行ちゃんも今後のいい勉強になってＷＩＮーＷＩＮだよね！
vo_adv_1163003_010.m4a|えへへ、ごめんちゃい！あの後だいじょぶだった？うちら勝手にあんなことしちゃって、怒られ発生しなかった？
vo_adv_1163003_012.m4a|うーんとねえ、じゃあ素敵なパーティーに大招待！なんと、このあと実は、生徒会に内緒で後夜祭を開催んぐ！
vo_adv_1163003_014.m4a|「きよらか」とか「きよらかない」とかは関係ありません。すでに戦いは終わったのです。昨日のちぇるは今日のちぇる。武器を捨て、平和のためにちぇるちぇるしましょう。
vo_adv_1163003_017.m4a|はい、ちぇるの子一匹のがさず捕まえてきてください。あっ……あと、ついでにもう１コご相談なんですけどお。
vo_adv_1163003_018.m4a|そこにあるフルーツって、ひょっとして余り物だったりします？
vo_adv_1163003_020.m4a|ええ〜？そんなそんな、悪いですよ〜！そおですかあ？　それじゃあお言葉に甘えて！
vo_adv_1163003_022.m4a|１個？
vo_adv_1163003_024.m4a|むしろ全部くれです。
vo_adv_1163003_026.m4a|や、それがあれば、みんなで燃え盛る火を眺めるだけの怪しい奇祭が、たちまち豪華な立食パーティーにグレードアップするじゃないですか。
vo_adv_1163003_028.m4a|わあい！　ありがちぇるございまーす！
vo_adv_1163003_029.m4a|で、あと他に大量の食品ロス問題を抱えてる、売り上げショボ子ちゃんな模擬店ないですかね？
vo_adv_1163003_031.m4a|あむっ……クレープおいし。
vo_adv_1163003_032.m4a|さてと、とりあえず校舎は全部まわれたかな。
vo_adv_1163003_033.m4a|あとは校庭の方だけど……{player}先輩、ちゃんとやってるかな。
vo_adv_1163003_034.m4a|まあ、サボるような人ではないけど……
vo_adv_1163003_035.m4a|てゆか、手伝ってくれてまじ助かってるけど……
vo_adv_1163003_036.m4a|てゆか、ふつーにいい人……
vo_adv_1163003_037.m4a|あ、先輩。珍しくほんのりドヤ顔ですね。ってことは……？
vo_adv_1163003_038.m4a|おぉー！　流石ですね。ま、先輩がというよりは、チエルの功名あっての賜物でしょうけど。ぶははは！
vo_adv_1163003_039.m4a|え？　ああ、ユニ＆クロエのお二人にも会ったんですね。後夜祭のこと話したら、なんて言ってました？
vo_adv_1163003_040.m4a|ふふん、陳腐なコメントですね。知ったような口を。まだまだチエルは底が見えない系乙女だとも知らずに。
vo_adv_1163003_041.m4a|ま、そんなことはさておき、先輩ご苦労さまでした。えらいえらい、おつかれ子ちゃんです。ご褒美に超絶美少女の笑顔をあげますね、にっこり。
vo_adv_1163003_042.m4a|いや見ろよ。なんで美少女の笑顔ガン無視で、美少女が持ってるクレープの方に視線釘付けなんですか。なに指くわえて物欲しげアピールしてるんですか。
vo_adv_1163003_043.m4a|ちょっ……ダメですよ、離れて離れて！これチエルがもらったんですから。そんな仔犬みたいな目ぇしたってダメです。
vo_adv_1163003_044.m4a|ああ、もう……分かりましたよ、一口だけですからね。はい。
vo_adv_1163003_047.m4a|ハ？突然現れてなーに小等部男子みたいなこと言ってんのミィコさん。
vo_adv_1163003_049.m4a|え、どこがです？いまクレープ巡って血で血を洗う大抗争勃発でしたけど。
vo_adv_1163003_051.m4a|ないですよ。ちぇるの毛ほどもないですよ。冤罪もいいとこです、むしろ名誉棄損です。
vo_adv_1163003_054.m4a|ハ？　ウケる。ミィコさん、まじでオトコ見る目なくないすか。この先輩、中身の良さが表に出てないだけなんですけど。
vo_adv_1163003_057.m4a|付き合ってませんー！ぜんぜんイラッとしてませんー！
vo_adv_1163003_058.m4a|そんなことより、ミィコさん買い出し行ってくれたんじゃなかったんです？
vo_adv_1163003_060.m4a|いいんです、何でもないですってば。ほら、もう行きますよ。クレープ全部あげますから。
vo_adv_1163003_062.m4a|みんな、そういう話が好きだなあ。青春ってそれだけじゃないと思うんだ。
vo_adv_1163003_064.m4a|展示って……ああ、お化け屋敷だっけ？え、いいの？　撤収作業は？
vo_adv_1163003_066.m4a|彼氏さんじゃないけど、先輩どうします？
vo_adv_1163003_067.m4a|同じく！
vo_adv_1163003_068.m4a|だってうちら「なかよし部を守るぞー」の方に全身全霊全チエルで、アトラクション系の展示なんか見て回る余裕、なかったですもんね。広く浅くが信条のチエルとしては、それだけが心残りでしたよ。
vo_adv_1163003_070.m4a|あ、ちなみにチエル、この手のやつ結構強いタイプの美少女だよ。絶対「きゃー」とか「ぎゃー」とかは言わないと思うから、そこは最初に謝っとくね？　張り合いのないお客でごめんちゃい！
vo_adv_1163003_072.m4a|──なーんて言ってましたけど。どうなんでしょうねえ、うちの学校のメルヘンなお嬢さんたちがこしらえた「恐怖」って。
vo_adv_1163003_073.m4a|たぶん病みカワ系のゆるキャラみたいな原色モンスター出てきて、「がおー食べちゃうぞー」みたいな？のどかで微笑ましい時間が流れるんじゃないですかねえ。
vo_adv_1163003_079.m4a|あ、あれ？なんか造形とか描き込み、思ったよりちゃんとしてますね。もっと手作り感丸出しな張りぼてみたいの想定してたんですけど……
vo_adv_1163003_080.m4a|光とか音の使い方も、やけにカンジ出てますよね……こう、無駄に不安を煽られるというか……いつ、何が、どこから出てくるか分かんない絶妙な空間演出──
vo_adv_1163003_081.m4a|ひいッ……！？
vo_adv_1163003_082.m4a|ちょっ……！ハァ！？　なに今の……こわ！　こわあっ！
vo_adv_1163003_083.m4a|え、うそ待って、思ったより全然本格的……そうなの？　聞いてないけど！？　コレってそんなガチ系の……
vo_adv_1163003_084.m4a|きゃああああぁぁぁ！
vo_adv_1163003_085.m4a|あ……あっ、あああ……！そうだ、そうだった！　すっかり忘れてた！
vo_adv_1163003_086.m4a|こ、ここって「きよらか」の展示だから……ほんとは作ったのあの子たちじゃなくて、通称プロの犯行……
vo_adv_1163003_087.m4a|つまり二重の意味で「ゴーストの館」ですよ！
vo_adv_1163003_088.m4a|いやあああああ！
vo_adv_1163003_089.m4a|や、ややや、待って待って、ちょっと待って！お願い、一旦ストップ！　無し無し、これもう無しです！正直なめてました、心の準備してなかっ──
vo_adv_1163003_090.m4a|んぎゃああぁぁーーーーー！！
vo_adv_1163003_091.m4a|ひぎぃぃぃぃぃーーーーー！！
vo_adv_1163003_092.m4a|いやァー！　もおォー！ちょっと待ってって言ってんでしょお！？ギブですギブ！　降参！　助けて！　お願い！　やめて！
vo_adv_1163003_093.m4a|いやそんなこと言われたって……！
vo_adv_1163003_094.m4a|……だって……恐いんだもん。
vo_adv_1163003_095.m4a|…………
vo_adv_1163003_096.m4a|……あ、はい。
vo_adv_1163003_097.m4a|ありがとうございます……
vo_adv_1163003_098.m4a|何だろう、今の。
vo_adv_1163003_099.m4a|今の感じ、なんていうか……なんか……なんかだ……
vo_adv_1163003_100.m4a|あんまり唐突に変なこと言わないでほしい。びっくりして、ベタな台詞にツッコミも入れられなかった。
vo_adv_1163003_101.m4a|ミィコさんが変なこと言うからだ。うっかり真顔でハイとか言ってしまった。謎にお礼まで言ってしまった。
vo_adv_1163003_102.m4a|これはきっと吊り橋効果ってやつだ。こんなときにあんなことを言われたら、流石の私もちょっとキュンが来てしまう。
vo_adv_1163003_103.m4a|ずるい。これは違う。こんなのはノーカンだ。
vo_adv_1163003_104.m4a|でも、いま私はこの人にぴったりくっついちゃってて。だけど、ぜんぜん嫌な感じはしなくて。
vo_adv_1163003_105.m4a|もしかして、これがみんなの言う青春の──
vo_adv_1163003_106.m4a|ぞわああああああぁぁーーーーー！！
vo_adv_1163004_001.m4a|はーい、ありがとうございまーす！
vo_adv_1163004_002.m4a|いやあ、みんなのお陰で、思ったよりちゃんとした後夜祭になりそうですね。
vo_adv_1163004_003.m4a|さてさて、ユニ＆クロエのお二人がまだですけど、せっかく集まってくれたみんなを待たせるのもアレですよね。とりあえず先に始めてましょ──
vo_adv_1163004_004.m4a|──へ？ちょっと先輩、やめてください。なんですかこの光。
vo_adv_1163004_005.m4a|あれ？　あれ？待って待って！　どんどんおっきくなってる……！あッ！　なんかコレ、微妙に覚えがあるようなないような──
vo_adv_1163004_064.m4a|んん……マホちゃんやめて……くるりんぱはもうやめて……
vo_adv_1163004_067.m4a|んん……えっ？　あっうそ、私寝ちゃってた！？
vo_adv_1163004_068.m4a|ああ先輩も！　ほら起きてください！そしてユニ＆クロエのお二人を呼んできてください！
vo_adv_1163004_069.m4a|お願いします、こっちはチエルが始めときますので！
vo_adv_1163004_070.m4a|はーい、それじゃあ皆さんお待たせしました！只今より、後夜祭（夜じゃないバージョン）を始めます！
vo_adv_1163004_071.m4a|要するに、ただの食べたり飲んだり騒いだりです！形なんて何でもいいんです！みんなでだらだらと聖学祭を引き延ばしましょう！
vo_adv_1163004_072.m4a|では、この言葉をもって、乾杯に代えさせていただきます。よろしいですか？全員でご唱和お願いいたしますよ？　せぇーのっ！
vo_adv_1163004_073.m4a|ちぇる〜ん！！
vo_adv_1163004_074.m4a|思い出を作り続けたいと思うんだ。
vo_adv_1163004_075.m4a|青春のキラキラをいっぱい綴じた、眩しいぐらいのアルバムを作りたいと思うんだ。
vo_adv_1163004_076.m4a|だから私は、今日も全力で駆けぬける。大事なのはノリと勢いとちぇるーんなんだ。
vo_adv_5064000_018.m4a|え、待って待って、そんなことより！今この辺でクセ強めの電波キャラみたいな悲鳴聞こえませんでした！？誰かまだ見ぬ新感覚美少女が怪我でもしたんじゃないです？
vo_adv_5064000_020.m4a|そうですかねぇ、それならいいんですけど……あ、{player}先輩いつの間に。丁度よかった、チエルのとこ手伝ってください。こっちです。
vo_adv_5064000_023.m4a|休憩時間でぇ～っす！　ちぇるーん☆
vo_adv_5064000_029.m4a|それが聖学祭、通称テレフェス。まあチエルはもぎたてフレッシュの一年生ちゃんなんで、参加するのは今年が初めてなんですけどね。
vo_adv_5064000_031.m4a|あ、はーい、後やっときまーす！ミィコさん適当にあがっちゃってくださーい！
vo_adv_5064000_036.m4a|まあまあ、クロエ先輩。たしかになかよし部って水面の白鳥みたいなところありますからね。表に見える優雅な印象ばかり先行してるのは仕方なし子ちゃんですよ。
vo_adv_5064000_039.m4a|どうせこの先輩、うちらが本気出すのは奨学金が絡んだときだけとか思ってたんですよ。
vo_adv_5064000_045.m4a|ルー学男子先輩ならそのうち来ると思いまーす！
vo_adv_5064000_049.m4a|え？
vo_adv_5064000_056.m4a|チエルはまだ青春まっ只中だからきゃっきゃできますけど。せんせー、きゃっきゃした方がいいです？
vo_adv_5064000_065.m4a|言うだけ言って逃げた……てかマザヒルちゃん、最近ちょっとキャラ変わってきてません？
vo_adv_5064000_069.m4a|てへちぇるっ☆
vo_adv_5064000_071.m4a|そうですね。その名も高きなかよし部ですね。
vo_adv_5064000_075.m4a|生徒会？え、うちのガッコ、そーゆーのありましたっけ？
vo_adv_5064000_078.m4a|え、で、その生徒会ちゃんが、その名も高きなかよし部に何かご用です？
vo_adv_5064000_080.m4a|うちの部に？えっ、なんだろなんだろ、予算アップ？　部室のリフォーム？あ～ッ！　もしかして、なかよし部の公式ファンクラブ大発足ぅ～？
vo_adv_5064000_082.m4a|は？
vo_adv_5064000_087.m4a|なかよし部が廃部って、どぉ～ゆうことですかッ！
vo_adv_5064000_100.m4a|てかまず、なんで正義対悪みたいな構図になってるんですかね。なかよし部、わりと学院の危機とか救っちゃう系部活なんですけど。
vo_adv_5064000_109.m4a|奥でひたすら書き仕事してる、あの真っ白い制服着た不愛想ちゃんですかね。
vo_adv_5064000_115.m4a|クロエ先輩は一年の頃からぼっちでおられたのか？
vo_adv_5064000_120.m4a|そうですよ！今はチエルたちが鼻息荒めの話をしてるんです！なに白々しく無視アピールしてるんですか、くきーっ！
vo_adv_5064000_122.m4a|あ、そうなんですか？
vo_adv_5064000_123.m4a|じゃなくて、そーだそーだ！なかよし部が廃部ってどーゆーことだ、せつめーしろ！
vo_adv_5064000_126.m4a|こらーっ、人と話をするときはちゃんと相手の目を見なさい！そんな書き物しながら仕事の片手間みたいに──
vo_adv_5064000_127.m4a|──えっ？　なかよし部は存在しない？
vo_adv_5064000_131.m4a|提出されてない。
vo_adv_5064000_133.m4a|ああ！言われてみれば、アッハ、ホントだ出してな～い！
vo_adv_5064000_137.m4a|そうですね。なかよし部は永遠に不滅ですね。
vo_adv_5064000_139.m4a|いやあ、ひどいドッキリでしたねぇ。部活じゃないのに廃部だなんて、チエルおかしいと思ったんですよ。
vo_adv_5064000_148.m4a|解散オア退学！？何それひどい！　断固反対なんですけど！
vo_adv_5064000_150.m4a|ぐ、ぐぬぬ……この聞く耳なし子ちゃんめ……
vo_adv_5064000_163.m4a|まるで「ここまでのあらすじ」みたいでしたね。進行台本がっつりそのまま読んじゃうタイプのＭＣですよ、あの人。
vo_adv_5064000_174.m4a|ちぇるの音も出ないとは、まさにこのことですね。
vo_adv_5064000_180.m4a|そんなクロエ先輩の好きそうなオモシロ仇名どーでもいいですから！このままじゃ正論に殴られっぱなしですよ？ほらユニ先輩、いつもみたく強引ないちゃもんで反論してください！
vo_adv_5064000_193.m4a|鋼の聖女、いま眉ピクッてなりましたよ！
vo_adv_5064000_198.m4a|マザヒルちゃん、そこまで言ってましたっけ？
vo_adv_5064000_205.m4a|言ってましたっけ？
vo_adv_5064000_212.m4a|ほんと？
vo_adv_5064000_217.m4a|言われなくても帰りますぅー！ふんだ、テレフェス当日ちぇるんと言わせてやるかんな！かァーッ、ぺっぺっ！
vo_adv_5064000_228.m4a|いや～、あのシスマリちゃんとかいう生徒会長、一時は髪ひっつかんで泣き叫ぶまで引っぱたこうかと思いましたけど、なんだかんだ話の分かる人で良かったですね～！
vo_adv_5064000_230.m4a|知ってますよ？　要するにその条件さえクリアしちゃえば、生徒会はうるさいこと言わなくなるし、学院から奨学金ももらえるしで、一石二鳥ってことですよね？
vo_adv_5064000_232.m4a|うーん、だいじょぶじゃないですか、うちらなら。
vo_adv_5064000_236.m4a|いいですね！今夜はちぇるっといきましょう、ちぇるっと！
vo_adv_5064000_237.m4a|あ！　てか、どうせならカラオケ行きません？いつものあの曲みんなで歌って、それで新曲もいって、それから──
vo_adv_5064000_239.m4a|クロエ先輩は最初そういうテンションのわり、一度マイク持つと一生離さない傾向ありますよね。
vo_adv_5064000_242.m4a|そう！　アレ歌いづらいからやめてほしいんですけど！こないだだってチエルがせつないバラード情感たっぷりに歌いあげてんのに、ほあーほあーって──
vo_adv_5064001_020.m4a|どうですか{player}先輩！「しとやか」組が誇る噂の二大巨頭チエル＆クロエの大活躍、そのぽけーっとした眼球にじりじり焼きつけましたか？
vo_adv_5064001_021.m4a|ぶはははは！ちぇる程でもありませんよ！　楽勝、楽勝！
vo_adv_5064001_024.m4a|ま、とくに待ってはいませんでしたけども。
vo_adv_5064001_028.m4a|てゆか、なんだったんですアレ？
vo_adv_5064001_031.m4a|見た目めっちゃユニ先輩そっくりでしたけど。一部分以外。
vo_adv_5064001_034.m4a|通称欲しがりボディ。そらバレますよ。
vo_adv_5064001_040.m4a|無駄に欲しがるから。
vo_adv_5064001_043.m4a|ユニ先輩は今のままがいちばんかわいいのに……大っきくたって別にいいことばっかりじゃないですよ？変にラインが出ちゃうから似合わない服とか出てくるし。
vo_adv_5064001_046.m4a|まあ、チエルが顔もスタイルもいいのは単なる事実ですからね。白々しいウソ言ったって話始まらないじゃないですか。
vo_adv_5064001_051.m4a|そういうクロエ先輩だって、今日は得意分野で高得点がっぽり稼ぎ散らかしてるじゃないですか。
vo_adv_5064001_056.m4a|覚えやすいですよね。なかよし部といえば、普段からお淑やか集団で有名ですから。
vo_adv_5064001_060.m4a|それにしても、なかよし部が全員揃って同じ組に入れられるなんて運命ですよね～！
vo_adv_5064001_063.m4a|よぉーし！なかよし部存続を目指して、打倒「きよらか」！ちぇるっと勝とう！　おー！
vo_adv_5064001_066.m4a|どんぐらい大差付けてぶっちぎってるか、期待と興奮で胸がちぇるちぇるしますねえ！　ちぇる～ん☆
vo_adv_5064001_080.m4a|あ、あれれ？　うそ、この得点って……
vo_adv_5064001_082.m4a|ええッ！うちら負けてんのォー！？しかも結構な大差！
vo_adv_5064001_088.m4a|えっ、コレ皮肉とかじゃなくて純粋に疑問なんですけど、あのお嬢さま方、あれで本当に全力疾走なんですかね？両腕Ｗの字に広げて、内股でしゃなりしゃなりと走ってますよ？
vo_adv_5064001_091.m4a|有能と一緒に仕事してる無能は、いつしか自分も有能と思い込むようになるらしいです。前にユニ先輩って人が言ってました。
vo_adv_5064001_095.m4a|ユニ先輩は何も勝負に貢献してなくないです？
vo_adv_5064001_100.m4a|ええッ、やですよ！？　チエル、なかよし部解散はいやです！
vo_adv_5064001_108.m4a|そんなことどーでもいいんで、メルクリちゃんたちの財力でなかよし部を都合よく助けてください！
vo_adv_5064001_111.m4a|そうなんです。我々なかよし部が存亡の危機に瀕しておるのです。
vo_adv_5064001_115.m4a|そーそ。シンプルにあいつらの横っ面、札束で引っぱたいてもらえればそれで。
vo_adv_5064001_120.m4a|へ？
vo_adv_5064001_123.m4a|そうですよ！野球で勝つために審判団を買収しようとした豪快すぎる武勇伝は、チエルの脳内球界、通称チェ・リーグでも今なお語り草ですよ？
vo_adv_5064002_002.m4a|なんかユニ先輩、壁に貼られた学芸展示を睨んでぶつぶつ言ってますけど。
vo_adv_5064002_006.m4a|運動会的なやつと、文化祭的なやつですね。
vo_adv_5064002_011.m4a|あっ……この小論文、ミィコさんのだ。
vo_adv_5064003_001.m4a|ちぇっるぅーーーん☆
vo_adv_5064003_003.m4a|ちぇるん☆　ちぇるん☆　ちぇる～ん☆
vo_adv_5064003_005.m4a|個人競技に関しては、もうやれるだけやったってカンジですよね。あとはチームメイトを信じて、なむー
vo_adv_5064003_009.m4a|え、なんでユニ先輩が清々しく汗ぬぐってるんです？うちらが必死に汗水流して走り回ってる間、観覧席にシート広げてだらしなく寝っ転がってただけじゃないすか。
