vo_adv_1036009_000.m4a|あ、{player}さんじゃないですか。こんにちは、今日はいいお天気ですね。
vo_adv_1036009_020.m4a|ちゃんと覚えていたんですね……そうですよね、{player}さんは約束をしっかり守る人ですもんね……
vo_adv_1036009_021.m4a|ええっと……その。……伸びて……いませんでした。
vo_adv_1036009_022.m4a|私の身長、前とほとんど、変わっていません、でした。
vo_adv_1036009_023.m4a|うぅ～……牛乳もちゃんと飲んでるし、好き嫌いもなくそうとしてるのに～……！
vo_adv_1036009_024.m4a|私の成長、もしかしてもう、止まっているんでしょうか……？
vo_adv_1036009_025.m4a|私はずっとこの身長のままで、{player}さんにナデナデされ続けるしかないのかも……
vo_adv_1036009_026.m4a|えっ……？協力してくれるんですか……？
vo_adv_1036009_027.m4a|あっ、ありがとうございます！やっぱり{player}さんは、頼りにな──。
vo_adv_1036009_028.m4a|って、そう言いながら頭をナデナデしないでくださいっ！もうっ、あなたって人は～！
vo_adv_1036009_029.m4a|ええっと、言われるままについてきましたけど……ここでなにをするんですか？
vo_adv_1036009_030.m4a|えっ、なんですかこの飲み物……？白くて、なんかトロっとしてて、緑色の葉っぱが浮いていませんか……？
vo_adv_1036009_031.m4a|牛乳に……薬に詳しい知り合いから貰った、貴重な薬草を混ぜたもの……？栄養がたっぷりらしい、ってすごく怪しくありません……？
vo_adv_1036009_032.m4a|それにこれ、なんだか青臭くて、ピーマンとは違う意味でイヤな感じが……
vo_adv_1036009_033.m4a|えっ、身長が伸びなくていいの、って？い、いいわけないです！　私、大きくなりたいです！
vo_adv_1036009_034.m4a|え、えーいっ！
vo_adv_1036009_035.m4a|あっ、あうぅ……苦くて、ドロドロで、お腹がタプタプします……！
vo_adv_1036009_036.m4a|こ、これで私……大きくなれるんでしょうか……？
vo_adv_1036009_037.m4a|は、はいっ！……協力してくれるのはありがたいけど、なんでこんなノリなんでしょう……？
vo_adv_1036009_038.m4a|ええと、今度は背を伸ばすためのストレッチ、ですか。
vo_adv_1036009_039.m4a|両手を上げればいいんですね？こう、ですか……？
vo_adv_1036009_040.m4a|えっ！？　えっ、えええっ！？
vo_adv_1036009_041.m4a|きゅっ、急にどうしたんですか！？へっ、へんたいっ！　やっぱりへんたいさんだったんですか！？
vo_adv_1036009_042.m4a|だ、ダメです、こんなことしたら捕まっちゃいますよ！？あ、あの……いっ、いたたっ！？
vo_adv_1036009_043.m4a|なんでいきなり上に引っ張るんですか！？これがストレッチ！？　本当ですかっ！？体を上に引っ張ってるだけでは！？
vo_adv_1036009_044.m4a|た、確かに伸びてる気はします！伸びてる気はしますけど～！
vo_adv_1036009_045.m4a|はぁ……はぁ……
vo_adv_1036009_046.m4a|なんだか、疲れました……本当にこれで、背が伸びるんでしょうか……
vo_adv_1036009_047.m4a|次が一番重要？ま、まだあるんですね……
vo_adv_1036009_048.m4a|……はい？
vo_adv_1036009_049.m4a|わっ、分かりました！寝ます！　寝ますから、グイグイ引っ張らないでください！
vo_adv_1036009_050.m4a|ん……芝生が気持ちいい……かも。
vo_adv_1036009_051.m4a|はぁ……{player}さんは変なところで強引なんですから。色々と頑張ってくれているのは感謝しますけど、これで本当に……あれ？
vo_adv_1036009_052.m4a|もう寝てる……
vo_adv_1036009_053.m4a|ふふ。本当に、私より子どもみたいなんですから。
vo_adv_1036009_054.m4a|でも、私のために一生懸命になってくれたんですよね。やっぱり{player}さんは優しい人です。
vo_adv_1036009_055.m4a|ふぁ……なんだか、私も眠たくなってきちゃいました……
vo_adv_1036009_056.m4a|起きたら……大きく、なってるかな……
vo_adv_1036009_057.m4a|あ、いました！やっと見つけましたよ！
vo_adv_1036009_058.m4a|もう、いつもフラフラしてるんですから。年上なんだからもう少し落ち着いてください！
vo_adv_1036009_059.m4a|あ、違います、今日はそうじゃないんです！そんなことより聞いてください！
vo_adv_1036009_060.m4a|伸びてました！昨日、お家に帰ってから試しに身長を測ってみたら……ちょっとだけ、背が伸びてたんです！
vo_adv_1036009_061.m4a|{player}さんのおかげです！本当にありがとうございました！
vo_adv_1036009_062.m4a|私、本当にもう成長しないんじゃないかって、すごく不安だったんです……！
vo_adv_1036009_063.m4a|でも私、伸びたんです！えへへ……！　これでもっともっと大きくなれます……！
vo_adv_1036009_064.m4a|え……？どうして大きくなりたいか、ですか？
vo_adv_1036009_065.m4a|そういえばどうしてだろう……？ええと、私、大きくなって……
vo_adv_1036009_066.m4a|……{player}さんがいつも私の頭をなでるから、見返して、あげたくて……子ども扱いされるのが、悔しくて……？
vo_adv_1036009_067.m4a|っ！
vo_adv_1036009_068.m4a|{player}さんのせいじゃないですか！私、全部{player}さんのために……！？
vo_adv_1036009_069.m4a|おっ……教えてあげません！
vo_adv_1036009_070.m4a|{player}さんには絶対、教えません！
vo_adv_1036009_071.m4a|そんな悲しそうな顔してもダメです！これは私だけの、秘密です！
vo_adv_1036009_072.m4a|うぅ～……別に教えてもいいんだけど、なんで、こんなに恥ずかしいんだろ～……！
vo_adv_1036010_004.m4a|……はぁ。
vo_adv_1036010_005.m4a|せっかくの授業参観なのに、お母さん、用事があって来られないなんて……
vo_adv_1036010_006.m4a|でも、用があるんだから仕方ないですよね。子どもじゃないんだから、別に寂しくなんてありませんし……！
vo_adv_1036010_009.m4a|？
vo_adv_1036010_010.m4a|……？
vo_adv_1036010_011.m4a|……えっ！？
vo_adv_1036010_012.m4a|はい！？なんで！？どうして！？
vo_adv_1036010_013.m4a|ちょっ、ちょっと{player}さん！どうしているんですか！？　ここ、エルフの森ですよ！？
vo_adv_1036010_014.m4a|一瞬、幻かと思っちゃいました！だけどずっと手を振ってますし！私の名前、しつこく呼んでるし！
vo_adv_1036010_015.m4a|わ、私の、お母さんに……？
vo_adv_1036010_016.m4a|確かに、前にお泊りした時、少しお話ししましたけど……！い、いつそんなお願いをされるような関係に……？
vo_adv_1036010_017.m4a|じゃ、じゃあもしかして、今日は一日中……？
vo_adv_1036010_018.m4a|そんな力強く頷かれても～っ！ええ……そんなぁ、どうしよう……！？
vo_adv_1036010_020.m4a|はっ、はいっ！す、すみません先生！
vo_adv_1036010_021.m4a|……大人しくしててくださいね！　絶対ですよ！
vo_adv_1036010_022.m4a|どうしよう、まさかあの人が見に来ちゃうなんて……！
vo_adv_1036010_023.m4a|恥ずかしいところを見せたら、笑われちゃう！そんなの絶対にイヤ……！
vo_adv_1036010_025.m4a|当たりませんように、当たりませんように……！
vo_adv_1036010_027.m4a|そんな～～～～～！？
vo_adv_1036010_028.m4a|え、ええっと……！な、なんでしたっけ……！
vo_adv_1036010_030.m4a|おっ、お兄ちゃんじゃありません！
vo_adv_1036010_031.m4a|あなたは黙っててください！もうっ、人の気も知らないで～！
vo_adv_1036010_032.m4a|そこの問題の答えは、49です！
vo_adv_1036010_034.m4a|ふぅ……なんとか答えられた……
vo_adv_1036010_035.m4a|──そこの答えは、光が乱反射しているから、だと思います。
vo_adv_1036010_036.m4a|少し、落ち着いてきたかも……
vo_adv_1036010_037.m4a|ひゃっ、やめてくださいっ！拍手なんてしなくていいですから！
vo_adv_1036010_038.m4a|まったくもう、これくらい当たり前なんですから、あんなに喜ばなくていいのに……！
vo_adv_1036010_039.m4a|あっ、先生。そこの問題、答えが間違っています。正しくは──。
vo_adv_1036010_041.m4a|い、いえ……そんな。
vo_adv_1036010_042.m4a|なっ、なにバカなこと叫んでるんですか！教室から出て行ってもらいますよ！　ここ外ですけど！
vo_adv_1036010_043.m4a|あなたの子どもになったつもりはありません！というか今まで親目線で見てたんですか！？
vo_adv_1036010_044.m4a|もうっ、恥ずかしい人ですね……！
vo_adv_1036010_045.m4a|でも、どうしてかな……？あの人に褒められると、恥ずかしいのに、なんだか……
vo_adv_1036010_046.m4a|胸の辺りが、くすぐったい……なんなんだろう、この気持ち……
vo_adv_1036010_047.m4a|テストでいい点とって、お母さんに褒められるのとはちょっと違う感じ……
vo_adv_1036010_048.m4a|分からないけど……悪い気分じゃ、ないかも。
vo_adv_1036010_049.m4a|ふふっ……♪
vo_adv_1036010_051.m4a|やっと終わりました～……！
vo_adv_1036010_052.m4a|はぁ……疲れました。こんなに疲れる一日は初めてです……
vo_adv_1036010_053.m4a|でも、あの人もわざわざ私を見に来てくれたんですし、お礼くらい、言っておこうかな……
vo_adv_1036010_054.m4a|そういえば、最後の授業の時はなんだか大人しかったけど……
vo_adv_1036010_055.m4a|あれ？　いない？……帰っちゃったのかな？
vo_adv_1036010_056.m4a|そんな、黙って帰っちゃうなんて……あれ？そういえば最後の授業中、途中でお手洗いに行きたいとか言ってたような……？
vo_adv_1036010_057.m4a|それから戻って……きてない……？
vo_adv_1036010_058.m4a|……もしかして。
vo_adv_1036011_000.m4a|もうっ、どうしてお手洗いに行くだけで迷子になるんですか！いつもボーっとしてるからですよ？
vo_adv_1036011_001.m4a|本当に世話が焼ける人なんですから！……私が一緒についていけばよかったです。
vo_adv_1036011_002.m4a|い、いえ、お手洗いまでは無理ですよ！？分かってる？　……分かってるなら、いいんですけど。
vo_adv_1036011_003.m4a|はぁ。それじゃあ帰りましょうか。心配ですから、エルフの森の出口まで送りますよ。えっと、ここからだと……
vo_adv_1036011_004.m4a|あれ？　お日さまの向きがいつもと違う……？わっ！？　ま、眩しい……！
vo_adv_1036011_066.m4a|──ダメですっ！？
vo_adv_1036011_067.m4a|って、何がダメなんでしょう？私、寝ぼけて……？
vo_adv_1036011_068.m4a|なんだかとても恥ずかしい夢を……見ていたような……？
vo_adv_1036011_069.m4a|あ、あれ？思い出そうとすると、顔が熱くなってきちゃいました……！
vo_adv_1036011_070.m4a|{player}さんはまだ寝てるし～……！もう、起きてください！　ねぼすけさんなんですから！
vo_adv_1036011_071.m4a|うぅ～、夢のことが気になるけど、思い出しちゃいけない気がする～……！
vo_adv_1036012_000.m4a|……どうしたらいいのかなぁ。
vo_adv_1036012_001.m4a|う～ん……
vo_adv_1036012_002.m4a|どうしたら、{player}さんは子ども扱いをやめてくれるんだろう？
vo_adv_1036012_003.m4a|勉強はたくさんしてるし。好き嫌いも頑張ってなくそうとしてるし。身長もちょっとだけ伸びたし。
vo_adv_1036012_004.m4a|それなのに、{player}さんの子ども扱いはひどくなっていくばかりです。
vo_adv_1036012_005.m4a|ナデナデしたり、ナデナデしたり、ナデナデしたり…………ナデナデしすぎですっ！
vo_adv_1036012_006.m4a|魔物が出た時も、{player}さんはすぐに私をかばおうとして……
vo_adv_1036012_007.m4a|そりゃ、私はまだまだ子どもですけど……でも……もうちょっとくらい……
vo_adv_1036012_008.m4a|ひゃあああっ！？　へんたい！？　ふしんしゃ！？へんたいふしんしゃさんですねっ！？
vo_adv_1036012_009.m4a|……って、よりによって{player}さんですか……！後ろから大声を上げるなんて、子どもじゃないんですから！
vo_adv_1036012_010.m4a|驚いたんですからね！もう……ってまたそうやってナデナデする～っ！
vo_adv_1036012_011.m4a|もういいです！今日の私は忙しいんです！{player}さんと遊んでる暇はないんです！
vo_adv_1036012_012.m4a|ええっと、その……！あ、そうだ！　こ、この依頼！この掲示板に書いてある魔物退治をするんです！
vo_adv_1036012_013.m4a|っ！　ダメです！この依頼は私一人でやるんです！{player}さんがいなくたって平気なんです！
vo_adv_1036012_014.m4a|絶対絶対、ついてこないでくださいね！いいですね、約束ですよ！
vo_adv_1036012_015.m4a|思わず魔物退治、なんて言っちゃった。
vo_adv_1036012_016.m4a|でも、案外いい考えかも？　一人で魔物を倒せるようになって、あの人がピンチの時にかっこよく助けてあげるんです！そうすれば、きっとあの人も……！
vo_adv_1036012_017.m4a|うん！　魔物退治、頑張ろー！
vo_adv_1036012_018.m4a|……そういえば。初めて会った時{player}さん、こっそり私の後をつけてたんですよね……
vo_adv_1036012_019.m4a|もしかしてっ！
vo_adv_1036012_020.m4a|ほっ。なんだ、ネコさんかぁ……
vo_adv_1036012_021.m4a|……リマ？　そんな鳴き声の動物、いましたっけ？う～ん……まぁいっか。
vo_adv_1036012_022.m4a|{player}さんはついてきてないみたいですね。……大丈夫、心細くなんてありません！
vo_adv_1036012_023.m4a|うぅ……こ、ここでいいはず、なんですけど……
vo_adv_1036012_024.m4a|お昼なのに暗くて、空気も冷たいし……うぅ～……
vo_adv_1036012_025.m4a|ま、魔物さ～ん、いませんか～？いませんよね。……じゃあ、仕方ないです、よね～
vo_adv_1036012_026.m4a|うん。いないんだから、仕方がないんです。じゃあ、今日は──
vo_adv_1036012_027.m4a|きゃあっ！？ま、魔物！？　しかも、これって……！？
vo_adv_1036012_028.m4a|ヘビッ、ヘビじゃないですかぁっ！？しかも、いっぱいぃっ！
vo_adv_1036012_029.m4a|やだっ、私、ヘビだけは……！長くて、にょろにょろしてて、ダメなのに～っ！
vo_adv_1036012_030.m4a|いやぁぁぁ、にょろにょろ、こわいぃっ！
vo_adv_1036012_031.m4a|あっち行って！あっち行ってぇっ！
vo_adv_1036012_032.m4a|そ、そうだ、魔法！魔法で……！
vo_adv_1036012_033.m4a|ええっ、全然効いてないっ！？
vo_adv_1036012_034.m4a|そうだ、私、今まで{player}さんに助けてもらってたから……
vo_adv_1036012_035.m4a|うぅ……腰が抜けて、動けません……
vo_adv_1036012_036.m4a|{player}さん、助けてぇっ！
vo_adv_1036012_037.m4a|え……？　{player}さん……？
vo_adv_1036012_038.m4a|なんで、ここに……やっぱり、ついてきてたんですか！？
vo_adv_1036012_039.m4a|だったら、もうちょっと早く助けてくれても……！え？　ちょっと迷ってた？
vo_adv_1036012_040.m4a|よく見たら、すごく息が切れてる……一生懸命、探してくれてたんですね……
vo_adv_1036012_041.m4a|あとは任せてって、でも……！
vo_adv_1036012_042.m4a|ほら！　すごく疲れてるじゃないですか！一斉に狙われてますよ！？が、頑張ってくださいっ！
vo_adv_1036012_043.m4a|苦戦してますけど……でも、ちゃんと魔物を追い払えてる……！
vo_adv_1036012_044.m4a|また……助けられちゃった……やっぱり、頼りになるなぁ……
vo_adv_1036012_045.m4a|あと一匹ですよ！気を付けて──あっ、そこ！足元におっきな石が！
vo_adv_1036012_046.m4a|ええーーーっ！？すごい転び方しましたよっ！？
vo_adv_1036012_047.m4a|だ、大丈夫ですか！？……き、気を失ってる……
vo_adv_1036012_048.m4a|さっきまですごくかっこよかったのに、あなたはどうしてそうなんですか～っ！
vo_adv_1036012_049.m4a|きゃあっ！？
vo_adv_1036012_050.m4a|どっ、どうしよう！あと一匹、なのに……！
vo_adv_1036012_051.m4a|私の魔力じゃ、どうにもなりません……
vo_adv_1036012_052.m4a|でも、このままじゃ、{player}さんが……{player}さんが、魔物に食べられちゃう！
vo_adv_1036012_053.m4a|それだけは……絶対にイヤです！
vo_adv_1036012_054.m4a|きっとできる……私、あなたのおかげでピーマンが食べられたし、逆上がりだってできるようになったし、身長だって伸びたんだから！
vo_adv_1036012_055.m4a|私が……{player}さんを守るんです！にょろにょろなんて、怖くありませんっ！
vo_adv_1036012_056.m4a|いっけえぇぇぇぇぇ！
vo_adv_1036012_057.m4a|はぁっ、はぁっ……やった……？やった！　できました！
vo_adv_1036012_058.m4a|私、にょろにょろを……！
vo_adv_1036012_059.m4a|え……？まだ、いたの……？
vo_adv_1036012_060.m4a|しかも、さっきよりも大きな魔物……？もしかしてさっきの魔物の、親玉……？
vo_adv_1036012_061.m4a|そんな……私、もう……！ダメなのかな……？
vo_adv_1036012_062.m4a|んっ……！力が湧き上がってくる……？
vo_adv_1036012_063.m4a|しかも、今までよりもずっと強い……！なんでもできちゃいそう……！
vo_adv_1036012_064.m4a|えへへ。やっぱり、{player}さんは頼りになりますね。
vo_adv_1036012_065.m4a|そこで、見ててくださいね。
vo_adv_1036012_066.m4a|私がこんなに成長できたのは、──{player}さんのおかげなんですから！
vo_adv_1036012_067.m4a|う、ん……？
vo_adv_1036012_068.m4a|ここは……ええっと？私……にょろにょろを倒した後、疲れて……そのまま寝ちゃった？
vo_adv_1036012_069.m4a|じゃあ、ここは……？
vo_adv_1036012_070.m4a|きゃっ！そ、そこにいたんですか！？
vo_adv_1036012_071.m4a|{player}さんが……運んでくれたんですか？
vo_adv_1036012_072.m4a|あ、ありがとうございます……
vo_adv_1036012_073.m4a|それより、見ていてくれましたか！？私、魔物をドカーンって！
vo_adv_1036012_074.m4a|……結局、{player}さんに助けられちゃいましたけど。
vo_adv_1036012_075.m4a|は、はい。ええっと…………頭、なでないんですね。
vo_adv_1036012_076.m4a|え？　なでてもいいのかって……そんなこと、聞かないでください！
vo_adv_1036012_077.m4a|きょ、今日はちょっと……頑張ったので。少しくらい……いいですよ。
vo_adv_1036012_078.m4a|……♪
vo_adv_1036012_079.m4a|それはそうと……
vo_adv_1036012_080.m4a|気を失った女の子を、勝手に連れてきちゃうなんて。こういうのを、なんていうか知っていますか？
vo_adv_1036012_081.m4a|誘拐です。やっぱりあなたはへんたいの、ふしんしゃさんだったんです！
vo_adv_1036012_082.m4a|そんなぁ、じゃありません！これはもう、捕まっちゃってもおかしくありませんよ！
vo_adv_1036012_083.m4a|えへへ……よ～っく反省してくださいね。
vo_adv_1211002_079.m4a|……あっ。
vo_adv_1211002_081.m4a|……キャルさんも、へんたいふしんしゃさんだったんですね！
vo_adv_1211002_083.m4a|だって……寝ているその人に、キ、キスしようとしてたじゃないですか！
vo_adv_1211002_090.m4a|……同じギルドにへんたいふしんしゃさんが二人もいるなんて！
vo_adv_1227001_004.m4a|うんっ、楽しみだね。学校のみんなで海にお出かけなんて、初めてだもんね。
vo_adv_1227001_005.m4a|でも、大丈夫なのかな。
vo_adv_1227001_006.m4a|……私が、班のリーダーなんて。
vo_adv_1227001_008.m4a|しっかり……えへへ。そうかなぁ……？
vo_adv_1227001_010.m4a|【リトルリリカル】のこと？いや、あれはその……
vo_adv_1227001_012.m4a|えっ？う、うん……確かに魔物を倒したり……してるけど……
vo_adv_1227001_014.m4a|えっ？私が、みんなに魔法を教えるの……？
vo_adv_1227001_016.m4a|ま、待って？すごい魔法って言われても……私……！
vo_adv_1227001_018.m4a|うっ……
vo_adv_1227001_019.m4a|うんっ、ま……任せてくださいっ♪
vo_adv_1227001_020.m4a|……はぁ。
vo_adv_1227001_021.m4a|つい、引き受けちゃった……！だってあんなに期待されちゃったら仕方ないよ～～～！
vo_adv_1227001_022.m4a|簡単な魔法なら授業でも教えてもらえるけど、すごい魔法ってなんだろう……？
vo_adv_1227001_023.m4a|……コスモブルーフラッシュ？ううん。攻撃魔法は危ないし、簡単に教えちゃダメだよね……
vo_adv_1227001_024.m4a|それにコスモブルーフラッシュはまだ、一人だとうまく使えないし。あの人の不思議な力がないと……
vo_adv_1227001_025.m4a|そうだよね……そもそも私、あの人の力がないと、難しい魔法はまだあんまり使えないんだよね……
vo_adv_1227001_026.m4a|あの人の……
vo_adv_1227001_027.m4a|あの人が……いれば……？
vo_adv_1227001_028.m4a|…………
vo_adv_1227001_029.m4a|あ……こんにちは{player}さん。
vo_adv_1227001_030.m4a|すみません、急に呼び出したりして。えっと……
vo_adv_1227001_031.m4a|あ、いえ……違うんです。今日はその、遊ぶつもりで呼んだんじゃなくて……
vo_adv_1227001_032.m4a|その、相談があって……
vo_adv_1227001_033.m4a|実は今度、私の通う学校でサマーキャンプがあるんです。みんなで海に行くんですけど……
vo_adv_1227001_034.m4a|そこで私、班のリーダーになってしまって、みんなに魔法を教えてあげることになったんです。
vo_adv_1227001_035.m4a|……それで、えっと……
vo_adv_1227001_036.m4a|えっ……いいんですかっ？私、まだ何も言ってないのに……ふふっ。あなたは本当にいい人ですね。
vo_adv_1227001_037.m4a|その……つまりですね……あなたの力を……貸してほしくて……
vo_adv_1227001_038.m4a|こんなことお願いするのは申し訳ないんですけど……
vo_adv_1227001_039.m4a|私、みんなの期待に応えたいんです。
vo_adv_1227001_040.m4a|だから……あなたの力を、貸してください……！
vo_adv_1227001_041.m4a|あっ……ありがとうございます！
vo_adv_1227001_042.m4a|じゃあ、よろしくお願いしますね！えへへ……♪
vo_adv_1227001_043.m4a|……ふぅ。お日さまがまぶしくて、地面の砂が熱くて。着いたときは暑くてのぼせちゃいそうでしたけど……
vo_adv_1227001_044.m4a|水着になると、すっごく涼しい……♪
vo_adv_1227001_045.m4a|……？なんですか、そんなに私を見て……そうやってジロジロ見るの、へんたいさんみたいですよ。
vo_adv_1227001_046.m4a|気をつけてくださいね。私、リーダーとしてちゃーんと防犯魔石を持ってるんですから。あなたがあやしい動きをしたら、使っちゃいますからね？
vo_adv_1227001_047.m4a|はいっ……？　かわいい……そ……そうですか。それは、ありがとうございます。でも！　見るのはあとちょっとだけですからね！　恥ずかしいので！
vo_adv_1227001_048.m4a|ふぇっ！？　な、なんですかその動き！あやしい……あやしすぎます……！でも、なんででしょう……目が離せない動きかも……
vo_adv_1227001_049.m4a|なんて、あなたと遊んでる場合じゃありませんでした！班のみんなは……あ、向こうにいました！
vo_adv_1227001_052.m4a|みんな、ちゃんと集まってますか？
vo_adv_1227001_055.m4a|えっ？　あっ、この人は、その……
vo_adv_1227001_056.m4a|……いいですか？　あなたが私のお手伝いに来てること、みんなには秘密ですから！……絶対言っちゃダメですからねっ？
vo_adv_1227001_057.m4a|っ！？
vo_adv_1227001_060.m4a|なななっ、なにを言ってるんですか！？そのまま言うにもほどがありませんか！？みんな誤解しないでください、私たち、そんな関係じゃ……！
vo_adv_1227001_062.m4a|お、大人じゃありませーーーんっ！
vo_adv_1227001_063.m4a|じゃあ、気を取り直して……さぁみんな、水着に着替えましたよね！これからみんなで海に入りましょう♪
vo_adv_1227001_066.m4a|……？そう、ですけど……
vo_adv_1227001_069.m4a|あ……そっか……私は大丈夫だけど、みんなは海なんて初めてだから……怖いのかな。
vo_adv_1227001_070.m4a|どうしよう。海で遊ぶことばかり考えてきちゃったけど、これじゃみんなが楽しめないよ……
vo_adv_1227001_072.m4a|こういう時、どうしたらいいんだろう……リーダーとして私が何とかしなきゃ……
vo_adv_1227001_073.m4a|えっと……ええっと～……！
vo_adv_1227001_074.m4a|へっ！？なんですか、急に手を握ったりして……ひゃあっ！？ひ、引っ張らないでください！？
vo_adv_1227001_075.m4a|行こう、って、そっちは海……えっ、えっ！？ええーーーーーっ！？
vo_adv_1227001_076.m4a|ぺっ、ぺっ！う、海の水飲んじゃったじゃないですか！しょっぱーい……！
vo_adv_1227001_077.m4a|本当に何するんですか！大人なのに我慢できなくなっちゃったんですか！？
vo_adv_1227001_078.m4a|きゃあっ！？
vo_adv_1227001_079.m4a|もうっ、ふざけないでください！今は遊んでる場合じゃ……！
vo_adv_1227001_080.m4a|やっ、ちょっ……！も～～～～～～～～～～～っ！
vo_adv_1227001_081.m4a|もう許しませんっ！反撃ですっ！
vo_adv_1227001_082.m4a|えいっ、やぁっ、これでどうですかっ！コスモブルーフラーッシュ！
vo_adv_1227001_085.m4a|うん！こんなの、全然平気だよー！
vo_adv_1227001_086.m4a|みんなも手伝ってください！このへんたいふしんしゃさんを、びしょ濡れにしてあげるんです！
vo_adv_1227001_090.m4a|……みんな……海に入ってくれた……！
vo_adv_1227001_091.m4a|そっか……私たちが「怖くないよ」って、見せたから……？
vo_adv_1227001_092.m4a|そうだよね。誰だって、初めて見るものは怖いもんね。まずは、誰かが平気だよって教えてあげなくちゃいけないんだよね……
vo_adv_1227001_093.m4a|もしかして{player}さん、それを伝えるために、私を無理やり……？
vo_adv_1227001_094.m4a|あの……{player}さん、ありが──
vo_adv_1227001_096.m4a|わーっ！？ちょっとみんな、待って！溺れちゃってます！　{player}さん溺れちゃってますから！
vo_adv_1227001_097.m4a|……気のせい、だったみたいですね。
vo_adv_1227001_098.m4a|きっとこの人は遊びたくて仕方なかったんです。そうに違いありません！
vo_adv_1227001_099.m4a|ふふっ♪
vo_adv_1227002_002.m4a|…………
vo_adv_1227002_003.m4a|{player}さん。
vo_adv_1227002_004.m4a|ちょっとこっちに来てください。
vo_adv_1227002_005.m4a|そこに座ってください。正座ですよ。
vo_adv_1227002_006.m4a|あなたは今日、ここに何をしに来たか覚えていますか？
vo_adv_1227002_007.m4a|ふぅん。覚えていたんですね。覚えていたのに、あんなふうに遊びほうけていたんですね。
vo_adv_1227002_008.m4a|違います！　大間違いです！やっぱり忘れていましたね！そうじゃないかなって思っていました！
vo_adv_1227002_009.m4a|まったくもう。大人としてどうなんですか？みんなと一緒に、子供みたいにはしゃいだりして。あなた、この海で誰よりも楽しそうでしたよ？
vo_adv_1227002_010.m4a|大人なのに恥ずかしいと思いませんか？　思いますよね？だったら、よ～っく反省してください。……もう。
vo_adv_1227002_011.m4a|そろそろ自由時間もおしまいです。……みんなに魔法を見せなきゃいけません。
vo_adv_1227002_012.m4a|その、えっと……お手伝い……よろしくお願いします。
vo_adv_1227002_013.m4a|なるべくみんなにはバレないように、遠くからあの不思議な力を使ってください。
vo_adv_1227002_014.m4a|どうしてって……それは。みんな、私のことすごい魔法が使えるって思ってますから……失敗するところとか、見せられないじゃないですか。
vo_adv_1227002_015.m4a|とっ、とにかく！約束通り、ちゃんとお手伝いしてくださいね！
vo_adv_1227002_016.m4a|……ズルかもしれませんけど。私は、みんなのリーダーなんですから。
vo_adv_1227002_017.m4a|はーい、みんな集合してくださーい！
vo_adv_1227002_018.m4a|班のみんなは揃っていますか？体調が悪い人は手を挙げてくださいね。
vo_adv_1227002_020.m4a|うんっ♪それじゃあ今から、サマーキャンプで提出する学習課題のための、魔法の練習を始めたいと思います。
vo_adv_1227002_023.m4a|ええっと。今日、練習する魔法は──
vo_adv_1227002_024.m4a|──水上歩行、です。
vo_adv_1227002_027.m4a|はっ……はい。これはね、オリジナルの魔法で……
vo_adv_1227002_029.m4a|いや、作ったのは私じゃ──
vo_adv_1227002_031.m4a|えっと……まぁ、うん。説明はあとででいいかな……
vo_adv_1227002_032.m4a|この間、{player}さんに相談しに行ったあと。サマーキャンプでどんな魔法を使えばいいか、一緒に考えたんだよね。そうしたら、{player}さんが心当たりがあるって──
