vo_adv_1226001_000.m4a|南の島、楽しかったな……
vo_adv_2104098_060.m4a|まだ何も言ってないのに……
vo_adv_2104098_066.m4a|──今のクリスティーナさんの、虫の居所が悪い理由って。覇瞳皇帝さんがいなくなっちゃったから……なんですよね。
vo_adv_2104098_071.m4a|じゃあ……クリスティーナさんは、覇瞳皇帝さんを助け出そうとか、考えたりはしないんですか？
vo_adv_2104098_090.m4a|聞き間違えじゃありませんよ、クリスティーナさん。わたしたちは今、ペコリーヌちゃんと協力しあってるんです。
vo_adv_2104098_102.m4a|ええっ……！？
vo_adv_2104098_111.m4a|うん！
vo_adv_2104098_112.m4a|光の精よ！我らを照らせ、極限まで──！
vo_adv_2104098_114.m4a|ヒヨリちゃん！
vo_adv_2108001_000.m4a|あれ？騎士クン、おはよう！
vo_adv_2108001_001.m4a|朝から騎士クンに会えた……♪なんだか今日はいいことがありそう！
vo_adv_2108001_002.m4a|うんっ♪
vo_adv_2108001_003.m4a|──えっ？
vo_adv_2108001_004.m4a|え、えええええっ！？
vo_adv_2108001_005.m4a|つつつ、付き合うっ！？　騎士クンとわたしが！？そんなのいきなりすぎるよ～！　ま、まだ心の準備が……！
vo_adv_2108001_006.m4a|……でも、でもわたしっ！わたし、騎士クンとなら、喜んで……！
vo_adv_2108001_007.m4a|……ここって、王宮……？騎士クン、どうしてここまでわたしを……？
vo_adv_2108001_008.m4a|あ……ああ！　そうなんだ！そっか！　そうだよね！　うん、わかった！　ちょっと待ってて！
vo_adv_2108001_009.m4a|な、な～んだ……付き合うってそういう……うぅっ、もうわたしってば～！　早とちりにもほどがあるよ～！はぁ～……すっごくドキドキしちゃったよぉ～……！
vo_adv_2108001_069.m4a|──……
vo_adv_2108001_071.m4a|うーん…………ダメみたい。クリスティーナさん、３日前にお話したときは、すごく元気そうだったんだけど……
vo_adv_2108001_081.m4a|それでさっき、少しだけ意識を回復したマサキさんが言ってたの。ネネカさんが誘拐された、って……
vo_adv_2108001_091.m4a|誰かを無理やり連れ去るほどの空間跳躍を使える人、なんて……行方不明のラジラジさんと、幽閉中の覇瞳皇帝さん、あとは……
vo_adv_2108001_098.m4a|クリスティーナさんのほうはまだわからないよ。もしかしたら、たまたま通信魔法を受けられない状況なだけかもしれないし……
vo_adv_2108002_001.m4a|本気なの？ペコリーヌちゃん。
vo_adv_2108002_010.m4a|あのひとも、骨のワイバーンを使役してたよね。正確には、何かで作った魔法生物みたいだったけど……
vo_adv_2108002_023.m4a|キャルちゃん、ペコリーヌちゃんのことが心配なんだね……
vo_adv_2108002_028.m4a|うん。ネネカさんも……それに、もしかしたら一緒に捕まっちゃってるかもしれないクリスティーナさんも。必ず助けようね！
vo_adv_2108002_031.m4a|……ヒヨリちゃん……？いつもなら真っ先に、助けに行こうよって言いだしそうなのに……
vo_adv_2108002_037.m4a|うーん……転移魔法の結界を使えば、帰ってくるほうはすぐできると思うけど。
vo_adv_2108004_036.m4a|そうなんだ。すごいねキャルちゃん！
vo_adv_2108004_049.m4a|う、うん。わたし、朝はちょっとで大丈夫だし……
vo_adv_2108004_058.m4a|【レイジ・レギオン】のひとたちと遭遇したら、そうも言ってられなくなっちゃう……よね。
vo_adv_2108004_117.m4a|…………
vo_adv_2108004_119.m4a|えっと……ヒヨリちゃん？
vo_adv_2108004_121.m4a|えっとえっと……もうすぐ、朝だけど……眠くない？大丈夫？
vo_adv_2108004_123.m4a|そ、そっか。それなら、大丈夫だよね。
vo_adv_2108004_125.m4a|…………
vo_adv_2108004_127.m4a|……ん……
vo_adv_2108004_128.m4a|その……ね。気になってたんだけど……ヒヨリちゃん、最近、元気がないみたいだけど、平気……？
vo_adv_2108004_132.m4a|ほんとに？……それなら、いいんだけど……
vo_adv_2108004_134.m4a|…………
vo_adv_2108004_142.m4a|ヒヨリ、ちゃん……？
vo_adv_2108004_145.m4a|……ヒヨリちゃん……
vo_adv_2108004_146.m4a|ヒヨリちゃん……やっぱりわたしに言えないこと……あるのかな。……でも……
vo_adv_2108004_147.m4a|いつも真っすぐなヒヨリちゃんが、あんなふうにためらうなんて。そんなに、悪い話なの……？
vo_adv_2108004_148.m4a|……わたし……わたしは……
vo_adv_2108004_150.m4a|……あ、あの時……ノウェムちゃんは、「わたしが何かを願ったから、こんなことになった」って言ってたけど。でも……
vo_adv_2108004_151.m4a|それって、おかしいよね……？だってわたしたち、まだソルの塔の一番上まで登れてないもん。ソルオーブだって、まだ集め終わってないし……
vo_adv_2108004_152.m4a|それに……わたしが、そんなひどい願い事するなんて、するはずない。わたしの願いは、そんなものじゃないのに。わたしは……
vo_adv_2108004_155.m4a|……っ……！
vo_adv_2108004_156.m4a|ホマレさんも、ノウェムちゃんも……どうして、わたしをあんな風に呼ぶの？
vo_adv_2108004_157.m4a|ヒヨリちゃんも、レイちゃんも。誰も、誰も……どうして……なんにも言ってくれないの……？
vo_adv_2108004_158.m4a|もし本当にわたしが、悪いなら。そう言ってくれないと……わかんないよ……
vo_adv_2108004_159.m4a|ぐすっ……
vo_adv_2108004_160.m4a|あれっ？騎士クン……？
vo_adv_2108004_161.m4a|ど、どうしたの？まだ時間じゃないのに……
vo_adv_2108004_162.m4a|……そっか。そうだよね。予定通りなら、もう何時間かで到着だし……緊張しちゃうよね。
vo_adv_2108004_163.m4a|っ……！
vo_adv_2108004_164.m4a|う、うん……その、ちょっと……っ……
vo_adv_2108004_165.m4a|騎士クン……優しいな。ほんとうに、優しい……
vo_adv_2108004_166.m4a|でも……だからこそ。余計な心配は、かけたくない。騎士クンに、嫌われたくない…………だって、わたし、わたしは……騎士クンのことが……
vo_adv_2108004_167.m4a|……な、なんでもない。なんでもないよ、騎士クン。
vo_adv_2108004_168.m4a|あ……
vo_adv_2108004_169.m4a|騎士、クン……
vo_adv_2108004_170.m4a|そうだ……そうだよね。
vo_adv_2108005_006.m4a|でも、【レイジ・レギオン】の人たちは空間跳躍を使えるんだし……！殺風景でも魔物でも、関係ないのかもっ……！？
vo_adv_2108005_008.m4a|みんな、怪我はないっ？
vo_adv_2108005_024.m4a|前のときは、こっちが４人がかりでアゾールドさんってひとを倒せたもんね。ギリギリだったけど……！
vo_adv_2108005_028.m4a|えっ？誰とも遭遇しない場合じゃなくて……？
vo_adv_2108005_036.m4a|シェフィちゃんっ？
vo_adv_2108005_054.m4a|キャルちゃん！　今は落ち着いて！あの攻撃が、また来るかもしれないんだよ……！
vo_adv_2108005_073.m4a|ランドソルに戻るのっ？ペコリーヌちゃん……！
vo_adv_2108005_080.m4a|うん……！
vo_adv_2108006_008.m4a|うん！世界を分かつ極光──ディバインレインッ！
vo_adv_2108006_012.m4a|待って、ペコリーヌちゃんっ！
vo_adv_2108006_030.m4a|う、うん……！普通に魔法を撃っても、当たりそうにないし……！
vo_adv_2108006_046.m4a|ヒヨリちゃんっ！──光の精よ、癒しの輝きを！
vo_adv_2108007_027.m4a|レイちゃん、すごいっ……！
vo_adv_2108007_040.m4a|えっ！？
vo_adv_2108007_044.m4a|騎士クンッ！！
vo_adv_2108007_054.m4a|う、うまくいった……！？
vo_adv_2108007_080.m4a|う、うん！【美食殿】のギルドハウスにある転移の結界と、空間同士を繋ぐ魔法陣をつくるから、ちょっと待って……
vo_adv_2108008_024.m4a|ヒヨリちゃんっ！？
vo_adv_2108008_028.m4a|と、とにかくヒヨリちゃんの手当てを……！
vo_adv_2108008_035.m4a|……！ヒヨリちゃん、ちょっと待ってて……！
vo_adv_2108008_036.m4a|キャルちゃん！　コッコロちゃん！力を貸して！
vo_adv_2108008_039.m4a|光の精よ！我らを守護する、絶対の壁と成れ！ディバインシールド！
vo_adv_2108008_042.m4a|ううんっ！気を抜いちゃダメ……！
vo_adv_2108008_045.m4a|……ぅ、ぅ……
vo_adv_2108008_068.m4a|ヒヨリちゃん、無理しないで！まだ、回復しきってないはず……！
vo_adv_2108008_071.m4a|う、うんっ……！
vo_adv_2108010_026.m4a|い、今……回復魔法を……
vo_adv_2108010_059.m4a|光の精よ！輝ける嵐を巻き起こせ！ディバイン──スコールッ！！
vo_adv_2108010_070.m4a|……ぅ、ぅぅっ……
vo_adv_2108010_077.m4a|騎士、クンッ……！？
vo_adv_2108010_085.m4a|騎士クン！　負けないでっ……！
vo_adv_2108010_103.m4a|そんなっ！
vo_adv_2108010_107.m4a|騎士クーーーンッ！！
vo_adv_2108099_027.m4a|騎士クーーーーン！
vo_adv_2108099_031.m4a|レイちゃん！　ヒヨリちゃん！どう……！？
vo_adv_2108099_034.m4a|で、でも、それじゃ……騎士クンだって、溺れちゃうよ……！もう、30分近く経ってるのに……！
vo_adv_2108099_047.m4a|……な、なに……？この気配……
vo_adv_2108099_049.m4a|コッコロちゃん！感じる……？
vo_adv_2108099_051.m4a|うん……それも、ひとつだけじゃない……ふたつの、神様みたいに大きい精霊の……！
vo_adv_2108099_069.m4a|騎士クン……！
vo_adv_2108099_074.m4a|このひとたちってまさか……伝説にある、気象を司る精霊──雨神様と、晴神様？
vo_adv_2109004_005.m4a|うん、ほんとに良かった……
vo_adv_2109004_015.m4a|うん、任せて。そのくらいの魔力なら、まだなんとか……
vo_adv_2109004_016.m4a|『──繋がれ、隔絶されし門よ。此と其を結び、我らを帰るべき炉端へと導け──……』
vo_adv_2109004_017.m4a|あ、あれっ？
vo_adv_2109004_020.m4a|う、うん……！でもこれまで何度も使って、一度も失敗なんかしたことなかったのに……！
vo_adv_2109004_030.m4a|で、でも……雨神様たち、どこかへ帰っていっちゃったし。いくら大精霊でも、座標もわからない場所への転移は難しいだろうし……
vo_adv_2109004_098.m4a|で、でもマサキさん、まだ動いちゃダメなのに……！
vo_adv_2109004_109.m4a|理由……あっ。
vo_adv_2109004_118.m4a|でも、そこかしこに生活感……みたいなのがあるよね。やっぱり、【レイジ・レギオン】のひとたちが拠点にしていたのは間違いないみたい。
vo_adv_2109004_139.m4a|あっ……！？あっちの壁を見て、みんな！
vo_adv_2109006_004.m4a|良かったぁ。かなり強力な呪いだったから、ちゃんと解けるか心配だったけど……
vo_adv_2109006_021.m4a|ええっ！？それって、泥棒じゃ……！？
vo_adv_2109006_032.m4a|そ、そうだよね。わたしたちも、みんなで力を合わせて……騎士クンが最後まで頑張ってくれたから、どうにかここまで来れたって感じだし……！
vo_adv_2109006_042.m4a|で、でも……ラジラジさんは助けられたんだし。骨折り損ってことは、ないんじゃないかな。
vo_adv_2109006_046.m4a|ギルドハウスにつくっておいた帰還用の魔法陣は、やっぱり壊されちゃってるみたい。何度試しても、反応しないし……
vo_adv_2109006_053.m4a|確かに飛べはするけど……かなり、力を使っちゃうもんね。長い距離を移動するのは、難しいと思うな……
vo_adv_2109006_062.m4a|う、うん……騎士クンなんて、溺れちゃう寸前だったんだし。
vo_adv_2109006_070.m4a|な、なんで騎士クンに抱き付いちゃってるの……！？
vo_adv_2109006_082.m4a|えぇぇっ？
vo_adv_2109006_099.m4a|えっと……わたしたちを転移させたら、ラジラジさんはどこか遠くに避難してもらったほうがいいんじゃないかな。
vo_adv_2109008_090.m4a|そうだね。戦いが終わって、平和に……
vo_adv_2109008_091.m4a|……と、いうことは……
vo_adv_2109008_092.m4a|ヒヨリちゃんやノウェムちゃんと、きちんとお話できるし。それに……
vo_adv_2109008_093.m4a|続きは……戦いが、終わったら。この続きのこと……お話し、させてほしいな。
vo_adv_2109008_094.m4a|……はぅ……！
vo_adv_2109008_095.m4a|……はぅ……！
vo_adv_2109009_055.m4a|……う、ぅぅ……
vo_adv_2109009_091.m4a|ぅ、……？
vo_adv_2109009_092.m4a|わ、わたし……気絶、しちゃってた……？
vo_adv_2109009_093.m4a|……っ……
vo_adv_2109009_094.m4a|今の攻撃……すごく……すごく痛くて。頭が、がんがんする……
vo_adv_2109009_095.m4a|痛い……だけじゃない……とっても強い気持ちが乗ってるみたいだった……気持ち……わたしへの……憎悪……？
vo_adv_2109009_096.m4a|あ……あの仮面の、人……なに？誰なの……？
vo_adv_2109009_118.m4a|えっ……？
vo_adv_2109010_001.m4a|……え……
vo_adv_2109010_004.m4a|……わ、たし……？
vo_adv_2109010_035.m4a|えっ……
vo_adv_2109010_051.m4a|……っ……
vo_adv_2109010_125.m4a|え……
vo_adv_2109010_126.m4a|し、知らない……だってわたし、覚えてない……
vo_adv_2109011_028.m4a|う、うんっ……
vo_adv_2109011_029.m4a|ちゃ、ちゃんと戦いに集中しなきゃ、わたしも……
vo_adv_2109011_030.m4a|で、でも……頭が、混乱して……
