vo_adv_1220001_000.m4a|あ、{player}さん、こんにちは。お待ちしていました。
vo_adv_1220001_099.m4a|もう、お父さん。私だってボートくらい漕げるから。{player}さん、オールを貸してください。
vo_adv_1220001_101.m4a|もう、お父さんは過保護すぎるよ。父の言う事は無視していいですから。私もお手伝いします。オール、貸してください。
vo_adv_1220002_000.m4a|先日はありがとうございました。{player}さんのおかげで、無事ランドソルにも戻ってこれましたし。
vo_adv_1220002_001.m4a|お礼に今日はご馳走させてください。このお店、美味しいって評判らしいんですよ。
vo_adv_1220002_003.m4a|ありがとうございます。それでは、向こうの見晴らしが良さそうな席にしましょうか。潮風が気持ちよさそうですし──
vo_adv_1220002_007.m4a|あの、何かご用ですか？
vo_adv_1220002_011.m4a|白い服……ですか。そういえば、ちょうど私も着ていますね。
vo_adv_1220002_016.m4a|お父さん……
vo_adv_1220002_020.m4a|お父さん…………
vo_adv_1220002_030.m4a|なんとか誤解は解けたみたいですが……すみません、お礼の食事どころじゃなくなっちゃいましたね。
vo_adv_1220002_031.m4a|お店の人にもご迷惑をおかけしてしまいましたし……それに……少し気がかりなことがあって。
vo_adv_1220002_032.m4a|実は、私の方でも何か情報を提供できないかと事件について占ってみたんですが……
vo_adv_1220002_033.m4a|……見えたのは、暗く、大きな影でした。それも、人を飲み込んでしまうほどの。
vo_adv_1220002_034.m4a|この一件、放っておくと大きな災いを招く気がします。{player}さん、私たちも犯人を捜しましょう。
vo_adv_1220002_035.m4a|まずは被害者の方に聞き込みに行ってみましょう。現場付近で、何か目撃している霊もいるかもしれません。
vo_adv_1220002_036.m4a|被害に遭った方に話を聞いてみたところ、みなさん、占い師の開運グッズを買うと続いていたトラブルが急に止んだという話でしたね。
vo_adv_1220002_037.m4a|魔除けのペンダントに、不幸を吸い込む神秘のマナ壺。悪夢を見なくなる安眠枕に、名状しがたい芸術的な謎の像と。
vo_adv_1220002_038.m4a|ええ。でも、気になるのは……どの品物にも魔除けの力は感じられなかったことです。
vo_adv_1220002_039.m4a|むしろ、魔力の痕跡は呪詛に近いものでした。この感じは、どこかで……
vo_adv_1220002_041.m4a|……ここで考えていても、事態は進展しませんね。もっと手掛かりが得られれば、何か分かるかもしれません。
vo_adv_1220002_042.m4a|犯人が動くのは、決まって相手が一人の時みたいですからここは私たちも二手に分かれて捜しましょう。
vo_adv_1220002_043.m4a|ただ、犯人もかなりのやり手みたいです。あなたは人がいいですから、口車に乗せられたり騙されたりしないよう、気をつけてください。
vo_adv_1220002_048.m4a|{player}さん、ここにいたんですね。あの、そちらの方は……
vo_adv_1220002_051.m4a|私たちが捜している占い師の特徴と一致しますね。ということは……
vo_adv_1220002_054.m4a|ええ、行きましょう。早くあの人を止めないと……！
vo_adv_1220002_055.m4a|さっき近づいてみて、はっきり分かりました。あの水晶は幽霊船に積まれていた宝……幽霊の海賊たちを繋ぎとめていた呪いの一部です。
vo_adv_1220002_056.m4a|被害者が遭っていた不幸やケガも……すべてあの水晶の力で引き起こしていたんです。
vo_adv_1220002_057.m4a|あの人がやっているのは占いなんかじゃありません。他人を不幸にする呪いだったんです。
vo_adv_1220002_058.m4a|最初に占うフリをしてお客さんに呪いをかけ、高額な商品を買わない限り、呪いを解かないようにすれば……予言の通りに不幸な結果が訪れます。
vo_adv_1220002_059.m4a|つまり、あの人が言っていた悪霊の被害や不幸というのは、呪いによるでっちあげ……自作自演によるものだったんです。
vo_adv_1220002_060.m4a|でも……どんな呪いにも反動はつきものですから。強力な呪詛であればあるほど、使う代償を求めるもの……
vo_adv_1220002_061.m4a|早く呪いを解かないと……これ以上、被害が広がる前に。
vo_adv_1220002_064.m4a|この魔力は……！あの人、暴走してる……！？
vo_adv_1220002_067.m4a|くぅっ……！
vo_adv_1220002_069.m4a|大丈夫、この人が私に気を取られているうちに……！{player}さんっ！
vo_adv_1220002_070.m4a|攻撃が止んだ……！　はああぁっ！！
vo_adv_1220002_071.m4a|はぁ、はぁ……あの水晶を壊しました……これで、呪いは解けたはず……
vo_adv_1220002_073.m4a|よかった……気がついたみたいです。あとは、騎士団に任せましょう。
vo_adv_1220002_074.m4a|すみません、私のせいでご迷惑をかけちゃいましたね。
vo_adv_1220002_075.m4a|そうだ。少しこちらへ来ていただけませんか？……そこで大丈夫です。
vo_adv_1220002_076.m4a|今、あなたにかかっていた呪詛を祓いました。さっき占い師に会った時にかけられていたみたいですね。
vo_adv_1220002_077.m4a|でも、騎士団の方から聞いた話によると幽霊船から引き揚げられた秘宝が他にもあるみたいです。
vo_adv_1220002_078.m4a|また今日みたいな事件が起きないとも限りません。だから、私……幽霊船の秘宝を集めて、解呪しようと思うんです。
vo_adv_1220002_079.m4a|ありがとうございます。すみません、もう少しだけ付き合ってもらえますか。
vo_adv_1220002_080.m4a|それで、その……この一件が全部終わったら……また改めて、私にご馳走させてくださいね。
vo_adv_1220003_000.m4a|ようやく集め終えましたね。幽霊船にあった呪いの秘宝はこれで全部みたいです。
vo_adv_1220003_001.m4a|この浜辺なら周囲の人を巻き込む心配はありませんから。見た感じだと、そこまで危険なものもなさそうですし。
vo_adv_1220003_002.m4a|では解呪の儀式を始めましょうか。{player}さん、私に強化をお願いします。
vo_adv_1220003_003.m4a|ふぅ……解呪が終わりました。最後はこの指輪ですね。
vo_adv_1220003_004.m4a|呪いを解いてしまいましょう。……えいっ。
vo_adv_1220003_007.m4a|この指輪に囚われていた方のようですね。お頭……ということは、海賊さんたちのお知り合いでしょうか？
vo_adv_1220003_010.m4a|えっと、詳細を省いてとりあえず今の状況だけ説明しますと……
vo_adv_1220003_012.m4a|あなたは、あの海賊さんたちの仲間……なんですよね。
vo_adv_1220003_014.m4a|指輪に残っている魔力のおかげだと思います。{player}さんにも見えていますよね。
vo_adv_1220003_015.m4a|指輪の呪い自体は解呪してしまったので、残っている魔力が尽きれば消えてしまいますが……
vo_adv_1220003_019.m4a|……分かりました。この指輪、お預かりします。
vo_adv_1220003_021.m4a|……消えて、しまいましたね。この指輪だけ残して。
vo_adv_1220003_022.m4a|ええ。お店の名前は聞けませんでしたが……この海岸にあるお店は、一件しかなかったはずですから。
vo_adv_1220003_024.m4a|美人な店主と聞いて、父も珍しくやる気を出していますし。でも、この近くにあるお店って確か……
vo_adv_1220003_025.m4a|ええ。あの時は騒ぎでとても食事どころじゃなかったですけど。こちらの女将さんに指輪を渡してほしいとのことですが……
vo_adv_1220003_029.m4a|お父さんはちょっと黙ってて。……その節はご迷惑をおかけしてすみません。今日は女将さんにお話がありまして。
vo_adv_1220003_031.m4a|やっぱり海賊さんたちとお知り合いだったんですね。
vo_adv_1220003_036.m4a|あ、はい。ごちそうさまでした。とても美味しかったです。
vo_adv_1220003_037.m4a|あの、それでもう一つ……女将さんに、この指輪を届けてほしいと依頼を受けていまして。
vo_adv_1220003_040.m4a|女将さん……
vo_adv_1220003_044.m4a|女将さん。その指輪を贈った方にもし、会えるとしたら……会いたいですか？
vo_adv_1220003_046.m4a|この指輪にはまだ魔力が残っています。放っておけばいずれ消えてしまいますが……今ならまだ、間に合うと思います。
vo_adv_1220003_047.m4a|幽霊船に魂を縛り付けていた呪いの力……それを利用することで、みなさんを一時的に呼び戻せるかもしれません。
vo_adv_1220003_049.m4a|うん、だから手伝ってほしいの。お父さんと、{player}さんにも。
vo_adv_1220003_050.m4a|ありがとうございます。少しだけ私のわがままに付き合ってください。
vo_adv_1220003_051.m4a|今から、私の力と指輪に残された魔力を使ってみなさんの魂を呼び出します。
vo_adv_1220003_053.m4a|私の術で一時的に呼び戻させてもらいました。あの……お預かりしていた指輪、お返ししますね。
vo_adv_1220003_054.m4a|この指輪には、大切な想いが込められてると思いますから。それは……あなたの口からお伝えしてあげてください。
vo_adv_1220003_065.m4a|ええ。お仲間のみなさんも、固唾を飲んで女将さんへのプロポーズを見守られていました。
vo_adv_1220003_072.m4a|はい。とても賑やかで……みなさんの笑顔が見られてよかったです。
vo_adv_1220003_073.m4a|ありがとうございます。私のわがままに付き合ってもらって。
vo_adv_1220003_074.m4a|私たちが受けた依頼は指輪を渡すこと……そこから先は依頼されていませんでしたから。
vo_adv_1220003_075.m4a|でも、この夢が叶うのは一晩だけ。みなさん明日の夜明け頃には、もう……
vo_adv_1220003_076.m4a|ご存じです。女将さんも、旦那さんも、海賊のみなさんも。この楽しい時間が、夜明けまでは保たないだろう事も。
vo_adv_1220003_077.m4a|……私、本当はみなさんを呼び出すか迷っていたんです。
vo_adv_1220003_078.m4a|旦那さんから指輪を託された時、私の手にはとても重たかったんです。いえ、指輪の重さ自体の話ではなくて。
vo_adv_1220003_079.m4a|人が、最期になると思って遺すもの……その重みは、決して軽いものではなくて。
vo_adv_1220003_080.m4a|私がもう一度呼び出してしまうことで託してくれた覚悟を、決意の気持ちを……台無しにしてしまうような気がしたんです。
vo_adv_1220003_081.m4a|……でも、あなたに手伝ってもらって、ここにいるみなさんの楽しそうな姿を見て、これでよかったんだって思えました。
vo_adv_1220003_082.m4a|それに……たとえ一夜の夢だとしても、愛する人に会いたいと……私も、そう思ってしまうかもしれませんから。
vo_adv_1220003_084.m4a|それは……秘密にしておきます。
vo_adv_1220003_085.m4a|さぁ、私たちもお二人をお祝いしに行きましょう。
vo_adv_1220003_088.m4a|これは……指輪、ですか？でも、私たちが持ってきたのとは違う物ですね。
vo_adv_1220003_090.m4a|そんな大切な物、いいんですか？
vo_adv_1220003_093.m4a|分かりました。この指輪……ありがたく受け取りますね。
vo_adv_1220003_097.m4a|女将さん、とてもうれしそうでしたね。みなさんと海を旅した思い出を昨日のことのようにお話しされていました。
vo_adv_1220003_098.m4a|私も、ずっと先の……何十年も先の未来であなたと旅したことを思い出すんでしょうか。
vo_adv_1220003_099.m4a|一人で思い出すのは寂しいですね。叶うなら、あなたと一緒に思い出話をしたいです。
vo_adv_1220003_100.m4a|思い出……ううん、違いますね。私は、ずっとこの先もあなたと一緒にお話しし続けたいです。
vo_adv_1220003_101.m4a|思い出話なんかじゃなくて、ずっとずっと、今ここのお話として。
vo_adv_1220003_102.m4a|……はっ！こ、こんなこと言ったらまるでプロ……
vo_adv_1220003_103.m4a|なっ、なんでもありません！気にしないでください。
vo_adv_1220003_104.m4a|でも、言ったことは本当ですよ？私はずっと、その……あなたと一緒に、過ごしたいですから。
vo_adv_1220004_000.m4a|今日はとても静かですね。あんなに騒がしかったのが嘘みたいです。
vo_adv_1220004_001.m4a|ここしばらくは忙しかったですから。骨休めに、のんびりするのはどうかと思いまして。
vo_adv_1220004_002.m4a|しかし、いい天気ですね。太陽が少しまぶしいくらいです。それに……なんだか眠気も……
vo_adv_1220004_082.m4a|あの、起きてください。風邪をひいてしまいますよ。
vo_adv_1220004_083.m4a|あ、目が覚めたみたいですね。おはようございます。
vo_adv_1220004_084.m4a|海を眺めているうちに眠ってしまったみたいですね。
vo_adv_1220004_085.m4a|……まだ眠たいんですか？でしたら、膝枕でもしましょうか。
vo_adv_1220004_086.m4a|今回はとても助けていただいたので、こんなものでお礼になるか分かりませんが……どうぞ。
vo_adv_1220004_087.m4a|……本当にお疲れだったんですね。すぐに寝てしまいました。
vo_adv_1220004_088.m4a|……いつもありがとうございます。あなたとこうやって海を眺めたこと、一緒に冒険したこと。ずっと忘れないよう、記憶に焼き付けますから。
vo_adv_2111002_002.m4a|ミヤコさん。それは、ちょっとガマンしてください。
vo_adv_2111002_008.m4a|はい。ですので私の占いで、おおよその方角だけ推測して……
vo_adv_2111002_016.m4a|……前にも、コッコロさんたちにはご説明しましたが……私の占いは、明日の天気を予想する程度のあやふやなものでしかありません。
vo_adv_2111002_018.m4a|なので……より確実に、より手早く、お仲間の行方を占うのでしたら。
vo_adv_2111002_019.m4a|……お父さん。起きているんでしょう、お父さん。
vo_adv_2111002_022.m4a|このドクロは、私の父です。占いの的中率は高いのですが、やる気にムラがあって……
vo_adv_2111002_038.m4a|不安なお気持ちは、ごもっともですが。お父さんやる気になったら、アテにできると思います。それよりも……
vo_adv_2111002_054.m4a|お父さん、静かに。
vo_adv_2111002_073.m4a|我々には、実感の湧きにくい話でしたが。あの女性が{player}さんたちと敵対しているというのでしたら、見過ごせませんね。
vo_adv_2111002_081.m4a|{player}さん、あぶない……！
vo_adv_2111003_014.m4a|あれは……空間転移の魔法陣！？
vo_adv_2111003_020.m4a|あぁっ！{player}さんが、ユイさんたちを追って……！
vo_adv_2111003_027.m4a|仕方ありません。我々も追いかけましょう。
vo_adv_2111003_043.m4a|イ、イリヤさん？
vo_adv_2111003_052.m4a|お父さん……
vo_adv_2111003_064.m4a|『第一回戦は、何人でも参加できます。種目は……』
vo_adv_2111003_067.m4a|種目は……『大縄跳び』？
vo_adv_2111005_096.m4a|ここは……ランドソル？
vo_adv_2111005_098.m4a|確か、二回戦の内容は……
vo_adv_2111005_101.m4a|お父さん、黙って。まずはルールを確認しなくては……
vo_adv_2111005_102.m4a|……どうやら、鬼はこちらのようですね。逃げる彼女を、私たちが捕まえれば良い……と。普通は、子のほうが鬼より多いものですが……
vo_adv_2111005_104.m4a|……今さら悔やんでも仕方ありませんが……一回戦で、戦力を投入し過ぎましたね。
vo_adv_2111005_105.m4a|ルールでは、{player}さん以外は全三回戦のうち一度しか参加できないそうですし。ゲームが得意なヨリさんを、切り札として温存するとなると……責任重大ですね。
vo_adv_2111005_108.m4a|……私の足では、{player}さんから強化をもらったとしても……追いつけそうにありませんね。
vo_adv_2111005_110.m4a|逃げる女の子を追いかけたいのはお父さんの通常営業です。私は、まだ焦る必要はないと思っています。
vo_adv_2111005_111.m4a|ミソラさん……でしたか。お父さんが本気を出して占ってくれれば、彼女の行方を掴むことは難しくないと思いますし。それに──
vo_adv_2111005_112.m4a|ここまでの発言を振り返ってみると、ミソラさんはあまり勝ちにこだわるタイプではなく。過程を楽しみたい性格だと思いました。
vo_adv_2111005_114.m4a|つまり、ですね。彼女は勝つために最善の、あるいは狡猾な手段を取るよりも、私たちとの駆け引きやスリルを選ぶだろうということです。
vo_adv_2111005_115.m4a|あちらは先ほど一勝して、余裕があるわけですし。……そもそも、彼女の最大の目的がユイさんの拉致ならこんな勝負なんてする必要がないですからね。
vo_adv_2111005_116.m4a|ふふ。占い師には、人を見る目が必要ですから。
vo_adv_2111005_117.m4a|……{player}さん。今後も彼女と戦うのなら、今の話を覚えておいてください。何かのヒントになるかもしれません。
vo_adv_2111005_118.m4a|そして……
vo_adv_2111005_119.m4a|{player}さんがいれば、この鬼ごっこにも勝機を見出せると思います。
vo_adv_2111005_120.m4a|{player}さんは……その。お知り合いが、とても多いですから。
vo_adv_2111005_121.m4a|ルール説明には、『飛び入り参加は自由です』とあります。これを活かさない手はありません。{player}さんなら、この近辺にも、手助けをしてくれるお知り合いがいるのでは？
vo_adv_2111005_125.m4a|お父さん……？急にどうしたんですか。ついに昇天するんですか？
vo_adv_2111005_127.m4a|……ただの、いつもの発作ですか。こちらに向かっているということは、逃走中のミソラさんでは無いでしょうが……
vo_adv_2111005_130.m4a|あ。あの子は……
vo_adv_2111005_145.m4a|本当に……お知り合いが多いんですね。驚きです。……少し、妬けてしまいそう……
vo_adv_2111005_146.m4a|っと、そうではありません。{player}さんの人徳で、ちょうど良い加勢を得られそうです。……ね？
vo_adv_2111006_012.m4a|わかりました。時間が限られていますので、手短にですがご説明を──
vo_adv_2111006_015.m4a|ミソラさんは……その。かなり、お父さん好みのプロポーションでしたから。彼女が逃げた方角を割り出すことは、きっと簡単です。
vo_adv_2111006_016.m4a|ですが、私と{player}さんだけでは追い詰めるのが難しく……困っていたところなのです。
vo_adv_2111006_020.m4a|お父さん？ミソラさんの行方を占ってもらいたいんですが……
vo_adv_2111006_024.m4a|……これは……
vo_adv_2111006_025.m4a|……お父さんに、生気がありません……いえ、もともとドクロなので生気がなくて当然ではあるのですが。それにしても……
vo_adv_2111006_027.m4a|そんな、近所迷惑になりそうなことを……お父さん、何かショックなことでもあったんですか？……あ……
vo_adv_2111006_030.m4a|お父さん、もしかして……
vo_adv_2111006_031.m4a|どうして落ち込んでいるのかと思ったら。そんな、くだらない……
vo_adv_2111006_040.m4a|……困りました。お父さんがこの調子では、ミソラさんの行方を占えそうにありません。私たちだけで捜すには、半径300mは広すぎます。
vo_adv_2111006_044.m4a|え？ミソラさんの？でしたら……映像魔法で……
vo_adv_2111006_054.m4a|こうも簡単に、協力を得られるなんて……人望があるのですね、モニカさん。
vo_adv_2111006_064.m4a|これだけたくさんの人が協力してくれるなら、きっとミソラさんを見つけられますね。
vo_adv_2111006_091.m4a|……！ミソラさん……！
vo_adv_2111006_099.m4a|ネネカさんの、分身……！
vo_adv_2111006_109.m4a|捕まえました……！
vo_adv_2111006_116.m4a|もう、時間がありません……！お父さん、やる気を出して！
vo_adv_2111006_121.m4a|で、ですが、私だけでは成功率が……いえ。あなたが言うなら、やってみます。どうか、力を──
vo_adv_2111006_122.m4a|…………
vo_adv_2111006_123.m4a|あの路地裏の奥から、楽しげにこちらを眺めているミソラさん……！おそらく、本物は彼女です……！
vo_adv_2111006_129.m4a|ま、間に合いませんっ……！
vo_adv_2111007_001.m4a|……ミソラさんの空間跳躍で、強制的に戻されたようですね。
vo_adv_2111007_002.m4a|魔法陣の補助も使わず、これほど自在な転移ができるなら……鬼ごっこなど、負けようがないものを。彼女は、なぜ……？
vo_adv_2111007_006.m4a|これで、勝負は一勝一敗……どうにかヨリさんにバトンを繋ぐことができましたね。
vo_adv_2111007_014.m4a|さっきはプリンを出していましたが。どうなっているんでしょうか、あのがまぐちは……
vo_adv_2111007_027.m4a|ふらいとしむ……？
vo_adv_2111007_046.m4a|ヨリさん、頑張ってください……！
vo_adv_2111007_066.m4a|{player}さんの、『鉄の鳥』がっ……！
vo_adv_2111007_092.m4a|ミヤコさん？！一人で突っ込んだら、危ないですよ！
vo_adv_2111008_046.m4a|確かに、表面上は楽しんでいるように見えるかもしれません。ですが……
vo_adv_2111008_047.m4a|ミソラさん。あなたからは、虚無に近い諦念の気配を感じます。あなたの笑顔の奥には、限りなく濃い闇の色が見えます。
vo_adv_2111008_049.m4a|ミソラさん、あなたは──
vo_adv_2111008_055.m4a|ミヤコさんっ……！
vo_adv_2111009_002.m4a|先程、私たちが戦ったのと同じ区画ですね。ということは……
vo_adv_2111010_073.m4a|お父さんッ！？
vo_adv_2111010_130.m4a|私も、手伝います……！ネネカさんは知らない方でもありません。元に戻っていただかなければ……！
vo_adv_2111010_289.m4a|お父さん、お父さん、しっかりっ……
vo_adv_2111099_033.m4a|お父さんの額に空いた穴も、塞がなくてはなりません。接着剤と、お茶碗のカケラか何かで……
vo_adv_2111099_036.m4a|えっ？
vo_adv_2111099_045.m4a|お父さん。最低です。
vo_adv_5064004_044.m4a|正しくは父が霊媒師で、私はそれを手伝っているだけなのですが──
vo_adv_5064004_045.m4a|──そうですね。霊にまつわる相談を受けてそれに対処する、といった感じです。具体的には祈祷や祓魔、交霊、占術などが多いでしょうか。
vo_adv_5064004_049.m4a|学友……？　ここは女子校ではないのですか？
vo_adv_5064004_055.m4a|お騒がせしてすみません。私の父です。
vo_adv_5064004_058.m4a|はい。眼窩から血涙のような霊気を流しているそれが私の父です。
vo_adv_5064004_060.m4a|いえ、正当防衛ですし、父はパーでもグーでもこれ以上死にませんので気にしないでください。
vo_adv_5064004_062.m4a|幻肢痛のようなものは感じるみたいですが、基本的には愉快なリアクション芸だと思っています。
vo_adv_5064004_069.m4a|お父さん。
vo_adv_5064004_071.m4a|お父さん。
vo_adv_5064004_076.m4a|いえ、法廷沙汰にならなかっただけでも、恩情に感謝します。そして父はトーでもヒールでもこれ以上死なないので大丈夫です。
vo_adv_5064004_078.m4a|みなさん、父がお騒がせして本当にすみません。娘として恥ずかしい限りです。
vo_adv_5064004_085.m4a|霊障です。言語ではないと思ってください。
vo_adv_5064004_087.m4a|概ねそのようなものです。耳にさえ入れなければ実害はないので、どうかお気になさらず。
vo_adv_5064004_089.m4a|お仕事です。ある方から依頼を受けて……
vo_adv_5064004_092.m4a|それは……すみません、詳しいことは契約違反になるので言えないんです。
vo_adv_5064004_097.m4a|それは……
vo_adv_5064004_099.m4a|すみません。私はお断りしたかったのですが、父が仕事は仕事だと言って……
vo_adv_5064004_101.m4a|しかも、父が前金で結構な額の報酬を受け取っていて……
vo_adv_5064004_103.m4a|私は返金したかったのですが、父が勝手に前金で豪遊していて……
vo_adv_5064004_111.m4a|お父さん。お願いだからもう黙って。そして永遠に喋らないで。
vo_adv_5064004_113.m4a|お父さんっ！あ……それではみなさん、父を追うので私も失礼します。ごきげんよう。
vo_adv_5076002_109.m4a|はあはあ……やっと見つけましたよ、ミヤコさん……こんなところに連れてこられてたんですね……
vo_adv_5076002_110.m4a|あ……{player}さんも？それに……みなさんお揃いで、どうしたんですか？
vo_adv_5076002_112.m4a|ちょっと黙ってて、お父さん。{player}さんが話せないから、静かにして。
vo_adv_5076002_113.m4a|そう、ですか……なにやら大変そうですね。
vo_adv_5076002_115.m4a|っ！？
vo_adv_5076002_117.m4a|……今一瞬だけ、破滅の相が見えました。{player}さん、なにか私たちもお手伝いしましょうか？
vo_adv_5076002_122.m4a|お父さん……みっともないからやめて。
vo_adv_5076002_124.m4a|ふふ、そうでしたね。といってもミヤコさんは、ずっとプリンを食べてるだけですけど。
vo_adv_5076002_126.m4a|そういうことにしておきましょうか。それではすみません。私たちはこれで……
vo_adv_5076002_129.m4a|{player}さん、さきほどの相のことは、あまり深く考えないでください。
vo_adv_5076002_130.m4a|このあとの父の命運についてのことだったと思いますから。
vo_adv_5084630_000.m4a|……ええ、はい。そうですね、霊のみなさん。いざとなったら、私とみなさんと、お父さんにもお願いして、あの人を夢の中から連れ戻しましょう。
vo_adv_5084630_001.m4a|……心配しすぎ、ですか？　……たしかにあの人は、今までたくさんの窮地を乗り越えてきました。私の占いでも悪いことは起こらないと出ていましたが、それでも……
vo_adv_5084630_002.m4a|……ごめんなさい。冷静じゃない、ですよね。私、自分で思ってる以上にあの人に甘えてたみたいで。こうして言葉を交わせなくなるだけで、つい不安になってしまって……
vo_adv_5084630_003.m4a|『視える』私を、霊のみなさんを、ありのまま受け入れてくれる、ほんとうに特別な人だから……
vo_adv_5085002_030.m4a|すみません。騒がしくしてしまって……少ししたらちゃんと連れ帰りますので。
vo_adv_5085002_031.m4a|お父さんも、静かにしていてね。
vo_adv_5085002_033.m4a|{player}さん……占っても、何も見えない……いいえ、これは……何か大きなものが映っている……？大きすぎて……見通せない、というのでしょうか……
vo_adv_5092000_004.m4a|どうも。お呼び立てしてすみません。ですが、あなたにどうしてもお伝えしておきたいことがあるのです。
vo_adv_5092000_005.m4a|実は……しばらくの間ランドソルを離れることになりました。
vo_adv_5092000_006.m4a|きゃっ、ち、近い……顔、近いです{player}さん……
vo_adv_5092000_008.m4a|もう、お父さん。弱っている時に騒いじゃダメだって言ったじゃない。
vo_adv_5092000_010.m4a|大丈夫、お父さんを見捨てたりなんかしないから。だから少しの間静かにしててね。
vo_adv_5092000_011.m4a|……すみません、お見苦しいところをお見せしました。これがランドソルを離れる理由です。
vo_adv_5092000_012.m4a|見てのとおり父は今、非常に弱っている状態です。原因は仕事で力を使い過ぎたことだと思われます。
vo_adv_5092000_013.m4a|私が未熟なばかりに、父に負担をかけ続けてしまったせいで……
vo_adv_5092000_015.m4a|お父さん……ですので弱体化した父を元に戻すため、世界中の霊場を巡ろうかと思っているのです。
vo_adv_5092000_016.m4a|霊気に満ちた場所に行けば、父の力も元に戻るかもしれません。ですがどれだけ巡ればいいのか見当もつかないので、長い旅になることも考えられます。
vo_adv_5092000_018.m4a|何言ってるのお父さん。親子なんだから当然でしょ。
vo_adv_5092000_019.m4a|私も寂しいです……でも、そんなことを言っている場合ではありません。父のために一刻も早く力を取り戻さないといけませんから。
vo_adv_5092000_021.m4a|もう、お父さん……ですが今回ばかりは父に賛成です。これは家庭の問題、いつ終わるとも知れない旅にあなたを付き合わせるわけにはいきませんから。
