vo_adv_1040009_000.m4a|HEY　YO！　私！　前途洋々！ニューフレンド！　自然とあがる抑揚！
vo_adv_1040010_017.m4a|そ、そうですか……本気なんですね……こうなったら当たって砕けろ！やれるだけやってみますよ、ええ！！！
vo_adv_1040010_018.m4a|あ……あの……
vo_adv_1040010_020.m4a|その……えっと…………
vo_adv_1040010_022.m4a|きょ、今日は天気が……てて……て……てん………………
vo_adv_1040010_023.m4a|天上天下唯我独尊の助～～～！！
vo_adv_1040010_025.m4a|はあ～～……何回やっても、声をかけようとするだけで、なに一つ話せないまま足が勝手に……やっぱり私はダメダメです……
vo_adv_1040010_026.m4a|{player}さんと出会った頃からまったく成長できていません……！
vo_adv_1040010_027.m4a|{player}さん……優しいですね……そう言っていただけるのはうれしいです……
vo_adv_1040010_028.m4a|でも……せっかく街に来たのに、友達を作れないどころか誰にもまともに話しかけられないなんて……
vo_adv_1040010_029.m4a|やっぱり私は、本当にダメダメですね……こんな私のことなんて、誰も見てくれないでしょうし……だからいつまでもぼっちなんですよね……
vo_adv_1040010_030.m4a|そうだ、次に来た時は声くらいはかけられるように、その練習だけして帰りましょう。
vo_adv_1040010_031.m4a|そのへんにあるゴミを集めて……こうやって……よいしょ……！そしてこうすれば……！
vo_adv_1040010_032.m4a|できました！街で人と話す練習用の『だいじょぶマイフレンドくん』！名付けて『だいじょぶシティフレンドさん』です！
vo_adv_1040010_033.m4a|えへへ。いつも『だいじょぶマイフレンドくん』のメンテナンスをしているので、こういう作業は得意なんです。
vo_adv_1040010_034.m4a|友達もこれくらいうまく作れたらいいんですけどね……はは……はははははは……
vo_adv_1040010_035.m4a|っと、落ち込んでる場合ではないですね……！さっそく『だいじょぶシティフレンドさん』と会話の練習をするので見ていてください──
vo_adv_1040010_037.m4a|ひゃああ～っ！？え……！？　え……？
vo_adv_1040010_039.m4a|え、えっと……これは……その……
vo_adv_1040010_042.m4a|そ、そそそ、そうですね～……！これはまず、こうやって──
vo_adv_1040010_045.m4a|そ、そう言ってもらえると光栄……こ、ここ……こけこっこー！
vo_adv_1040010_048.m4a|ば、ばいば～い！
vo_adv_1040010_049.m4a|……あの子たち、とてもキラキラした目で私が『だいじょぶシティフレンドさん』を作るのを見ていましたね……！
vo_adv_1040010_050.m4a|いえいえいえいえいえいえいえいえ！！！そんなことは全然ありません！
vo_adv_1040010_051.m4a|でも……私みたいなぼっちと話したりしても楽しくないでしょうし、落胆させてしまうんじゃないかとひやひやしちゃって。
vo_adv_1040010_052.m4a|なんとか楽しんでもらえたみたいなのでよかったですが……
vo_adv_1040010_053.m4a|え……？そ、そっか……たしかに……！逃げないで最後まであの子たちと話せましたもんね……！
vo_adv_1040010_054.m4a|そっか……！私、ちゃんと成長してたんだ……！
vo_adv_1040010_055.m4a|{player}さん！私、がんばってみます！
vo_adv_1040010_056.m4a|すぐにはうまくいかないかもしれませんが、いつかちゃんと友達を作ってみせますから！近くで見ていてください！
vo_adv_1040010_057.m4a|はいっ！
vo_adv_1040010_058.m4a|ところで……すみませんが、手を貸していただけませんか……？さっきの子たちから声をかけられた時に、びっくりしすぎて腰が抜けちゃって……
vo_adv_1040011_000.m4a|よ、よお～し……！今日もＢＢ団の活動、がんばるぞお～……！
vo_adv_1040011_001.m4a|昨日は３人と逃げないであいさつできたし……！今日は５人とあいさつして、さらにもう一言だけでもお話しするのを目標にしたいです……！
vo_adv_1040011_002.m4a|はいっ……！今はまだ怖くて足も声も震えちゃいますけど、少しずつ慣れていきたいなと思います……！
vo_adv_1040011_003.m4a|そうやって、いつかちゃんと友達を作ってみせますから……！あっ、見てください{player}さん！きれいな星が出てますよ！
vo_adv_1040011_004.m4a|まるで、私たちの未来を祝福するみたいに……って、あれ？　よく考えたら、まだお昼ですよね……？なのに星が光ってるって、なにかおかしいような……？
vo_adv_1040011_005.m4a|もしかしてこれって、星じゃない……！？ううっ、まぶしいっ……！
vo_adv_1040011_061.m4a|う～ん……はっ！？私、寝ちゃってました！？
vo_adv_1040011_062.m4a|{player}さんも……一緒に寝ちゃったんですね。起こすのも悪いですし、起きるまで待つことにしようかな……
vo_adv_1040011_063.m4a|ふふ、幸せそうな顔で寝てますね。この顔を見てると……
vo_adv_1040011_064.m4a|あれ……？なんだか恥ずかしくなってきたような……？
vo_adv_1040011_065.m4a|なんでだろう……？うれしいような、恥ずかしいような、そういう夢を見ていたから……？
vo_adv_1040011_066.m4a|うぅ……無性にいますぐ逃げ出したい気持ちになってきました……！でも団長さんを置いていくわけにもいかないし……
vo_adv_1040011_067.m4a|団長さ～ん！は、はやく起きてくださ～い！
vo_adv_1040012_001.m4a|こ、こここ……こんにちはっ！えっと、その……！　本日も天気が、いいですねっ！
vo_adv_1040012_003.m4a|は、はい……っ！あ、あり……ありがとうございますっ！
vo_adv_1040012_005.m4a|ひゃあああっ……！　こ、ここ、こんにちは……っ！調子は……えっと、その……ぼちぼちです……っ！
vo_adv_1040012_007.m4a|あ、ああ……！　ありがとうございますぅ～～～……っ！
vo_adv_1040012_010.m4a|は、はい……っ！　よろこんでぇ～……っ！
vo_adv_1040012_011.m4a|す、すごい……！私、街の人たちとあいさつを……それに、かか、会話が成立している気がします……！
vo_adv_1040012_012.m4a|はいっ！でも、これもきっと私一人じゃできなかったことなので！{player}さんのおかげです！
vo_adv_1040012_013.m4a|この調子でがんばっていけば、きっといつか友達だって……
vo_adv_1040012_014.m4a|友達……だって……
vo_adv_1040012_015.m4a|い、いえ……！たいしたことじゃないので！　お気になさらず！
vo_adv_1040012_016.m4a|たしかに友達はできるかもしれないけど……もし友達がいっぱいできて、私がぼっちじゃなくなったら……
vo_adv_1040012_017.m4a|ＢＢ団は、どうなっちゃうんだろう……？
vo_adv_1040012_018.m4a|『バイバイぼっち』をするために作ったのがＢＢ団……ということは、友達がいっぱいできて、ぼっちじゃなくなったら……きっとＢＢ団はなくなっちゃう……
vo_adv_1040012_019.m4a|たしかに、友達はほしいけど……でも……
vo_adv_1040012_020.m4a|{player}さんと一緒に友達を作ろうといろいろがんばる時間は、私にとって特別で……なくなってほしくない、これからもずっと続いてほしいよ……
vo_adv_1040012_021.m4a|こんなの、きっとよくないってわかってる。きっと{player}さんも喜ばない。でも……
vo_adv_1040012_022.m4a|このまま友達を増やさなければ……ＢＢ団はなくならないし、{player}さんとずっと……
vo_adv_1040012_024.m4a|ひゃ、ひゃいっ！？どどど、どちらさまでしょうか！？
vo_adv_1040012_026.m4a|ま、街のかたが森に……！？まさか……！　ついに私がぼっちだとバレて、この森まで私を狩りに来たとかですか……！？
vo_adv_1040012_029.m4a|あ、ああ～なるほど……！あの子たちの……！　こちらこそいつもお世話になってます……！それで、こんなところまでどうしたのでしょう……？
vo_adv_1040012_032.m4a|え……？
vo_adv_1040012_033.m4a|私のところにも来ていません……ということは、森で迷ってしまったのかも……！？
vo_adv_1040012_034.m4a|事情はわかりました、私、すぐ捜してきます……！お母さんはここで待っていてください！
vo_adv_1040012_035.m4a|捜すといっても森は広いし……ここは植物のみんなに聞いてみましょう……！
vo_adv_1040012_036.m4a|エルフの森の木々や草花、それに動物のみなさん……！迷子の子どもたちがいるはずなのですが……どこにいるのか教えていただけないでしょうか……！
vo_adv_1040012_037.m4a|そ、そんな……！？森の奥で凶暴な魔物に……！？急がなくっちゃ……！
vo_adv_1040012_040.m4a|させません！はぁああ！！
vo_adv_1040012_041.m4a|間に合いましたね……！よかった……！
vo_adv_1040012_043.m4a|すみません、遅くなってしまいました！でも、もう大丈夫です！　私の後ろに隠れてください！
vo_adv_1040012_044.m4a|さあ、いきますよ！……それっ！
vo_adv_1040012_045.m4a|全然効いてない……！？なら、これでどうですっ！　えい、えいっ！！
vo_adv_1040012_046.m4a|いけない、反撃が来る……！せめてこの子たちだけでも守らないと……！
vo_adv_1040012_047.m4a|きゃああああっ……！
vo_adv_1040012_048.m4a|ああ……これはきっと罰が当たったんですね……ＢＢ団をなくしたくなくて自分勝手なことをしたから……
vo_adv_1040012_049.m4a|だから一人で戦ってこんなことになって……私は、{player}さんがいないと何もできません……
vo_adv_1040012_050.m4a|こんな時に団長さんがいてくれたら……うぅ……
vo_adv_1040012_051.m4a|だ、団長さーーーーんっ！
vo_adv_1040012_052.m4a|だ、団長さん……！　どうして……？
vo_adv_1040012_053.m4a|友達の……そっか、そうですよね！私と団長さんは友達で、友達同士は助け合うのが当然、そうですよね……！
vo_adv_1040012_054.m4a|そうだよ、団長さんはこういう人だから、私と友達になってくれたんだ……！
vo_adv_1040012_055.m4a|きっと、団長さんならもしＢＢ団がなくなったとしても、それでもずっと友達でいてくれる……そうに違いない……！
vo_adv_1040012_056.m4a|それくらい、私たちはもう固い絆で繋がった友達だというのに……一瞬でも疑った自分が恥ずかしい……！
vo_adv_1040012_057.m4a|{player}さん、私思うんです。あなたとの絆の力があれば、どんな困難だって乗り越えられるって。
vo_adv_1040012_058.m4a|だから、きっとこんな魔物くらい、簡単にやっつけられるはず……！力を貸していただけますか？
vo_adv_1040012_059.m4a|ありがとうございます……！それじゃあ、いきますっ……！
vo_adv_1040012_060.m4a|団長さんの力を通して感じます……！私たちの、結ばれた絆の強さを……！
vo_adv_1040012_061.m4a|そのおかげで確信できました……！ＢＢ団の絆は……！　永遠に不滅なことを……！
vo_adv_1040012_062.m4a|団長さんと私の全身全霊を込めたこの一撃で、いま、それを証明してみせます……！
vo_adv_1040012_063.m4a|はあぁぁぁああああ～～～……！
vo_adv_1040012_064.m4a|いっけぇぇええ～～～っ！！！
vo_adv_1040012_066.m4a|いえ、何も言わずに街に顔を出さなくなった私にも責任がありますから……気にしないでください。
vo_adv_1040012_070.m4a|お、おともだち……っ！そうでしたか……！あなたたちは、私を友達だと思ってくださってたんですね……！
vo_adv_1040012_071.m4a|二人とも、気にしなくていいんですよ……！友達のピンチに駆け付けるのは、当然のことなんですから……！
vo_adv_1040012_073.m4a|ふふっ、ありがとうございます。その時を楽しみにしてますね！
vo_adv_1040012_076.m4a|はい、また街で会いましょうね！
vo_adv_1040012_077.m4a|ふふっ、あの子たちともいつの間にか友達になってたんですね。やっぱり私にはまだまだどこからが友達なのか、わからないみたいです。
vo_adv_1040012_078.m4a|本当は、もっと友達がどういうものなのか、団長さんと一緒に勉強していきたかったのですが……
vo_adv_1040012_079.m4a|{player}さん以外にも友達ができてしまったので、ＢＢ団は解散、なんですよね……？
vo_adv_1040012_080.m4a|えっ……？そうなんですか……？
vo_adv_1040012_081.m4a|……そっか、えへへ。私の早とちりだったんですね……！
vo_adv_1040012_082.m4a|よかった！これからも{player}さんと一緒に、友達を作っていけるんですね！
vo_adv_1040012_083.m4a|あの……改めてこういうのもなんだか変かもしれませんが……
vo_adv_1040012_084.m4a|これからも、よろしくお願いしますね。団長さん♪
vo_adv_1167001_000.m4a|……よし！　……よし！　……よし！
vo_adv_1167001_002.m4a|わっ！？
vo_adv_1167001_004.m4a|ひいっ！？
vo_adv_1167001_006.m4a|…………ほっ。
vo_adv_1167001_007.m4a|ひゃああっ～！？
vo_adv_1167001_008.m4a|はっ！？すみません、{player}さんでしたか……
vo_adv_1167001_009.m4a|人の多い空間にまだ慣れていなくて……大きな声に驚いてしまいました……
vo_adv_1167001_010.m4a|あ、でも。仕事の内容はだいぶ覚えてきましたよ。初めは分からないことだらけでしたが、落ち着いて作業できるようになってきました……！
vo_adv_1167001_011.m4a|そこで……思いついたことがあるんです……！
vo_adv_1167001_012.m4a|ここでアルバイトを始めたのは、『だいじょぶマイフレンドくんＶ４』をカスタマイズするためでした。
vo_adv_1167001_013.m4a|ですが、一日中ベルトコンベアとにらめっこし、自分自身と向き合う時間が増えたことで、もう一つの目標を見つけました……！
vo_adv_1167001_014.m4a|そう、それは……バイト仲間を作ることですっ！
vo_adv_1167001_015.m4a|『明るくて楽しいアットホームな職場です！』などと、募集チラシに笑顔で載っている集合写真にまざれるような……そんなバイト仲間作りに挑戦してみたいんですっ！
vo_adv_1167001_016.m4a|バイト仲間は、友達とはちょっと違いますが、脱ぼっちという意味では、ＢＢ団にとって大事なことだと思います……！
vo_adv_1167001_017.m4a|はいっ！　ＢＢ団の一員としてぼっち卒業を忘れたことは、一瞬たりともありません！　例えバイト中であっても……！
vo_adv_1167001_018.m4a|そのためにも、まずはしっかりと仕事を覚えなくてはいけませんね。バイト仲間は、友達とは違って職場で作るものですから。
vo_adv_1167001_019.m4a|ミスをして周りに迷惑をかけたりなんかした日には、バイト仲間の輪に入る門は、固く閉ざされてしまいます。
vo_adv_1167001_020.m4a|そして今の私は、閉じてしまった門を開ける術も持ち合わせていません。
vo_adv_1167001_021.m4a|もっとも、鍵のかかっていない門ですら、私には開けられませんが……
vo_adv_1167001_022.m4a|ですので……！バイト仲間の輪のほうから門を開けてもらい、招き入れてもらうんです！
vo_adv_1167001_023.m4a|そのために、一つのミスもすることなくテキパキと働いて、仕事で成果をあげなくちゃいけません！
vo_adv_1167001_024.m4a|というわけで仕事に戻りますっ！{player}さんも一緒にがんばりましょうっ！
vo_adv_1167001_025.m4a|……よし！　……よし！　……よし！……これも、よ……くはないですね。
vo_adv_1167001_026.m4a|このパーツは、背中に小さな傷がありました。確認に回したほうが良さそうですね。
vo_adv_1167001_027.m4a|ふふふ……たくさんの部品が次々流れてくるけど、全て見極められます！エルフの森で培った、弓使いとしての動体視力の良さを活かせてます！
vo_adv_1167001_028.m4a|人と会うのが怖いから、木に隠れて戦えるって理由で弓を始めたけど、まさかその選択が、こんなところで活きてくるとは！夜でも構わず、ヒカリゴケを目印に特訓してきた甲斐が……！
vo_adv_1167001_029.m4a|さあ、作業の続きをしましょう……！……よし！　……よし！　……よし！
vo_adv_1167001_032.m4a|……よし！　……よし！　……よし！　……よし！　……よし！……よし！　……よし！　……よし！　……よし！　……よし！……よし！　……よし！　……よし！　……よし！　……よし！
vo_adv_1167001_037.m4a|………………はっ！？
vo_adv_1167001_038.m4a|お昼休みのチャイムですか……？今日は午前中の仕事が、なんだか長く感じました……
vo_adv_1167001_039.m4a|お腹も空いたし、なにか食べなくちゃ。
vo_adv_1167001_042.m4a|あれ……？　チャイムが鳴ったのに、みなさんどうして作業を続けてるんだろう……？
vo_adv_1167001_043.m4a|休憩もなしで働き続けるなんて、大丈夫なんでしょうか？それともあれは、ただ鳴るだけで休めるわけではない、とか……？
vo_adv_1167001_044.m4a|もしかして、この職場……………………噂に聞くブラック企業なのでは？
vo_adv_1167001_045.m4a|……はい？じゃあさっきのは、もしかして午後の業務開始の……？
vo_adv_1167001_046.m4a|ほっ…集中してたせいで、チャイムに気付かなかっただけでしたか……真っ当な職場で安心しました……！
vo_adv_1167001_048.m4a|い、いえっ！　なんでもあり、あり……ありませんのアリが1000匹さんー！！
vo_adv_1167001_050.m4a|さっきのって、ななななんのことでしょう……？
vo_adv_1167001_055.m4a|あわわわわわわ…………！
vo_adv_1167001_056.m4a|ぽっぽ～～～♪
vo_adv_1167001_060.m4a|そ、そんなことして、大丈夫なんでしょうか……？
vo_adv_1167001_062.m4a|はいっ！こここ、こちらこそよろしくお願いします……！
vo_adv_1167001_063.m4a|…………はあ。せっかく先輩たちから話しかけてもらえたのに、ちゃんとコミュニケーションが取れませんでした……
vo_adv_1167001_064.m4a|このままじゃバイト仲間作りなんて夢のまた夢子さんです……
vo_adv_1167001_065.m4a|そ、そうみたいですね……！　この調子でがんばれば、いつの日かまた話しかけてもらえるチャンスがやってくるはず！
vo_adv_1167001_066.m4a|５年以内には……いえ、ここは慎重に10年以内と見積もっておきましょう。
vo_adv_1167001_067.m4a|10年以内には、もう一度話しかけてくれる機会があるはずです！次のチャンスは必ずものに……はっ！　た、大変ですっ！
vo_adv_1167001_068.m4a|私たち、短期バイトでした！　ここで10年なんて働けませんよっ！ど、ど、ど、ど、どうしましょう～～！！
vo_adv_1167001_069.m4a|わ、分かりました……！先輩たちのお言葉に甘えて、一旦休んできます……！
vo_adv_1167001_073.m4a|お、お、お昼休憩終わりました～……あ、あの……何かあったんですか……？
vo_adv_1167001_079.m4a|光沢のある塗料、ですか……専門的すぎて、私なんかでは力になれそうにありません……
vo_adv_1167001_084.m4a|お、おつかれさまでした……
vo_adv_1167001_085.m4a|おもちゃ作りって、部品を組み立てるだけじゃなくて、いろんな工夫をしなくちゃいけないんですね。
vo_adv_1167001_086.m4a|私は品質チェックの部門ですから、まだまだ知らないことが多いです。勉強になりました。
vo_adv_1167001_087.m4a|それにしても光沢かあ……
vo_adv_1167001_088.m4a|エルフの森には、おもちゃをピカピカにできる物なんて……
vo_adv_1167001_089.m4a|光るものといえばせいぜい……はっ！　そうだ……！
vo_adv_1167001_090.m4a|すみません、団長さん。私と一緒にエルフの森まで来てくれませんか？
vo_adv_1167001_091.m4a|ちょっと試してみたいことがあって……工場の力になれるかは分かりませんが、とにかくやってみたいんです。
vo_adv_1167001_092.m4a|ありがとうございます！明日のバイトが始まるまでに戻ってきたいので、急ぎましょう！
vo_adv_1167001_099.m4a|お、おは、おはは……おはようございます……っ！！
vo_adv_1167001_101.m4a|こ、これを……！昨日、バイト終わりにエルフの森で採取したものです！
vo_adv_1167001_103.m4a|一見普通のコケのように見えますが、夜になると光るんですよ。昼間に浴びて蓄えた太陽の光を、ぼんやりと放つんです。
vo_adv_1167001_104.m4a|その特性を活かして、【フォレスティエ】でよく取り扱っているんです。細かくすりつぶして煮詰めて、布や食器に塗ってちょっとおしゃれにしてみたりとか。
vo_adv_1167001_105.m4a|私の場合は、そのヒカリゴケを塗った的を使って、夜の森で弓の特訓をしていました。
vo_adv_1167001_106.m4a|おもちゃの塗料に使えるかどうかは分かりませんが、私も工場で働く一員として、なにかできないかと思って……！
vo_adv_1167001_107.m4a|ピカピカの光沢っていうものではありませんけど、でも、夜になると光るっていうおもちゃも面白いかなって……
vo_adv_1167001_108.m4a|ヒカリゴケをおもちゃの塗料にしたことはありませんが……ですが、一度試してみてくださいっ！
vo_adv_1167001_111.m4a|はい！　よろしくお願いしますっ！
vo_adv_1167001_112.m4a|…………もうすぐ期限のお昼になっちゃいますね。
vo_adv_1167001_113.m4a|あれから工場長は、作業室にこもりっきりですけど、うまくいってるんでしょうか……
vo_adv_1167001_114.m4a|これが失敗したら、新商品のおもちゃは……お願い……ヒカリゴケが役に立ってください……！
vo_adv_1167001_115.m4a|はい……！
vo_adv_1167001_118.m4a|や、やったー！　やりましたよー！！
vo_adv_1167001_120.m4a|よ、良かった……！植物の知識がこんなところで活かせただなんて……！
vo_adv_1167001_121.m4a|ほ、本当ですかっ！？{player}さんがそう言うなら……！
vo_adv_1167001_122.m4a|これをきっかけに、先輩のみなさんから認められて、バイト仲間入りも達成できちゃうかもしれません！
vo_adv_1167001_123.m4a|はいっ！　この勢いで、バイト仲間を作ってみせます！脱ぼっちアルバイターです！
vo_adv_1167001_124.m4a|あ、あの～～……本日はお日柄もよく……
vo_adv_1167001_127.m4a|はっ！？
vo_adv_1167001_133.m4a|……重大なことに気付いたので、話しかける前に引き返してきました。危うく取り返しのつかない大失敗をするところでした。
vo_adv_1167001_134.m4a|この程度のがんばりで喜んでしまって……果たしていいのでしょうか？
vo_adv_1167001_135.m4a|このバイトを始めて、まだ少し……先輩のみなさんは、きっと私以上に貢献をしているはずです……
vo_adv_1167001_136.m4a|それなのに、この程度で認めてもらおうというのは、大変おこがましいことなんじゃないでしょうか？
vo_adv_1167001_137.m4a|もし、今バイト仲間の輪に入ろうとしたなら……
