vo_adv_1168001_000.m4a|『タマキのたい焼き屋』、開店にゃ！食後のおやつに一ついかがかにゃ～？
vo_adv_1168001_027.m4a|おかしいにゃ……接続がうまくいってないのかにゃ？それならリモコンを、ふんふんのふんっ！！！！って振れば……やっぱり、動いたにゃ！
vo_adv_1168001_028.m4a|さぁ、たい焼きを持ってくるにゃ！……え？　にゃははははははっ！！くすぐったいにゃー！？　どういうことにゃー！？
vo_adv_1168001_029.m4a|{player}！　早くこのアームを止めるにゃ！って、なに人の体を触ってるにゃ！？あ、あたしからアームを引きはがそうとするんじゃなくて……
vo_adv_1168001_030.m4a|……にゃはははははっ！　と、とにかく！カバンの下にあるスイッチを押すにゃーーーー！！！！！！！
vo_adv_1168001_031.m4a|はぁはぁはぁ……死ぬかと思ったにゃ……！こ、これは失敗作にゃ……！次にゃ次っ！！
vo_adv_1168001_032.m4a|というわけで、『ワンダーバッグニャン号・ベータ』の完成にゃ！！
vo_adv_1168001_033.m4a|今度はアームが暴走しないし、ついでに新機能もつけてみたにゃ！やっぱり甘ーいたい焼きを食べたら、熱ーいお茶が飲みたくなるにゃ？
vo_adv_1168001_034.m4a|というわけで！　『ワンダーバッグニャン号・ベータ』！お前の底力を見せてやるにゃ！！
vo_adv_1168001_035.m4a|よしよし！　今度はちゃんとたい焼きを持ってきたにゃ！それにお茶も！　まずは、あたしが試食にゃ！！
vo_adv_1168001_036.m4a|はむっ……
vo_adv_1168001_037.m4a|……ま、まっずぅううう！？内蔵した材料だけで、どうやったらこんなまずいのができるにゃ！？
vo_adv_1168001_038.m4a|うう……とにかく口直しのお茶を……熱ぅっっ！？ヤケドしたにゃ～！　あたし猫舌なのにぃ～……！
vo_adv_1168001_039.m4a|……ということで、100回目の正直いくにゃ！『ワンダーバッグニャン号・アルティメット』！これまでの成果を証明してやるにゃ！！
vo_adv_1168001_040.m4a|大丈夫にゃ！偉大な発明家たちは失敗を失敗と言わなかったにゃ！つまり、当たって砕けろ精神にゃ！！　起動にゃ！！
vo_adv_1168001_041.m4a|…………にゃ？
vo_adv_1168001_042.m4a|………………ケホッ。{player}、大丈夫かにゃ？　あたしは平気にゃ。爆発に巻き込まれるのは慣れてるにゃ……
vo_adv_1168001_043.m4a|……はぁ。結局またこのオチにゃ。あたしがどんなに努力したって意味にゃんて──
vo_adv_1168001_044.m4a|……にゃ！？その黒焦げのたい焼きはまさか……このカバンで作ったやつかにゃ！？
vo_adv_1168001_045.m4a|そんなの食べて大丈夫かにゃ！？お、お腹痛くないならいいけど……でも、本当においしいのかにゃ？
vo_adv_1168001_046.m4a|それならあたしも……はむっ！
vo_adv_1168001_047.m4a|…………まぁ、これまでの中では一番かにゃ。やっぱり焦げてるから、お客さんに出せるレベルじゃにゃいけど……
vo_adv_1168001_048.m4a|たしかに、そうにゃ……あたしはせっかちだから、全部、急ぎすぎちゃったにゃ……
vo_adv_1168001_049.m4a|せっかくここまで頑張ったにゃ。もう少し頑張ってから諦めても、遅くはないにゃ！
vo_adv_1168001_050.m4a|手始めに、失敗した試作の分析にゃ！それから工場長にお願いして、設計図のアドバイスをもらうにゃ！連日作業覚悟で挑むにゃ！！
vo_adv_1168001_051.m4a|工場長！　ちょっと見てほしい設計図があるにゃ！
vo_adv_1168001_052.m4a|たい焼き一ついかがかにゃ！……まいどにゃー♪
vo_adv_1168001_053.m4a|にゃぁあ！　また失敗にゃ！……で、でも次は成功するかもしれないし、もう一回だけチャレンジにゃ！！
vo_adv_1168001_054.m4a|たぶんここの線をこっちと繋げればいけるはずにゃ！さっそく作業に…………ふわぁあ～……
vo_adv_1168001_055.m4a|……の前に……ちょっとだけ休憩～……うにゃうにゃ～……
vo_adv_1168001_056.m4a|ふにゃっ！？　寝落ちしちゃったにゃ！？まずいにゃ、まだ途中だったのに……！
vo_adv_1168001_057.m4a|うにゃ！？　全部終わってるにゃ！？一体どういうことにゃ！？
vo_adv_1168001_058.m4a|お、おはようにゃ……って、もしかして{player}が全部やってくれたのかにゃ！？
vo_adv_1168001_059.m4a|{player}はほんとうに……頼りになる相棒にゃ♪
vo_adv_1168001_060.m4a|よーし！　もうひと踏ん張りにゃ！ここから先はあたしが引き継ぐにゃ！！
vo_adv_1168001_061.m4a|──というわけで！『真・ワンダーバッグニャン号』の完成にゃ！仕事前に、ちょっと試食してほしいにゃ！
vo_adv_1168001_062.m4a|……はむっ！
vo_adv_1168001_063.m4a|……っ！　完璧にゃ！これならお客さんに出してもいいにゃ！！さっそく今日の昼休憩から試してみるにゃ！！
vo_adv_1168001_064.m4a|みんなー！　たい焼きはいかがかにゃー！？今日のたい焼きはいつもと一味違うにゃ！！おもちゃ工場の技術で作った、渾身のたい焼きにゃ！
vo_adv_1168001_067.m4a|まいどにゃー！！まだまだたーくさんあるから、みんな買ってってにゃー！！
vo_adv_1168001_068.m4a|にゃはは♪　見たかにゃ！？みんな喜んでくれたにゃ！
vo_adv_1168001_069.m4a|けど、まだ改良は必要にゃ。味のクオリティは無限にゃ！もっともっと努力して、おいしいたい焼きを作るにゃ！
vo_adv_1168001_070.m4a|手伝ってくれてありがとにゃ♪これはお礼のたい焼きにゃ！
vo_adv_1168001_071.m4a|さらに、{player}の活躍に免じて大大サービス！あたしが食べさせてあげるにゃ！はい、あーん♪
vo_adv_1168001_072.m4a|……どうかにゃ？　おいしいかにゃ！？
vo_adv_1168001_073.m4a|にゃはは♪　いい笑顔にゃ！それなら明日から出してみるにゃ！
vo_adv_1168001_074.m4a|それで、{player}さえよければ……明日もまた手伝ってくれないかにゃ？明日だけじゃなくて、明後日も。つまり……
vo_adv_1168001_075.m4a|『タマキのたい焼き屋』の正式なメンバーとして、これからもあたしと一緒にたい焼きを作ってほしいにゃ。
vo_adv_1168001_076.m4a|あたし、今回のことで分かったにゃ。やっぱり一人でやるより、誰かと一緒の方が、いろんなことができるようになるって……
vo_adv_1168001_077.m4a|どうかにゃ？
vo_adv_1168001_078.m4a|ありがとにゃ♪それじゃこれからよろしくにゃ♪
vo_adv_1168002_000.m4a|売上は安定してるにゃ！している時こそが、次の仕込みどきにゃ！そこで計画を立てるにゃ！！
vo_adv_1168002_001.m4a|とはいったものの、これがまた難しくてにゃ～……いいアイデアでも転がってないかにゃ～……
vo_adv_1168002_002.m4a|うにゃ！　お前はこの間の……！そこで待ってるにゃ！また来るんじゃないかと思って、猫缶を用意しておいたにゃ！
vo_adv_1168002_003.m4a|この子たちはこのおもちゃ工場の周りで暮らしてるみたいにゃ。時々遊びに来るにゃ。
vo_adv_1168002_004.m4a|よしよしにゃ～♪猫缶はおいしいかにゃ～♪その顔を洗う仕草、ほんとかわいいにゃ～♪
vo_adv_1168002_005.m4a|お前も一緒に考えてくれるかにゃ～？たい焼き屋をもっと盛り上げるアイデア、何かないかにゃ～？
vo_adv_1168002_006.m4a|……？　なんにゃ？ついてきてほしいのかにゃ？
vo_adv_1168002_007.m4a|うにゃ！？　工場にゃ！？他にも、あったなんて知らなかったにゃ。
vo_adv_1168002_008.m4a|……ああ、なるほどにゃ～装置が壊れてるから使われなくなったみたいにゃ。でも、今のあたしなら直せそうにゃ！
vo_adv_1168002_009.m4a|そうすればまた、たくさんのおもちゃを作れるように…………そうにゃ！　いいアイデアがひらめいたにゃ！ここで、あたしのオリジナルおもちゃを作るにゃ！
vo_adv_1168002_010.m4a|コンセプトはこれにゃ！『もらうまでドキドキ！　もらえばハッピー！たい焼き一個買うとついてくるおまけおもちゃ』にゃ！
vo_adv_1168002_011.m4a|たい焼き屋はランドソル中にたくさんあるにゃ。味のクオリティ以外で差別化を図るには、サービスしかないにゃ！
vo_adv_1168002_012.m4a|そうと決まれば、昼休憩後にさっそく工場長に相談にゃ！
vo_adv_1168002_013.m4a|聞くにゃ！あの古い工場を使ってもいいって、許可もらえたにゃ！{player}も手伝ってほしいにゃ！
vo_adv_1168002_014.m4a|……というわけで、完成にゃ！どうかにゃ！？
vo_adv_1168002_015.m4a|そうにゃ！それでお腹を押すと……
vo_adv_1168002_017.m4a|……って声が聞こえるにゃ！これ画期的じゃないかにゃ！？
vo_adv_1168002_018.m4a|んん～反応いまいちにゃ。それなら……声のバリエーションを追加するにゃ！ついでに、おもちゃのカラーも！！
vo_adv_1168002_019.m4a|……まぁ、ちょっと予算オーバーだけど……でも、これは絶対売れるから大丈夫にゃ！！
vo_adv_1168002_020.m4a|大丈夫にゃ！あたしはたい焼きの味にもこだわるけど、おもちゃのクオリティにも厳しいにゃ！
vo_adv_1168002_021.m4a|そうと決まればさっそく明日からおまけをつけてみるにゃ！
vo_adv_1168002_022.m4a|あっ！　{player}、待ってたにゃ！！開店する前に、このおもちゃを見てってにゃ！皮の質感とか、手触りとか、それに匂いにもこだわったにゃ！
vo_adv_1168002_023.m4a|……んにゃ？こんなに作って大丈夫なのかって？
vo_adv_1168002_024.m4a|むしろ作り足りないぐらいにゃ！だって、このクオリティの高さにゃ！お客さんにも伝わって、あっと驚かれるにゃ！
vo_adv_1168002_025.m4a|それじゃさっそく販売開始にゃーーーー！！
vo_adv_1168002_026.m4a|はぁあああ…………
vo_adv_1168002_027.m4a|なんでにゃ？なんでみんな受け取ってくれないにゃ！？こんなに……
vo_adv_1168002_028.m4a|こんなにっ、クオリティが高いのに！！
vo_adv_1168002_029.m4a|あたしなら１個じゃなくて100個は欲しいぐらいにゃ！？保存用と鑑賞用と普段使い用と普及活動用と……
vo_adv_1168002_030.m4a|はぁ……どうしようにゃ。こんなに在庫抱えちゃって……利益はプラスどころか超マイナスにゃ……
vo_adv_1168002_031.m4a|一体何がいけなかったのかにゃ……？
vo_adv_1168002_032.m4a|あたしが売るたい焼きと一緒にゃ！お客さんに笑顔になってほしいからにゃ！！だからお客さんが喜んでくれそうなおもちゃを……
vo_adv_1168002_033.m4a|……そうにゃ。あたしが喜ぶものを作って、お客さんが喜ぶものを作れてなかったってことにゃ。
vo_adv_1168002_034.m4a|もう一度考え直すにゃ！{player}、お昼ごはんを食べながら作戦会議にゃ！
vo_adv_1168002_035.m4a|んん～～～～～～～……だめにゃ……なんにも思いつかないにゃ……頭、真っ白にゃ……
vo_adv_1168002_036.m4a|なんにゃ？　ごはんはもうないにゃ……え？　そうじゃにゃい？
vo_adv_1168002_037.m4a|……ああ、もしかして。あたしを慰めてくれてるのかにゃ？んん～気まぐれでスリスリしてくるの、たまらないにゃ♪
vo_adv_1168002_038.m4a|あっちの猫も毛づくろいしてるにゃ。あのぴんと張った足はセクシーにゃ……
vo_adv_1168002_039.m4a|それにあっちの猫も。おててを畳んで座ってるにゃ。あのまん丸のフォルムがたまらないにゃ……
vo_adv_1168002_040.m4a|にゃ～……やっぱり疲れた時には、たい焼きと猫にゃ～……これはランドソルの一般常識にゃ。癒されるにゃ～……
vo_adv_1168002_041.m4a|……ん？んんっ！？
vo_adv_1168002_042.m4a|そうにゃ！　これにゃ！！昼休憩、まだ終わらないうちに……！{player}、ちょっと待ってるにゃ！！
vo_adv_1168002_043.m4a|お待たせにゃ！ということで、お披露目にゃ！『猫フィギュア』にゃ！
vo_adv_1168002_044.m4a|毛づくろい中の猫のポーズをフィギュアにしたにゃ！猫のかわいさをぎゅっと凝縮した、渾身のおもちゃにゃ！どうかにゃ！？
vo_adv_1168002_045.m4a|そうにゃ♪　そうにゃ♪他にも色々考えてみたにゃ！ちょっと待つにゃ……
vo_adv_1168002_046.m4a|ということで、今回ご紹介するのはこちらにゃ！『丸まって寝てる猫フィギュア』！満月よりも丸くて、かわいいにゃ♪
vo_adv_1168002_047.m4a|続いてこちらにゃ！『寝たまま伸びをする猫フィギュア』！ちょっと視線をこっち向けてるのが特徴的にゃ！
vo_adv_1168002_048.m4a|そして……これは調子に乗って作ったおまけのおまけ……
vo_adv_1168002_049.m4a|『タマキフィギュア』にゃ！あたしがにゃんこポーズしてるプレミアにゃ！
vo_adv_1168002_050.m4a|ふふーん。きっとこういうのが好きだと思って……どうかにゃ？　欲しいかにゃ？
vo_adv_1168002_051.m4a|にゃ！？『タマキフィギュア』を作るなんて冗談にゃ！本気にしないでほしいにゃ！！
vo_adv_1168002_052.m4a|まったく、恥ずかしげもなくそんなこと言って……{player}ってばほんとに素直というか、なんというか……！　ともかく！　これはボツにゃ！！
vo_adv_1168002_053.m4a|それにしても、また作りすぎちゃったにゃ……この中からどれをおまけにするのがいいか……
vo_adv_1168002_054.m4a|……いや、待つにゃ。いっそのこと全部混ぜて、どれか一つ当たるっていう遊び要素を入れてみるにゃ！
vo_adv_1168002_055.m4a|今回は{player}も気に入ってくれてるみたいだし、うまくいく気がするにゃ！明日からもう一回チャレンジにゃ♪
vo_adv_1168002_056.m4a|いらっしゃいにゃ～！今日からたい焼き一個買ってくれた人には、この『猫フィギュア』をランダムでプレゼントするにゃ！
vo_adv_1168002_057.m4a|買ってくれた人は、この箱の中にあるカプセルを取ってにゃ！そのカプセルの中に、フィギュアが入ってるにゃ！開けるまでドキドキ！　開けたらハッピーにゃ！！
vo_adv_1168002_060.m4a|にゃにゃにゃ！？　たくさんお客さんが集まってきたにゃ……！ミフユじゃないけど、効率よくいくにゃ！！
vo_adv_1168002_061.m4a|にゃはは♪　過去最高の売上にゃ♪猫フィギュアは、あたしにとって招き猫だったにゃ♪
vo_adv_1168002_062.m4a|モデルになってくれた猫たちにはトゥンヌス入りの高級猫缶をたーくさんプレゼントして恩返しするにゃ！
vo_adv_1168002_063.m4a|……んにゃ？{player}も猫フィギュアが欲しいから、たい焼き買うのかにゃ？　毎度ありにゃ♪
vo_adv_1168002_064.m4a|それじゃ、この箱の中からカプセルを取ってにゃ！何が当たるのか楽しみにゃ♪ここからはあたしが実況中継してやるにゃ！
vo_adv_1168002_065.m4a|おっと、どうやら運命のカプセルと出会ったようにゃ！高々と掲げたそのカプセル！　果たしてその中身は！！オープンにゃ！！
vo_adv_1168002_066.m4a|………………………………にゃ？
vo_adv_1168002_067.m4a|にゃぁあああああっ！？！？
vo_adv_1168002_068.m4a|なんでにゃ、なんでにゃー！？なんで『タマキフィギュア』が入ってるにゃ！？ボツにしたはずなのに！！
vo_adv_1168002_069.m4a|…………まさか！ちょっと確認してくるにゃ！！
vo_adv_1168002_070.m4a|にゃー！！！！　やっぱり！！！！タマキフィギュアの型が装置にセットされてるにゃ！！！急いで準備してたから、間違って混入しちゃったのかもにゃ！！！！
vo_adv_1168002_071.m4a|{player}！！！！それ、あたしに返してにゃあああーーーー！！
vo_adv_1168002_072.m4a|それはそうだけど……そうだけど……！！……あっ！　あそこに空飛ぶ猫が飛んでるにゃ！！
vo_adv_1168002_073.m4a|なんて嘘にゃ！　隙ありにゃ！！
vo_adv_1168002_074.m4a|ぐぬぬ……！　勘のいい奴にゃ……！
vo_adv_1168002_076.m4a|返すにゃっ！　返すにゃっ！！あたしに、返すにゃー！！！！
vo_adv_1168002_079.m4a|もうっ、もうっ！年下のくせにっ、年上の言うことは素直に聞くにゃ！言うこと聞かないと、賄いを減らすにゃ！
vo_adv_1168002_080.m4a|ああ、ウソウソ、ウソにゃ！背伸びは届かないから無しにしてほしいにゃ！とにかく、とにかく……！
vo_adv_1168002_081.m4a|お金払うから、そのフィギュアを渡すにゃぁあああーー！！
vo_adv_1168003_000.m4a|……由々しき事態にゃ。何も聞かずに、まずはこれを見るにゃ！！
vo_adv_1168003_001.m4a|そうにゃ。あたしがおまけの中に入れちゃった黒歴史にゃ……！！
vo_adv_1168003_002.m4a|タマキフィギュアは既に自主回収済み。未回収分は、{player}が持ってるあの一個だけにゃ！！早く返せと小言を言ってやりたいけど、ひとまず置いておいて……
vo_adv_1168003_003.m4a|もう出回っていないはずのフィギュアがどうしてここにあるのか、{player}には推理できるかにゃ！？
vo_adv_1168003_004.m4a|ヒントにゃ、このフィギュアの尻尾をよく見るにゃ！かぎづめ型になってるし、そもそも尻尾が一本しかないにゃ！
vo_adv_1168003_005.m4a|なにより……かわいくないにゃ！！つまりこれは、偽物にゃ！！
vo_adv_1168003_006.m4a|ちなみにこのフィギュアを持ってたのは、常連のお客さんにゃ。とある露店で、このフィギュアを特別価格で購入したらしいにゃ。
vo_adv_1168003_007.m4a|でも、あたしがその露店へ行った時には既になくなってて……悔しいけど、それ以上の追跡はできなかったにゃ。
vo_adv_1168003_008.m4a|だから泣く泣く引き返してきたわけだけど……それにしても、このフィギュアはなんにゃ！？まねするならとことん追求してまねしてほしいにゃ！！
vo_adv_1168003_009.m4a|当然にゃ！後出しのくせにクオリティが低いってどういうことにゃ！？お客さんを喜ばせようっていう精神が欠落してる証拠にゃ！！
vo_adv_1168003_011.m4a|うにゃ！？　工場長！？もしかしてたい焼き買いに来てくれたのかにゃ！？
vo_adv_1168003_017.m4a|工場長。よければもっと詳細な情報を、ランドソルにある目安箱へ投函するにゃ！
vo_adv_1168003_018.m4a|弱い者の味方・ファントムキャッツがきっとなんとかしてくれるにゃ！！
vo_adv_1168003_020.m4a|久々に本業にゃ！夜になったら行動開始にゃ！！
vo_adv_1168003_021.m4a|最初に言っておくけど、今回{player}は留守番にゃ。正義の行いとはいえ、やっぱり一般人を危険に巻き込むのは、あたしのポリシーが許さないにゃ。
vo_adv_1168003_022.m4a|とにかく！おもちゃ工場の人たちを助けるのは、このファントムキャッツの役目にゃ！！
vo_adv_1168003_023.m4a|……にゃっ！？{player}って奴はほんとに……！
vo_adv_1168003_024.m4a|いつもぼーっとした顔をしてるクセに、こういう時だけ……ほんとズルイ奴にゃ……！
vo_adv_1168003_025.m4a|…………わ、分かったにゃ！
vo_adv_1168003_026.m4a|たしかに{player}には何度も助けてもらったし……それなら、ちょっとだけ手伝ってもらうにゃ！
vo_adv_1168003_027.m4a|ただし！　無茶だけは絶対にしないでほしいにゃ！
vo_adv_1168003_028.m4a|もしピンチになったら、あたしは{player}を逃がすことを優先するにゃ！{player}もそのつもりでいてほしいにゃ！
vo_adv_1168003_029.m4a|……そんな嫌な顔するにゃ。大丈夫にゃ。もしもの話にゃ！！
vo_adv_1168003_030.m4a|そうと決まればさっそく準備にゃ！
vo_adv_1168003_031.m4a|工場長の手紙によれば、贋作に手を染めている貴族はこの屋敷で暮らしてるみたいにゃ……
vo_adv_1168003_032.m4a|他の屋敷と比べてみても塀が高いにゃ。そうとう警戒心が強いみたいにゃ。……やっぱり、何かを隠そうとしているのかもにゃ。
vo_adv_1168003_033.m4a|それじゃ探索を開始する前に、改めて確認にゃ。今回の目的は、贋作の証拠を見つけることにゃ。証拠さえつかめば、あとは法がさばいてくれるにゃ！
vo_adv_1168003_034.m4a|侵入方法は……門からだと見張りがいるから無理にゃ。それなら、塀を登るしかないけど……ふふん、ここであたしの秘密の道具の出番にゃ！
vo_adv_1168003_035.m4a|手袋と靴をこうやって押すと……かぎづめが出てくるにゃ！これを使えば壁を楽に登れるにゃ！
vo_adv_1168003_036.m4a|名付けて『猫の爪登り』！壁を勢いよく登る猫からアイデアをもらったにゃ！もちろん{player}の装備品にもばっちりついてるにゃ！
vo_adv_1168003_037.m4a|それじゃ、ファントムキャッツ活動開始にゃ！
vo_adv_1168003_038.m4a|にゃはは！　さすがあたしにゃ！侵入なんて朝飯前にゃ！
vo_adv_1168003_043.m4a|あ、危なかったにゃ……！とっさに隠れなかったら、計画が失敗するところだったにゃ……！
vo_adv_1168003_044.m4a|あいつ、地下がどうのこうの言ってたにゃ……あたしたちもそこへ行ってみるにゃ！
vo_adv_1168003_045.m4a|こ、これは……！工場にゃ！？　それに見るにゃ！！これ、うちで作ってるおもちゃにゃ！！
vo_adv_1168003_046.m4a|でも、うちのとは作りが違うにゃ。というか雑にゃ！組み立て方といい、塗り方といい、全部なってないにゃ！毎日毎日おもちゃを組み立ててるあたしには分かるにゃ！
vo_adv_1168003_047.m4a|分かるからこそ、やっぱり許せないにゃ……人の努力と夢を、横から掻っ攫っていく悪党が！！{player}、設計図を探すにゃ！！
vo_adv_1168003_048.m4a|隠したいものは見張っておきたいはずだし、長年の経験から言えば、貴族の部屋にあるはずにゃ！こうなったら一部屋ずつ探していくにゃ！
vo_adv_1168003_049.m4a|あたしの勘では……この壁の中にゃ！！やっぱり！　金庫発見にゃ！それじゃ、ちょっと失礼して……
vo_adv_1168003_051.m4a|にゃにゃっ！？　バレてしまったにゃ……！！こうなったら……金庫を開けるのは{player}に任せるにゃ！
vo_adv_1168003_052.m4a|え？　金庫を開けられるか不安？　そこは心配しなくて大丈夫にゃ！
vo_adv_1168003_053.m4a|{player}に貸してあげたその腕輪……それを金庫にセットすれば、番号を探し当てるサポートをしてくれるにゃ！
vo_adv_1168003_054.m4a|それまでは……あたしが雑魚の相手をするにゃ！魚ならあたしにお任せにゃ！　一人残らず、調理してやるにゃ！！
vo_adv_1168003_056.m4a|ネコネコパンチにゃ～～！！！！
vo_adv_1168003_059.m4a|説明するにゃ！
vo_adv_1168003_060.m4a|これはたい焼きメーカーを改良して作った必殺道具カバンにゃ！ちなみに今のは『猫の手アーム』にゃ！肉球パンチでメロメロにならない奴はいないにゃ♪
vo_adv_1168003_063.m4a|再び説明するにゃ！　これはガムガムボールにゃ！これを浴びたら口がふさがってしゃべれなくなるにゃ！
vo_adv_1168003_064.m4a|{player}っ！金庫は開きそうかにゃ！？
vo_adv_1168003_065.m4a|上出来にゃ！それで設計図は……！？
vo_adv_1168003_066.m4a|にゃはは♪　やっぱりあったにゃ！ファントムキャッツの猫ひげがビビッときたから、そうじゃないかと思ったにゃ♪
vo_adv_1168003_067.m4a|それじゃその窓から撤収するにゃ！
vo_adv_1168003_068.m4a|ふぅ……外へ出ちゃえばもう安心──
vo_adv_1168003_070.m4a|っ！？　用心棒たちに囲まれたにゃ……！
vo_adv_1168003_074.m4a|さすがにこの数を相手にするのは無理にゃ……！最優先は……こいつを安全に家へ帰すことにゃ……だから、仕方ないけど……
vo_adv_1168003_075.m4a|にゃっ！？こ、こいつ……こんなところで何ふざけてるにゃ！？
vo_adv_1168003_076.m4a|……って、なんでそんな真剣な顔してるにゃ。もしかして、あたしの考えを読んで、怒ってるのかにゃ？
vo_adv_1168003_077.m4a|……分かったにゃ。後輩にかっこ悪いところは見せられないにゃ。ここは意地でも二人で一緒にピンチを乗り越えてやるにゃ！
vo_adv_1168003_078.m4a|……{player}。ちょっとイチかバチかの大博打を打つにゃ……成功するか分からないけど……最後まで付き合ってくれるかにゃ？
vo_adv_1168003_079.m4a|……ありがとにゃ。
vo_adv_1168003_081.m4a|そんなの決まってるにゃ！設計図は絶対に渡さないにゃ！！そんでもって、ゲームオーバーはお前の方にゃ！！
vo_adv_1168003_083.m4a|今にゃっ！{player}、あたしにしっかりしがみつくにゃ！！
vo_adv_1168003_088.m4a|にゃーっはっはっはっ！その名も『空飛ぶたい焼きメーカー』にゃ！法の鉄槌が下るまで、首を洗って待ってるがいいにゃ！
vo_adv_1168003_089.m4a|はー……うまくいって良かったにゃ。これで明日、工場長にもいい報告ができそうにゃ！{player}も、協力してくれてありがとにゃ♪
vo_adv_1168003_090.m4a|……って、どこ触ってるにゃー！？えっ！？　落ちそう！？それはダメにゃ！　しっかりあたしにしがみつくにゃ！！
vo_adv_1168003_091.m4a|でも……だからって……そこを掴むんじゃなくてぇ……！！
vo_adv_1168003_092.m4a|分かってるにゃ……！必死な顔をしてる{player}に言うのは酷って分かってるけど……だけど……！
vo_adv_1168003_093.m4a|そこは敏感だから、触らないでにゃ～～～～！！！！
vo_adv_1168004_000.m4a|これが最後のたい焼きにゃ！外はサクサクで、中はふっくら！　あんこもたっぷり入ってるにゃ！おいしく召し上がれにゃ！
vo_adv_1168004_002.m4a|行っちゃったにゃ……
vo_adv_1168004_003.m4a|おもちゃを作りながら、たい焼きの調達、仕込みに販売までやって……ほんとに忙しい毎日だったにゃ。
vo_adv_1168004_004.m4a|たい焼き工場をもう一度再建したくて始めたビジネスだけど、結局は、あの笑顔のために頑張ってた気がするにゃ……{player}も手伝ってくれてありがとにゃ！
vo_adv_1168004_005.m4a|なんというか……あたしはいつも{player}に助けられてばっかで割に合ったお返しなんて一つもできてないけど……
vo_adv_1168004_006.m4a|これ……あたしからの最後の賄いにゃ！ちょっと奮発して……どうにゃ！？こーんなに大きなたい焼き、ちょっと興奮しないかにゃ！？
vo_adv_1168004_007.m4a|……にゃ？なんでたい焼きが光ってるにゃー！？
vo_adv_1168004_060.m4a|にゃっ！？　い、今の夢はなんだったにゃ！？毎回毎回、超不思議現象にゃ……！
vo_adv_1168004_061.m4a|あたしが{player}を助けてあげられて、すっごく良かったというか……
vo_adv_1168004_062.m4a|とはいえ……それは夢の話で、今回は{player}に助けられてばっかりだったにゃ。
vo_adv_1168004_063.m4a|でもおかげで色んなことができるようになったし、ファントムキャッツとしてもパワーアップできたにゃ。
vo_adv_1168004_064.m4a|だからいつかあたしが夢見た景色を{player}にも見せて、恩返しするにゃ！
vo_adv_1168004_065.m4a|それまでは、あたしから目を離さない方がいいにゃ♪
vo_adv_1222001_010.m4a|にゃふふ～、ユカリがあれだけ仕事してるんだから、あたしはもうお休みしてもいいんじゃないかにゃ……？今のうちにこっそり～……
