vo_adv_1175001_003.m4a|ふぅん……こうなるとは思っていたけれど……想像以上の混雑っぷりね。
vo_adv_1175002_003.m4a|でも、そんな危ない植物もうまく使えば人に健康をもたらすの。闇に生きる科学者が、時には医者として人を助けるみたいにね。ふふっ。
vo_adv_1175002_004.m4a|そうね。まじまじ見ると、どこか歪で不気味な形をしてるわ。でも、そんな植物が人の役に立つのだから、不思議よね。
vo_adv_1175002_005.m4a|ふふっ。一筋縄ではいかないけど、実力は確かなところが、なんとなく【トワイライトキャラバン】に似ているかもしれないわね。
vo_adv_1175002_006.m4a|向こうにもカンポーを扱う薬問屋があったわよね。見ていきましょう。病院での診察でほとんど使い切っちゃったから、ランドソルに帰る前に補充しておきたいの。
vo_adv_1175002_007.m4a|こっちよ、ついてきて。──きゃっ！？
vo_adv_1175002_009.m4a|あら、あなたは……たしかライドウ一家の……ずいぶん青い顔をしているけど、どうかしたの？
vo_adv_1175002_012.m4a|ふぅん。つまり悪い行商人に高額な偽のカンポーを買わされたってわけね。
vo_adv_1175002_015.m4a|……確かに、これは特に薬効のない植物由来のものね。まあ、素人目じゃ、カンポーの真贋なんて区別できないだろうし……あくどいことをする商人がいたものね。
vo_adv_1175002_020.m4a|ちょっと待ちなさい。まったく。相変わらず困っている人を見たら放っておけなくなるのね。本当にお人好しなんだから。
vo_adv_1175002_021.m4a|まあいいわ。そういうことなら私にも考えがあるの。裏商売をするような悪い相手には、とてもよく効く方法がね。
vo_adv_1175002_029.m4a|みんな、安心しなさい。行商人の言う通り、このカンポーは本物よ。ランドソルで見たことがあるわ。
vo_adv_1175002_032.m4a|ええ。私はここオーエド町の、さる高貴なお方の主治医なの。
vo_adv_1175002_034.m4a|当然でしょう。一目見ただけで、最高級の薬草を使っているのが分かるわ。
vo_adv_1175002_035.m4a|実は、私の仕えているお方の調子がよくなくてね。ちょうどいい薬を探しているところだったのよ。一袋いただけるかしら。お代はこれでいい？
vo_adv_1175002_040.m4a|ショーグン様。探し続けていた薬を、ついに見つけましたよ。
vo_adv_1175002_041.m4a|こちらの行商人が売っているこのカンポー間違いなく効果のあるものです。
vo_adv_1175002_042.m4a|さっそく買い求めておきましたので。お試しください。
vo_adv_1175002_045.m4a|えっ……！？ショ、ショーグン様！？
vo_adv_1175002_048.m4a|ショーグン様！　ショーグン様！！！お気を確かに！　今すぐに処置をします！！！
vo_adv_1175002_059.m4a|ショーグン様……！？　ショ、ショーグン様……！！！息をしていない……そ、そんな……
vo_adv_1175002_066.m4a|あら。ちょっとお待ちになって、行商人さん♪
vo_adv_1175002_068.m4a|はい、捕まえた♪
vo_adv_1175002_070.m4a|あなたみたいな小悪党を懲らしめる、悪い人よ。
vo_adv_1175002_071.m4a|まったく。カンポーの見分けがつかない素人相手に小狡い商売をするなんて。闇がつくとはいえ、医者のはしくれとして見逃せないわ。
vo_adv_1175002_072.m4a|うまく証拠を残さないように悪事を働いていたみたいだけど、そういうの、私たちには通用しないの。
vo_adv_1175002_073.m4a|とりあえず……あなたにはこれでブスっと一発。おしおきしちゃおうかしら？
vo_adv_1175002_075.m4a|あら、痛いのは嫌なの？それじゃあ……
vo_adv_1175002_076.m4a|あとは町長に任せてじっくり反省してもらおうかしら。
vo_adv_1175002_082.m4a|{player}君もお疲れさま。もう起きていいわよ。
vo_adv_1175002_086.m4a|そうだったかしら？あんまり自覚はなかったんだけど……
vo_adv_1175002_087.m4a|でも、最近誰かさんの影響でいいことばかりしていた気がするし。久しぶりに私らしい仕事をすることができて、楽しくなっちゃったのかもしれないわね。
vo_adv_1175003_000.m4a|ここが、オーエドいちと噂の宿なんだけど……
vo_adv_1175003_001.m4a|連日大賑わいと聞いていたんだけど、私たち以外誰も来ていないわね。
vo_adv_1175003_002.m4a|隣の宿の方は繁盛しているみたいね。もしかして間違えたのかしら？
vo_adv_1175003_004.m4a|臨時休業？なにか問題でもあったの？
vo_adv_1175003_006.m4a|なるほどね。この宿が誇る温泉……聞いていた話とはずいぶん違ったわね。
vo_adv_1175003_007.m4a|きれいな翡翠色の温泉と聞いていたんだけど、濁った酷い色で、においもおかしい。
vo_adv_1175003_008.m4a|……あのお湯、毒で汚染されているの？
vo_adv_1175003_014.m4a|ふぅん……見たところ何の問題もなさそうだったのに、不思議ね。
vo_adv_1175003_018.m4a|まったく。すぐに安請け合いしちゃうんだから。
vo_adv_1175003_019.m4a|謝ることじゃないわ。困っている人を放っておけないお人好しなところは、とても君らしいと思うもの。
vo_adv_1175003_020.m4a|私もあそこの温泉にはずっと行きたいと思ってたから、ちょうどよかったわ。
vo_adv_1175003_021.m4a|それに、なんとなく原因の目星もついているし……ほら、そんなこと言ってたら着いたわよ。
vo_adv_1175003_022.m4a|あの温泉の源泉にあたるところよ。
vo_adv_1175003_023.m4a|あの人の話を聞いて、原因があるとしたら、ここだと思っていたけど……思った通りね。
vo_adv_1175003_024.m4a|触っちゃダメよ。その植物、毒を持っているから。温泉に漂っていた悪臭でピンときたの。この植物の毒が、どこかでお湯に溶け出しているんじゃないかって。
vo_adv_1175003_025.m4a|でも、温泉の中に植物がなかったということは、きっと源泉に原因があるはずだって思ったのよ。そしたら案の定このとおり。
vo_adv_1175003_026.m4a|でも……これは酷いわね。あの宿に繋がってる源泉にだけ植物が浸かるようになってる。
vo_adv_1175003_027.m4a|隣の宿に繋がる源泉はうまくよけてあるわ。人為的に植物を植えた、としか思えないわね。
vo_adv_1175003_028.m4a|そうね。でも、それならこっちにも考えがあるわ。
vo_adv_1175003_029.m4a|この植物はね、毒を持っているんだけど……うまく使えば、いい薬にもなるの。
vo_adv_1175003_030.m4a|たとえば、ここに生えている木の樹液を混ぜて毒を消してあげると……ほら、どうかしら？
vo_adv_1175003_031.m4a|でしょう？においだけじゃなく、薬効も優れものなのよ。
vo_adv_1175003_032.m4a|だから、こうやって……この植物が溶け出した源泉に、樹液が常にまざるようにしてあげれば……
vo_adv_1175003_033.m4a|ほら。とってもよく効く薬湯のできあがりよ。
vo_adv_1175003_034.m4a|ふふっ。褒められるのは、悪い気分じゃないわね♪
vo_adv_1175003_035.m4a|源泉をおおっているこの有毒植物を取り除くだけでも温泉は元通りになるわ。
vo_adv_1175003_036.m4a|でも、この方がいやがらせをしてきた相手への意趣返しになりそうだし。それに宿が再開したら、きっとこの薬湯が役に立つわ。
vo_adv_1175004_001.m4a|{player}君、部屋に着いてひと休みしたら、温泉に入りましょう？
vo_adv_1175004_002.m4a|もし君が望むなら、一緒に入ってもいいのよ♪……ふふ、冗談よ。
vo_adv_1175004_003.m4a|あら？　大浴場の方がやけに光っているわね……？何事かしら──
vo_adv_1175004_066.m4a|ん……あら……？いつの間にか、眠っていたみたいね……
vo_adv_1175004_067.m4a|{player}君も寝ちゃってたのね。まだ目を覚ましていない……か。起こすのはかわいそうだし、このままにしておこうかしら。
vo_adv_1175004_068.m4a|なんだか、彼と穏やかな時間を過ごす夢を見ていた気がするわ。
vo_adv_1175004_069.m4a|私は科学者で……闇医者で……彼とああいう時間を過ごすのはガラじゃないけれど……でも、案外悪くなかったわね。
vo_adv_1175004_070.m4a|せっかく温泉宿でゆっくりする時間ができたんだし……悪い私はお休みにして、のんびり彼と過ごすのもいいかもしれないわね。ふふっ♪
vo_adv_1175004_072.m4a|ありがとう、いま行くわ。
vo_adv_2102011_042.m4a|みんな、私の薬で一時的に回復してるけど……あとでキツめの副作用があるから、忘れないでね♪
vo_adv_2102011_054.m4a|魔法のアイテムによる転移……かしら。珍しいモノを持ってるみたいね……
vo_adv_2102099_012.m4a|しばらく見てないうちに、私の『実験台』がそんなことになっちゃってたとはね……
vo_adv_2102099_019.m4a|……そうねぇ。私も、これを機に小児科になってあげてもいいケド……『魂にダメージを負った人』の治療法を研究するほうが、楽しそうね。
vo_adv_2102099_023.m4a|……ねぇ、【美食殿】のお姫さま？ちょっとだけ提案があるんだけど……聞いてもらえるかしら。
vo_adv_2102099_026.m4a|えっとね。{player}くんのコトだけど……私たちにも、彼を元に戻すお手伝いをさせてもらいたいの。
vo_adv_2102099_027.m4a|私……闇医者として、イロイロ研究してるし。正規ルートにない治療法の中に、役に立つ方法があるかも知れないわ。彼のカラダは、何度も調べさせてもらって良く知ってるしね……♪
vo_adv_2102099_054.m4a|な、
vo_adv_2102099_063.m4a|フフフッ。これは研究しがいがありそうね……♪
vo_adv_5074000_000.m4a|それじゃあ打つわよ。ちょっとだけチクッとするから我慢なさい。
vo_adv_5074000_002.m4a|あら、これは早く治してあげたいっていう私からの優しさよ。ご希望ならもっとハードな優しさを打ってあげるけど？
vo_adv_5074000_004.m4a|文句言ってる暇があるなら早く帰ってしっかり治しなさい。あなたみたいなのでもこの街にはまだまだ必要なんだから。
vo_adv_5074000_006.m4a|さて{player}君、次の患者を呼んでくれる？
vo_adv_5074000_007.m4a|そう。それにしてもここのところ患者が多いわよね。普段なら私一人で事足りるのに、君に看護師の真似事までしてもらわなきゃいけないし。
vo_adv_5074000_008.m4a|ランドソルも一難去ってまた一難、平和にはまだまだ程遠いし、君も当分忙しい日々が続くわよ。
vo_adv_5074000_009.m4a|君がいいんなら別に構わないけど。まったく、闇医者が繁盛するなんて世も末だわ。
vo_adv_5074000_010.m4a|それ、ギルドの仲間にも聞かれたけどそもそも私は科学者、研究や実験が本分なの。
vo_adv_5074000_011.m4a|成り行きで人助けしてるみたいに見えるけど、世間一般の医者みたいに善意のみで動いているわけじゃないのよ。
vo_adv_5074000_012.m4a|それに私みたいな人間は裏に徹した方が何かと都合がいいの。非合法な研究は闇からしか生み出せないわ。
vo_adv_5074000_013.m4a|最悪間違いが起きても闇から闇へと容易に処理できる。例えば今ここで君に何かしても、痕跡を消すのは容易いわね。
vo_adv_5074000_014.m4a|……冗談よ。忘れてちょうだい。
vo_adv_5074000_015.m4a|まったく、君にはペースを狂わされてばかりね。都合のいい実験台だったはずなのに、困ったものだわ。
vo_adv_5074000_016.m4a|おかげでガラにもない人助けに奔走して、本業が後回しになるなんて昔の私じゃ考えられないわね。
vo_adv_5074000_017.m4a|まあ、その代わり君には面白いものをいっぱい見せてもらってるから、ありがたかったりするんだけどね。
vo_adv_5074000_018.m4a|それじゃあ今日はこのへんで終わりましょうか。好きな時に休めるのも闇医者の特権ね。
vo_adv_5074000_020.m4a|……ええ。ただし闇医者よ。後ろ暗い生き方をしていない真っ当な人間なら、ちゃんとした医者にかかることを勧めるわ。
vo_adv_5074000_023.m4a|……顔を上げなさい。そんな状態じゃまともに話もできないわ。そもそもあなたは何者なのかしら？
vo_adv_5074000_025.m4a|ライドウ、一家……ああ、ゴクドーってヤツね。
vo_adv_5074000_026.m4a|簡単に言うとトーゴクのギャングってところかしら。
vo_adv_5074000_028.m4a|それで、依頼は親分って人の手術かしら？受けてもいいけど私は安くないわよ。
vo_adv_5074000_030.m4a|連れ去られた？　あなたたちの争いに巻き込まれるのはごめんだわ。悪いけど他をあたりなさい。
vo_adv_5074000_032.m4a|……どういうことかしら？
vo_adv_5074000_036.m4a|話を聞いた限りだとそこまでの異常性は認められないけど。強引に連れていったのは急を要する状態だったのかもしれないし、入院後に容体が急変して面会謝絶の可能性も考えられるわ。
vo_adv_5074000_038.m4a|そう言われてもね……ところでその病院ってどこかしら？
vo_adv_5074000_040.m4a|聖アルフォライト病院……聞き覚えがあるわね……ああ、たしか経営難で潰れかけのところね。
vo_adv_5074000_041.m4a|でも、そんなところに裏社会の人間ともめ事を起こすような余裕があるとは思えないけど。
vo_adv_5074000_043.m4a|たった一年で？　それはまた驚きだわ。その院長がよほど優秀なのかしら。
vo_adv_5074000_045.m4a|それは単にあなたの印象でしょ？第一こんなことを闇医者に依頼するのはお門違いだわ。
vo_adv_5074000_047.m4a|……そう、知ってるのね。あまり有名になるのも考え物だわ。つまり、医者でありなおかつ裏社会に精通している人物として、私に白羽の矢を立てた、ということでいいのかしら？
vo_adv_5074000_049.m4a|闇に潜り込むには闇に通じた者が適任だものね。あなたの見立て、間違ってないわよ。
vo_adv_5074000_051.m4a|でも、だからといってわざわざ関わるメリットが果たしてあるのかしら？
vo_adv_5074000_052.m4a|裏社会の人間なら、闇に触れる危険は分かるんじゃなくて？
vo_adv_5074000_053.m4a|危険性を理解しているからこそ、慎重な判断が求められる。簡単にやりますなんて言えやしないわよ。
vo_adv_5074000_054.m4a|……君ね、気軽に言わないでもらえるかしら。最悪命にかかわるような厄介ごとに巻き込まれるかもしれないのよ？
vo_adv_5074000_055.m4a|そういう問題じゃなくて……
vo_adv_5074000_056.m4a|いや、もう遅いわ。この子は相手が誰だとか危険性がどうとか関係なく目の前の困っている人に等しく手を差し伸べてしまう人間。
vo_adv_5074000_057.m4a|話を聞いた時点で断るなんて選択肢はないのよね。
vo_adv_5074000_059.m4a|……さっきも言ったけど私は安くないわよ。出張費や場合によっては危険手当など諸々かかるから覚悟しなさい。
vo_adv_5074000_061.m4a|気が早いわよ。礼ならその親分って人を連れて帰ってきてからにしなさい。
vo_adv_5074001_000.m4a|ふふ、やっぱりこの町は独特の雰囲気で面白いわね。
vo_adv_5074001_001.m4a|トーゴク文化ならではの技術や素材、さらに思想は実に興味深いし、この前手に入れたカンポーも研究のしがいがあるわ。
vo_adv_5074001_002.m4a|オーエド町に来るときは大体トラブル絡みだけど、いずれ落ち着いて散策したいわね。
vo_adv_5074001_003.m4a|あら、何をきょとんとしているの？もちろん君にも付き合ってもらうわよ。
vo_adv_5074001_004.m4a|この町の英雄なんでしょ？君を連れていれば色々と融通が利きそうだしね。よろしくね、ショーグン様♪
vo_adv_5074001_005.m4a|ところで、町中に何だかガラのよくない連中がいるわね。前に来た時はあんなの見なかったんだけど。
vo_adv_5074001_006.m4a|そうでしょうね。おそらくライドウ一家がああいった厄介そうなのを裏で抑え込む抑止力になっていたのね。
vo_adv_5074001_007.m4a|あの男性の言ってた仁義を重んじるって言葉も、あながちうそじゃなかったみたいね。
vo_adv_5074001_008.m4a|気持ちは分かるけど、今私たちのすべきことは別にあるの。そこの判断を見誤ってはダメ。
vo_adv_5074001_009.m4a|おそらくこの状況は親分の不在による影響よ。だから今は任された問題の解決に注力しなさい。
vo_adv_5074001_010.m4a|それが町を元に戻す一番の近道だから。
vo_adv_5074001_011.m4a|荒れた町じゃ情緒もないし観光どころじゃないわ。楽しくオーエド巡りするためにも、きっちりカタをつけてやりましょ。
vo_adv_5074001_012.m4a|さて、ようやく目的地、聖アルフォライト病院に到着ね。ふーん、なかなか立派じゃない。
vo_adv_5074001_013.m4a|町にこの規模の病院があるのは、住民からすればありがたいわね。
vo_adv_5074001_014.m4a|あの男性が言ってたじゃない。見た目は立派な病院だって。狡猾な手合いほど表向きはクリーンさを装うもの。
vo_adv_5074001_015.m4a|そう考えるとこの病院も伏魔殿と考えるべきね。心してかかりなさい。
vo_adv_5074001_016.m4a|そうね、オーエド町に合わせてニンジャよろしく華麗に潜入したいところだけど、残念ながらそっちは専門外なの。
vo_adv_5074001_017.m4a|その分時間をかけてしっかりと準備してきたから、正面から堂々と乗り込みましょう。
vo_adv_5074001_018.m4a|あらあら、盛況じゃない。評判がいいってのは間違いじゃないみたいね。
vo_adv_5074001_019.m4a|まあ、そのおかげで長い待ち時間が発生してるけど。体が悪いところにずっと待たされて、精神衛生的によくないわね。
vo_adv_5074001_020.m4a|まあそれは置いといて、まずは受付に行きましょうか。
vo_adv_5074001_021.m4a|失礼、本日付けでこちらに赴任してきた者だけど。
vo_adv_5074001_024.m4a|彼は私の助手よ。彼共々よろしくお願いするわね。
vo_adv_5074001_025.m4a|今は黙ってそういうことにしておきなさい。
vo_adv_5074001_027.m4a|それより先に診察室に案内してもらえるかしら？自分の仕事場を早く確認しておきたいの。
vo_adv_5074001_030.m4a|ねえ、さっき待合室を見たけど、ずいぶん患者が来てるのね。いい病院に来られてうれしいわ。
vo_adv_5074001_031.m4a|ここならライドウ一家の親分も安心して入院できるわね。
vo_adv_5074001_033.m4a|……そうなんだ。噂なんてあてにならないわね。
vo_adv_5074001_034.m4a|それじゃあさっそくだけど、診察をはじめましょうか。あなた、待合室の患者を全員私の方に回しなさい。
vo_adv_5074001_036.m4a|あまり患者を待たせるのはよくないでしょ？大丈夫、私優秀だから♪
vo_adv_5074001_038.m4a|ふふ、上手くいったわね。
vo_adv_5074001_039.m4a|あら、そんな他人行儀じゃなくて、二人の時はミツキって呼んで♪
vo_adv_5074001_040.m4a|冗談はさておき説明しておくわ。ナオミっていうのは元々この病院に赴任する予定だった医者よ。
vo_adv_5074001_041.m4a|簡単に言うとナオミになりすまして病院に入り込んだってわけ。入れ替わりの対象探しや書類の改ざんとか色々準備が必要だったから、出発までに何日かかかっちゃったけどね。
vo_adv_5074001_042.m4a|安心なさい。ちゃんと生きてるわよ。今ごろは別の職場でバリバリ働いているでしょうね。
vo_adv_5074001_043.m4a|その時のための対策を、これからするのよ。
vo_adv_5074001_044.m4a|君も親分のこと聞いた時の看護師の反応見たでしょ？面会謝絶ならまだしも、存在自体を隠蔽してきてる。
vo_adv_5074001_045.m4a|いかにも怪しいですよって宣伝しているようなものだからね。疑念が深まった以上、こちらも相応の手でいかせてもらうわ。
vo_adv_5074001_046.m4a|さあ、そろそろ患者が来るわよ。忙しくなるから覚悟しなさいね。
vo_adv_5074001_048.m4a|こんにちは。今日はどうしたの？
vo_adv_5074001_050.m4a|ふぅん、せきが出てるみたいだけど、他に症状はあるかしら？
vo_adv_5074001_052.m4a|それならせき止めを処方するわ。あとは早く帰って水分と栄養のあるものを食べてしっかり休みなさい。
vo_adv_5074001_054.m4a|体と仕事、どっちが大事なの？でも、どうしてもって時はこの解熱剤を飲みなさい。
vo_adv_5074001_055.m4a|次の方、どうぞー
vo_adv_5074001_057.m4a|今日赴任してきたばかりなの。よろしくね。それで今日はどうしたのかしら？
vo_adv_5074001_059.m4a|それならしばらく運動は控えなさい。運動前はもちろん、運動後のストレッチも大事よ。
vo_adv_5074001_060.m4a|運動不足が気になるなら、痛みが治まるまでは筋トレをやりなさい。手軽で効果の高いトレーニングを教えておくわ。あとは湿布薬を出しておくからそれで様子を見ましょう。
vo_adv_5074001_062.m4a|なるほど、それじゃあ特別な治療、しましょうか？さあ、ベッドに横になって。
vo_adv_5074001_075.m4a|あら、もうこんな時間。初日としては十分な成果ね。
vo_adv_5074001_077.m4a|ごめんなさい、今日はもうおしまいなの。
vo_adv_5074001_079.m4a|まあ、ということはあなたが院長なのね。潰れかけの病院を立て直した敏腕とうかがってるわ。私はナオミ。挨拶が遅れて申し訳ないわね。
vo_adv_5074001_081.m4a|あら、心外ね。私は──
vo_adv_5074001_083.m4a|まあ、最初から隠し通す気なんてなかったけど。目的はこの病院に雇ってもらいたかったの。
vo_adv_5074001_085.m4a|ええ。大きな病院が慢性的に抱える、患者の長時間拘束。私ならそれを解消できるわ。口先だけでないことは証明済みよ。
vo_adv_5074001_086.m4a|それに、せっかく院長の手腕でいい病院に生まれ変わったんだし、患者を待たせて評判を落とすようなマネはよくないのでは？
vo_adv_5074001_088.m4a|感謝するわ。誠心誠意勤めさせてもらうわね。
vo_adv_5074001_090.m4a|余計なこととは何かしら？
vo_adv_5074001_092.m4a|あ、そうそう、言い忘れてたけど私の名前はミツキ。以後お見知りおきを、院長♪
vo_adv_5074002_000.m4a|ああ困った、困ったわね。この病院に来てはや３日。なのに調査が全然進まないわ。
vo_adv_5074002_001.m4a|院長ってば私を正式採用したのをいいことに、引っ切り無しに患者を送り込んでくるからほとんど診察室から出られないわね。
vo_adv_5074002_002.m4a|それに宿直も禁止で夜には病院から追い出されるし、こっそり調査するのも困難。今のところ院長にうまいこと使われているだけって状況ね。
vo_adv_5074002_003.m4a|安心なさい。これくらいの妨害をされることはあらかじめ想定済み、こうして病院に入り込めただけで足がかりとしては十分よ。
vo_adv_5074002_004.m4a|それに、調査ができなくてもできることはあるわ。そう、例えば──
vo_adv_5074002_006.m4a|あら、また来たの？　ちゃんと医者の言いつけを守らないとダメでしょ？
vo_adv_5074002_008.m4a|どんな運動でもやり過ぎはよくないわよ。それでどうしたの？
vo_adv_5074002_010.m4a|ふぅん、とりあえず診てみないことには分からないわね。さて……うーん、これは……
vo_adv_5074002_011.m4a|目視で確認できるような目立った症状は表れていない。過度な運動の疲労が蓄積したんだろうけど、何か引っかかるわ。
vo_adv_5074002_013.m4a|その可能性はないから安心なさい。それより健康食品って何かしら？
vo_adv_5074002_016.m4a|……そう。ところであなたオーエド町の人でしょ？ライドウ一家の親分についてあなたの印象を聞かせてほしいの。
vo_adv_5074002_022.m4a|そう。ありがとう、いい話が聞けたわ。しばらく運動と栄養食品は止めて、ゆっくり休みなさい。
vo_adv_5074002_024.m4a|まだ確証がないから何とも言えないわ。しばらくはこうして患者から情報を集めていきましょう。
vo_adv_5074002_026.m4a|ちょっと、先日より悪くなってるの？
vo_adv_5074002_028.m4a|ちゃんと休まないからそうなるのよ。まあいいわ。罰としてちょっと話を聞かせなさい。この病院について何か知っているかしら？
vo_adv_5074002_030.m4a|病院に行って大丈夫かって、おかしな話よね。
vo_adv_5074002_032.m4a|それってどんな噂なのかしら？
vo_adv_5074002_035.m4a|なのに心配されたの？
vo_adv_5074002_037.m4a|謎の体調不良？
vo_adv_5074002_039.m4a|そう、まだ病院が関与してるという確証はない。でも、オーエド町で何かが起こっているのは確かだわ。
vo_adv_5074002_040.m4a|これは想定よりも大仕事になるかもしれないわね。
vo_adv_5074002_046.m4a|次の方どうぞ。
vo_adv_5074002_049.m4a|ふーん、君の知り合いなんだ。君の交友関係の広さには感心するわね。
vo_adv_5074002_050.m4a|はじめまして。ランドソルで医者をやっているミツキよ。今は臨時で、ここで勤務医をしているの。
vo_adv_5074002_057.m4a|さあ、それはどうかしら。それよりもお時間は大丈夫？【メルクリウス財団】のメンバーなら多忙なのではなくて？
vo_adv_5074002_059.m4a|もちろん。飲み過ぎに効くカンポーがあるから、それを処方するわ。でも、あなたの場合それだけじゃ足りなそうね。
vo_adv_5074002_061.m4a|飲む量を減らす。飲んでも体の負担にならないよう生活を改善することが重要。
vo_adv_5074002_062.m4a|仕事でたまったストレスを飲むこと以外で発散できるようになさい。
vo_adv_5074002_066.m4a|有名ギルドの一員なら、責任も大きくなるでしょうね。でも、見たところあなたとても真面目そうだし、必要以上に責任を背負ってないかしら？
vo_adv_5074002_068.m4a|【メルクリウス財団】ほどのギルドなら、周りはみんな優秀なはずよ。背負うばかりじゃなくて、任せることも覚えてみたらどうかしら？
vo_adv_5074002_071.m4a|……そうね。楽しみにしておくわ。
vo_adv_5074002_073.m4a|ユカリさん、真面目だしきっと多くの人に慕われてる素敵な人ね。でも、私が【トワイライトキャラバン】のメンバーだと知っても普通に接してくれるかしらね。
vo_adv_5074002_074.m4a|そう。普通なら私なんかとは縁が交わらないはずの人なのに、杯を交わすことになるなんてね。面白いじゃない。
vo_adv_5074002_075.m4a|この仕事、成功させなくちゃね♪
vo_adv_5074002_076.m4a|次の方──
vo_adv_5074002_080.m4a|……ずいぶんと変わった知り合いね。もう少し人付き合いを考えた方がいいわよ。
