vo_adv_2110001_000.m4a|あ、ちなみにセントールっていうのは別名ケンタウロスとも言って──
vo_adv_2110005_060.m4a|それだけじゃないね。やつらの動き、まるで軍隊のように統率されている。魔物たちがこんな奇襲を仕掛けるなんて、普通じゃない……！
vo_adv_2110005_068.m4a|そうだね。オクトー先輩のことだから、どんな切り札を持っているかもわからない。ここは逃げるにしかずだよ、助手くん。
vo_adv_2110005_071.m4a|それに……ノウェムさん！ユイさんが街の外に行ったっていうのは本当かい！？
vo_adv_2110005_077.m4a|ああ！任せてくれたまえ！
vo_adv_2110005_078.m4a|……くぅ～っ！マホさんに任されちゃった～！うれしい漲るテンションあがる～っ！
vo_adv_2110005_088.m4a|さぁ、こっちだ！付いてきて！
vo_adv_2110006_056.m4a|……街の方には、まだ魔物がたくさんいるけれど。とにかく、脱出には成功できたみたいだね……
vo_adv_2110006_057.m4a|……うーん。オクトー先輩の狙いが本当に助手くんだっていうなら……追撃の仕方が、ちょっと緩いような気がする。
vo_adv_2110006_058.m4a|『内通者』がいるから、いつでも捕まえられるとたかをくくっている？それとも、他に目的があったんだろうか。何かの工作とか、アリバイ作りとか……？
vo_adv_2110006_065.m4a|大量の魔物が地面を踏み荒らしているから、足跡を追うのは不可能だし。街の外となると、これ以上の目撃証言も期待できないし……これは難事件だね。
vo_adv_2110006_079.m4a|フムフム……その、『現実』という場所へ行く──いや、私たちが本当に『現実』から来たのなら、戻る形になるのだけど。その方法は、見つかりそうなのかな？
vo_adv_2110006_082.m4a|ミネルヴァ、かぁ。世界の管理者だなんて……本当にそんなすごいひとがいるなら、ぜひ一度会ってみたいな。
vo_adv_2110006_086.m4a|フムフムフム。みんな、ミネルヴァと接触したことがあるのにはっきりとは記憶していない、と……
vo_adv_2110006_087.m4a|これが『認識の修正』というものなのだとしたら……厄介だね。私の方も、思考と思考の結びつきがいつもより弱っている感じだ。何とかして、回避する方法があるといいのだけど……
vo_adv_2110006_089.m4a|ああっ、すまない！早くユイさんを見つけて、マホさんたちの助けに向かわないとだね！
vo_adv_2110006_095.m4a|えっ？助手くんに、通信魔法で？
vo_adv_2110009_068.m4a|──ルートオブバインドっ！
vo_adv_2110009_072.m4a|あはっ♪　マホさんに褒められちゃった──じゃなくって！今のうちだよ、ノウェムさんっ！
vo_adv_2110009_078.m4a|いいぞ！あとちょっとだ、みんな！
vo_adv_2110009_084.m4a|ノウェムさんの、天楼覇断剣の余波で……橋や風車が、魔物ごとまっぷたつに……
vo_adv_2110009_091.m4a|……あー、ごめん。
vo_adv_2110009_093.m4a|オクトー先輩、もういないよ。魔法の拘束を解かれて、どこかに逃げられちゃった。
vo_adv_2110099_004.m4a|……ふぅ。街の方の被害、なかなかひどいみたいだね。
vo_adv_2110099_006.m4a|しかも、先輩にはまんまと逃げられてしまったしね。
vo_adv_2110099_009.m4a|うん。街から出たあとに、【悪魔偽王国軍（ディアボロス）】のひとたちが助手くんのために加勢に来てくれてね。
vo_adv_2110099_010.m4a|彼女たちにユイさんの探索を任せて、私は加勢に戻ったというわけさ。マコトさんやカオリさんも、彼女たちのことは知っているだろう？
vo_adv_2110099_014.m4a|そうだね。それに……
vo_adv_2110099_018.m4a|ノウェムさん……
vo_adv_2110099_032.m4a|そうだね。観察している感じじゃ、立っているのも精一杯だろう。
vo_adv_2110099_036.m4a|まあ、ゆっくり静養していくといいよ。ノウェムさんには、聞きたいこと……まだまだたくさんあるからね。
vo_adv_2110099_046.m4a|そうだね。どうするのが一番良いか……みんなで考えて、行動しよう。
vo_adv_2112004_072.m4a|容疑者──といったら、聞こえが悪いけれど。私が内通者として疑っているのは、主に３人だ。
vo_adv_2112004_073.m4a|第一に、キャルさん。可能性は低いと思うけど……彼女には前科があるからね。ひょっとしたら、洗脳されやすい体質なのかもしれない。
vo_adv_2112004_074.m4a|第二に、ユイさん。これはもちろん、敵の首魁とアバターとやらが同じなためだ。なにか魔法的なつながりがあっても、おかしくない。
vo_adv_2112004_075.m4a|そして、第三に。現在、もっとも可能性が高いと思っているのが……
vo_adv_5084615_000.m4a|ふむ、助手くんはまだ目を覚まさないのか。……ああ、ダメだ！　心配し過ぎて思考が全然まとまらないよ。
vo_adv_5084615_001.m4a|ロジカルな事象に対してならいくらでも対処できるけど、覚めない眠りなんてのは探偵の範囲外だ。
vo_adv_5084615_002.m4a|探偵は万能じゃない。そんなことは百も承知さ。でも、何もできないのはやっぱり口惜しいね……それなら今できることを、助手くんを信じて待つこととしよう。
vo_adv_5092000_024.m4a|はぁ、はぁ……捜したよ助手くん！　そして聞いてくれ助手くん！とってもとーってもすごい依頼が来たんだ！
vo_adv_5092000_025.m4a|なんと、あの呪われた海賊島の調査隊に招待されたんだ！
vo_adv_5092000_026.m4a|こんな大きな仕事が来るなんて、探偵としての名が上がってきた証左だね！
vo_adv_5092000_027.m4a|こいつは後の世に語り継がれるであろう、名探偵カスミの物語のマスターピースになるに違いない！さあ助手くん、さっそく旅の準備……あ。
vo_adv_5092000_029.m4a|ゴホンッ、ンン……あー、はじめまして。【自警団（カォン）】のカスミ、探偵だ。
vo_adv_5092000_033.m4a|はは……気にしないでくれたまえ……ついでに今見た私の痴態を忘れてもらえるととても助かるよ。ウィンウィンの関係ってヤツだね。
vo_adv_5092000_034.m4a|助手くん知らないのかい？　今ランドソルの一部の界隈で噂になっている大海賊の財宝が隠されているとされる島のことだよ。
vo_adv_5092000_035.m4a|だけどその島に送り込まれた調査隊が、海賊の呪いにより全滅した、という噂がまことしやかに伝わっているんだ。
vo_adv_5092000_037.m4a|財宝に興味がある、という感じじゃないね。どうせ助手くんにも話さなければならないし、一緒に聞くといいよ。それでは話は少し前にさかのぼるよ──
vo_adv_5092000_038.m4a|──多くの犠牲者が出たという今回の件に対し、件の海賊島の発見者であるゴードン氏は重い沈黙で返す。呪いは本当にある、どんな言葉よりも雄弁に語っているように思えた。
vo_adv_5092000_039.m4a|……かつて世界中の海を荒らし、人々を恐怖のどん底におとしいれた最強にして最恐の大海賊エドワード・ディード。
vo_adv_5092000_040.m4a|彼の隠し財宝が眠る島が発見されるも、そこは海賊の呪いがかけられていた、と。
vo_adv_5092000_041.m4a|……なんだかな～。伝説の海賊島ってだけでもかなり眉唾物なのに、そこに呪いとは……いささか出来過ぎじゃないかな。
vo_adv_5092000_042.m4a|気になって色々情報収集してはみたけど、結局このゴシップ誌の記事と大差なかったし。
vo_adv_5092000_043.m4a|興味をそそられる噂ではあるけど、仕事でもないのにこれ以上時間を割くわけにはいかないね。気分転換に助手くんと散歩でもしようかな──
vo_adv_5092000_045.m4a|ああ、カスミは私だよ。失せ物探しや素行調査、もちろん事件の調査までなんでも承るよ。
vo_adv_5092000_047.m4a|ふふ、素直に頼りないと言ってくれても構わないさ。それで、豪商の付き人さんがどのようなご依頼なのかな？
vo_adv_5092000_049.m4a|簡単な推理だよ。まずはその丁寧で柔らかい物腰から、それなりの地位にある人物に仕える者だと予想した。
vo_adv_5092000_050.m4a|しかし貴族の遣いにしては服装がラフであること、均整の取れた体格に重労働に従事してきたであろう武骨な手から、商人の遣いであると判断しただけだよ。
vo_adv_5092000_052.m4a|海賊島って……まさかエドワード・ディードの！？
vo_adv_5092000_054.m4a|うーん、最悪島のことすらただの噂かと思っていたけど、まさか本当だとは……では、呪いというのは……
vo_adv_5092000_056.m4a|……
vo_adv_5092000_062.m4a|正直財宝見つけて一攫千金！　なんてのには全く興味はないけど、伝説の大海賊の財宝そのものには好奇心が刺激されるね。
vo_adv_5092000_063.m4a|それに私の探偵としての勘が告げているんだ。絶対に何かが起こる、と！
vo_adv_5092000_064.m4a|分かった。ぜひ参加させていただくとするよ。
vo_adv_5092000_066.m4a|ふっ、探偵の進む道に安全などありはしないからね。この生業に就いた時点で覚悟はできているさ。
vo_adv_5092000_067.m4a|ところで、参加にあたり一人助手を付けても構わないだろうか？彼がいれば仕事がはかどるし、身の安全も確保できるのだけど。
vo_adv_5092000_070.m4a|……やった、やったよー！　ついに、ついに大仕事ゲットだー！こうしちゃいられない、早く助手くんに知らせなきゃ！
vo_adv_5092000_071.m4a|──と、いうことがあってね。勝手に話を進めてしまい申し訳ないが、是非とも助手くんに同行してもらいたいと思っているのだけど……
vo_adv_5092000_072.m4a|判断が早くて助かるよ助手くん！　それではこの後打ち合わせを兼ねて旅の準備の買い物へ行こうか。
vo_adv_5092000_074.m4a|……ふむ、その思いつめた眼差し、何か理由がありそうだね。
vo_adv_5092000_076.m4a|なるほど、御父上の力を取り戻すために霊場巡りか。それで今回の海賊島が霊場だということなんだね？
vo_adv_5092000_079.m4a|シノブさんのこと、信頼しているみたいだね。君がそう言うのなら間違いないだろう。
vo_adv_5092000_080.m4a|私としても呪いなどは正直専門外だからね、その手のことに詳しい人が一緒なら私も助かるよ。
vo_adv_5092000_081.m4a|さっそく付き人さんに連絡してみるとしよう。
vo_adv_5092001_000.m4a|すっかり陸地も見えなくなったね。街のみんなとこれが今生の別れになるのではと思うと、不安で胸が張り裂けそうだよ……
vo_adv_5092001_001.m4a|うっ……だ、だって孤島に向かう船というまるで推理小説のようなシチュエーションなのだよ？どうしたってにやけてしまうって。
vo_adv_5092001_005.m4a|あなたは……
vo_adv_5092001_007.m4a|ああ、あなたが。こちらこそお招きいただき感謝してるよ。こんな機会そうそうないからね。めいっぱい楽しませてもらうよ。
vo_adv_5092001_010.m4a|この人はたしか……そうだ、有名な教授だ。なるほど、本当に少数精鋭で行くみたいだね。
vo_adv_5092001_020.m4a|ふふ、参加者同士の牽制のし合い。まさに推理小説の展開じゃないか。楽しくなってきたぞ。
vo_adv_5092001_026.m4a|なぜだい？　付き添いが必要な子どもではないよ、彼女は。
vo_adv_5092001_028.m4a|危険、人物……？
vo_adv_5092001_033.m4a|あれは……【自警団（カォン）】のブラックリストで見た【トワイライトキャラバン】の歩く竜巻！ゴードンさん、随分と無茶したもんだね。
vo_adv_5092001_035.m4a|んん？　君たち知り合いなのか？助手くんの交友関係の広さは怖いものがあるね……
vo_adv_5092001_056.m4a|そ、それはダメだ！　助手くんはこの探偵カスミの助手、たとえ相手が【トワイライトキャラバン】だろうとここは譲れないぞ！
vo_adv_5092001_058.m4a|そうなの？　助手くん、君も大概面白い人だな。でも、付き合いの長さは関係ない。今回は私との同行が先約だからね。
vo_adv_5092001_060.m4a|あれ、意外なほどあっさり引いてくれた！そして気の毒なほど落ち込んでしまった……で、でも、今回は私も譲れないのだ、許してほしい。
vo_adv_5092001_062.m4a|シノブさん、お帰りなさい。実は……
vo_adv_5092001_064.m4a|い、いいのかい？　こう言ってはなんだが、彼女は少々扱いが難しそうだよ？
vo_adv_5092001_068.m4a|なるほどね。それに彼女は【トワイライトキャラバン】のメンバーその強さは折り紙付き。ならば行動を共にすることはお互いにとって有益というわけだね。
vo_adv_5092001_069.m4a|分かったよ。それではシノブさん、彼女のことは任せたよ。
vo_adv_5092001_081.m4a|いよいよだね、助手くん。今回ばかりは私も何が起こるか予想がつかない。君の力が必ず必要になるだろう。頼りにしてるからね。
vo_adv_5092001_082.m4a|ここが呪われし海賊島……見たところ普通の無人島のようだけどシノブさん、何か感じるかい？
vo_adv_5092001_085.m4a|うむ、教授の言うことももっともだね。ここは南方の孤島、独自の生態系が築かれていることも考えられる。
vo_adv_5092001_086.m4a|未知の魔物や病原菌などの危険性は十分に考慮すべき問題だね。ご忠告感謝するよ。
vo_adv_5092001_091.m4a|──以上が嘆きの女神事件の顛末だよ。今思い返してもなかなかハードな事件だったね。
vo_adv_5092001_096.m4a|ありがとう、いただくとするよ。
vo_adv_5092001_099.m4a|ところであの霊媒師の老人はどうしてるのかな？夕食の時にも現れなかったが。
vo_adv_5092001_107.m4a|今の悲鳴、まさか……！付き人さん、彼の部屋はどこだい！
vo_adv_5092001_109.m4a|助手くん、行くぞ！
vo_adv_5092001_112.m4a|教授！　霊媒師さんは……
vo_adv_5092001_115.m4a|誰かと話している？　しかし部屋には彼以外誰もいないはずじゃ……まさか本当に海賊を呼び出したのか？
vo_adv_5092001_119.m4a|アンナさん待つんだ！　中に人がいる──
vo_adv_5092001_121.m4a|……【トワイライトキャラバン】っていつもこうなのかい？とにかく私たちも行こう、助手くん。
vo_adv_5092001_122.m4a|失礼するよ……なっ……こ、これは……！？
vo_adv_5092001_125.m4a|ああ、霊媒師さんで間違いない。ただ、おそらくもう……
vo_adv_5092001_129.m4a|助手くん、私たちで追跡しよう！アンナさんたちは現場の保存と残った人たちの護衛を頼む。
vo_adv_5092002_000.m4a|……うーん、ダメだ。こう暗くては追跡は無理だね。これ以上続けてもミイラ取りがミイラになってしまう。いったん戻ろう。
vo_adv_5092002_001.m4a|もちろんよくはない。だが何の準備もなしでは成果を上げることはおろか返り討ちにあう可能性だってある。何事も引き際が肝心だよ。
vo_adv_5092002_002.m4a|それにやるべきことは他にもある。闇雲に追いかけるばかりが探偵じゃないのさ。まずはロッジに戻って現場をもう一度調べよう。
vo_adv_5092002_003.m4a|……え？　私の聞き間違いかな、アンナさん、もう一度聞くよ。いったい、何があったんだい？
vo_adv_5092002_005.m4a|消えたって……そんなバカな！人一人がそう簡単に消えるはずがないじゃないか！
vo_adv_5092002_007.m4a|え、海賊……？　い、いったいどういう事なんだ！
vo_adv_5092002_037.m4a|決断を下すのは早いよ。ただ、どのみちこれ以上の捜索は無理だ。明日、ゴードンさんと相談してから今後の方針を決めようじゃないか。
vo_adv_5092002_038.m4a|やれやれ、初日から予想外の大事件じゃないか。こいつは気を引き締めてかからないと危ないね。
vo_adv_5092002_041.m4a|待ってほしい。たしかに事件が起きたことは残念だよ。だが、私たちは危険を承知でここにやって来たんだ。
vo_adv_5092002_042.m4a|事件の真相や財宝の謎をスルーしたまま帰るなんて、探偵の名がすたるよ。
vo_adv_5092002_050.m4a|どれどれ……ふむ、この地図に記された死霊、魔犬、悪魔の３つの試練をクリアするごとに鍵が手に入り、それで財宝の扉を開くというわけか。
vo_adv_5092002_055.m4a|いや、単純に道のりが険しいだけでは……でもまあ、南方特有のこの暑さは少々応えるね、ふぅ……
vo_adv_5092002_056.m4a|助手くん、こまめな水分補給は怠らないようにね。
vo_adv_5092002_063.m4a|そういう力技で解決するのか、はたまた知恵を使わせるのか。いずれにせよ一筋縄ではいかないだろうね。
vo_adv_5092002_064.m4a|とりあえず、まずはここで何をするのかを探らないとだけど……おや、あれって石板じゃないのかな？
vo_adv_5092002_065.m4a|やっぱり。これがヒントのはずだけど、何が書かれているのか……これは……古い文字だね。ええと……
vo_adv_5092002_067.m4a|さすがは教授。寝所というのはおそらくお墓のことだろうね。それを3回ノックしろってことなのか。
vo_adv_5092002_068.m4a|……この墓地にあるお墓のどれか、だろうね。
vo_adv_5092002_074.m4a|ハズレの墓石をノックするとゴーストが出る仕組みみたいだね。これでは人海戦術で探す手段も簡単には使えないな。
vo_adv_5092002_087.m4a|シノブさん、少し疲れが見え始めているね。試練突破も大事だがシノブさんも心配だ。一度この辺りで休憩するのはどうだろうか？
vo_adv_5092002_089.m4a|……分かった。ここは君たちに従おう。
vo_adv_5092002_095.m4a|向こうからもゴースト！？　それもすごい数だ……誰か墓に触れた人はいるかい？
vo_adv_5092002_102.m4a|可能性の一つではあるね。たまたま誤作動を起こしたか、あるいは私たち以外の招かれざる客がいるのか。
vo_adv_5092002_104.m4a|まあ、それよりも今は試練だね。さあ、シノブさんの後を追うとしよう……って、シノブさん止まってる。どうかしたのかい？
vo_adv_5092002_108.m4a|シノブさん？　一体何をする気だい？
vo_adv_5092002_111.m4a|そうか、長い年月で木に侵食されて墓石が見えなくなってしまったというわけか。シノブさんがいなければ絶対に見つけられなかったね。
vo_adv_5092002_115.m4a|ステイステイ。ひとまずその寄らば斬る的な思考を止めてほしい。こいつを見てごらん。墓石の表面が崩れて、その下に何か見えるよ。これは……絵だね。
vo_adv_5092002_120.m4a|生きて帰るには眠りの舞を成功させるしかないね。で、眠りの舞っていうのはおそらくこの絵のことかな？
vo_adv_5092002_121.m4a|……うーん、複雑な動きというわけではないけど、４人の息の合った動きが重要みたいだね。
vo_adv_5092002_127.m4a|これは責任重大だね。それじゃあ踊るメンバーを決めようか。シノブさんは決まりとして、あと３人だね。
vo_adv_5092002_130.m4a|まあ、順当にいけばそうなるよね。シノブさん、それでいいかい？
vo_adv_5092002_135.m4a|そ、そんなこと、言われても……はぁ、はぁ……こういうの、あまり得意じゃ……ふはぁ……
vo_adv_5092002_138.m4a|強引な盛り上げありがとう、アンナさん。シノブさんは元より、私たちもそろそろ限界だ。泣いても笑ってもこれが一回きりのぶっつけ本番、絶対に成功させよう！
vo_adv_5092002_142.m4a|あらよっと！
vo_adv_5092002_143.m4a|ここまでは我ながら完璧だね。ふふ、ちょっと楽しくなってきたよ。
vo_adv_5092002_146.m4a|シノブさん！　やはり体力の限界だったのか。
vo_adv_5092002_148.m4a|助手くん、私たちも！
vo_adv_5092002_157.m4a|何言ってるのさ。シノブさんと一緒だったからこそ私たちも踊りきれたし、とっさにフォローもできたんだ。どうか胸を張って受け取ってほしい。
vo_adv_5092002_160.m4a|さて、そう簡単にいくかな？次の試練も命がけになる可能性は高いし、それに不可解なゴーストの出現のような不確定要素もある。
vo_adv_5092002_161.m4a|なにより昨晩の海賊の件もまだ何も分かってはいないしね。楽観はできないよ。
vo_adv_5092003_004.m4a|しかし教授、霊媒師消失の件もまだ未解決なんだ。単独行動はおすすめできないけどね。
vo_adv_5092003_007.m4a|全く……くれぐれもお気を付けて。お土産に次の鍵を持って帰ってくるよ。
vo_adv_5092003_008.m4a|やはり教授の離脱は痛いね。専門的な知識が必要にならなければいいのだけど……
vo_adv_5092003_009.m4a|教授自身が固辞してるんだからどうしようもないよ。ケガもしてるし優秀な人だから軽率なことはしないはずだよ。
vo_adv_5092003_011.m4a|海賊の呪い……本当にあるのかな？……今は考えても仕方ない。私たちは試練の攻略に集中しよう。
vo_adv_5092003_012.m4a|そうだね、なにかうなり声のような……
vo_adv_5092003_019.m4a|今にも飛びかからんって感じだね。これ以上は迂闊に近寄れないよ。
vo_adv_5092003_025.m4a|いや、第一の試練を見る限りそういう仕掛けにはしないはずだ。おそらく今回もどこかにヒントがあると思うのだけど──
vo_adv_5092003_027.m4a|助かるよ御父上。これは……魔犬の試練と書いてある。どうやらヒントの石板だね。「魔犬の巣に入りて鍵を得よ」。なるほど、極めて分かりやすいね。
vo_adv_5092003_029.m4a|こんな所に無意味な絵を設置したりはしないさ。よく見ればこの道化師、笛を吹いているね……道化師、笛……
vo_adv_5092003_030.m4a|そうか、童話の笛吹き男だ！犬笛であの犬たちをネズミのように誘導すればいいんだ。
vo_adv_5092003_032.m4a|今のは……笛の音？　助手くん、君笛なんか持ってたのかい？
vo_adv_5092003_033.m4a|なるほど！　石板を隠していたこの草で草笛を作ったんだね。ファインプレーだよ助手くん！
vo_adv_5092003_034.m4a|それじゃあ助手くんに習い草笛を量産して、犬たちを洞窟から引き離そう！
vo_adv_5092003_039.m4a|ふぅ、これで犬は全部引き離せたよ。あとは洞窟で鍵を手に入れるだけだね。
vo_adv_5092003_041.m4a|シノブさん、何か気がかりなことでもあるのかい？
vo_adv_5092003_048.m4a|あうっ！　なんて咆哮だ、鼓膜が破れそうだよ……
vo_adv_5092003_057.m4a|……では、その隙を作るとしようか。
vo_adv_5092003_059.m4a|できるよ。ただ、それには君たちの協力が不可欠だ。とても危険な賭けになるが、それでもやってくれるかい？
vo_adv_5092003_061.m4a|作戦自体は極シンプルなものだよ。助手くんたち３人が魔犬に突っ込んでいき、その隙に私が洞窟に入って鍵をとる。それだけさ。
vo_adv_5092003_063.m4a|闇雲に行ってはそうなるだろうね。でも、三方向から同時に仕掛ければ隙は生じるはずだよ。
vo_adv_5092003_065.m4a|魔犬の行動を見る限り、３つの首はそれぞれの方向にしか、例えば真ん中の首なら左右には対応しない。それは残りの二つも同じだ。
vo_adv_5092003_067.m4a|そのとおり。だから三方向からの同時展開で首はそれぞれの方向に反応し引っ張り合い、動きが止まる。超反応を逆手に取った作戦というわけさ。
vo_adv_5092003_068.m4a|改めて言うけど、これは極めて危険な賭けだよ。３人の同時展開、そして魔犬を潜り抜けるタイミング。まさに刹那の攻防だ。もし失敗すれば……
vo_adv_5092003_071.m4a|……ありがとう。それでは３人とも、作戦開始だ！
vo_adv_5092003_073.m4a|そしてこのタイミングで三方向へ引っ張り合いが生じるはず。
vo_adv_5092003_074.m4a|ビンゴ！　動きが止まった！
