vo_adv_2107002_052.m4a|──ミクマ流剣術・陣風ッ！
vo_adv_7021000_007.m4a|ミツキさん……探索に同行すると聞いて身元を調べたけど、あの要注意ギルド【トワイライトキャラバン】の一員だし、どうにも油断できないんだよな。
vo_adv_7021000_008.m4a|グレーな医療行為で法外な診察料を取ってるって噂も聞こえてくるし。{player}さんの知り合いだから信じたいけど……
vo_adv_7021000_009.m4a|いや、そんな理由じゃダメだよね。【王宮騎士団（NIGHTMARE）】団員として危険人物かどうか、この機会に見極めないと。
vo_adv_7021000_011.m4a|やだなあ、そんな心配はしてませんよ。それより薬草はもういいんですか？必要なら私も手伝います。あっ、この草ですよね──
vo_adv_7021000_013.m4a|猛毒……
vo_adv_7021000_015.m4a|はぁ……そういう冗談は【王宮騎士団（NIGHTMARE）】団員である私の前では遠慮してほしいですね。
vo_adv_7021000_017.m4a|私は緊張なんてしてませんよ。
vo_adv_7021000_019.m4a|もちろん。私たちは日々ランドソル市民のために厳しい訓練をしていますから。
vo_adv_7021000_022.m4a|あの堂々たる立ち居振る舞い、やっぱりただものじゃない。油断しないようにしよう。
vo_adv_7021000_023.m4a|何か尻尾をつかんだら私一人で捕まえないと……
vo_adv_7021000_024.m4a|え？　あ、ああ。そうだね、行こう。一番の目的は{player}さんの記憶の手がかりだもんね。それを忘れちゃいけないよね。
vo_adv_7021001_000.m4a|はぁ～～～！
vo_adv_7021001_002.m4a|【王宮騎士団（NIGHTMARE）】の訓練でジュンさんにしごかれるのと比べたらこの程度なんともないですよ。
vo_adv_7021001_003.m4a|ミツキさんは{player}さんの記憶の手がかりを探すことに集中してもらえると助かります。
vo_adv_7021001_005.m4a|確かに、どんどん{player}さんの荷物が増えてるね……
vo_adv_7021001_006.m4a|大丈夫？　重いなら私も持つよ。
vo_adv_7021001_007.m4a|{player}さんがそう言うならいいけど……
vo_adv_7021001_008.m4a|それにしても、そんなに珍しい薬草なんですか？ランドソルに持ち帰ったら高く売れるとか？
vo_adv_7021001_011.m4a|ただの雑草を持ち帰るんですか？
vo_adv_7021001_013.m4a|すごい薬……もしそうなら、話題になってるはず。聞いたことないってことは、やっぱり裏の世界で……よし、情報を引き出してみよう。
vo_adv_7021001_014.m4a|例えばどんな薬ができたんですか？
vo_adv_7021001_016.m4a|そんなすごいものが？それならぜひとも【王宮騎士団（NIGHTMARE）】に……
vo_adv_7021001_020.m4a|え？　{player}さんがミツキさんの作った薬を知ってるんですか。
vo_adv_7021001_021.m4a|えっと……そ、それは……
vo_adv_7021001_022.m4a|知っているってことは、ミツキさんが捕まったら{player}さんも隠蔽の罪で一緒に……
vo_adv_7021001_023.m4a|いや、それでも悪事は見逃せない！このまま調査を続けて、できることなら証拠も押さえる！
vo_adv_7021002_001.m4a|……驚いた。ミツキさんがこんなに強いなんて。
vo_adv_7021002_002.m4a|ジュンさんのように圧倒的な力量でねじ伏せるのとは違う、相手の弱点を突いて効率よく確実に仕留める戦い方……見事という他ないよ。
vo_adv_7021002_004.m4a|どうってことないって……ミツキさんはどう見ても実力の半分も出していないように見える。
vo_adv_7021002_005.m4a|私が本気を出しても勝てるかどうか……というか、この人本当に医者なの？こんな強い医者なんて聞いたことないよ。
vo_adv_7021002_007.m4a|大丈夫です！【王宮騎士団（NIGHTMARE）】の一員としてこのくらい、一人でやっつけてみせますから。
vo_adv_7021002_008.m4a|勝てるかどうかなんて弱気になっちゃダメだ。街の治安を守る【王宮騎士団（NIGHTMARE）】はいつだって毅然としていないと！
vo_adv_7021002_009.m4a|いくよっ！それそれそれっ！
vo_adv_7021002_010.m4a|遅いっ！これで決める！！
vo_adv_7021002_011.m4a|ふぅ、全部倒せたかな？これくらいなら私一人でも──
vo_adv_7021002_012.m4a|しまった！　まだ生き残りが……！
vo_adv_7021002_014.m4a|あ、あれ？
vo_adv_7021002_016.m4a|え……？
vo_adv_7021002_017.m4a|ミツキさんが何かしたような。私に見られたら困るようなことをしたのか？でも確証はないし……
vo_adv_7021002_019.m4a|は、はい。そうですね。
vo_adv_7021002_020.m4a|ミツキさん……底が知れない人だ。いざというとき私一人で対処できるかな？
vo_adv_7021003_000.m4a|ふぅ。ずいぶんと魔物を倒してきたけど、ようやく落ち着いたね。
vo_adv_7021003_001.m4a|私はまだ平気だけど……確かに今のうちに休んでおいた方がよさそうだね。ミツキさんもそれでいいですか？
vo_adv_7021003_003.m4a|あれから不審な素振りは見せてないけど、やっぱり何か引っかかるんだよな……
vo_adv_7021003_005.m4a|余計なお世話だなんて。ありがたくいただきますよ。
vo_adv_7021003_006.m4a|うーん、悪い方に考えすぎかな。本当の悪人と{player}さんが仲良くするとも思えないし。
vo_adv_7021003_009.m4a|ずいぶんと変わった匂いですね。
vo_adv_7021003_011.m4a|それじゃあ……いただきます。ごくっ。
vo_adv_7021003_012.m4a|……ほんとだ、匂いからは想像できない上品な味。
vo_adv_7021003_014.m4a|えっ！？　ま、まさか毒を！？
vo_adv_7021003_016.m4a|くっ、油断した。やっぱり……
vo_adv_7021003_018.m4a|ど、どういうことですか？
vo_adv_7021003_021.m4a|……気付いてたんですね。
vo_adv_7021003_023.m4a|疑うようなことをしてすみません。
vo_adv_7021003_026.m4a|えっ！？
vo_adv_7021003_028.m4a|…………
vo_adv_7021003_031.m4a|私は……
vo_adv_7021003_033.m4a|……はい。
vo_adv_7021003_036.m4a|……ふふっ。私は気にしないから飲みなよ。ほら、私が口をつけたところはここだよ。
vo_adv_7021004_001.m4a|任せてください！　はぁ～～！
vo_adv_7021004_003.m4a|まっすぐ、ですか？
vo_adv_7021004_005.m4a|【王宮騎士団（NIGHTMARE）】は連携が第一だから、こういう戦い方以外、想像がつかないですね。
vo_adv_7021004_006.m4a|あ、一人例外がいますけど。あんなのばっかりの集団って考えたら……【トワイライトキャラバン】って恐ろしいギルドですね。
vo_adv_7021004_008.m4a|毒にも薬にもならない……
vo_adv_7021004_010.m4a|違うんです。今の私がそういう人間だなって思っただけで。
vo_adv_7021004_012.m4a|ちょうどいいところに来てくれた。
vo_adv_7021004_014.m4a|ずっと気に掛かってたんです！さっき魔物の大群を一人で倒し切れなかったこと！
vo_adv_7021004_015.m4a|だから、今度こそ私一人で倒します！手出し無用でお願いします！
vo_adv_7021004_018.m4a|そこ……！
vo_adv_7021004_020.m4a|やっぱり魔物を倒すのに何か使っていたんですね。私に見られたら困るものですか？
vo_adv_7021004_022.m4a|そうですね。でもその手の中のものもあとで説明してもらいますよ。
vo_adv_7021004_024.m4a|ま、魔物が一撃で……！？
vo_adv_7021004_027.m4a|捕まえませんよ。だってミツキさんはただ魔物を倒しただけですから。
vo_adv_7021004_029.m4a|捕まえるためじゃありませんよ。だって、ミツキさんが助けてくれるって信じてなきゃあんなおバカな真似はできませんから。
vo_adv_7021004_030.m4a|ただ私は、ミツキさんが不審な行動をとっていたことに気付いてたのに、それを問い詰めない自分が気持ち悪かったんです。
vo_adv_7021004_031.m4a|なんとなく流されてしまうのは【王宮騎士団（NIGHTMARE）】に相応しくないなって。
vo_adv_7021004_032.m4a|だからそれを確かめるためにおバカな一芝居を打ったってわけです。
vo_adv_7021004_034.m4a|少しだけ。でもミツキさんがいい人だってことを確認できてよかったです。
vo_adv_7021004_035.m4a|その毒も魔物をより効率的に倒すためのものですよね。
vo_adv_7021004_037.m4a|……え？
vo_adv_7021004_039.m4a|没収！　その毒は没収します！あるだけ全部没収です！
vo_adv_7021005_000.m4a|これは……壮絶な光景だね。
vo_adv_7021005_002.m4a|不思議な石ですね。塔の壁や床とも違うし、それに淡く光ってる……？
vo_adv_7021005_004.m4a|こんな石に記憶の手がかりがあるなんて、にわかには信じがたいけど……ん！？　急に光が強くなってきた…！？　まぶしいっ……！
vo_adv_7021005_071.m4a|……う～ん。今の光景は、いったい……？
vo_adv_7021005_074.m4a|はぁ……結局目の前で証拠を隠滅されるなんて。私もまだまだだな。
vo_adv_7021005_076.m4a|そう言うってことは何も検出できないんでしょうね。はぁ……本当に恐ろしい人ですよ。
vo_adv_7021005_078.m4a|毒も薬も使いようってことですか。ひとつ大人になった気がします。
vo_adv_7021005_080.m4a|でも証拠をつかんだときは容赦なく捕まえますからね！油断しないでください！
vo_adv_7021005_081.m4a|{player}さんも手伝ってくれるんですね。ありがとうございます！
vo_adv_9003505_005.m4a|私たちだけでは、厳しいところだったけれど。予想外の助太刀があったので……
vo_adv_9003509_015.m4a|ジュンさんっ？
vo_adv_9003513_020.m4a|くっ……！？まだ、これほどの力を残していたなんて……！
vo_adv_9005008_013.m4a|あっ、ちょっと暴れないで。いい大人がなにやってるんですかもう……仕事が溜まってるんですから……！
vo_adv_9005008_015.m4a|だったら国費を私的に使おうとしないでくださいよ……あぁもうマツリちゃん、そっちの足持ってくれるかな。
