vo_adv_1053009_000.m4a|ふんふんふーん♪
vo_adv_1053010_066.m4a|おいこら！　見た目で判断するな！この者を愚弄することは、この私が許さんぞっ！
vo_adv_1053010_067.m4a|いいか、よく聞けよ！我々は優勝する！　おまえたちを倒してな！
vo_adv_1053010_069.m4a|……言ってしまった～……！！結局、{player}を巻き込んでしまうとは……！！
vo_adv_1053010_070.m4a|……ん？　な、なんだ？　そんなにこにこして……モニカのペアになれてうれしい……？
vo_adv_1053010_071.m4a|えっ！？　いや、それは私だって………………わ、私だって正直、うれしいぞ！？最初からずっと、貴公がペアならと考えていた！！
vo_adv_1053010_072.m4a|……だが貴公は人がいいから、私が誘えば断らないだろう？それでなんとなく……誘うのをためらっていたのだが……
vo_adv_1053010_073.m4a|しかし{player}は『ペアになれてうれしい』と言ってくれた。……誰にも選ばれなかった、この私に。
vo_adv_1053010_074.m4a|おかげで腹が据わった！貴公が私のために戦ってくれたように、私も最後まで諦めず、全力で戦うと誓おう！
vo_adv_1053010_075.m4a|ああ！　その信頼、しかと受け止めたぞ！まずは大会エントリーだ。そのあとは……本番までの数日間、猛特訓しよう。
vo_adv_1053010_076.m4a|一番警戒すべきはあの兄弟たちだ。相手は、あいさつ代わりの一撃で壁を破壊できる。本気の攻撃が来た時、防げるかどうか……
vo_adv_1053010_077.m4a|だから私は、新しい技を会得しようと思う。祖国に伝わる奥義を。
vo_adv_1053010_078.m4a|すまないが貴公のアドバイスをまた聞かせてほしい。付き合ってくれるか？
vo_adv_1053011_000.m4a|うわあっ！？
vo_adv_1053011_001.m4a|……だ、大丈夫だ。岩を砕くどころか、自分の技で吹き飛ばされてしまうとは情けない……話は祖国で聞いていたが、これほど会得が難しいとはな……
vo_adv_1053011_002.m4a|もう一度だ！……っ！
vo_adv_1053011_003.m4a|あはははっ！！！！……なにをするっ！？　というより、どうしてくすぐった！？
vo_adv_1053011_004.m4a|ちゅめたっ！？……貴公っ！　急になにをするのだっ！？
vo_adv_1053011_005.m4a|なに？　休憩した方がいい？いや、しかし……んぐっ！？
vo_adv_1053011_006.m4a|これは、チョコレート……！！んん～……口の中がとろけるようだ……♪
vo_adv_1053011_007.m4a|……こほん。休憩は終わりだ。続きを──わ、分かった分かった！　従うから人を荷物のように抱えるな！
vo_adv_1053011_008.m4a|いつっ……！？　……だ、大丈夫だ。手当て、感謝する。しかし……これぐらいで休んでいるようでは──
vo_adv_1053011_009.m4a|あ、焦ってないぞ！？　私はいつだって冷静に……いや、たしかに焦りまくっているな……
vo_adv_1053011_010.m4a|私が会得しようとしている奥義は、祖国に伝わるものなんだ。まさに嵐のような大技で、敵を一掃する。ただ、使いこなせる者はほとんどいない。
vo_adv_1053011_011.m4a|諦めていた背も伸びたんだし、奥義の会得だって不可能ではないと挑戦してはみたが……まさかそよ風すら掴めないとはな。
vo_adv_1053011_012.m4a|強引に捕まえようとすれば暴れて吹き飛ばされるし、誘導してもなびきやしない。気まぐれな性質で、私は弄ばれてばかりだ。
vo_adv_1053011_013.m4a|私はこの奥義の使い手になることで、自分の成長を証明したい。しかしそれができなくて、焦ってるのかもしれん。
vo_adv_1053011_014.m4a|……よし！　休憩は終わりだ！日が落ちる前に、一回でも多くの奥義を──
vo_adv_1053011_015.m4a|って貴公！！　また体が光っているぞ！？……うわっ！？
vo_adv_1053011_016.m4a|本気か！？
vo_adv_1053011_018.m4a|もう少し待ってくれ！！……現状の説明および、貴公の作戦をもう一度復唱させてほしい。
vo_adv_1053011_019.m4a|我々は今、放課後の校庭でドッジボールという球技を行っている。戦況は圧倒的に不利で、我ら赤組は壊滅寸前だ。
vo_adv_1053011_020.m4a|赤組の内野に残っているのは……ボールを避けることに関してはまさにプロ級である貴公。そして子供扱いゆえに一切のボールが飛んでこない私の二人のみ。
vo_adv_1053011_021.m4a|皮肉にも我々のおかげで勝敗は先送りされてきたが、もう日が沈む。……つまり、門限によって我々は敗北するということだ。
vo_adv_1053011_022.m4a|そして敗北したチームは、なんと言った？『一週間の間、毎日お菓子を奢る』……だ！
vo_adv_1053011_023.m4a|私だってな、少ない軍資金でどうにかやりくりしているのだぞ！？毎日奢りなんてことになれば……自分のお菓子が買えないではないか！
vo_adv_1053011_024.m4a|くぅ……『ドッジボールとはなにか？』とクラスメイトに質問したばかりに……！
vo_adv_1053011_025.m4a|……しかし、過ぎてしまったことはしょうがない。同じように考えた貴公は、私にある作戦を提案した。
vo_adv_1053011_026.m4a|貴公がボールに当たっても、私がそのボールをキャッチできれば貴公はアウトにならない。そのルールを利用して、我々でボールの主導権を握るというものだ。
vo_adv_1053011_027.m4a|つまり……貴公は囮として、自らボールの的になる。私は貴公に当たったボールを確実にキャッチして、敵に当てていく。なぁ、本当にこの作戦でいくのか？
vo_adv_1053011_028.m4a|……なんだ？　弱気なのが珍しいだとぉ！？むしろ何故それほど強気でいられるのだ！？
vo_adv_1053011_029.m4a|私なら全員倒せると考えているのか！？……いや。そう思っているから、話したのだろうな。
vo_adv_1053011_030.m4a|言っておくが、銃やナイフの扱いには慣れていても、ボールは初めてだ。貴公が私を凄腕の軍人だと頼りにしてくれるのはうれしいが……
vo_adv_1053011_031.m4a|……目の前の、私？
vo_adv_1053011_032.m4a|……だとすれば、より一層分からないな。私は小柄だし、力も強そうに見えないと思うが……
vo_adv_1053011_033.m4a|……
vo_adv_1053011_034.m4a|私の外見や肩書きではなく、中身を信頼している……つまり、そう言いたいのか……？
vo_adv_1053011_035.m4a|はははっ！　いいだろう！友よ、その作戦……のったぞ！
vo_adv_1053011_036.m4a|よし！　来るがいい！！
vo_adv_1053011_039.m4a|よしっ！　ギリギリだったが……貴公の作戦、うまくいったぞ！ボールはこの通り、私の手の中だ！！
vo_adv_1053011_041.m4a|驚くのはまだ早いぞ。我が渾身の一撃……受けてみよっ！！
vo_adv_1053011_043.m4a|いきなり当てるのは無理か……しかし今ので分かったぞ。真正面からではボールは取られてしまう。
vo_adv_1053011_044.m4a|待つ……？
vo_adv_1053011_046.m4a|よし、キャッチしたぞ……！　ところで貴公よ、涙目になってるぞ。体ではなく、両手で受け止めるのは無理なのか？……そうか、それだけは無理か。
vo_adv_1053011_047.m4a|何度も全身でボールを受け止めるのは流石に痛そうだな。この状況を、はやく変えなければ……
vo_adv_1053011_048.m4a|『チャンスを待て』とこいつは言ったが……待つとは一体……
vo_adv_1053011_050.m4a|……そうか！　我々の仲間は、外にもいる。貴公のアドバイスの意味も理解したぞ。つまり……
vo_adv_1053011_051.m4a|そりゃあっ！！
vo_adv_1053011_053.m4a|……よし。これしき問題ない。もっと速く投げ返してもいいぞーっ！
vo_adv_1053011_055.m4a|……よし！　今だっ！！
vo_adv_1053011_057.m4a|ふふん。好機を待つ……それこそが勝利の鍵だ！この調子で、どんどん当てていくぞ！！
vo_adv_1053011_058.m4a|勝利を祝して……かんぱーい！！……くっ～～～勝利の後のラムネは格別だ♪
vo_adv_1053011_059.m4a|ところで貴公……怪我は大丈夫か？私も無様に転んだりして、お互いボロボロだな。
vo_adv_1053011_060.m4a|ああ、楽しかった！窓の外からいつも見ているばかりだったが……誰かと遊ぶとは、こんな感じだったのだな。
vo_adv_1053011_061.m4a|そうだ。貴公にこれをやろう。
vo_adv_1053011_062.m4a|戦友とは、勝利とお菓子を分かち合うのが鉄則。そういうわけで、チョコレートも半分こだ！
vo_adv_1053011_063.m4a|これは私だけが知る機密情報なのだが……ラムネの後のチョコレートは最高にうまいのだぞ？
vo_adv_1053011_064.m4a|さぁ、遠慮するな。そのままかぶりついてこい！
vo_adv_1053011_065.m4a|……ん？　なにを照れているのだ？人に食べさせてもらうというのは、そんなに恥ずかしいことなのか？
vo_adv_1053011_066.m4a|……おかしいな。この間屋上の隅っこで、クラスメイトがこんな風にお菓子を分け合っているのを見たのだが……
vo_adv_1053011_067.m4a|二人とも楽しそうに笑っていてな。友人と過ごすとはどんな感じなのだろうと、ずっと考えていたんだ。
vo_adv_1053011_068.m4a|貴公には打ち明けるが……私は本来の任務以外にもう一つ、個人的なミッションがある。
vo_adv_1053011_069.m4a|それはな……友人を作って全力で青春することだ！
vo_adv_1053011_070.m4a|放課後に、誰かと一緒にお菓子を食べながら他愛もない会話をする。これはきっと青春の第一歩なんだ。
vo_adv_1053011_071.m4a|貴公にはすまないが私のミッション制覇に付き合ってもらうぞ。
vo_adv_1053011_072.m4a|では我が友よ、その口を大きく開けるがいい。……しかし、青春とはいささかくすぐったい感じがするな！
vo_adv_1053011_077.m4a|……はっ！？　またこの現象か！？貴公といると妙なことばかり起こるな……
vo_adv_1053011_078.m4a|だがその後はいつも、不思議と清々しい気持ちになる。それはきっと夢の中に貴公が……ああ、いや。これは胸の内に留めておこう。
vo_adv_1053011_079.m4a|さて……ちょっと休息を取りすぎたな。訓練を再開しよう。
vo_adv_1053011_080.m4a|そう見えるか？　実はな、自分でもよく分からないのだが……今ならできそうな気がするんだ。
vo_adv_1053011_081.m4a|…………
vo_adv_1053011_082.m4a|そうだ。がむしゃらに追い求めるだけではだめだ。勝利の風は、好機を待つものにのみ、掴むことができる。だから──
vo_adv_1053011_083.m4a|…………今だ！
vo_adv_1053011_084.m4a|せりゃああっ！！
vo_adv_1053011_085.m4a|や……やったぞ！成功……ううっ……
vo_adv_1053011_086.m4a|だ、大丈夫だ……この奥義、体への負担が大きいようだ……
vo_adv_1053011_087.m4a|最後の奥の手として、なるべく使わないようにしよう。使いどころは……そうだな。貴公の作戦にゆだねる。
vo_adv_1053011_088.m4a|大会は明日からだ。最後まで共に、全力を尽くして戦おう。
vo_adv_1053012_005.m4a|あいつら、応援に来てくれたのか。それにしても、すごい熱気だな……
vo_adv_1053012_006.m4a|そ、それは{player}の方だろう！……と言ってやるつもりだったが、普段と変わらん様子だな……
vo_adv_1053012_007.m4a|私はこの人数に臆したわけではない。それでも貴公の調子を見ていたら、少し肩の力が抜けた。
vo_adv_1053012_008.m4a|……そうだとも。状況が変わろうとも、いつも通り力を尽くすのみだ！
vo_adv_1053012_012.m4a|よし！　私たちの出番だ。{player}、行くぞ！
vo_adv_1053012_015.m4a|なんだ、おまえたちか。因縁があるな。お互い、いい戦いをしよう。
vo_adv_1053012_019.m4a|貴公の予想した通りで来たな。私が迎え撃つ。援護は頼んだぞ！　{player}！
vo_adv_1053012_020.m4a|受けてみよっ……せりゃあっ！！
vo_adv_1053012_023.m4a|よし！　体勢が崩れた！このまま宙返りで着地！　背後からトドメの──
vo_adv_1053012_024.m4a|とりゃあっ！！
vo_adv_1053012_029.m4a|覚悟っ！！
vo_adv_1053012_030.m4a|紫電一閃っ！！
vo_adv_1053012_040.m4a|本当か？　だとすれば、我が参謀殿のおかげだな。貴公の助けなくして、私の活躍はなかった。
vo_adv_1053012_041.m4a|私は前線で攻撃と守りを。貴公はそんな私に支援と指示を。私たちの戦い方を貫いていけば、どんな相手にも負けはしない！！
vo_adv_1053012_044.m4a|貴公、やはりこうなったぞ。我らの最後の相手は……あの兄弟だ。
vo_adv_1053012_049.m4a|同感だな。さっそく始めよう。
vo_adv_1053012_051.m4a|よし、貴公。作戦通り、まず奴らの動きを観察してから──
vo_adv_1053012_053.m4a|いきなりだと！？貴公、避けろっ！！
vo_adv_1053012_055.m4a|貴公、大丈夫か？　とっさに紫電一閃で相殺しようとしたのだが……攻撃を反らすだけで精いっぱいだった……
vo_adv_1053012_056.m4a|そうだな。しかし……腕を負傷してしまった。当初はあいつらが疲れてきたところであの奥義を使う予定だったが……それまで私が持ちこたえられない。
vo_adv_1053012_057.m4a|では今すぐ使えるかといえば……あいつらが元気なうちは、前線を守る私もうかつに隙を作れない。貴公、すまない。時間を稼ぐ間に、作戦を立て直してくれ！
vo_adv_1053012_059.m4a|せぇいっ！！　やぁっ！！
vo_adv_1053012_062.m4a|くぅ……！　うわっ……！？
vo_adv_1053012_065.m4a|……くっ！！
vo_adv_1053012_066.m4a|……貴公！？
vo_adv_1053012_067.m4a|貴公が前線に出るつもりか……？……まさか、それが新しい作戦なのか！？いくらなんでも無茶だ！
vo_adv_1053012_068.m4a|いや。無茶なのはこいつが一番分かっている。ならば私のやるべきことは──
vo_adv_1053012_069.m4a|わ、分かった……！この場は任せるが、無理はするなよ！
vo_adv_1053012_072.m4a|私が新奥義を放ち、形勢逆転を狙う。その準備を終えるまで、あいつが時間を稼いでくれる。
vo_adv_1053012_073.m4a|しかし……
vo_adv_1053012_075.m4a|やはり失敗か……！　奥義が成功するとも限らん……私も前線へ戻って、あいつと一緒に戦った方が……！
vo_adv_1053012_078.m4a|……そんなの、決まっているではないか。
vo_adv_1053012_079.m4a|あいつが必死に戦っているのは、私のためだ。私をただ信じて……好機を待っているのだ。
vo_adv_1053012_080.m4a|あいつは諦めない。私が奥義を放つまで、絶対に……ならば、私がすべきことは……
vo_adv_1053012_081.m4a|あいつを信じ、私がやるべきことをやり抜く！
vo_adv_1053012_082.m4a|すーはー……
vo_adv_1053012_084.m4a|今だっ！！
vo_adv_1053012_086.m4a|待たせたなっ！手加減はしない……我が奥義、受けてみよ！
vo_adv_1053012_089.m4a|勝利を、友のために……！
vo_adv_1053012_090.m4a|旋風雷閃撃鎖斬っ！！
vo_adv_1053012_092.m4a|{player}、歩けるか？……だいぶあいつらに痛めつけられたからな。体も顔もひどいことになっている……
vo_adv_1053012_093.m4a|そうなのか？私から言わせれば、貴公は出会った時から変わらないがな……
vo_adv_1053012_094.m4a|見ず知らずの私を心配して危険な場所までついてきて、困っている私のために、見返りもなく力を貸してくれた。
vo_adv_1053012_095.m4a|私を子供のようにからかうこともあるが、私を私以上に信頼してくれて、迷っている時は道を一緒に探してくれた。
vo_adv_1053012_096.m4a|背を預けあえる仲間は多くいるが、貴公が隣にいると……どんな状況でも、不思議と負ける気がしない。……貴公が、私をそうさせるのだ。
vo_adv_1053012_097.m4a|{player}は最初から『男前』だったぞ。
vo_adv_1053012_098.m4a|い、今のは友人としての意見だ！にしても、ずいぶんと歩きにくそうだな……よし！
vo_adv_1053012_099.m4a|私の肩に掴まれ。腕を回すのは無理でも、支えぐらいにはなるはずだ。
vo_adv_1053012_100.m4a|よし、これなら……わっとっと！？
vo_adv_1053012_101.m4a|す、すまない。私もフラフラだな……結局、貴公に支えられてしまった。
vo_adv_1053012_102.m4a|しかし、そうやって私たちはここまで来たのだ。支えあっていこうではないか！　これからも、ずっとずっとな！
vo_adv_1053012_103.m4a|我が友よ、準備はいいか！？ではあの表彰台に向かって……さぁ行くぞっ！！
vo_adv_2111005_137.m4a|おお、ユキ！　見つけたぞ！まったく……窓や水たまりに映り込む己の姿に引き寄せられてフラフラと歩くんじゃないと、いつもいつも……
vo_adv_2111005_138.m4a|むっ！？　貴公！ひさしぶりではないか！
vo_adv_2111005_139.m4a|……待てよ？貴公がいるということは……
vo_adv_2111005_142.m4a|おお、アユミ！　見つけたぞ！
vo_adv_2111005_144.m4a|まったく……{player}に引き寄せられてフラフラとストーキングを開始するんじゃないと、いつもいつも……
vo_adv_2111005_149.m4a|貴公の頼みとあらば、無下にはできん。話してみるがいい。
vo_adv_2111006_009.m4a|な、なんだってーっ！？！？
vo_adv_2111006_013.m4a|なるほどな。貴公らの友人を敵の手から救い出すために、勝負の最中ということか。……鬼ごっことは、まるで子供の遊戯のようだが……
vo_adv_2111006_017.m4a|そこで、我らの助勢が必要ということだな！うむ、任せるがいい！
vo_adv_2111006_039.m4a|まさか、ドクロも泣くことがあるとは……この世は広いな。
vo_adv_2111006_043.m4a|其方、シノブと言ったか。捕獲対象の、人相書きなどはないか？
vo_adv_2111006_048.m4a|よし、把握したぞ。この少女がミソラとやらだな。では──
vo_adv_2111006_049.m4a|街の皆！急にすまないが、力を貸してもらえないだろうか！
vo_adv_2111006_051.m4a|治安維持のため、この少女を確保しなくてはならないのだ！我々だけでは手が足りぬゆえ、諸君らも一緒に捜してもらいたい！
vo_adv_2111006_055.m4a|フッフッフ。日頃から人命救助や魔物討伐などのギルド活動に精を出してきた、その成果というものだ！
vo_adv_2111006_058.m4a|こっ、こら！？子供の遊びではないのだぞっ！？
vo_adv_2111006_065.m4a|よーし！捜索開始だ、諸君！
vo_adv_2111006_089.m4a|ど、どういうことだ！？あちらこちらから、ミソラの目撃情報が……！
vo_adv_2111006_092.m4a|こうも近くに姿を現すとは！油断したな、其方！確保ーーーっ！
vo_adv_2111006_094.m4a|やったぞ！……ん？
vo_adv_2111006_098.m4a|しかも、霞のように消えてしまったぞ！？これは……
vo_adv_2111006_103.m4a|だ、誰が子供だっ！？
vo_adv_2111006_107.m4a|こうなれば、仕方あるまいっ！全部捕まえてやるのみだ！頼むぞ、街の皆！
vo_adv_2111006_114.m4a|くそっ！本命はどこなのだ！？
vo_adv_2111006_120.m4a|お、おい！もう本当に時間が……あと１分しかないぞ！？
vo_adv_2111006_125.m4a|よ、よし！一か八かだ、突撃～っ！
vo_adv_2111006_128.m4a|ダメだ！ここからでは、分身が邪魔になって……！
vo_adv_2111006_139.m4a|よ、よぉし！鬼ごっこ勝負は、我々の勝利のようだな！よくやったぞアユミ！
vo_adv_2111006_142.m4a|うむ、やるならもっと子供っぽくない勝負で…………んっ？
vo_adv_2111009_006.m4a|貴公ら。三本勝負とやらの行方はどうなったのだ？
vo_adv_2111009_008.m4a|おお、そうか！良かったではないか！
vo_adv_2111009_029.m4a|よし！【ヴァイスフリューゲル　ランドソル支部】、反撃開始だ！
vo_adv_2111009_078.m4a|これ以上の狼藉は許さんぞ、おまえ！ただちに止めねば、この剣にて──
vo_adv_2111009_080.m4a|のわぁっ！……くそっ、その前にこやつらを片付けねばならんというのか！
vo_adv_2111010_102.m4a|……ッ！其方、危ないッ！！
vo_adv_2111010_105.m4a|ぐぅぅっ！？
vo_adv_2111010_124.m4a|……七冠、クリスティーナ。ジュン殿の、かつての御同輩だったな……！
vo_adv_2111010_246.m4a|よ、余計な手出しなど……させは、せんぞっ……！
vo_adv_2111010_283.m4a|くぅっ……しんどかった……防戦だけで、手一杯だったぞ……
vo_adv_2111099_007.m4a|……貴公。我々は途中から巻き込まれたかたちで、全容を把握しているとはとても言えないが……
vo_adv_2111099_008.m4a|貴公らは、何かとんでもない事態の渦中にあるのだな？あの覇瞳皇帝と戦ったときと同じか、それ以上の。
vo_adv_2111099_009.m4a|……そうか。ぜひとも力になってやりたいが……そのためにはまず、【ヴァイスフリューゲル　ランドソル支部】の総力を結集せねばならん。
vo_adv_2111099_012.m4a|情報提供、感謝するぞ！まったくあいつらは……！！
vo_adv_5084004_048.m4a|おお、{player}ではないか！どうした、随分と必死そうな顔だが……お菓子でも食べて落ち着け。あっ、これは違うのだ！　学校にお菓子を持ってきているわけではっ！
vo_adv_5084004_049.m4a|……ん？なんだ、聞きたいことがあるだと？いいだろう、身長以外は答えてやろうではないか。
vo_adv_5084004_050.m4a|……らんど、そる？
vo_adv_5084004_051.m4a|なんだそれは？そんな部隊の名は聞いたことないぞ。
vo_adv_5084004_052.m4a|あー！　今露骨にガッカリしたな！待つがいい、どこの国の特殊部隊だ！？私がそのランドソルとやらを今すぐ調べ上げて──
vo_adv_5084649_000.m4a|むう……{player}は一体どうしたというんだ……ずっと眠り続けているなんて、ただ事ではないぞ。
