vo_adv_1224001_002.m4a|はい、これ。キミのサンダルかな？
vo_adv_1224001_056.m4a|無事でよかったぁー……危ないから、こんなところまで一人で来たらダメだよ？
vo_adv_1224001_060.m4a|そっか、それで一生懸命だったんだね。じゃあ落とさないように、大事に持って帰ろうね！
vo_adv_1224001_064.m4a|あらら……寝ちゃった。一人で海に来たって言ってたし。きっと怖かったよね。助けられてよかった！　騎士くんがあたしを助けてくれたおかげだよ。
vo_adv_1224001_065.m4a|そうじゃなかったら、この海岸には来なかったもんね。……それにしても……ふふ、ふふふ！結局ここでも人助けしちゃったね、あたしたち！
vo_adv_1224001_066.m4a|えっと、あれは……みんなに囲まれちゃって、騎士くんの話をいろいろ聞かれて……
vo_adv_1224001_069.m4a|好きってどんな気持ち……？恋って、どんなもの……？
vo_adv_1224001_070.m4a|あたしは騎士くんのこと、好き。それはハッキリ言えるよ。信じてるし、一緒にいて楽しいし、頼りになるし！それに、気持ちも合いやすいと思うし……
vo_adv_1224001_071.m4a|特別、だと思う……だけど……それが、恋なの？
vo_adv_1224001_072.m4a|あたしの好き、好き、って……みんなの気持ちと同じなのかな？
vo_adv_1224001_073.m4a|あっ、う、ううん！　そんなことないない！大丈夫だよ！
vo_adv_1224001_074.m4a|考えたって答えが出ないことなんだって、分かってるんだけどね。でも、難しいなぁって……
vo_adv_1224001_075.m4a|お助けギルドの誰かが解決してくれたら一件落着！　なのにね！って、そんなに都合よくはいかないよねー……あはは……
vo_adv_1224001_076.m4a|好き、って気持ち。どうやったら分かるんだろう……？
vo_adv_1224001_077.m4a|えっ！？　き、騎士くんが？　……どうやって？いろんな「好き」って気持ちを見つめなおしてみる……なるほどー！そうしたら、何となく分かってくるかもしれないもんね！
vo_adv_1224001_078.m4a|ありがと、騎士くん！え？　困ったときはお互いさまさま？あはは、あたしの決め台詞だよ、それ！
vo_adv_1224001_079.m4a|騎士くん、本当に心配してくれてるんだ……それは、うれしいけど……
vo_adv_1224001_080.m4a|でもね、騎士くん。あたしが悩んでるのは、そんな騎士くんへの気持ちのことなんだよー！
vo_adv_1224001_081.m4a|あたしならきっと大丈夫？……えへへ……
vo_adv_1224001_082.m4a|騎士くんがそう言ってくれると、なんかちょっと大丈夫な気がしてくるかも。って、あたしも単純だね！
vo_adv_1224001_084.m4a|うん、ぐっすり。念のために、足はちゃんと救護室で診てもらってね。
vo_adv_1224001_087.m4a|うん。いいよ！　みんなで行こー！また明日、だね。人探しは手伝わなくていいの？
vo_adv_1224001_090.m4a|…………行っちゃった。……デートだって、騎士くん。
vo_adv_1224001_091.m4a|あたしも、いつか分かるのかな。あたしも、あんなふうにまっすぐな気持ちで、誰かのことを……？
vo_adv_1224001_092.m4a|……騎士くんがいたら、分かるのかな。……いつか…………そうだったら、いいな。
vo_adv_1224002_001.m4a|えっ、ちょっと待ってー！ごゆっくりって……行っちゃった。ねね、騎士くん。あたしたちも夕方まで、いろいろ見て回ろうよ！
vo_adv_1224002_002.m4a|デーえええーっ！？　そそそそうじゃないけど！のどかでいいところだしー……お散歩したら楽しそう！それに、歩いてるうちに、探してる女の子に会えるかもしれないし！
vo_adv_1224002_003.m4a|あーっ！　見て騎士くん猫！かわいいー！
vo_adv_1224002_004.m4a|よしよし、こっちにおいでー……いい子だね！　ふわふわの毛並み……あたし、猫って大好き！　……って、騎士くんも知ってるよね。
vo_adv_1224002_005.m4a|どんな、って……えっ、そんな急に聞かれても……これがもしかして「いろんな好きを見つめなおす」ってこと？そっか！　なるほどね！
vo_adv_1224002_006.m4a|ちょっと待ってね、今考えてみる！猫がどうして好きか、っていうと、かわいくて、ふわふわで、気まぐれに見えて実はけっこう面倒見がよくって……
vo_adv_1224002_007.m4a|触ると幸せになって、おなかのあたりはいい匂いがして……一緒にいると、幸せな気持ちになるっていう「好き」！
vo_adv_1224002_008.m4a|騎士くんも猫、好き？……えへへ、そっかぁ！　よかった。お揃いだね！
vo_adv_1224002_009.m4a|どんな好きか、なんて考えたことなかったけど……こんな風に掘り下げるのって、面白いかも！
vo_adv_1224002_010.m4a|もしかしてあそこのお店の？ずっと気になってたんだよね。えへへ……ありがとう、騎士くん。
vo_adv_1224002_011.m4a|ソフトクリームは好きか？もちろん大好きだよ！
vo_adv_1224002_012.m4a|……あ、待って待ってー！　言わないでー！どうしてソフトクリームが好きかって言うとね……おいしいものを食べると、幸せな気持ちになるよね。だから好き！
vo_adv_1224002_013.m4a|でねでね、騎士くんと一緒だと、それが二倍になる気がするから、もっと好き、かな？
vo_adv_1224002_014.m4a|騎士くんと一緒にいると、新しい発見があって楽しいんだー！今の発見は、いろんな好き、を見つけられることかな。
vo_adv_1224002_015.m4a|猫もアイスも大好きだけど、どっちもちょっとずつ違う種類の気持ちなんだって気が付いたから！なんだか不思議な気持ち！
vo_adv_1224002_019.m4a|あの！　あたしたちが行きます！船、お借りしますねー！
vo_adv_1224002_021.m4a|だけど、放っておくわけにはいきませんから！行こう、騎士くん！　乗って！
vo_adv_1224002_022.m4a|行ってきまーす！
vo_adv_1224002_023.m4a|……ずいぶん興奮してるみたい。かなり大きいね……
vo_adv_1224002_025.m4a|ダメ、魔物をやっつけないと、あの人の船に近づけないよ！このままじゃ漁師さんが危ない！
vo_adv_1224002_026.m4a|え……？そんなことって……
vo_adv_1224002_027.m4a|だけど、確かに……！襲うつもりだったらもうとっくに漁師さんを襲ってるはずだよね。じゃあ、何が起きてるの？
vo_adv_1224002_028.m4a|あ！　魔物の体に、何か絡まってるものが……あれは、網！？漁船の網が、体に巻き付いちゃったんだ……
vo_adv_1224002_029.m4a|襲ってるように見えてたけど、本当は……逃げたくてもがいてるんだ！
vo_adv_1224002_030.m4a|このままじゃどっちも危ないよ！騎士くん、お願い！あたしが魔物の方に行くから、漁師さんを助けてあげて！
vo_adv_1224002_031.m4a|落ち着いて！　網、取ってあげるから！暴れたら取れないよ……！よし、あと少し……きゃあ！？　も、もうちょっとだから……！
vo_adv_1224002_032.m4a|騎士くん！　ありがとう！……やったー！　取れたー！
vo_adv_1224002_033.m4a|ほら、もう行っていいよ。これからは網に引っかからないように気を付けてね！
vo_adv_1224002_034.m4a|よかったー！　さっすが騎士くん！それじゃ、港に戻ろっか！
vo_adv_1224002_036.m4a|気にしないでください！困ったときはお互いさまさま！　ですから！
vo_adv_1224002_037.m4a|きっと魔物も網に飛び込んじゃって、パニックになったんですよ。漁師さんが無事に帰ってこれて何よりです！
vo_adv_1224002_040.m4a|えっと……その。あたしたち、デートじゃないんです。人探しに来てて……
vo_adv_1224002_045.m4a|えへへ、どういたしまして！
vo_adv_1224002_056.m4a|キミも探してた子に会えたんだね！
vo_adv_1224002_059.m4a|行ってらっしゃーい！
vo_adv_1224002_061.m4a|……寂しいですか？
vo_adv_1224002_063.m4a|自然なこと……成長……
vo_adv_1224002_064.m4a|誰かが誰かを好きになることが……成長だなんて、そんなの難しすぎない！？
vo_adv_1224002_067.m4a|あたしたち、みたいな……かぁ。あたしと騎士くんって、そんなふうに見えるんだ……
vo_adv_1224002_068.m4a|……騎士くんは、どう思ってるんだろう？
vo_adv_1224002_069.m4a|……なんて。自分の気持ちも決まってないのに、騎士くんに聞いたってダメだよね。しっかりしないと！
vo_adv_1224002_070.m4a|騎士くんが手伝ってくれるんだから、あたしも、ちゃんと自分の「好き」を見つけなくっちゃ！
vo_adv_1224002_073.m4a|……はい、また！
vo_adv_1224002_074.m4a|……虹、きれいだね。
vo_adv_1224002_075.m4a|うん！　あたしたちだけじゃなくて、見た人も見てない人にも！たくさんたくさん、いいことがあるといいなー！今の風景を忘れないようにちゃーんと見ておこーっと！
vo_adv_1224002_076.m4a|えっ！？　う、うん！　そうだね！……あたしも、こうしてたいなぁ……虹、すっごくきれいだし……！
vo_adv_1224002_077.m4a|騎士くんと虹を見てると……なんだか、気持ちが落ち着いて……心の中がふわってあったかくなるみたいな気がする。
vo_adv_1224002_078.m4a|ねえ騎士くん。あたし、虹って大好き！ほら見て、港の人たちも、みんな虹を見てるでしょ？虹を見た人から、笑顔になっていくんだよ！
vo_adv_1224002_079.m4a|それってすっごいことだよね？すっごく、素敵なことだと思わない？
vo_adv_1224002_080.m4a|あたし、みんなの笑顔も、大好きなんだ！……だってね、一緒に幸せな気持ちになれるから。騎士くんもそう思う？
vo_adv_1224002_081.m4a|やったー！　こうやって騎士くんと話ができるのも……虹のおかげ、かな？
vo_adv_1224002_083.m4a|あらら……また熟睡だ。やっぱり疲れたのかな？騎士くんの背中ってとっても寝心地がいいんだね！今日は目的も達成できたからかな、幸せそうな寝顔だね。
vo_adv_1224002_084.m4a|今日は来てよかったね。いろんな発見ができたし。
vo_adv_1224002_085.m4a|騎士くんのおかげだよ。いろいろな「好き」に気が付けたの。猫、ソフトクリーム、虹、誰かの笑顔……親子の間にも、友達にも！
vo_adv_1224002_086.m4a|たくさんの好き、があって……なんだか奥が深いなあって、思ったんだ。
vo_adv_1224002_087.m4a|今日見つけた、いろいろな「好き」の気持ち……この中に、ユイちゃんやレイさんと同じ気持ちが、あったのかな。
vo_adv_1224002_088.m4a|うーん……まだよく分からない。
vo_adv_1224002_089.m4a|でも、今日楽しかったのは、本当で。騎士くんと一緒に虹を見て……幸せだなって、思ったのも、ずっと一緒にいたいって思ったのも、全部あたしの気持ちなんだ！
vo_adv_1224002_090.m4a|みんなの言う「好き」とは違うかもしれないけど……きっと、今しかない大切な時間なんだよね。
vo_adv_1224002_091.m4a|ねえ、騎士くん。今日、楽しかったね！
vo_adv_1224002_092.m4a|また来たいな。漁師さんがいつでも大歓迎って、言ってくれたし。
vo_adv_1224002_093.m4a|……っと。うーん……解決は、してないんだけど……このままでいいや、って思った！　今はね！だから、もう困ってない、かな？
vo_adv_1224002_094.m4a|分からないことがなくなったわけじゃないんだけど、でもいいの。分からないまま、楽しんじゃえばいいやって気が付いたんだ！
vo_adv_1224002_095.m4a|あっ……っていうことは、解決なのかな！？ありがとう、騎士くん！　困ったときは、お互いさまさま……？あはは、そうだよね！
vo_adv_1224002_096.m4a|あたしも、騎士くんが困ったら、すぐに手伝うからね！
vo_adv_1224002_097.m4a|さ、遅くならないうちに帰ろー！競走だよー！
vo_adv_1224003_000.m4a|うん！　この辺でいいかな！
vo_adv_1224003_001.m4a|あのね、騎士くんに相談があるんだー！この夏もあと少しで終わっちゃうでしょ？だから、何かとびきりの思い出に残るようなことがしたいなーって！
vo_adv_1224003_002.m4a|昨日ずっと考えてたんだけど……ブランコを作るのはどうかな！？
vo_adv_1224003_003.m4a|ここに大きなヤシの木があるでしょ。ずいーっと海に張り出してるから、ここでブランコ漕いだら、空を飛んでるみたいで素敵かもって思ったんだ！
vo_adv_1224003_004.m4a|それにあたしたちだけじゃなくて、いろんな人に楽しんでもらいたくて！騎士くん、一緒に作ってくれる？
vo_adv_1224003_005.m4a|やったー！　それじゃあ一緒に頑張ろー！
vo_adv_1224003_006.m4a|まずは材料を用意しないとね！
vo_adv_1224003_007.m4a|木材とロープ、これだけあれば足りるかな？いい感じの流木が拾えてラッキーだったね！
vo_adv_1224003_008.m4a|ロープはできる限り長く垂らして、大きなブランコにしたいなー！
vo_adv_1224003_009.m4a|でね、でね……！二人乗りができるようにするんだ！
vo_adv_1224003_010.m4a|ほら、一人で乗ってスピード出すのも楽しいけど、一緒に誰かが漕いでくれたら、きっともっと思い出に残ると思うから！
vo_adv_1224003_011.m4a|設計図はね……ここをこうして、こうして……あー！　砂に描くとすぐ波に消されちゃうよー……
vo_adv_1224003_012.m4a|騎士くんお願い！設計図、しーっかり覚えておいてね！
vo_adv_1224003_013.m4a|ごめんね、頼りすぎちゃったかも！あたしも一生懸命覚えておくね！
vo_adv_1224003_014.m4a|ありがとう、騎士くん！やっぱり騎士くんがいてくれると頼りになるね！
vo_adv_1224003_015.m4a|あ、念のためあたしもちゃんと覚えておくからね。
vo_adv_1224003_016.m4a|準備は終わりだねっ！さあ、さっそく組み立てにかかろっかー！
vo_adv_1224003_019.m4a|そうそう！　大正ー解ー！
vo_adv_1224003_022.m4a|もちろん！　二人がいてくれたら心強いよ！よーし、それじゃ、レッツスタートだー！
vo_adv_1224003_030.m4a|えへへ、今は秘密の大工事中です！今はこれが、楽しくて、一番やりたいことだから！
vo_adv_1224003_032.m4a|はい！完成したら遊びに来てくださいね！
vo_adv_1224003_036.m4a|………………………………
vo_adv_1224003_037.m4a|せいっ！って、あぁ～今回も逃げられた……水中にはこんなにたくさんお魚がいるのに、どうしてかなあ。
vo_adv_1224003_038.m4a|うーん……釣りって、なかなか難しいんだねー……
vo_adv_1224003_039.m4a|騎士くんはどう？
vo_adv_1224003_041.m4a|急ぎすぎ？
vo_adv_1224003_045.m4a|あたし、ちゃんと魚が食いついたのを見てから釣竿を上げてるって思ったんだけど……
vo_adv_1224003_049.m4a|えっ！？　そ、それは、その……
vo_adv_1224003_050.m4a|騎士くんのこと……？そんなことまで、釣りすると分かっちゃうの！？
vo_adv_1224003_051.m4a|どどどどうしよう……！今更だけど、余計に焦ってきたよぉー……！
vo_adv_1224003_052.m4a|ううん、何でもない何でもない！
vo_adv_1224003_054.m4a|でも、迷ってることがあるままじゃ、釣りもできないなんて……あたし、騎士くんとの魚釣り、楽しみたいのに。やっぱり急いで答えを出した方がいいのかな。
vo_adv_1224003_055.m4a|えっ……今の、ままで？
vo_adv_1224003_057.m4a|全部、認める……迷ってることも、焦ってることも……？
vo_adv_1224003_059.m4a|あたしは、今……迷ってる。焦ってる……？
vo_adv_1224003_060.m4a|自分の気持ちがうまく見えなくて騎士くんのことをどう思ってるか分からなくてみんなの気持ちと、あたしの気持ちが同じかどうかも、分からなくて。
vo_adv_1224003_061.m4a|……早く答えを見つけたいって、焦ってる。自信をもって、騎士くんにあたしの気持ちを伝えたくて……だけど、それも怖くて……
vo_adv_1224003_062.m4a|だけど、それが今のあたしで。あたしは、あたしだから……
vo_adv_1224003_063.m4a|今すぐ解決しなくても、いいってこと……？あたし、今のままでもいいのかな……？
vo_adv_1224003_064.m4a|……そっか！悩んでるのも、焦ってるのも……あたし自身だもんね！答えが出なくっても、あたしはあたしなんだ！
vo_adv_1224003_066.m4a|よーし、もう一回挑戦してみる！
vo_adv_1224003_067.m4a|すうー……はー……
vo_adv_1224003_068.m4a|…………引いてる！　よぉしっ……んんっ、重、い……っ！
vo_adv_1224003_070.m4a|んんん……っ、引っ張られる……！騎士くん、手伝って！
vo_adv_1224003_071.m4a|あと、もう少し……！
vo_adv_1224003_072.m4a|やったー！　魚、釣れたよー！！見て見て騎士くん、こんな大きな魚ー！今日初めての成果だよー！
vo_adv_1224003_073.m4a|さぁ、もっと釣るぞー！みんなのお土産にしなくっちゃね！
vo_adv_1224003_074.m4a|今日はありがとうございましたー！
vo_adv_1224003_076.m4a|はい！
vo_adv_1224003_082.m4a|うんうん、名案だねっ！華やかになりそう！　さっそくつけちゃおうっか！
vo_adv_1224003_084.m4a|うん、もうちょっとででき上がるよ！今仕上げするところだから……
vo_adv_1224003_085.m4a|よいしょ、っと……！あとはこのロープを引っ張ったら、完成だね！
vo_adv_1224003_086.m4a|騎士くん、よろしく！
vo_adv_1224003_087.m4a|そのまま結んで……よしっ、完成ー！うわぁ……見て、こんな大きなブランコ！空まで飛んでいけちゃいそうだよ！
vo_adv_1224003_088.m4a|キミたちの飾りのおかげで、とってもきれいになったよ～！さて、一番に乗る人は誰かな？
vo_adv_1224003_093.m4a|えっと……騎士くん。一緒に、乗ってくれる？
vo_adv_1224003_094.m4a|それじゃあ、タイミングを合わせて漕ぐよー！せーのっ！
vo_adv_1224003_095.m4a|わあ……！　もうこんなに高くなったよ！見て、空が近くて、海も……青くて、吸い込まれちゃいそう！
vo_adv_1224003_096.m4a|ビーチの白い波が、高いところからだとよく見えるね。あ、鳥！　あたしたちに会いに来てくれたのかな？
vo_adv_1224003_097.m4a|風が強くて、気持ちいいね！あはは、口あけたら、風が入ってくるみたい！
vo_adv_1224003_098.m4a|進んでは戻る、ブランコ。波も、ビーチサイドに寄せては返して……あたしの気持ちも、おんなじなのかもしれない……
vo_adv_1224003_099.m4a|行ったり戻ったり、揺れたり迷ったり。焦ったり困ったりすることが、きっとこれからもあるんだろうな。
vo_adv_1224003_100.m4a|でもいいや！　だってそれがあたしなんだ！
vo_adv_1224003_101.m4a|騎士くんが言ってくれたみたいに……あたしはあたしのまま……ありのままのあたしでいいんだ！焦っても、迷っても……あたしのやりたいことをしよう！
vo_adv_1224003_102.m4a|ねえ、騎士くん！あたし……いつか、自分の気持ちが分かったら……ちゃんと騎士くんに言うから。
vo_adv_1224003_103.m4a|まだちょっと迷子なんだけど……だから……その時は、聞いてくれる？
vo_adv_1224003_104.m4a|うん。……ありがと。
vo_adv_1224003_105.m4a|あっ！　ねえねえ、下見て！みんなが手を振ってくれてる！おーい！
vo_adv_1224003_106.m4a|あはは、手、振り返してくれてるよ！
vo_adv_1224003_107.m4a|ここのリゾートとももうちょっとでお別れだと思うと寂しいけど……最後まで、たくさん、楽しもうね！
vo_adv_1224004_000.m4a|今日はね、何もしないをしようと思います！
vo_adv_1224004_001.m4a|何もしないっていうのは、何かを作ったり、どこかで遊んだりじゃなくて、ぼんやりすること、かな？
vo_adv_1224004_002.m4a|こういうところに来ると、あれもやりたい、これもやりたいって忙しくなっちゃうでしょ？
vo_adv_1224004_003.m4a|だけど、こんなにきれいな海と空、それにプールがあるんだもん！何にもしない……ぼんやりこの空気を満喫する日があってもいいって、思ったんだよね！
vo_adv_1224004_004.m4a|どうかな？あ、もし困ってる人がいたら、すぐに助けに行けるようにはしておきたいけど！
vo_adv_1224004_005.m4a|……でもほら、今日は困ってる人、いないみたい！人助けも、こんな日はお休みかなって！
vo_adv_1224004_006.m4a|最初はいろんなことで焦って、バタバタしてて……ちゃんと楽しめるのかな？って不安に思う時もあったけど……
vo_adv_1224004_007.m4a|毎日いろんなことがあって、全然飽きなかったし！楽しかったね！……もう帰る日が来ちゃうなんて、ちょっと寂しいかも。
vo_adv_1224004_008.m4a|あとちょっと、ここでこうしていたいな、なんて……ね。名残惜しいって、こういうことなんだね……
vo_adv_1224004_009.m4a|騎士くんは、どうだった？夏のバカンス、楽しかった？
vo_adv_1224004_010.m4a|あぁー……寝っ転がって空見てると、ヤシの木の音とか、波の音とか……海鳥の声も、耳を澄ませると、いつもより、近くに聞こえてくるみたい……
vo_adv_1224004_011.m4a|太陽も、すっごく、まぶしくて……まぶ、しく、て……？
vo_adv_1224004_081.m4a|んん……あたし……？寝ちゃってたのかな。
vo_adv_1224004_082.m4a|騎士くん、起きて起きて。一緒に遊ぼう！　大丈夫、足は届く深さだよ！
vo_adv_1224004_083.m4a|あははっ、水が冷たーい！プールも気持ちいいなー！二人で貸し切りだねっ！
vo_adv_1224004_084.m4a|ビーチボールとか持ってくればよかったよー！水の掛け合いでもする？　今だったら誰にも迷惑掛からないよ！わわっ！　やられた！　騎士くんめー！
vo_adv_1224004_085.m4a|こらーっ！　負けないんだからねーっ！
vo_adv_1224004_086.m4a|あは、あはは！　あはは……こんなに必死で水の掛け合いっこしたの初めてかも！　本気でやると面白いね！
vo_adv_1224004_087.m4a|この夏は、いろんなことをしたなあ……盛りだくさんの夏だったよ！
vo_adv_1224004_088.m4a|空も、海も……来る前より、ずっときれいに見える気がする。
vo_adv_1224004_089.m4a|あはは……空も海も昔から変わらないはずなのに、不思議だよね。だけどなんとなく、あたし、分かってきたんだ。
vo_adv_1224004_090.m4a|こんなふうに世界中がきれいに見えるのは、隣に騎士くんがいてくれるからなんだ、って。そう思うってことは──あたしは、きっと……
vo_adv_1224004_091.m4a|あたしは……騎士くんのことが好きなんだ。どんな好きか、の答えはまだ出てないけど、一緒にいるとうれしくなって、元気が出て、勇気がもらえて……
vo_adv_1224004_092.m4a|幸せな気持ちになれるんだよ、騎士くん。
vo_adv_1224004_093.m4a|だからね、あたし……気が付いたの。
vo_adv_1224004_094.m4a|えっと……みんなの言う好きって、まだ分からないままなんだけど、でもね！気が付いたんだ！
vo_adv_2102009_001.m4a|うん、コッコロちゃん！
vo_adv_2102009_007.m4a|キャルちゃん！ペコさんに通信魔法してくれたっ？
vo_adv_2102009_011.m4a|人なんて、ぜんぜんいないよ！みんな、逃げちゃったのかな……？
vo_adv_2102009_018.m4a|……！？見て、みんな！あの女のひとの後ろ……！
vo_adv_2102009_021.m4a|レイさん、お知りあい！？
vo_adv_2102009_028.m4a|あなたたち、どうして街を襲うの！？ひどいよっ！
vo_adv_2102009_037.m4a|か、簡単なことっ！？
vo_adv_2102009_044.m4a|歌……！？
vo_adv_2102009_051.m4a|こんなにたくさん……！あの歌に合わせるみたいに、シャドウが出てくるよっ！
vo_adv_2102009_059.m4a|キャルちゃん、気をつけて！
vo_adv_2102009_062.m4a|わわわっ！どんどん湧いてくるよっ！
vo_adv_2102009_072.m4a|それに、すっごく硬いよ～っ！パンチした手がじんじんする～っ！
vo_adv_2102009_076.m4a|えらいよ騎士くんっ！また、強化が使えるようになったんだね！
vo_adv_2102009_083.m4a|ペコさんっ！
vo_adv_2102009_100.m4a|ん～っ、もしかして一度変身したら何日間かあけないとパワーアップできなくなる……とか？
vo_adv_2102010_003.m4a|ごほっ！ごほっ……！す、吸っちゃったぁ……毒なのに！
vo_adv_2102010_010.m4a|じゃああたしたちもみんな、あんなふうに結晶になっちゃうってことーっ！？
vo_adv_2102010_021.m4a|コッコロちゃん……！
vo_adv_2102011_013.m4a|わわっ！またなんか、やばそうなかんじ……！
vo_adv_2102011_020.m4a|ひゃあああ～っ！
vo_adv_2102011_028.m4a|お～い、騎士くーんっ！どこいっちゃったの～！
vo_adv_2102011_050.m4a|……あ、ほんとだ！騎士くん、寝ちゃってる～！
vo_adv_2102011_063.m4a|もう、レイさんってば！そんなわけないよーっ。
vo_adv_2102011_073.m4a|うんうん！コッコロちゃんがいなかったら、本当にあぶなかったよね！
vo_adv_2102099_010.m4a|ユイちゃんたちのパワーアップがすぐ解けちゃったのも、そのせいなのかなぁ？
vo_adv_2102099_049.m4a|えええぇっ！？
vo_adv_2102099_059.m4a|あのひと、ちっちゃくなっちゃった！？
vo_adv_2104098_016.m4a|これで、６個目だねっ！夢のお告げだと、たしかソルオーブは12個あったはずだから……ちょうど折り返しかな？
vo_adv_2104098_019.m4a|ユイちゃん？
vo_adv_2104098_024.m4a|ひとまずは、ソルオーブ集めに専念しよう？それがあたしたち【トゥインクルウィッシュ】の、目的のひとつなんだもん。
vo_adv_2104098_026.m4a|……
vo_adv_2104098_028.m4a|レイさ～ん……！なんだか、胸が痛いよぉ～っ！
vo_adv_2104098_030.m4a|う、うん……こないだ騎士くんが、『別の世界があるかもしれない』って話をはじめたとき……レイさんがいきなりユイちゃんの耳を塞いだのは、ビックリしたけど……
vo_adv_2104098_034.m4a|その言葉……あたしも思い出したけど。……ユイちゃんの、『禁断の記憶』って……いったいなんなのかな……
vo_adv_2104098_037.m4a|……うー……でも、レイさん……ユイちゃんに、隠し事するなんて……
vo_adv_2104098_039.m4a|うん……そうだったね。『別の世界』……『現実』なんてものが本当にあるのかどうか、あたしもレイさんも、騎士くんも……まだ実感、ないもんね……
vo_adv_2104098_041.m4a|……ご、ごめんね。準備ができたら、ちゃんとお話しするから……
vo_adv_2104098_044.m4a|とにかく今は、少しでも早く……ソルオーブを集めなくっちゃね。
vo_adv_2104098_053.m4a|そ、そんなんじゃないよ！
vo_adv_2104098_056.m4a|それも違うよっ！あたしたちは……！
vo_adv_2104098_059.m4a|断られちゃったぁ！？
vo_adv_2104098_077.m4a|じゃあじゃあ……ペコさんを倒して、覇瞳皇帝さんを取り返そう！　とかは？
vo_adv_2104098_080.m4a|そ、そうなの……？
vo_adv_2104098_092.m4a|あたしたちも、前よりパワーアップしてるしね！ネネカさんとか、ラビリスタさんとかも力を貸してくれてるし！
vo_adv_2104098_098.m4a|レイさんっ！
vo_adv_2104098_104.m4a|とか言ってー！ホントは戦いたいだけなんじゃないのっ！？
vo_adv_2104098_115.m4a|やあああっ！
vo_adv_2104098_118.m4a|えへへ♪クリスさんのコイン、いっただきーっ！
vo_adv_2104098_119.m4a|レイさんっ！パース！
vo_adv_2104098_125.m4a|えっへへ。賭けはあたしたちの勝ちだね♪
vo_adv_2104098_130.m4a|やっぱり強いね、とっても！
vo_adv_2104098_133.m4a|えっ？お話、聞いてくれるの？
vo_adv_2104098_137.m4a|え、えーっと……クリスさんと戦ったのって、これが初めてなはずだよね……？
vo_adv_2107004_015.m4a|泣いてる声と、困ってる声がしたっ！待っててすぐ行くよぉーっ！
vo_adv_2107004_016.m4a|って……あれっ！？あなたは……
vo_adv_2107004_018.m4a|あなた、ムイミちゃん……だっけ？それにシェフィちゃんも！？
vo_adv_2107004_020.m4a|ってうわぁ！シェフィちゃんまた赤ちゃんになっちゃってるーっ！
vo_adv_2107004_022.m4a|……そっかぁ、ムイミちゃんオクトーさんを捜してるんだね。あたしたちも見てないなぁ……ごめんね。
vo_adv_2107004_027.m4a|あはは……シェフィちゃん、頭をぶつけちゃったショックで赤ちゃんになっちゃったみたい。ほんとは賢くて優しい子なんだけどね。
vo_adv_2107004_028.m4a|とりあえず、時間が経てば戻ると思うよ。騎士くんやコッコロちゃんも、帰ってくるはずだから、安心して。
vo_adv_2107004_031.m4a|うん。ムイミちゃん、どうして知ってるの？
