vo_adv_1015009_000.m4a|「こわ～い魔物の大きな口が、お姫様を飲み込んでしまいそうになったその時──」
vo_adv_1015010_015.m4a|うふふ。でもそうね。せっかくだから{player}君も一緒に行きましょうか。
vo_adv_1015010_016.m4a|そうだわ、朝ご飯は食べた？ちゃんと食べないと一日の元気がでないわよ。先生と一緒に食べましょうか。
vo_adv_1015010_017.m4a|あらあら。また早起きして来てくれたの？
vo_adv_1015010_018.m4a|頑張り屋さんね。きっと{player}君のお花も喜んでくれているはずよ。
vo_adv_1015010_019.m4a|だけど今日はお水はいいの。昨日の夜、雨が降ったでしょう？
vo_adv_1015010_020.m4a|お水をたくさんあげすぎると、お花もお腹がいっぱいになっちゃうのよ。あなたも食べ過ぎると、動きが鈍くなっちゃうでしょう？
vo_adv_1015010_021.m4a|うふふ。でもせっかく来てくれたんだから、先生のお手伝いをしてもらえないかしら。
vo_adv_1015010_022.m4a|地面が濡れてて今日はお外で遊べないから、その代わりにみんなでお歌の練習をしようと思うの。
vo_adv_1015010_023.m4a|子どもたちにお歌を教えるとき、{player}君が率先して声を出してくれると助かるわ。
vo_adv_1015010_024.m4a|照れ屋さんな子もいるから、あなたがその子たちのお手本になってあげてね……♪
vo_adv_1015010_025.m4a|お水のあげ方、上手になってきたわね～お花が楽しそうにキラキラしてるわ♪
vo_adv_1015010_026.m4a|あら、話しかけてあげてるの？……アオイちゃんに咲かせるコツを聞いたのね。
vo_adv_1015010_027.m4a|じゃあ、私もお話ししちゃおうかしら。
vo_adv_1015010_028.m4a|お花のみんな～♪元気に、子どもたちと同じようにすくすくと伸びていってね～♪
vo_adv_1015010_029.m4a|あら？　それはなぁに？変わった色の液体だけど……
vo_adv_1015010_030.m4a|知り合いの人が作ってくれた栄養剤？そんなものがあるのね～
vo_adv_1015010_031.m4a|でも本当に大丈夫？濃い緑色で、なんだか常にブクブクいってるけど……
vo_adv_1015010_032.m4a|あれから何日か経ったけど、まだ芽は出ないわね。
vo_adv_1015010_033.m4a|そろそろ顔を出してもいい頃だと思うのに……
vo_adv_1015010_034.m4a|……どうして芽が出ないのかしら？エルフの森は植物にとっていい環境のはずなのに……
vo_adv_1015010_035.m4a|アオイちゃんに聞いてみようにも、まだ芽が出てないからお花さんの声を聞くこともできないわよね。
vo_adv_1015010_036.m4a|もしかしたら、咲かせるのがとても難しいお花なのかしら。エルフの森じゃ咲かないの……？でもそんなの、頑張ってるあの子には…
vo_adv_1015010_037.m4a|ねぇ、お花さん。あの子の毎日の頑張りに、応えてあげてほしいんだけど……
vo_adv_1015010_038.m4a|あっ、い……いたの！？……おはよう。今日も早いわね～！
vo_adv_1015010_039.m4a|……ねぇ、無理はしてない？いつも朝早く来て、遅くまでずっとお花たちを見てくれてるけど……
vo_adv_1015010_040.m4a|…………
vo_adv_1015010_041.m4a|……ねぇ。もしかして、焦ってないかしら。
vo_adv_1015010_042.m4a|そう……やっぱり、なかなか芽が出ないことを気にしているのね。
vo_adv_1015010_043.m4a|大丈夫よ、心配いらないわ。芽が出ないのは、お花がいま頑張っている証拠よ。
vo_adv_1015010_044.m4a|……だから、もっと明るい顔をしましょう。{player}君が暗い顔をしていたら、お花も顔を出しづらくなってしまうわ。
vo_adv_1015010_045.m4a|……ね？
vo_adv_1015010_046.m4a|……！
vo_adv_1015010_047.m4a|それは違う……絶対に違うわ。
vo_adv_1015010_048.m4a|あなたはこのお花のために毎日早起きして、いろんな人に話を聞いて、協力してもらって、自分にできることをなんでもやっているもの。
vo_adv_1015010_049.m4a|その頑張りは、なによりも正しいものよ。
vo_adv_1015010_050.m4a|ごめんね……不安になっちゃったわよね。
vo_adv_1015010_051.m4a|でも信じて。あなたの愛情は間違ってなんてない。
vo_adv_1015010_052.m4a|この子にはまだわからないことがたくさんある。私が簡単に愛情なんて言ってしまったから……芽が出ないことで、自分の愛情が足りない、間違ってるなんて、不安にさせちゃったのね。
vo_adv_1015010_053.m4a|この子にとって、『自分のこと』は一番難しくて、……大切なものなのに。
vo_adv_1015010_054.m4a|……教えてあげなくちゃ。言葉にするのは難しいけれど、私のできる限りで……
vo_adv_1015010_055.m4a|ちょっと……そのまま動かないでね。
vo_adv_1015010_056.m4a|……どう？
vo_adv_1015010_057.m4a|私の気持ち……少しでも、感じ取れているかしら。
vo_adv_1015010_058.m4a|これが……愛情。
vo_adv_1015010_059.m4a|あなたに笑顔でいてほしい。あなたが元気に育ってほしい。あなたを大切だっていう想い。
vo_adv_1015010_060.m4a|あなたが今、あのお花に一生懸命注いでいる気持ちよ。
vo_adv_1015010_061.m4a|伝わる……かしら？私の愛情……
vo_adv_1015010_062.m4a|……？
vo_adv_1015010_063.m4a|これは……あなたの、力……？
vo_adv_1015010_064.m4a|私だけじゃない。私の体を通して……森に広がっていく……？
vo_adv_1015010_065.m4a|なんて温かい、優しい力……
vo_adv_1015011_000.m4a|いいお天気ね～♪風も気持ちよくて、花壇のお花たちも楽しそうに揺れてるわ。
vo_adv_1015011_001.m4a|今日は保育園もお休みだし、たまにはのんびり過ごそうかしら。
vo_adv_1015011_002.m4a|うふふ。{player}君も一緒にどう？草の絨毯に寝転んで、ゆったりと過ごすの……♪
vo_adv_1015011_003.m4a|あら、大きなあくびね～もしかして、日差しが暖かくて眠くなってきちゃった……？
vo_adv_1015011_004.m4a|芽が出てからも毎朝欠かさず、お水をあげに来てくれてるものね。
vo_adv_1015011_005.m4a|あらあら。他の子たちがいないからって、甘えん坊さんね？
vo_adv_1015011_006.m4a|う、ん……？なんだか、私も眠くなってきちゃった。お日さまが気持ちよくて……
vo_adv_1015011_081.m4a|あ、ら……？あらあら、寝ちゃってたわ～
vo_adv_1015011_082.m4a|でもやっぱり気持ちいいわねぇ、自然の中でのんびりするのは……♪
vo_adv_1015011_083.m4a|は～い♪うふふ、寝言かしら。
vo_adv_1015011_084.m4a|夢に私が出てきてるの？私の夢の中にも、あなたがいた気がするわ。
vo_adv_1015011_085.m4a|……かわいい寝顔ね～
vo_adv_1015011_086.m4a|いい子いい子……♪ママの膝の上で、ゆっくりとおやすみなさい……なんてね。
vo_adv_1015011_087.m4a|いつまでも母親代わり、なんて……言えないかもしれないわね～うふふ……♪
vo_adv_1015011_088.m4a|ああ、とってもいい日ね。特別な……いいえ。
vo_adv_1015011_089.m4a|当たり前の、優しい日だわ……♪
vo_adv_1015012_002.m4a|あらあら……みんな、泣かないで……
vo_adv_1015012_003.m4a|あ……おはよう。ええと、ね。今日もみんなでお花のお世話に行ったんだけど……
vo_adv_1015012_004.m4a|花壇がね……荒らされていたの。
vo_adv_1015012_005.m4a|心配しないで。少し踏み荒らされてただけで、応急処置はしておいたわ。
vo_adv_1015012_006.m4a|そんな顔しなくても大丈夫。みんなで力を合わせれば、すぐに元通りにできるわよ♪
vo_adv_1015012_007.m4a|ただ、問題は……原因の方、よね。
vo_adv_1015012_008.m4a|花壇に残ってた足跡……すごく大きなものだった。踏み荒らしたのは、きっと……魔物ちゃん、よね。
vo_adv_1015012_009.m4a|えっ？ううん、なんでもないわ。ごめんなさいね、少し考え事しちゃってて。
vo_adv_1015012_010.m4a|みんな、しばらく花壇の方には近づかないでね。みんなの花壇は、先生がちゃんと元通りにしてあげるから。
vo_adv_1015012_013.m4a|こ～ら。わがまま言っちゃダメよ。……危ないかもしれないんだから。
vo_adv_1015012_014.m4a|……ね？先生のお願い、聞いてくれるわよね？
vo_adv_1015012_016.m4a|万が一にでも子どもたちが近づかないよう、早く動いた方がいいわね。まずは私だけで様子を見ることにしましょう。状況次第では、【フォレスティエ】のみんなと……
vo_adv_1015012_017.m4a|あら……？うふふ、ありがとう。誰かにナデナデされるのもいいものね～
vo_adv_1015012_018.m4a|あらあら……気持ちいいわ～んっ……本当に、気持ちいい……ど、どうしてこんなに上手なの……？
vo_adv_1015012_019.m4a|……大丈夫。心配してくれたのよね。ありがとう、優しい子ね……♪
vo_adv_1015012_020.m4a|でもみんな、今日はお家に帰った方がいいわね。あなたも、アルバイトのあとで疲れているでしょう？
vo_adv_1015012_021.m4a|寄り道せずに、真っ直ぐお家に帰るのよ。先生との約束だからね。
vo_adv_1015012_023.m4a|さて、と、花壇のところに来たけど…………ここにもう一度現れるかしら。
vo_adv_1015012_024.m4a|どんな魔物ちゃんであれ、聞き分けのいい子ならいいのだけれど……
vo_adv_1015012_025.m4a|みんなで育てた花壇だもの。台無しにさせるわけにはいかないわ。彼だって、あんなに頑張って自分のお花を咲かせたんだものね。
vo_adv_1015012_026.m4a|……うふふ。{player}君、育てることにあんなに夢中になるなんてね。
vo_adv_1015012_027.m4a|もしかしたら、何かを育てることに向いているのかもしれないわね。子どもを育てることとか。保育園のお手伝いもよくしてくれるし……
vo_adv_1015012_028.m4a|もしかしたら、いつか私と一緒に……
vo_adv_1015012_029.m4a|ってあらあらあらあら。私ったらこんな時に何を考えているのかしら……！
vo_adv_1015012_030.m4a|うふふ、{player}君のことを考えてると、いつもこうなのよね……♪
vo_adv_1015012_031.m4a|私……本当に──
vo_adv_1015012_032.m4a|っ！
vo_adv_1015012_033.m4a|現れたわね……！
vo_adv_1015012_034.m4a|想像以上に大きい……！どうしてこんな森の近くにまで……！？
vo_adv_1015012_035.m4a|すごく興奮してるわ……お話が通じればよかったのだけど、このままじゃダメそうね……
vo_adv_1015012_036.m4a|一度、落ち着いてもらう必要があるかしら。私一人じゃ難しそうだから、見つかってない今のうちに、アオイちゃんやハツネちゃんを呼んで……
vo_adv_1015012_037.m4a|あっ！　ダメッ！その花壇は……っ！
vo_adv_1015012_038.m4a|お願い、やめて……！そこは大事な場所なの……！
vo_adv_1015012_039.m4a|見つかっちゃった……けど……っ！
vo_adv_1015012_040.m4a|っ！
vo_adv_1015012_041.m4a|危なかったわ……でも、なんとか花壇から退いてもらえたわね……！
vo_adv_1015012_042.m4a|でも、困っちゃったわね……ねぇ、魔物ちゃん……私の声が聞こえる？
vo_adv_1221001_011.m4a|うふふ、よかったわ～元気いっぱいね、アオイちゃん♪
vo_adv_1221001_014.m4a|ランドソルでの生活に、グループキャンプ……たくさんのことを勉強したのね〜えらいわ〜♪
vo_adv_1221001_016.m4a|ふふっ。アオイちゃん、改めておかえりなさい。
vo_adv_1221001_020.m4a|あら、いいのよ〜楽しいお話を聞かせてもらえて、先生とっても楽しいもの〜
vo_adv_1221001_021.m4a|それにしても思ったより流行ってるのね、キャンプって。
vo_adv_1221001_024.m4a|うん、その通り〜♪実はね、キャンプ講座を開こうと思ってるの。ランドソルの子どもたちを集めてね。
vo_adv_1221001_028.m4a|先生ね、ブームの話を聞いて思ったの。今のキャンプは、どちらかと言うと大人向けのレジャーなのかしらって。
vo_adv_1221001_029.m4a|でも、それってもったいないわよね～小さい子を連れたご家族でも楽しむことができたらなって。
vo_adv_1221001_030.m4a|だから、子どもたちにも学べる機会を作ってみたいの。それこそ私たち【フォレスティエ】の出番よね。
vo_adv_1221001_033.m4a|う〜ん、実はね……まだ決まってないの。子どもたち向けの講座にするのも、つい昨日決まったばかりで……
vo_adv_1221001_044.m4a|はい、採用～♪
vo_adv_1221001_046.m4a|もちろんよ～♪本当はアオイちゃんにお願いできたらなって話していたの～
vo_adv_1221001_048.m4a|子どもたちも、年が近い人の方が緊張しないと思うの。アオイちゃんは、アルバイトで子どものためにおもちゃも作っていたし、びっくりするくらい適任だったわ～
vo_adv_1221001_055.m4a|ふふっ。それじゃあ二人とも、よろしくお願いしますね〜あなたたちなら大丈夫。先生、なんの心配もしていませんから〜
vo_adv_2113003_006.m4a|いえいえ〜、私たち【フォレスティエ】は、エルフの森やみんなを守るギルドですから。むしろ、助けに来るのが間に合って良かったわ〜
vo_adv_2113003_009.m4a|ハツネちゃん！油断は「めっ」……！
vo_adv_2113003_013.m4a|アオイちゃんっ！？しっかり……！
vo_adv_2113003_020.m4a|魔物さんの嫌がるお香も、ぜんぜん効き目がないわ。どうしてなのかしら……？
vo_adv_2113003_021.m4a|……それに、この魔物さんたちの様子。なにか、変だわ。まるで、本当は戦うのがイヤ、みたいな……
vo_adv_2113003_026.m4a|えっ！？里の中にまで魔物さんが！？
vo_adv_2113003_029.m4a|里のみんなは、中に入ってきた魔物さんをお願いね？入口は、私たち【フォレスティエ】が食い止めるから……！
vo_adv_2113003_034.m4a|とにかく、今は耐え抜きましょう！怪我をしたら、私がすぐに回復するわ…………でも……
vo_adv_2113003_035.m4a|……どうして？　どうして、戦わなくちゃいけないの……？魔物さんたち、何かに操られているみたい……あんな、小さな子まで……！
vo_adv_2113003_038.m4a|アオイちゃんっ！
vo_adv_2113003_039.m4a|……ああっ！？
vo_adv_2113003_042.m4a|ふふ。子どもたちでも、魔物さんでも……心を開いてお話しすれば、ちゃんと通じるの。
vo_adv_2113003_043.m4a|でも、これで……一段落、なのかしら？
vo_adv_2113003_051.m4a|そ、そうね…………でも、どちらかというと、精霊の……？
vo_adv_2113003_052.m4a|きゃっ！
vo_adv_2113003_055.m4a|……！入口以外からも、また魔物さんたちが……！
vo_adv_2113003_056.m4a|みんなやめて、お願い……！こんなことをしたら、いけないわ……！
vo_adv_2113003_058.m4a|あの叫び声が、理性を奪っているのかしら……？──きゃあっ！
vo_adv_2113003_066.m4a|あらあらっ？{player}君も？助かったわ～♪
vo_adv_2113003_069.m4a|今はそれより……！もう少し、手をかしてもらえないかしら？
vo_adv_2113004_001.m4a|あらあら♪ハツネちゃんったら、{player}君のお膝でぐっすりね～
vo_adv_2113004_004.m4a|ふふっ、そうね。アオイちゃん、よく頑張ったわ～いい子、いい子〜♪
vo_adv_2113004_006.m4a|……？　ねぇ、{player}君……それに、ペコリーヌちゃんも。あんまり顔色が良くないけれど、何かあったのかしら……？
vo_adv_2113004_010.m4a|あら……とっても、大変だったのね……お手伝いできることがあったら、先生になんでも言ってちょうだい。
vo_adv_2113004_017.m4a|ええっ……！？
vo_adv_2113004_023.m4a|あなた……！どうして魔物さんたちに、里を攻撃させたのっ？魔物さんたちもエルフのみんなも、たくさん傷ついてしまって……！
vo_adv_2113004_034.m4a|そうだわ……！魔物さんたちを操っていたのが彼だとしたら、きっと、まだ何か奥の手みたいなのがあると思うの……
vo_adv_2113004_044.m4a|この叫び声って……？さっき、私たちが聞いたのと同じものだわ……！
vo_adv_2113004_061.m4a|なっ、なぁに……！？魔法陣から、すごく大きな魔物さんがっ……！
vo_adv_2113006_003.m4a|で、でも……キャルちゃんの様子……なんだかおかしくないかしら……？
vo_adv_2113006_008.m4a|ううん、そうじゃないと思うわ……あの精霊さん、中身が空っぽみたい……まるで張りぼてに、力だけを詰め込まれているような……
vo_adv_2113006_042.m4a|あら……！しっかりして、アオイちゃん……！
vo_adv_2113006_049.m4a|あら、アオイちゃんったら……でも、良かったわ〜♪
vo_adv_2113006_053.m4a|た、倒せてしまったのかしら……？
vo_adv_2113007_002.m4a|あらあら……！怪我したひとを捕まえて、人質にするだなんて……そんなことをしたら、いけませんよ。めっ！
vo_adv_2113007_035.m4a|……！わかったわ、ハツネちゃん……！
vo_adv_2113007_037.m4a|あなた、オクトーくん、って言ったわよね？お願い、ちょっとだけお話を聞かせてほしいの。
vo_adv_2113007_039.m4a|ありがとう♪それじゃあ……どうしてこんなことをしちゃってるのか。先生に、教えてくれないかしら？
vo_adv_2113007_041.m4a|あらあら……しょうがないなんて、言わないで。だって、生まれつき『悪い子』なんていないもの。
vo_adv_2113007_044.m4a|……確かに……子どもは、親を選べないわ。でも、だからこそ。先生は──私は、すべての子どもたちを平等に愛してあげたいの。
vo_adv_2113007_045.m4a|愛を、教えてあげることができれば……きっと。悪いことに、手を染めてしまったとしてもやり直すことができるはずだから。
vo_adv_2113007_046.m4a|もちろん、あなたもよ。オクトーくん。
vo_adv_2113007_073.m4a|あら〜？ひょっとして、帰ってしまったのかしら？
vo_adv_2113007_075.m4a|うぅん……まだ、お話は終わっていないのに……
vo_adv_2113008_023.m4a|……みなさん。ちょっとだけ、コッコロちゃんとお父さまを二人だけにしてあげましょう。
vo_adv_2113008_046.m4a|キャルちゃん……
vo_adv_2113008_052.m4a|えっ？
vo_adv_2113008_061.m4a|ふふっ。なんだかとっても素敵ね〜
vo_adv_2113008_062.m4a|それに……キャルちゃんは、最初から悪い子なんかじゃないと思うわ。
vo_adv_2113099_001.m4a|そうね……無理やり戦わされていた子たち、逃げ延びてくれていればいいんだけど。
vo_adv_2113099_006.m4a|……コッコロちゃん。ええと、その……長老さんは……
vo_adv_2113099_011.m4a|……ふふっ。そうね。エルフの森や動物たち、里のみんなを守るのは私たち【フォレスティエ】の使命だもの。ね、アオイちゃん？
vo_adv_2113099_022.m4a|あらあら〜ハツネちゃんたら。
vo_adv_5066000_063.m4a|もう、いきなり走りだすから何かあったのかって……あら、カヤちゃんとあなたも。
vo_adv_5066000_067.m4a|そうだったのね。大丈夫よ、ちょっとびっくりしただけだから。あら？　この子は……
vo_adv_5066000_070.m4a|あらあら、ふふ……ありがとう。
vo_adv_5066000_075.m4a|ハツネちゃん、だめよ、怖がらせちゃ。
