vo_adv_1209001_000.m4a|──な、なんじゃ、お主。もう来たのか？
vo_adv_1209002_024.m4a|──それで……要するに腰をやってしまったのじゃな？獅子舞の中の者よ。
vo_adv_1209002_026.m4a|無念なのは分かるが、無理はやめておくのじゃな。わらわたちが人を呼んでおいてやるから、お主はここで安静にしておれ。
vo_adv_1209002_029.m4a|ほう、存外そういう細かいところにこだわるのじゃな……まあこういった催しには大切なことじゃろうが。
vo_adv_1209002_031.m4a|へっ？　……ぶ、無礼を申すでないわ！わらわとこやつは、その……夫婦同然の深い仲ではあるやもしれぬが、そういった男女の仲、というわけでは……
vo_adv_1209002_033.m4a|……やれやれ、やはりそう来るか。民草にこれほど懇願されては、袖にできるはずもないがのう。
vo_adv_1209002_034.m4a|よかろう。あとはわらわたちに任せておくがよい。
vo_adv_1209002_036.m4a|これ、急に立ち上がろうとするでない。獅子舞に向ける情熱はしかと受け取ったからの。くれぐれも安静にするがよい。
vo_adv_1209002_037.m4a|……そら、我が眷属よ。表に人が集まってきておるようじゃ。早いところこの獅子舞の中に入ってしまうがよい。
vo_adv_1209002_038.m4a|子供らの夢を育む大役じゃ。立派に務め上げてみせるのじゃぞ？
vo_adv_1209002_043.m4a|うむうむ。つつがなく役目を果たせているようじゃの。
vo_adv_1209002_044.m4a|お主がそうして人気者であるところを見ると、わらわも我がことのように鼻が高いぞ♪
vo_adv_1209002_045.m4a|いずれわらわが世界を支配した暁には……こういった催しで民草の人望を集めるのもよいやもしれぬな。
vo_adv_1209002_047.m4a|む？……そこの小さいの。どうしたのじゃ？そのような物陰に隠れて……
vo_adv_1209002_049.m4a|そう怯えずともよい。こやつはわらわの眷属……いや、家来みたいなものじゃ。お主も噛まれていくがよかろう。
vo_adv_1209002_050.m4a|そら、もっと近くに寄ってくるのじゃ──
vo_adv_1209002_052.m4a|な、なんじゃ……なにも走って逃げだすことはなかろうに。そんなにこの獅子舞が怖かったのかのう？
vo_adv_1209002_054.m4a|ほほう？獅子舞よりもこのわらわに目を留めるとは……お主、見る目があるではないか～
vo_adv_1209002_055.m4a|いずれはわらわのような立派なレディになれるよう、お主も今のうちから励んでおくのじゃぞ？
vo_adv_1209002_057.m4a|ふーむ、そうじゃな……まずは自分を世界一の美女だと思うことが重要じゃ。自信はどんな化粧にも勝る。覚えておくがよい。
vo_adv_1209002_059.m4a|うむ、その意気じゃ。……そら、獅子舞が行ってしまうぞ？
vo_adv_1209002_060.m4a|まだ一度噛まれたきりじゃろう？せっかくの機会じゃ、もっと噛まれて根こそぎ邪気を祓ってもらい、幸福になるがよいぞ。
vo_adv_1209002_062.m4a|さて、一通りは噛み終えたようじゃの。大儀であったぞ、我が眷属よ。
vo_adv_1209002_063.m4a|民草に幸運を届ける……これもまたわらわが世界を支配するための布石じゃ。計画は順調というわけじゃな。
vo_adv_1209002_064.m4a|人波もはけたことじゃし、ひとまず休憩とするかの。しかしまだ脱いではだめじゃぞ？どこぞで子供らが見ておるかもしれぬからな。
vo_adv_1209002_065.m4a|……うん？　なんじゃ、わらわのことをじっと見て……
vo_adv_1209002_066.m4a|ふふ、改めてわらわの晴れ着姿に見惚れてしまった……ということかの？
vo_adv_1209002_067.m4a|そのように食い入るように見つめずとも、お主が望むのであれば……あとからいくらでも眺めさせてやるというに──
vo_adv_1209002_068.m4a|……な、なんじゃと？噛む？　お主が、わらわのことをか？
vo_adv_1209002_069.m4a|ふーむ、わらわの完璧な世界征服計画に願掛けまで用いる必要があるとは思えぬがのう……
vo_adv_1209002_070.m4a|しかしまあ、使えるものはなんでも使え、というのも一理ある話じゃな。ひと噛みくらいならさせてやってもよいやもしれぬ──
vo_adv_1209002_071.m4a|……うん？　しかしこの……顔を近づけられるのをじっと待ち構えるという格好は、なんというか──
vo_adv_1209002_072.m4a|……ほ、ほとんどキスするのと変わらぬ仕草ではないかっ！？
vo_adv_1209002_073.m4a|ちょ、ちょちょちょ──やっぱりちょっと待つのじゃっ！？
vo_adv_1209002_074.m4a|は、早まるでない、我が眷属よ……！まだ噛んでよいとは言っておらぬぞ！
vo_adv_1209002_075.m4a|べっ、別にやめろとも言っておらぬであろう！？ははは、早とちりするでないわ！
vo_adv_1209002_076.m4a|いやたしかに先ほど、わらわは噛む側であって噛まれる側ではないとは言った……言ったが！あれはあくまで吸血鬼流のジョークであってじゃな……
vo_adv_1209002_077.m4a|決してその、噛まれるのがいやというわけ、では……むしろしてほしいような気持ちも、ないわけではないし……！
vo_adv_1209002_078.m4a|……そ、それにほれ、いち吸血鬼として、一度くらいは噛まれる側の心地を体験しておくのも世界征服に役立つかもしれぬ、じゃろう……？
vo_adv_1209002_079.m4a|わ、わらわは何を口走っておるんじゃ～……！？
vo_adv_1209002_080.m4a|とと、とにかく噛むのは構わぬが、わらわも噛まれるのは初めてじゃからな……下準備が必要なのじゃ！わらわがよいと言うまでじっとしておれ……！
vo_adv_1209002_081.m4a|し、心臓が胸の中で跳ね回っておる～……！鎮まれ、鎮まるのじゃ、わらわの心臓……！
vo_adv_1209002_082.m4a|よ、よし。呼吸は落ち着いた……髪型は、崩れておらぬよな……晴れ着も整えたし……うむ、問題ないはずじゃ……うむ。
vo_adv_1209002_083.m4a|んっ……よ、よいぞ。そら、いつでも来るがよい。
vo_adv_1209002_084.m4a|って、なんで目をつむったのじゃ～！？身なりはともかく目を閉じる必要はなかったじゃろ！キスを意識しとるのがバレバレではないかっ！
vo_adv_1209002_085.m4a|ええい、もう身を任せるほかないのじゃ！い、今か？　いや、まだか！？　も、もう来るか……？
vo_adv_1209002_086.m4a|……うん？なにかおでこに当たったかの？え、まさか……今ので終わり……か？
vo_adv_1209002_087.m4a|……よく分からぬ。思いのほかあっさりと事が済んでしまったからのう。どちらかというと弄ばれた気分じゃな。
vo_adv_1209002_088.m4a|もうよい！　これ以上は心臓がもたぬ……いや！十分幸せになったからよいのじゃ！
vo_adv_1209002_089.m4a|ほ、ほれ、また民草が寄ってきたぞ。子供らがお主を待っておるのじゃ。ぐずぐずするでない。
vo_adv_1209002_090.m4a|獅子舞の務め……最後まで立派に果たしてみせよ！
vo_adv_1209003_000.m4a|さて、次はどこへ行こうかの～楽しめそうな催しがより取り見取りじゃ。
vo_adv_1209003_001.m4a|せっかく真の姿でいるのじゃから、なにかしら体を動かす遊びごとに興じるのもよいかもしれぬ。食べ歩きをするというのも捨てがたいが……
vo_adv_1209003_003.m4a|……む？　道端に子供がうずくまっておるではないか。連れ合いらしき者……も、そばにはいないようじゃの。
vo_adv_1209003_004.m4a|──んん？　あの子供、見覚えがあるような気が……？そうじゃ、あやつはあのときの……
vo_adv_1209003_005.m4a|ほれ、お主もちらっと見たじゃろう？先ほど獅子舞から逃げ出しておったやつじゃ。なにやらひどく落ち込んでおるようじゃが……
vo_adv_1209003_006.m4a|またお節介を焼く気か？わらわをエスコートするという話はどこへいったのじゃ……
vo_adv_1209003_007.m4a|しかしまあ、このランドソルはいずれわらわが支配するのじゃからな。未来を担う子供らに恩を売って損はないかもしれぬ。
vo_adv_1209003_008.m4a|どれ、少しばかり世話を焼いてやるか。──これ、そこのお主！　先ほどぶりではないか！
vo_adv_1209003_010.m4a|おや、覚えておらぬか？先ほど獅子舞と一緒におったであろう。
vo_adv_1209003_012.m4a|こ、これっ！……ええい、別に叱りつけたわけでもあるまいに、なぜ逃げるのじゃ……？
vo_adv_1209003_013.m4a|……まあたしかに。今のはちとわらわが軽率じゃったか。知りもせぬ大人に急に話しかけられれば、逃げ出すのも無理はない。
vo_adv_1209003_014.m4a|ましてわらわは夜を統べる者……この支配者然とした威容と美貌を前にしては、気圧されてしまうのも当然の話、じゃな。
vo_adv_1209003_015.m4a|ふむ、どうしたものか。あのような子供に逃げられっぱなしというのも、なんだか癪な話じゃのう。お主、あやつを引き留める奇策を、なにか思いつかぬか？
vo_adv_1209003_016.m4a|な、なにを言い出すかと思えば……せっかく縁起物の力で取り戻した真の姿なのじゃぞ。みすみす手放せというのか？
vo_adv_1209003_017.m4a|……うっ、その子犬のような顔はやめよ！事と次第によると言っておるだけじゃ。
vo_adv_1209003_018.m4a|そもそも、どうやって子供の姿に戻る？わらわの気の持ちようで体が伸び縮みするならば、もとより苦労はしておらぬじゃろう。
vo_adv_1209003_019.m4a|こ、これお主、どこへ……な、なんだか嫌な予感がしてきたのじゃ。
vo_adv_1209003_020.m4a|……で？　なんじゃそれは。唐揚げ串か？それが何の役に立つというんじゃ。
vo_adv_1209003_021.m4a|……～～～っ！お、お主、わらわをなんだと思っとるんじゃ！？
vo_adv_1209003_022.m4a|いや、たしかに力を失って戻るかもしれぬが……いくらなんでもやり方が強引すぎるじゃろ！もっとこう丁寧というか、気の利いた方法がほかに──
vo_adv_1209003_023.m4a|くぅ～っ、おのれ……真の姿か民草か、背に腹は代えられぬというのか……
vo_adv_1209003_024.m4a|ええい、ままなのじゃっ！──あむっ！
vo_adv_1209003_028.m4a|わらわ……じゃない！わたしね、イリヤっていうの～もし一人なら、イリヤたちと一緒に遊ばない？
vo_adv_1209003_030.m4a|こやつ──じゃない！この人はね、イリヤのお兄ちゃんじゃ……だよ～
vo_adv_1209003_031.m4a|イリヤ、家族でランドソルにお引っ越ししてね、まだそんなにお友達がいないから、お兄ちゃんに遊んでもらってるの～……
vo_adv_1209003_032.m4a|くぁぁ～っ！　思ってたより子供のふりが難しいんじゃが！見よう見まねでやってはみたものの……むっ、無理がある！不自然なことは否めぬのじゃ！
vo_adv_1209003_033.m4a|なぜ支配者であるわらわがこんな真似を～……っ！いや、これも民草のため、ひいては世界征服のため……！
vo_adv_1209003_034.m4a|そっ、それでじゃ──でねっ……もしよかったらなんだけど……
vo_adv_1209003_035.m4a|イリヤたちと遊ぶついでにね、ランドソルを案内してくれない……かな？
vo_adv_1209003_037.m4a|イリヤたちお引っ越ししたばかりだから、この街を誰かに案内してもらいたくって。……ね、お願いしてもいい？
vo_adv_1209003_039.m4a|いいのいいの！それならお引っ越しした者同士で仲良くしましょ！はい、決まりねっ！
vo_adv_1209003_042.m4a|わぁ～っ、きれいなお店だねっ！イリヤもこんなお店でお食事した～い！
vo_adv_1209003_043.m4a|よ、よーし……だいぶ子供のふりが板についてきたのじゃ。さすがわらわ、我ながらなかなかの役者ぶりじゃな。
vo_adv_1209003_044.m4a|えっと、君は入ったことあるの？　このレストラン。どんなお料理が出てくるのか、イリヤに教えて？
vo_adv_1209003_046.m4a|そ、そっかぁ～それは残念だった、ね……
vo_adv_1209003_047.m4a|なるほど……父親に約束をすっぽかされたのじゃな。それで一人ぼっちになってしまった、というわけか。
vo_adv_1209003_048.m4a|でも、それならお友達と遊べるよね！イリヤも仲間に入れてほしいな～
vo_adv_1209003_052.m4a|そ、そうなんだ～それじゃイリヤがはじめてのお友達ってこと、だよね。うふふ、うれしいな～、あはは、あははは、はは……
vo_adv_1209003_053.m4a|う、う～む、思いのほか根が深い話じゃ。わらわが相手をしてやったところで、解決には至りそうもないのう。
vo_adv_1209003_054.m4a|しかし、かといって……民草が仲間外れにされておるのを放ってもおけぬな。よし……
vo_adv_1209003_055.m4a|──はあっ。もうやめじゃやめじゃ。わらわはこれ以上、不景気な話なぞ聞きとうないぞ。
vo_adv_1209003_056.m4a|正月はめでたいもの。お主とて、みなが楽しそうに過ごしておるのにふて腐れてなぞいたくないじゃろうに。
vo_adv_1209003_058.m4a|実はわらわはな……とある国の姫なのじゃ。今回のお出かけはお忍びで、身分を隠す必要があっての。民草の話し方を真似ておったというわけじゃ。
vo_adv_1209003_060.m4a|う、うむ。まあそんなところじゃな。
vo_adv_1209003_061.m4a|そんなことよりもじゃ。お主はランドソルの子供らに、よそ者だからと邪険にされとるのじゃろう？なにも悪いことなぞしておらぬのに。
vo_adv_1209003_062.m4a|ならば……お主を邪険にした者どもに、仕返ししてやらねばなるまい！
vo_adv_1209003_064.m4a|なに、仕返しといっても、手荒な真似はせぬ。わらわに考えがあるのじゃ。
vo_adv_1209003_065.m4a|……ほれ、我が眷属よ。覚えておるじゃろ？以前に通りがかった、あの玩具屋の……
vo_adv_1209003_066.m4a|ふふ、そういうことじゃ。さあ、わらわについてくるがよい！
vo_adv_1209003_067.m4a|──ふむ、このあたりかの？子供らの遊び場は。
vo_adv_1209003_069.m4a|今さら尻込みなぞするでない。山と買い込んだ正月遊びの玩具が無駄になってしまうではないか。
vo_adv_1209003_071.m4a|おお、そこにおったか。──やい、そこの子供らよ！
vo_adv_1209003_074.m4a|いやなに、ここにいるわらわの友達が、ちと世話になったと聞いてのう？
vo_adv_1209003_075.m4a|わらわはこう見えて、やられたらやり返さずにはおれぬ性分じゃからな。友達を邪険にされた仕返しにきたわけじゃ。
vo_adv_1209003_077.m4a|ふん。ケンカなぞせぬわ。ここにある正月遊びの玩具が見えぬのか？
vo_adv_1209003_079.m4a|うむ！そこのおなご、察しがよいではないか。
vo_adv_1209003_080.m4a|わらわたちとこの遊び場を賭けて──正月遊びで勝負じゃっ！
vo_adv_1209003_082.m4a|おや、まさか尻尾を巻いて逃げ帰る気かのう？好きにするがよい。その代わりこの遊び場は、わらわたちがもらい受けるぞ。
vo_adv_1209003_085.m4a|その意気やよしじゃ！手始めに羽根つき勝負といこうではないか。かかってくるがよいわ！
vo_adv_1209003_086.m4a|──ほれほれ、どうしたのじゃ。そんな調子では、また顔にバツ印が増えてしまうぞ？
vo_adv_1209003_088.m4a|そっちのおなごは、こういう遊びごとに慣れておるようじゃからのう。羽子板さばきにキレがあるのじゃ。
vo_adv_1209003_090.m4a|だそうじゃ。それに引き換えお主は動きが大振りで隙だらけ……相手の弱点を突くのは戦いの基本じゃろ？
vo_adv_1209003_092.m4a|ふふ、焦りが見えるわ。このまま一気に押し切ってやるのじゃ。
vo_adv_1209003_093.m4a|……さあ、お主もわらわの後に続くがよい。あやつらは今、わらわに注意を引かれておる……このチャンスに渾身の一発をお見舞いするのじゃ！
vo_adv_1209003_097.m4a|ふん、甘いわっ！──お主、今じゃ！
vo_adv_1209003_100.m4a|うむ、お見事じゃ！　……おっと、もうバツ印を書き入れる場所がなくなってしまったの～そろそろ負けを認めてはどうじゃ？
vo_adv_1209003_103.m4a|ほほう、よいではないか、受けて立つのじゃ！
vo_adv_1209003_104.m4a|──１、２、３……くぅ～っ、またあがりマスの手前ではないか！世界征服まであと一歩じゃというのに……
vo_adv_1209003_106.m4a|ぬぅ、後れを取ったか……なかなかやるではないか。いずれは参謀として、わらわの眷属にしてやってもよいかもしれぬのう。
vo_adv_1209003_108.m4a|なななっ、なんてことをするのじゃ！この裏切り者～っ！
vo_adv_1209003_112.m4a|おのれ～……いや、まだ巻き返せるのじゃ！わらわが知略で後れを取るなどあってはならぬ！やすやすとあがらせはせぬぞ！
vo_adv_1209003_122.m4a|ふふ。どうやら丸く収まったようじゃの。わらわの目論見通りなのじゃ。
vo_adv_1209003_123.m4a|……そろそろ幕引きといこうかの。わらわはこのあたりで退場すべき、じゃな。
vo_adv_1209003_124.m4a|──さて、わらわも帰るとするかのう。悪くない余興じゃった、なかなか楽しめたぞ。
vo_adv_1209003_126.m4a|うむ……ああ、別に送らずともよいぞ。ここからわらわの家までは、ちと距離があるからのう。
vo_adv_1209003_127.m4a|それにわらわには、お兄ちゃ……ではなかった。頼れる家来がおるから、エスコートはこやつに頼む。心配には及ばぬぞ。
vo_adv_1209003_129.m4a|ほれ、父君が帰ってきとるかもしれぬのじゃろ？あれほど恋しそうにしておったではないか。さっさと家に帰るがよい。
vo_adv_1209003_130.m4a|わらわとはここで……さよならじゃ。
vo_adv_1209003_133.m4a|うむ。……うむ？
vo_adv_1209003_134.m4a|し、獅子舞の、ということは……なんじゃ、気づかれておったのか。
vo_adv_1209003_135.m4a|やはり子供というのは敏いものじゃのう。相手の子らにしても、むやみに意地を張ることなく、早々にあやつと打ち解けておったしな。
vo_adv_1209003_136.m4a|かしこい子たちじゃ。わらわのお節介など無用だったやもしれぬな。
