vo_adv_1017009_000.m4a|…………
vo_adv_1017009_051.m4a|って{player}！まだいたの～！？
vo_adv_1017009_052.m4a|わざわざゴーヤーっぽいものを持って、何やってるの～！？
vo_adv_1017009_053.m4a|差し入れ？ありがたいけど、今はゴーヤーっぽいものは見たい気分じゃないさー故郷のこと、考えちゃうからね～
vo_adv_1017009_054.m4a|じゃあ、今度こそまたね～
vo_adv_1017009_055.m4a|ふぅ～、お腹いっぱいになっても、あんまり変わらないね～
vo_adv_1017009_056.m4a|困ってる人も全然見かけないしー平和なのはいいことだけどさ～
vo_adv_1017009_057.m4a|……？なんか、聞こえるさ～？
vo_adv_1017009_058.m4a|これは、楽器の音……？誰かが演奏してるっぽい？
vo_adv_1017009_059.m4a|あんまり上手じゃないけど、気合みたいなものは伝わってくるさ～
vo_adv_1017009_060.m4a|故郷だったら、音楽が聞こえてくると自然に体が動き出してたところだけど……
vo_adv_1017009_061.m4a|って、また{player}～！？
vo_adv_1017009_062.m4a|うぅん、踊るにはちょっとリズムが独特過ぎるよ～？どうしてこんなところで演奏してるの～！？周りの人たちもビックリしてるさ～！？
vo_adv_1017009_063.m4a|……というか{player}。私のことずっと追いかけてきてるでしょ～？
vo_adv_1017009_064.m4a|しかも、てぃーだの光とか、ゴーヤーっぽいものとか、この演奏とか。
vo_adv_1017009_065.m4a|私から聞いた故郷の話を、再現しようとしてるよね～？
vo_adv_1017009_066.m4a|どうして必死で故郷のこと忘れようとしてるのに、思い出させようとするわけ～？
vo_adv_1017009_067.m4a|あ……
vo_adv_1017009_068.m4a|……そっかー……{player}は記憶喪失で、なんにも覚えてないんだよね。
vo_adv_1017009_069.m4a|忘れることの辛さとか、悲しさとか、{player}の方が、すっごく分かるんだね～
vo_adv_1017009_070.m4a|故郷のこと思い出して寂しくなったりするのは、大切だから……大好きだったから。
vo_adv_1017009_071.m4a|でも、寂しいからって、無理やり忘れようとするのは……間違ってるんだね。
vo_adv_1017009_072.m4a|だから{player}は、私が故郷のことを忘れないように、一生懸命いろいろしてくれてたんだね～
vo_adv_1017009_073.m4a|……ありがとさー{player}の思いやり、胸の奥があったかくなるさー
vo_adv_1017009_074.m4a|故郷でも感じたことない、不思議なあったかさだよ～寂しい気持ちが、やんわり消えていく気がするさ～
vo_adv_1017009_075.m4a|うん、調子が出てきたさー！なんか、体がウズウズするね～！踊りたくなってきたさ～！
vo_adv_1017009_076.m4a|{player}、手を出すさ～！一緒に踊ろ～っ♪
vo_adv_1017009_077.m4a|また寂しくなっても、こうして{player}と手を繋いで踊れば、きっと平気……ううん、故郷の言葉で言うと──
vo_adv_1017009_078.m4a|なんくるないさ～♪
vo_adv_1017010_005.m4a|あ、ハイターイ♪　【自警団（カォン）】のギルドハウスにようこそ～♪{player}ならいつでも大歓迎さ～まずは一曲踊りを披露するよ～♪
vo_adv_1017010_006.m4a|えっと、この間はありがとうね～？{player}のおかげで元気いっぱいさ～！
vo_adv_1017010_007.m4a|あは～？どうしたさ～？　踊ってる場合じゃない？ううん、踊りはなによりも大事だよ～？
vo_adv_1017010_008.m4a|え……？どういうことさ～？
vo_adv_1017010_009.m4a|私の故郷の楽器が積み荷にあった？それを持ってきた船が近くまで来てるって～……！？
vo_adv_1017010_010.m4a|そっか……その船が私の故郷から来たんなら、その船に乗せてもらえば……故郷に帰れる……？
vo_adv_1017010_011.m4a|…………
vo_adv_1017010_012.m4a|あっ、ごめんさ～！ちょっと驚いて、ぼ～っとしちゃったさ～！
vo_adv_1017010_013.m4a|教えてくれてありがとうね～！さっそく、その船のところまで行ってみるさ～！
vo_adv_1017010_014.m4a|ん？　{player}も一緒に来てくれるの？ありがとうねー！{player}がいてくれたら心強いよ～♪
vo_adv_1017010_015.m4a|海に到着さー！えっと、船着き場はあっちだね～！
vo_adv_1017010_016.m4a|でーじ大きい船なんだよね～？えっと～でーじ大きい船は～……
vo_adv_1017010_018.m4a|お～？最近、変わった荷物……楽器とかを運んできたっていう船は、おじさんの船さ～？
vo_adv_1017010_021.m4a|そこさ～！間違いないさ～、そこは私の故郷だよ～！てぃーだの眩しい、い～い島だったでしょ～♪
vo_adv_1017010_024.m4a|それでね、もしこの船がまたそこに寄るなら、乗せていってもらえないかなぁって……
vo_adv_1017010_026.m4a|ダメかな～？
vo_adv_1017010_029.m4a|それって、どれくらい……？
vo_adv_1017010_032.m4a|……！
vo_adv_1017010_034.m4a|行ったら、戻ってこられないかもしれない……
vo_adv_1017010_036.m4a|……ちょっとだけ、考える時間をもらってもいいかな～？
vo_adv_1017010_038.m4a|……困っちゃったねぇ。
vo_adv_1017010_039.m4a|あの船に乗ったら、故郷へ帰ることができるかも……
vo_adv_1017010_040.m4a|でも、長い時間がかかるし、次にいつ帰ってこられるか分からない……
vo_adv_1017010_041.m4a|……故郷が恋しいのは本当だけど、このランドソルも好きさ～ね～
vo_adv_1017010_042.m4a|それに、【自警団（カォン）】にはお世話になったし、マホ、マコト、カスミ……大事なみんながいるさ～
vo_adv_1017010_043.m4a|なにより──
vo_adv_1017010_044.m4a|……ううん、なんでもないさー！
vo_adv_1017010_045.m4a|あは～考え事しすぎて、頭がグルグルしてきたよ～
vo_adv_1017010_046.m4a|ねぇ、{player}はどうしたらいいと思う？{player}なら、故郷に帰るかな～？
vo_adv_1017010_047.m4a|そっか……そうだよねぇ。次はいつになるか分からないし、チャンスは、逃すべきじゃないよねぇ。
vo_adv_1017010_048.m4a|……だよねぇ、思い出せないから、故郷って言われても困っちゃうよねー……ごめんねぇ、無神経なこと聞いちゃって～
vo_adv_1017010_049.m4a|う～んう～ん……この間までは故郷のことを思い出してホームシックだったのに、帰れるかもしれないってなると、また悩んじゃうさー……
vo_adv_1017010_050.m4a|あはー、{player}は真っ直ぐだねーでも、そうするのが一番だよねー
vo_adv_1017010_051.m4a|分かった。{player}を見習って、素直に……今の思いのままに、選ぶことにするよー
vo_adv_1017010_052.m4a|私──故郷に帰ることにするさー
vo_adv_1017010_054.m4a|決めたさ～！この船に乗せてほしいさ～！
vo_adv_1017010_056.m4a|大丈夫さ～！私は海の女だからね～！航海の手伝いもバッチリさせてもらうよ～♪
vo_adv_1017010_060.m4a|え？　恋人？
vo_adv_1017010_061.m4a|…………
vo_adv_1017010_062.m4a|ちっ、ちちち、違うさー！この人は恋人とか、そういうのじゃないよー！
vo_adv_1017010_064.m4a|～～～っ！で、でーじ恥ずかしいさ～！
vo_adv_1017010_065.m4a|……あれ？ずいぶん前にも、恋人とかって言われたことがあったけど～前よりも、なんか……照れくさいね～……なんでかな～
vo_adv_1017010_066.m4a|恥ずかしい、とか今まであんまり感じたことなかったのに～……なんか変さ～、胸の鼓動が速弾きしてるみたいだよ～！
vo_adv_1017010_067.m4a|ひゃっ！？みっ、見ないでほしいさ～！
vo_adv_1017010_068.m4a|あぅ～、この気持ち──わけわかんないよ～！
vo_adv_1017011_000.m4a|ハイタ～イ♪おはようさ～、今日も朝から一緒に踊るさ～♪
vo_adv_1017011_001.m4a|ダメだよ～？時間は残り少ないからね～！ほらほら、起きて起きて～♪
vo_adv_1017011_002.m4a|着替え、手伝ってあげようか～？ほらほら、すぽぽーんと脱ぐさーっ！
vo_adv_1017011_003.m4a|え？　手伝いはいい？自分で脱げるから？う～ん、残念さ～……
vo_adv_1017011_004.m4a|じゃあ、着替えが終わるまでここで踊ってるさ～♪ええ～、それもダメ～？　気になるの～？いじわるさ～、少しでも長く{player}と一緒にいたいのに～
vo_adv_1017011_005.m4a|この間感じた変な気持ち、今はもう大丈夫だねーあれはやっぱり恋人とか、言われちゃったから？って、またなんか体が熱くなってきたさー……落ち着かなきゃー
vo_adv_1017011_006.m4a|あはー、お別れの前にいっぱいおいしいものを食べて、たくさん楽しく歌って踊って、思い出を故郷に持って帰れるようにしなきゃね～！
vo_adv_1017011_007.m4a|ほら、外のてぃーだもこんなに輝いてるさ～！ってあれ～？　ちょっと明るすぎるさ～！？
vo_adv_1017011_066.m4a|あれ～？どうして私、ベッドで寝てるさ～？
vo_adv_1017011_067.m4a|しかも、これって{player}のベッドだよね～？
vo_adv_1017011_068.m4a|起きたら私が床で寝てたから、運んでくれたの～？
vo_adv_1017011_069.m4a|あは～♪ごめんねぇ、{player}の寝るとこ、取っちゃって～♪
vo_adv_1017011_070.m4a|う～ん、今日は{player}と一緒に外に遊びに行こうと思ってたんだけど～
vo_adv_1017011_071.m4a|たまには室内で、のんびりゴロゴロするのもいいかもしれないね～♪
vo_adv_1017011_072.m4a|{player}も一緒に寝る～？あは～、さすがにせまいかな～♪
vo_adv_1017012_000.m4a|あ……{player}。見送りに来てくれたの～？私もこれから船着き場の方に行くとこさー
vo_adv_1017012_001.m4a|さっきまで【自警団（カォン）】のみんなに、でーじ盛大に盛り上げてもらってたんだよ～♪みんなで歌って踊って、大騒ぎしたさ～
vo_adv_1017012_002.m4a|……いよいよ出発の日なんだね～まだ、実感がわかないさ～
vo_adv_1017012_003.m4a|でも、時間はかかるかもしれないけど、絶対にまたこの街に戻ってくるからね～！
vo_adv_1017012_004.m4a|それまで、少しのお別れさ～
vo_adv_1017012_005.m4a|…………
vo_adv_1017012_006.m4a|ううん、なんでもないさー！それより、早く船長さんのところに──
vo_adv_1017012_008.m4a|あれ～？　船長さん？なんだか騒がしいけどどうしたの～？
vo_adv_1017012_010.m4a|海に……魔物さ～！？
vo_adv_1017012_012.m4a|それは大変さー！なんとかしないと～！
vo_adv_1017012_014.m4a|ここからじゃ、手の出しようがないねーこっちから近づかなきゃ～……！
vo_adv_1017012_015.m4a|船を攻撃しようとしてるさー！？ダメだよーっ！
vo_adv_1017012_017.m4a|悔しいけど、そうだよ～！これだけの騒ぎになれば、きっと【自警団（カォン）】のみんながすぐ来てくれるさ～！
vo_adv_1017012_018.m4a|え？　それじゃ間に合わないかも……って？
vo_adv_1017012_019.m4a|私のため……？そんなの、いいんだよ～！私のためにそんなに頑張ろうとしなくても～！
vo_adv_1017012_020.m4a|どうしてそこまで……
vo_adv_1017012_021.m4a|ひゃっ！？い、いきなりそういうこと言うのはいけないさ～！うれしいけど、ドキドキしちゃうよ～！
vo_adv_1017012_022.m4a|{player}は、私のことをよく見てるんだねー……そう考えると、ちょっと恥ずかしくなってくるよ～……！
vo_adv_1017012_023.m4a|そっか～……{player}は、私が元気なかったから、色々としてくれてたんだよね～
vo_adv_1017012_024.m4a|私のために……元気な私を見るために……
vo_adv_1017012_025.m4a|うん、分かったさー……ウジウジ迷うなんて、面倒はやめる！私も一緒に戦うよ～！私たちが力を合わせれば、あんな魔物一発でノックアウトさー！
vo_adv_1017012_026.m4a|船長さん、悪いんだけど、船を出してもらえるかな～？あの魔物に近づきたいんさ～！
vo_adv_1017012_028.m4a|もちろんさー！腕っぷしには自信があるからねー！
vo_adv_1017012_030.m4a|ありがとねー！じゃあ、張り切っていくさー！
vo_adv_1017012_031.m4a|うわぁ、元気いっぱいだね～！でも、元気さならこっちも負けないよ～！ハイターイ♪
vo_adv_1017012_034.m4a|分かってるよー！
vo_adv_1017012_035.m4a|海が得意なのは、私だってそうさー！私の故郷では海に生きる人をこう呼ぶよー！
vo_adv_1017012_036.m4a|『うみんちゅ』ってね～！
vo_adv_1017012_037.m4a|けど……もし失敗して海にでも落ちたら、いくら泳ぎが上手くても、ひとたまりもないさーチャンスは一回、あの魔物と接触する一度きりだねー！
vo_adv_1017012_038.m4a|ねぇ、一つお願いしてもいいかなー？
vo_adv_1017012_039.m4a|私が失敗しないよう、勇気づけてほしいさ～
vo_adv_1017012_040.m4a|{player}の言葉があれば、きっとやれるから。
vo_adv_1017012_041.m4a|あはー♪うんっ、なんくるないさーっ♪
vo_adv_1017012_043.m4a|まっかせるさー！
vo_adv_1017012_045.m4a|よしっ、怯んだねー！行くさぁ、琉球犬ナックル──！
vo_adv_1017012_046.m4a|ひゃあっ……船が揺れてっ！？
vo_adv_1017012_047.m4a|しまった、魔物の腕に掴まっ……！？
vo_adv_1017012_048.m4a|まずいさー、海に引きずり込まれる……！でも、身動きがとれないさー……！
vo_adv_1017012_049.m4a|{player}！？　無茶さーっ！？
vo_adv_1017012_050.m4a|っ！　腕がほどけたっ！……でもっ……！
vo_adv_1017012_052.m4a|……！
vo_adv_1017012_053.m4a|今すぐ倒さないと、{player}が……！でもっ、魔物が船から離れてくさ……！海に向かって飛ぶ？　でも失敗したら二人とも……！
vo_adv_1017012_054.m4a|え？……この力は……！？まさか、海に落ちながら……！？
vo_adv_1017012_055.m4a|体の中にてぃーだが燃えてるみたいさ～……！
vo_adv_1017012_056.m4a|私を信じてくれてるんだねー……！なら絶対、大丈夫……！
vo_adv_1017012_058.m4a|なんくるないさぁぁぁぁぁ！
vo_adv_1017012_059.m4a|全てを叩きこむよー！真・琉球犬──！
vo_adv_1017012_060.m4a|ナックルラッシュ──さぁぁぁぁぁぁぁぁっ！
vo_adv_1017012_061.m4a|あは～♪私の勝ちさー！
vo_adv_1017012_062.m4a|思いっきり体を動かしたあとの海は最高だね～！
vo_adv_1017012_063.m4a|わ～っ！？そういえば{player}、泳げないんだったねー！今助けるよーっ！
vo_adv_1017012_064.m4a|……泳げないのに、よく頑張ってくれたさー格好良かったよ～♪
vo_adv_1017012_065.m4a|{player}の力を感じた時、すごく温かくて、今までにない力が湧き上がってきたんだよ～
vo_adv_1017012_066.m4a|えーと……私のため、なんだよねー……えへへ、うれしくてたまらないさ～
vo_adv_1017012_067.m4a|{player}は、私のてぃーだだね～……♪
vo_adv_1017012_068.m4a|出発は明日の朝になったよ～船は無事だったけど、念のため点検したいんだって～
vo_adv_1017012_069.m4a|……本当にありがとうさー
vo_adv_1017012_070.m4a|ん～と、今回のこともそうなんだけど～
vo_adv_1017012_071.m4a|このランドソルに来て、故郷に帰れなくなって……なんくるないさ～って言いながら、今まで私なりに元気に、楽しく過ごしてはきたんだけど～
vo_adv_1017012_072.m4a|こうして{player}と一緒にいろいろしてるときが、一番ワクワクして、ウキウキしてるさ～
vo_adv_1017012_073.m4a|本当に{player}に会えてよかったよ～だから、ありがとう～
vo_adv_1017012_074.m4a|あは～……改まって喋るのって、なんか恥ずかしいね～？やっぱり私は──
vo_adv_1017012_075.m4a|──これが、一番だよね～！
vo_adv_1017012_076.m4a|言葉だけで気持ちを伝えるなんて、私らしくないさ～！
vo_adv_1017012_077.m4a|歌って、踊って、元気に、楽しく、気持ちを伝えないとね～！
vo_adv_1017012_078.m4a|あは～♪今日はめいっぱい踊ろう～♪
vo_adv_1017012_079.m4a|てぃーだは夜に隠れちゃってるけど、こうして手を繋いでいれば、お互いのこと、はっきり見えるからね～♪
vo_adv_1017012_080.m4a|っ！え、えへへ……{player}はずるいね～……♪
vo_adv_1017012_081.m4a|やっぱり……間違いないよ～{player}と一緒にいる時が、一番ワクワクして、ウキウキして……
vo_adv_1017012_082.m4a|──でーじ、ドキドキするさー♪
vo_adv_1017012_083.m4a|…………陸が、遠くなっていくさー……
vo_adv_1017012_085.m4a|でしょー？彼は、私のてぃーだだからねー
vo_adv_1017012_086.m4a|強引な私にいつも付き合ってくれて、歌とか踊りとか、一生懸命なわけよ～
vo_adv_1017012_087.m4a|故郷に帰ったら、みんなに自慢できるさー楽しい仲間ができたこととか、彼のこととか。思い出がいっぱい、語り尽くせないくらいあるからね～
vo_adv_1017012_088.m4a|できれば、もっとあってもよかったけどね～……
vo_adv_1017012_089.m4a|…………
vo_adv_1017012_091.m4a|……？風もあるし、どうして止めるの～……？
vo_adv_1017012_093.m4a|……！
vo_adv_1017012_095.m4a|……そんなの……
vo_adv_1017012_096.m4a|いらないさー！『うみんちゅ』だからね～っ！
vo_adv_1017012_097.m4a|船長さ～ん！　でーじありがとうね～！もし私の故郷に着いたら、よろしくね～♪
vo_adv_1017012_099.m4a|……ぃっ！
vo_adv_1017012_100.m4a|おーーーぃっ！
vo_adv_1017012_101.m4a|待つさ～～～～～！
vo_adv_1017012_102.m4a|はぁ、ふぅ～……やっと着いた～♪陸まで思ったより遠かったさ～！
vo_adv_1017012_103.m4a|どうして、って顔だね～？
vo_adv_1017012_104.m4a|あは～何にも考えずに、自分の気持ちに素直になったんだよー
vo_adv_1017012_105.m4a|今、故郷に帰っちゃったら～……
vo_adv_1017012_106.m4a|今度は{player}のことを夢見て、毎日胸の辺りがムズムズしちゃいそうだから～♪
vo_adv_1017012_107.m4a|あは～、私の言ってる意味、分かる～？
vo_adv_1017012_108.m4a|分かんなくてもいいよ～♪
vo_adv_1017012_109.m4a|いっぱい振り回しちゃって、ごめんね～でも、これが私の答えだよ～
vo_adv_1017012_110.m4a|ただいまさ～♪
vo_adv_1177001_000.m4a|あ、ハイタ～イ♪
vo_adv_1177001_001.m4a|あは～、元気ないい挨拶さ～♪　……あれっ？なにか気になることがあるって顔をしてるけど、どうしたさ～？
vo_adv_1177001_002.m4a|……なんで、ハロウィンセイバーズの制服なのかって？あはは、ハロウィンっぽくてかわいいからさ～♪それに、なんだか気合も入るしね～
vo_adv_1177001_003.m4a|ハロウィンシーズン中は【自警団（カォン）】のお仕事はお休みをもらってるけど……もし誰か困ってる人がいたら放っておけないさ～？
vo_adv_1177001_004.m4a|それでこの制服で、ハロウィンを守るためにパトロールして回ってたわけさ～
vo_adv_1177001_005.m4a|ヒマなら、{player}も一緒にパトロールするさ～♪ハロウィンの飾りつけを眺めながら歩いてるだけでも楽しい……
vo_adv_1177001_007.m4a|……今の悲鳴、向こうのお店からさーっ！
vo_adv_1177001_008.m4a|何かあったさー！？
vo_adv_1177001_010.m4a|ん～？　虫？……あ、机に乗ってるこの子ね～？よくできてるけど、この子、おもちゃさ～
vo_adv_1177001_012.m4a|事件とかじゃなくて良かったさ～♪大っきな声したから、でーじビックリしたよ～？
vo_adv_1177001_015.m4a|ユーレイ？
vo_adv_1177001_019.m4a|多分それ、本当に幽霊の仕業さ～！
vo_adv_1177001_020.m4a|この前、いろいろあった時に彼から聞いたんだけど……ハロウィンって現実界と霊界が近付くんだって。その影響で霊が増えるらしいさ～
vo_adv_1177001_021.m4a|だからきっと、イタズラ好きな幽霊たちが、あちこちでイタズラしてるんだろうね～
vo_adv_1177001_022.m4a|それならハロウィンセイバーズの出番だね～私がハロウィンを守ってあげるさ～！
vo_adv_1177001_023.m4a|……どうやって幽霊のイタズラを防ぐのって？それは今から考えるさ～！
vo_adv_1177001_024.m4a|う～ん……どうすればいいかな～…………あっ、良いこと思いついたさーっ！
vo_adv_1177001_025.m4a|私たちで、シーサーを作ろうっ！
vo_adv_1177001_026.m4a|そう、シーサー！私の故郷じゃ、魔除けのために家にシーサーを置くわけさ～
vo_adv_1177001_027.m4a|シーサーがあれば、きっと、悪い幽霊はお店に入ってこれなくなるさー！そうすればイタズラなんてできなくなるでしょ？
vo_adv_1177001_028.m4a|街のみんなのためにシーサーを作りまくるさ～！そうと決まれば、まずは粘土を買いに行かないと！
vo_adv_1177001_029.m4a|準備はバッチリ！こうやって粘土を使ってなにかを作るのって久々だから、ちょっとワクワクするさ～♪
vo_adv_1177001_030.m4a|シーサーっていうのは基本的に、オスとメスのペアで家に置くわけさ～
vo_adv_1177001_031.m4a|一般的には、口を開けてるのがオスのシーサー口を閉じてるのがメスのシーサーって言われてるさ～
vo_adv_1177001_032.m4a|だから{player}は、ガオーって感じに口を開けたオスのシーサーを作ってね～私は口をむぎゅっと閉じたメスのシーサーを作るさ～♪
vo_adv_1177001_033.m4a|ん～？　作り方が分からない？大丈夫！　私の作るシーサーのマネをすればできるさ～！
vo_adv_1177001_034.m4a|それじゃあ、始めるよ～！
vo_adv_1177001_035.m4a|そうそう、そんな感じさ～！幽霊なんてなんくるないさ～って気持ちを込めるさ～♪
vo_adv_1177001_036.m4a|……完成さ～♪
vo_adv_1177001_037.m4a|うんうん、{player}のシーサー、いい感じだね！でーじ優しそうさ～作った人に似たのかもしれないね～♪
vo_adv_1177001_038.m4a|……え？　私のシーサーは、作った人に似てかわいい？
vo_adv_1177001_039.m4a|それって、私のことかわいいって思ってるってこと？……そう考えたらなんか照れるさ～！？
vo_adv_1177001_040.m4a|どうしてこんな気持ちになるんだろ～？彼以外にかわいいって言われても、きっと、照れたりすることなんてないのに……
vo_adv_1177001_041.m4a|彼と一緒にいると、しょっちゅう変な気持ちになっちゃうさ～……
vo_adv_1177001_042.m4a|……へ？　私の顔が赤くなってる……？な、なんでもないさー！？そんなことより……
vo_adv_1177001_043.m4a|シーサー、まだ一組しか完成してないよ～？いろんなお店に配るために、もっといっぱい作るさ～！
vo_adv_1177001_044.m4a|シーサー、でーじいっぱい作ったね～♪きっとこの子たちが、幽霊のイタズラに困ってるお店の救世主になるさ～！
vo_adv_1177001_045.m4a|じゃあ、まずは昨日のお店に、このシーサーをプレゼントしに行くさ～！
vo_adv_1177001_046.m4a|ハイターイ♪
vo_adv_1177001_048.m4a|シーサーさー！魔除けの効果があるから、お店に飾ればたぶん幽霊のイタズラもおさまるさ～！
vo_adv_1177001_050.m4a|気持ちを込めて作ったから大丈夫！それに、シーサーは幸運を呼び込みもするから一石二鳥さ～♪
vo_adv_1177001_052.m4a|じゃあ、ここに飾っておくね！私たち、他のお店にも行くからまたね～♪
vo_adv_1177001_053.m4a|さぁて、次のお店に行くさ～！……って、あれ？
vo_adv_1177001_055.m4a|あの子、足が透けてるし、ひょっとして……
vo_adv_1177001_058.m4a|あ、行っちゃったさ～またあのお店でイタズラしようとしてるみたいだけど……ちょっと様子を見てみるとするさ～？
vo_adv_1177001_061.m4a|なるほど～イタズラする悪い幽霊には、シーサーがライオンに見えるみたいね～
vo_adv_1177001_062.m4a|やっぱり私たちのシーサーには、ちゃーんと魔除けパワーがあるみたいさ～張り切ってシーサーを配りまくるさ～！
vo_adv_1177001_063.m4a|ふぅ……ずいぶん時間かかっちゃったけど、ぜんぶ配り終わったさ～
vo_adv_1177001_065.m4a|あ、おじさん。どうかしたの～？
vo_adv_1177001_069.m4a|あは～、故郷の守り神がみんなを守ってくれて、なんだか誇らしいさ～♪
vo_adv_1177001_071.m4a|ハロウィンだけじゃなくて、毎日飾ってもいいんだけどね～ちゃんと説明するの忘れてたさ～
vo_adv_1177001_072.m4a|ま、いっか！みんなの役に立ててうれしいさ～♪
